Region,Year,Month,MonthId,Zip_Listings_PriceCut_SeasAdj_AllHomes,Zip_Listings_PriceCut_SeasAdj_Condominum,Zip_Listings_PriceCut_SeasAdj_SingleFamilyResidence,Zip_MedianListingPricePerSqft_1Bedroom,Zip_MedianListingPricePerSqft_2Bedroom,Zip_MedianListingPricePerSqft_3Bedroom,Zip_MedianListingPricePerSqft_4Bedroom,Zip_MedianListingPricePerSqft_5BedroomOrMore,Zip_MedianListingPricePerSqft_AllHomes,Zip_MedianListingPricePerSqft_CondoCoop,Zip_MedianListingPricePerSqft_DuplexTriplex,Zip_MedianListingPricePerSqft_Sfr,Zip_MedianListingPrice_1Bedroom,Zip_MedianListingPrice_2Bedroom,Zip_MedianListingPrice_3Bedroom,Zip_MedianListingPrice_4Bedroom,Zip_MedianListingPrice_5BedroomOrMore,Zip_MedianListingPrice_AllHomes,Zip_MedianListingPrice_CondoCoop,Zip_MedianListingPrice_DuplexTriplex,Zip_MedianListingPrice_Sfr,Zip_MedianPctOfPriceReduction_AllHomes,Zip_MedianPctOfPriceReduction_Condominum,Zip_MedianPctOfPriceReduction_SingleFamilyResidence,Zip_MedianRentalPricePerSqft_1Bedroom,Zip_MedianRentalPricePerSqft_2Bedroom,Zip_MedianRentalPricePerSqft_3Bedroom,Zip_MedianRentalPricePerSqft_4Bedroom,Zip_MedianRentalPricePerSqft_5BedroomOrMore,Zip_MedianRentalPricePerSqft_AllHomes,Zip_MedianRentalPricePerSqft_CondoCoop,Zip_MedianRentalPricePerSqft_DuplexTriplex,Zip_MedianRentalPricePerSqft_Mfr5Plus,Zip_MedianRentalPricePerSqft_Sfr,Zip_MedianRentalPricePerSqft_Studio,Zip_MedianRentalPrice_1Bedroom,Zip_MedianRentalPrice_2Bedroom,Zip_MedianRentalPrice_3Bedroom,Zip_MedianRentalPrice_4Bedroom,Zip_MedianRentalPrice_5BedroomOrMore,Zip_MedianRentalPrice_AllHomes,Zip_MedianRentalPrice_CondoCoop,Zip_MedianRentalPrice_DuplexTriplex,Zip_MedianRentalPrice_Mfr5Plus,Zip_MedianRentalPrice_Sfr,Zip_MedianRentalPrice_Studio,Zip_MedianValuePerSqft_AllHomes,Zip_Median_PriceCut_Dollar_AllHomes,Zip_Median_PriceCut_Dollar_Condominum,Zip_Median_PriceCut_Dollar_SingleFamilyResidence,Zip_PctOfHomesDecreasingInValues_AllHomes,Zip_PctOfHomesIncreasingInValues_AllHomes,Zip_PctOfListingsWithPriceReductions_AllHomes,Zip_PctOfListingsWithPriceReductions_Condominum,Zip_PctOfListingsWithPriceReductions_SingleFamilyResidence,Zip_PriceToRentRatio_AllHomes,Zip_Zhvi_1bedroom,Zip_Zhvi_2bedroom,Zip_Zhvi_3bedroom,Zip_Zhvi_4bedroom,Zip_Zhvi_5BedroomOrMore,Zip_Zhvi_AllHomes,Zip_Zhvi_BottomTier,Zip_Zhvi_BottomTier_yoy,Zip_Zhvi_Condominum,Zip_Zhvi_MiddleTier,Zip_Zhvi_MiddleTier_yoy,Zip_Zhvi_SingleFamilyResidence,Zip_Zhvi_Summary_AllHomes,Zip_Zhvi_TopTier,Zip_Zhvi_TopTier_yoy,Zip_ZriPerSqft_AllHomes,Zip_Zri_AllHomes,Zip_Zri_AllHomesPlusMultifamily,Zip_Zri_AllHomesPlusMultifamily_Summary,Zip_Zri_AllHomes_Summary,Zip_Zri_MultiFamilyResidenceRental,Zip_Zri_MultiFamilyResidenceRental_Summary,Zip_Zri_SingleFamilyResidenceRental,Zip_Zri_SingleFamilyResidenceRental_Summary
92101-CA,2010,9,24129,14.6730549973932,14.7610119475875,,,480.032599837001,,,,419.434931506849,432.01646090535,,,,,,,,,,,,3.92843364197531,3.88083584337349,,,,,,,2.64200792602378,2.64200792602378,,2.43346007604563,,,,,,,,2990.0,2990.0,,,,,361.0,16000.0,16000.0,,68.68,22.84,16.497461928934,16.4502164502165,,,276700.0,456200.0,618100.0,,,392300.0,252100.0,-0.0586258401792382,392000.0,392300.0,-0.0859739049394222,,,616700.0,-0.129815154508255,,,,,,,,,
92101-CA,2010,10,24130,14.939234438249,15.1145955011657,,,459.459459459459,,,,403.930131004367,408.712052250694,,,,,,,,,,,,4.00347054709734,4.0016006402561,,2.32692012967875,,,,,2.51410979989738,2.51410979989738,,2.31395348837209,,,1772.5,,,,,2800.0,2800.0,,,,,360.0,12950.0,12900.0,,70.73,20.94,16.688567674113,16.8929110105581,,14.68,277400.0,458800.0,603500.0,,,389900.0,252400.0,-0.047906450396077,389400.0,389900.0,-0.0825882352941176,,,611600.0,-0.132851268963562,,,,,,,,,
92101-CA,2010,11,24131,14.2139538957435,13.6374551344695,,,464.259395725866,,,,402.459089642701,409.931506849315,,,,,,,,,,,,4.66094475573183,4.16840350145894,,2.1947859689885,,,,,2.47524752475248,2.47524752475248,,2.11986595507473,,,1646.0,,,,,2600.0,2600.0,,,,,358.0,15000.0,15000.0,,71.99,20.78,13.4265734265734,12.8617363344051,,14.52,275900.0,468600.0,586800.0,,,385600.0,252100.0,-0.0421732522796353,385100.0,385600.0,-0.0871212121212121,,,607600.0,-0.143622269203665,2.23,2197.0,2154.0,,,2155.0,,2144.0,
92101-CA,2010,12,24132,17.681371353661,17.5361390510435,,,452.352941176471,,,,386.391571553995,393.576725539551,,,,,,,,,,,,4.16610322289835,4.21709691070672,,2.45333333333333,,,,,2.41794152803486,2.44073409511877,,2.25506324741068,,,1805.0,,,,,2600.0,2625.0,,,,,356.0,13850.0,15000.0,,75.67,17.77,15.4277699859748,15.1368760064412,,14.31,271000.0,468000.0,581800.0,,,381600.0,248000.0,-0.0559573658165207,381400.0,381600.0,-0.0737864077669903,,,602300.0,-0.125453753448526,2.24,2216.0,2166.0,,,2168.0,,2145.0,
92101-CA,2010,1,24121,,,,,505.700325732899,,,,463.953488372093,468.284611141754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,385.0,,,,69.67,25.07,,,,,292600.0,492200.0,597400.0,,,397800.0,262200.0,-0.118359112306658,397600.0,397800.0,-0.150544522741832,,,646700.0,-0.0951448160067161,,,,,,,,,
92101-CA,2010,2,24122,,,,,517.816547379897,,,,458.241475518558,458.852166197742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,377.0,,,,69.69,24.16,,,,,293100.0,474700.0,579800.0,,,391200.0,261000.0,-0.111942837699898,391200.0,391200.0,-0.156714809226126,,,624700.0,-0.130428730512249,,,,,,,,,
92101-CA,2010,3,24123,,,,,512.59765625,,,,444.656488549618,448.353293413174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,374.0,,,,67.35,25.52,,,,,290100.0,470100.0,595900.0,,,392700.0,260000.0,-0.101899827288428,392500.0,392700.0,-0.143137682740563,,,629100.0,-0.117052631578947,,,,,,,,,
92101-CA,2010,4,24124,,,,,507.786052809749,,,,444.656488549618,447.791438727312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,373.0,,,,68.12,24.78,,,,,287400.0,470100.0,611700.0,,,393500.0,260800.0,-0.0874737578726382,393100.0,393500.0,-0.132112924569916,,,633600.0,-0.106598984771574,,,,,,,,,
92101-CA,2010,5,24125,,,,,494.186046511628,,,,444.656488549618,447.368421052632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,373.0,,,,67.8,25.63,,,,,286900.0,473700.0,619600.0,,,394100.0,261100.0,-0.0757522123893805,393700.0,394100.0,-0.118147236518237,,,636900.0,-0.0959545777146913,,,,,,,,,
92101-CA,2010,6,24126,,,,,482.006226739661,,,,424.055512721665,427.36013986014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,370.0,,,,66.17,27.02,,,,,285800.0,475000.0,621100.0,,,390400.0,260300.0,-0.0626575441123515,390200.0,390400.0,-0.114136600862265,,,636500.0,-0.0862761986792994,,,,,,,,,
92101-CA,2010,7,24127,,,,,489.42454447569,,,,415.056037884767,420.909261111106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,365.0,,,,64.21,27.67,,,,,282000.0,472800.0,618500.0,,,387800.0,258000.0,-0.0545987541223892,387700.0,387800.0,-0.111365719523373,,,629500.0,-0.0943749100848799,,,,,,,,,
92101-CA,2010,8,24128,,,,,500.719054956343,,,,424.687958883994,429.30029154519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363.0,,,,65.93,26.64,,,,,278000.0,465300.0,620800.0,,,389900.0,254800.0,-0.0566456867826731,389700.0,389900.0,-0.0999538319482918,,,623900.0,-0.112265224815026,,,,,,,,,
92101-CA,2011,1,24133,17.8228823104706,17.4771701349743,,,455.837563451777,,,,384.104054859869,389.81159058011,,,,,,,,,,,,4.86618004866181,4.86618004866181,,2.30719794344473,,,,,2.28677733257012,2.28552064598049,,2.14285714285714,,,1772.5,,,,,2250.0,2250.0,,,,,353.0,18000.0,17600.0,,78.44,15.73,18.6369958275382,18.5419968304279,,14.42,267000.0,457500.0,585200.0,,,380400.0,242700.0,-0.074370709382151,379800.0,380400.0,-0.0437405731523379,,,598700.0,-0.0742229781970002,2.24,2222.0,2173.0,,,2175.0,,2132.0,
92101-CA,2011,2,24134,15.0342596218569,14.9381763972429,,,465.077359577958,,,,388.316151202749,395.249695493301,,,,,,,,,,,,4.98036409889498,4.91883915395966,,2.39808153477218,,,,,2.30958821904499,2.30848610109686,,2.1765988372093,,,1750.0,,,,,2262.5,2200.0,,,,,353.0,20000.0,20000.0,,77.8,15.75,12.5984251968504,12.5748502994012,,14.37,265600.0,451400.0,592400.0,,,382500.0,241600.0,-0.0743295019157088,381800.0,382500.0,-0.022239263803681,,,600100.0,-0.039378901872899,2.228,2219.0,2170.0,,,2173.0,,2127.0,
92101-CA,2011,3,24135,17.6777392346118,17.8277096760722,,,455.979525360633,,,,384.688611259716,389.003112033195,,,,,,,,,,,,3.92641582124053,4.02337228714524,,2.42248062015504,,,,,2.3468145272677,2.3398711656087,,2.16535433070866,,,1767.5,,,,,2200.0,2200.0,,,,,352.0,13750.0,14000.0,,78.61,15.48,16.4199192462988,16.8154761904762,,14.38,264400.0,447300.0,589900.0,,,382900.0,242300.0,-0.0680769230769231,382600.0,382900.0,-0.0249554367201426,,,596200.0,-0.0522969321252583,2.208,2203.0,2158.0,,,2160.0,,2123.0,
92101-CA,2011,4,24136,14.5494862538071,14.6272214310093,,,431.232035679993,,,,373.595505617978,383.817427385892,,,,,,,,,,,,4.0506329113924,4.0506329113924,,2.41423125794155,,,,,2.37203495630462,2.38218972695614,,2.34929713618238,,,1900.0,,,,,2295.0,2295.0,,,,,348.0,15000.0,14808.0,,78.69,15.17,13.2621951219512,13.1493506493506,,14.35,261600.0,441500.0,573000.0,,,380600.0,241200.0,-0.0751533742331288,380600.0,380600.0,-0.0327827191867853,,,586000.0,-0.0751262626262626,2.198,2193.0,2152.0,,,2153.0,,2130.0,
92101-CA,2011,5,24137,11.2417813049856,11.1427388972319,,,408.489016302783,,,,362.38718218831,370.878623188406,,,,,,,,,,,,3.63702491362066,3.53383458646617,,2.40237238243738,2.45098039215686,,,,2.37449118046133,2.39535159178951,,2.35626283367556,,,2025.0,2750.0,,,,2300.0,2300.0,,2200.0,,,345.0,14900.0,14100.0,,81.22,12.22,12.1710526315789,12.0781527531083,,14.32,257400.0,438200.0,557700.0,,,376900.0,237100.0,-0.0919188050555343,376800.0,376900.0,-0.0436437452423243,,,587000.0,-0.0783482493327053,2.194,2186.0,2147.0,,,2148.0,,2124.0,
