Region,Year,Month,MonthId,Zip_Listings_PriceCut_SeasAdj_AllHomes,Zip_Listings_PriceCut_SeasAdj_Condominum,Zip_Listings_PriceCut_SeasAdj_SingleFamilyResidence,Zip_MedianListingPricePerSqft_1Bedroom,Zip_MedianListingPricePerSqft_2Bedroom,Zip_MedianListingPricePerSqft_3Bedroom,Zip_MedianListingPricePerSqft_4Bedroom,Zip_MedianListingPricePerSqft_5BedroomOrMore,Zip_MedianListingPricePerSqft_AllHomes,Zip_MedianListingPricePerSqft_CondoCoop,Zip_MedianListingPricePerSqft_DuplexTriplex,Zip_MedianListingPricePerSqft_Sfr,Zip_MedianListingPrice_1Bedroom,Zip_MedianListingPrice_2Bedroom,Zip_MedianListingPrice_3Bedroom,Zip_MedianListingPrice_4Bedroom,Zip_MedianListingPrice_5BedroomOrMore,Zip_MedianListingPrice_AllHomes,Zip_MedianListingPrice_CondoCoop,Zip_MedianListingPrice_DuplexTriplex,Zip_MedianListingPrice_Sfr,Zip_MedianPctOfPriceReduction_AllHomes,Zip_MedianPctOfPriceReduction_Condominum,Zip_MedianPctOfPriceReduction_SingleFamilyResidence,Zip_MedianRentalPricePerSqft_1Bedroom,Zip_MedianRentalPricePerSqft_2Bedroom,Zip_MedianRentalPricePerSqft_3Bedroom,Zip_MedianRentalPricePerSqft_4Bedroom,Zip_MedianRentalPricePerSqft_5BedroomOrMore,Zip_MedianRentalPricePerSqft_AllHomes,Zip_MedianRentalPricePerSqft_CondoCoop,Zip_MedianRentalPricePerSqft_DuplexTriplex,Zip_MedianRentalPricePerSqft_Mfr5Plus,Zip_MedianRentalPricePerSqft_Sfr,Zip_MedianRentalPricePerSqft_Studio,Zip_MedianRentalPrice_1Bedroom,Zip_MedianRentalPrice_2Bedroom,Zip_MedianRentalPrice_3Bedroom,Zip_MedianRentalPrice_4Bedroom,Zip_MedianRentalPrice_5BedroomOrMore,Zip_MedianRentalPrice_AllHomes,Zip_MedianRentalPrice_CondoCoop,Zip_MedianRentalPrice_DuplexTriplex,Zip_MedianRentalPrice_Mfr5Plus,Zip_MedianRentalPrice_Sfr,Zip_MedianRentalPrice_Studio,Zip_MedianValuePerSqft_AllHomes,Zip_Median_PriceCut_Dollar_AllHomes,Zip_Median_PriceCut_Dollar_Condominum,Zip_Median_PriceCut_Dollar_SingleFamilyResidence,Zip_PctOfHomesDecreasingInValues_AllHomes,Zip_PctOfHomesIncreasingInValues_AllHomes,Zip_PctOfListingsWithPriceReductions_AllHomes,Zip_PctOfListingsWithPriceReductions_Condominum,Zip_PctOfListingsWithPriceReductions_SingleFamilyResidence,Zip_PriceToRentRatio_AllHomes,Zip_Zhvi_1bedroom,Zip_Zhvi_2bedroom,Zip_Zhvi_3bedroom,Zip_Zhvi_4bedroom,Zip_Zhvi_5BedroomOrMore,Zip_Zhvi_AllHomes,Zip_Zhvi_BottomTier,Zip_Zhvi_BottomTier_yoy,Zip_Zhvi_Condominum,Zip_Zhvi_MiddleTier,Zip_Zhvi_MiddleTier_yoy,Zip_Zhvi_SingleFamilyResidence,Zip_Zhvi_Summary_AllHomes,Zip_Zhvi_TopTier,Zip_Zhvi_TopTier_yoy,Zip_ZriPerSqft_AllHomes,Zip_Zri_AllHomes,Zip_Zri_AllHomesPlusMultifamily,Zip_Zri_AllHomesPlusMultifamily_Summary,Zip_Zri_AllHomes_Summary,Zip_Zri_MultiFamilyResidenceRental,Zip_Zri_MultiFamilyResidenceRental_Summary,Zip_Zri_SingleFamilyResidenceRental,Zip_Zri_SingleFamilyResidenceRental_Summary
98007-WA,2010,9,24129,18.5994094701055,,,,,,,,219.052573932092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203.0,,,,86.66,6.89,21.6666666666667,,,,,199100.0,352400.0,420100.0,445300.0,341900.0,184200.0,-0.0908193484698914,198400.0,341900.0,-0.0473669545834494,398200.0,,466800.0,-0.0323383084577114,,,,,,,,,
98007-WA,2010,10,24130,19.3174677030007,,,,,,,,215.287081339713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202.0,,,,88.91,5.57,20.8333333333333,,,16.71,,196700.0,351600.0,421300.0,444400.0,340800.0,183500.0,-0.090233019335647,196600.0,340800.0,-0.0429654591406908,396800.0,,467500.0,-0.0274599542334096,,,,,,,,,
98007-WA,2010,11,24131,18.7368532040162,,,,,,,,202.021276595745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.0,,,,89.78,4.66,19.811320754717,,,16.81,,194100.0,352000.0,422000.0,442200.0,340600.0,181200.0,-0.0971599402092676,194000.0,340600.0,-0.0378531073446328,396000.0,,467700.0,-0.0280548628428928,1.096,1672.0,1621.0,,,1214.0,,1914.0,
98007-WA,2010,12,24132,14.0941712560787,,,,,,,,211.494050242398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198.0,,,,91.5,3.63,12.6315789473684,,,16.77,,191600.0,351500.0,421400.0,440200.0,338900.0,178700.0,-0.114030738720873,190800.0,338900.0,-0.0493688639551192,395000.0,,466900.0,-0.0266833437565145,1.106,1674.0,1614.0,,,1239.0,,1909.0,
98007-WA,2010,1,24121,,,,,,,,,232.975168551466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,216.0,,,,96.21,1.72,,,,,,217400.0,370800.0,436700.0,455700.0,359900.0,202700.0,-0.109402460456942,217400.0,359900.0,-0.0788328640900947,413100.0,,477900.0,-0.0871060171919771,,,,,,,,,
98007-WA,2010,2,24122,,,,,,,,,228.712765957447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214.0,,,,95.59,2.01,,,,,,214200.0,370700.0,436500.0,456600.0,360600.0,199900.0,-0.107190710138455,214700.0,360600.0,-0.0691791430046464,411700.0,,478000.0,-0.0763285024154589,,,,,,,,,
98007-WA,2010,3,24123,,,,,,,,,228.712765957447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213.0,,,,94.69,2.41,,,,,,211100.0,370200.0,436100.0,457200.0,360000.0,197200.0,-0.111311401532222,211000.0,360000.0,-0.0617670054730258,410700.0,,481500.0,-0.055697195528535,,,,,,,,,
98007-WA,2010,4,24124,,,,,,,,,233.876811594203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212.0,,,,90.84,3.77,,,,,,209700.0,371100.0,434000.0,457700.0,361400.0,195900.0,-0.10751708428246,208700.0,361400.0,-0.045934530095037,411200.0,,482300.0,-0.0369408945686901,,,,,,,,,
98007-WA,2010,5,24125,,,,,,,,,228.702788207482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210.0,,,,85.37,6.45,,,,,,206900.0,370100.0,433000.0,459800.0,361500.0,191100.0,-0.120165745856354,205500.0,361500.0,-0.0321285140562249,411100.0,,481500.0,-0.0231284236153378,,,,,,,,,
98007-WA,2010,6,24126,,,,,,,,,225.075792374828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208.0,,,,83.52,9.1,,,,,,202300.0,365400.0,430600.0,460600.0,357400.0,186200.0,-0.127868852459016,201100.0,357400.0,-0.0303852414541508,409500.0,,479100.0,-0.020044998977296,,,,,,,,,
