Region,Year,Month,MonthId,Zip_Listings_PriceCut_SeasAdj_AllHomes,Zip_Listings_PriceCut_SeasAdj_Condominum,Zip_Listings_PriceCut_SeasAdj_SingleFamilyResidence,Zip_MedianListingPricePerSqft_1Bedroom,Zip_MedianListingPricePerSqft_2Bedroom,Zip_MedianListingPricePerSqft_3Bedroom,Zip_MedianListingPricePerSqft_4Bedroom,Zip_MedianListingPricePerSqft_5BedroomOrMore,Zip_MedianListingPricePerSqft_AllHomes,Zip_MedianListingPricePerSqft_CondoCoop,Zip_MedianListingPricePerSqft_DuplexTriplex,Zip_MedianListingPricePerSqft_Sfr,Zip_MedianListingPrice_1Bedroom,Zip_MedianListingPrice_2Bedroom,Zip_MedianListingPrice_3Bedroom,Zip_MedianListingPrice_4Bedroom,Zip_MedianListingPrice_5BedroomOrMore,Zip_MedianListingPrice_AllHomes,Zip_MedianListingPrice_CondoCoop,Zip_MedianListingPrice_DuplexTriplex,Zip_MedianListingPrice_Sfr,Zip_MedianPctOfPriceReduction_AllHomes,Zip_MedianPctOfPriceReduction_Condominum,Zip_MedianPctOfPriceReduction_SingleFamilyResidence,Zip_MedianRentalPricePerSqft_1Bedroom,Zip_MedianRentalPricePerSqft_2Bedroom,Zip_MedianRentalPricePerSqft_3Bedroom,Zip_MedianRentalPricePerSqft_4Bedroom,Zip_MedianRentalPricePerSqft_5BedroomOrMore,Zip_MedianRentalPricePerSqft_AllHomes,Zip_MedianRentalPricePerSqft_CondoCoop,Zip_MedianRentalPricePerSqft_DuplexTriplex,Zip_MedianRentalPricePerSqft_Mfr5Plus,Zip_MedianRentalPricePerSqft_Sfr,Zip_MedianRentalPricePerSqft_Studio,Zip_MedianRentalPrice_1Bedroom,Zip_MedianRentalPrice_2Bedroom,Zip_MedianRentalPrice_3Bedroom,Zip_MedianRentalPrice_4Bedroom,Zip_MedianRentalPrice_5BedroomOrMore,Zip_MedianRentalPrice_AllHomes,Zip_MedianRentalPrice_CondoCoop,Zip_MedianRentalPrice_DuplexTriplex,Zip_MedianRentalPrice_Mfr5Plus,Zip_MedianRentalPrice_Sfr,Zip_MedianRentalPrice_Studio,Zip_MedianValuePerSqft_AllHomes,Zip_Median_PriceCut_Dollar_AllHomes,Zip_Median_PriceCut_Dollar_Condominum,Zip_Median_PriceCut_Dollar_SingleFamilyResidence,Zip_PctOfHomesDecreasingInValues_AllHomes,Zip_PctOfHomesIncreasingInValues_AllHomes,Zip_PctOfListingsWithPriceReductions_AllHomes,Zip_PctOfListingsWithPriceReductions_Condominum,Zip_PctOfListingsWithPriceReductions_SingleFamilyResidence,Zip_PriceToRentRatio_AllHomes,Zip_Zhvi_1bedroom,Zip_Zhvi_2bedroom,Zip_Zhvi_3bedroom,Zip_Zhvi_4bedroom,Zip_Zhvi_5BedroomOrMore,Zip_Zhvi_AllHomes,Zip_Zhvi_BottomTier,Zip_Zhvi_BottomTier_yoy,Zip_Zhvi_Condominum,Zip_Zhvi_MiddleTier,Zip_Zhvi_MiddleTier_yoy,Zip_Zhvi_SingleFamilyResidence,Zip_Zhvi_Summary_AllHomes,Zip_Zhvi_TopTier,Zip_Zhvi_TopTier_yoy,Zip_ZriPerSqft_AllHomes,Zip_Zri_AllHomes,Zip_Zri_AllHomesPlusMultifamily,Zip_Zri_AllHomesPlusMultifamily_Summary,Zip_Zri_AllHomes_Summary,Zip_Zri_MultiFamilyResidenceRental,Zip_Zri_MultiFamilyResidenceRental_Summary,Zip_Zri_SingleFamilyResidenceRental,Zip_Zri_SingleFamilyResidenceRental_Summary
91746-CA,2010,9,24129,10.4746595114644,,10.5815651239118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226.0,,,,28.11,63.12,12.3456790123457,,12.5,,,251700.0,285800.0,290700.0,336900.0,288400.0,267300.0,0.173397717295874,208300.0,288400.0,0.111796453353894,288600.0,,329400.0,-0.00663449939686369,,,,,,,,,
91746-CA,2010,10,24130,8.78414949939411,,8.53799398355748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226.0,,,,27.46,63.35,7.2289156626506,,7.40740740740741,12.86,,248000.0,285500.0,290100.0,338500.0,287900.0,266500.0,0.174008810572687,210200.0,287900.0,0.111583011583012,287900.0,,329300.0,-0.00302755071147442,,,,,,,,,
91746-CA,2010,11,24131,15.670671142145,,15.6562550928815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226.0,,,,27.79,63.14,14.4736842105263,,13.6986301369863,13.1,,246500.0,285400.0,289800.0,339200.0,287300.0,265400.0,0.169678272366681,208400.0,287300.0,0.113565891472868,287400.0,,329100.0,-0.00121396054628225,1.422,1790.0,1790.0,,,1811.0,,1790.0,
91746-CA,2010,12,24132,13.930418128322,,13.2344119213886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225.0,,,,30.27,58.12,12.987012987013,,12.1621621621622,13.15,,249000.0,284900.0,288600.0,339900.0,286200.0,263800.0,0.13755929279862,207600.0,286200.0,0.0961317502872463,286500.0,,328700.0,-0.00993975903614458,1.418,1793.0,1793.0,,,1808.0,,1793.0,
91746-CA,2010,1,24121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210.0,,,,94.23,3.56,,,,,,245200.0,268100.0,270100.0,345500.0,269100.0,243400.0,-0.111678832116788,214200.0,269100.0,-0.08,269100.0,,335800.0,-0.0779791323448655,,,,,,,,,
91746-CA,2010,2,24122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217.0,,,,91.99,4.5,,,,,,250200.0,277100.0,278900.0,339000.0,277700.0,253800.0,-0.039727582292849,209900.0,277700.0,-0.0218386755899965,277700.0,,337700.0,-0.0609010011123471,,,,,,,,,
91746-CA,2010,3,24123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220.0,,,,86.75,7.46,,,,,,256200.0,280700.0,283800.0,342200.0,281400.0,258700.0,0.00857699805068226,208600.0,281400.0,0.011866235167206,281400.0,,338000.0,-0.0492264416315049,,,,,,,,,
91746-CA,2010,4,24124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222.0,,,,73.17,17.05,,,,,,259900.0,281900.0,286100.0,342100.0,283200.0,262600.0,0.0554662379421222,207000.0,283200.0,0.0354661791590494,283300.0,,337500.0,-0.0414654927577393,,,,,,,,,
91746-CA,2010,5,24125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223.0,,,,54.32,32.79,,,,,,260600.0,282500.0,288200.0,341300.0,284900.0,264800.0,0.0928600907965332,205700.0,284900.0,0.0575352635486266,285100.0,,336900.0,-0.0307825086306099,,,,,,,,,
91746-CA,2010,6,24126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225.0,,,,39.65,47.58,,,,,,259800.0,283800.0,290700.0,340600.0,287200.0,265400.0,0.117944397641112,206000.0,287200.0,0.0813253012048193,287300.0,,335900.0,-0.0175489909330214,,,,,,,,,
91746-CA,2010,7,24127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225.0,,,,30.99,59.01,,,,,,257700.0,284700.0,291400.0,337800.0,288300.0,265700.0,0.140343347639485,205300.0,288300.0,0.0982857142857143,288200.0,,333000.0,-0.010989010989011,,,,,,,,,
91746-CA,2010,8,24128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225.0,,,,28.85,62.75,,,,,,255100.0,285700.0,291300.0,335500.0,288700.0,266800.0,0.162020905923345,204900.0,288700.0,0.109104878985786,288800.0,,329800.0,-0.0105010501050105,,,,,,,,,
