Zip Code,MonthId,total
90043,24159,1
90043,24123,1
90019,24121,1
90037,24159,1
90037,24131,1
91302,24169,1
90012,24157,18
90012,24158,11
90012,24159,2
90012,24125,1
90042,24121,1
91352,24131,1
91342,24124,1
91343,24157,1
91343,24132,2
91343,24124,1
90007,24130,1
90007,24158,1
90044,24158,1
90044,24121,1
90044,24123,1
90003,24162,1
90003,24123,1
90003,24125,1
91605,24157,1
90002,24157,1
90014,24157,2
90014,24158,1
90014,24159,2
90015,24157,9
90015,24158,7
90015,24159,1
90017,24157,1
90017,24158,3
90017,24159,1
90013,24157,6
90013,24158,5
90013,24159,4
91204,24122,1
90064,24158,1
90031,24122,1
90031,24130,1
