"RegionID","RegionName","City","State","Metro","CountyName","SizeRank","1996-04","1996-05","1996-06","1996-07","1996-08","1996-09","1996-10","1996-11","1996-12","1997-01","1997-02","1997-03","1997-04","1997-05","1997-06","1997-07","1997-08","1997-09","1997-10","1997-11","1997-12","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09"
274772,"Northeast Dallas","Dallas","TX","Dallas-Fort Worth","Dallas",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,453800,450400,447900,445800,444700,448800,450000,447200,444500,443500,442000,441600,440300,438800,437500,436800,436900,437100,434700,433300,438800,448500,453200,454000,455500,458200,462200,466500,467600,467800,472600,475700,476800,481000,488200,490500,489500,490200,494400,497900,499300,500400,500700,501100,501500,502300,505400,511500,517800,524600,527600,527900,531000,538900,542700,542100,540800,540700,542000,550400,561200,569700,577400,585700,590700,595300,599600,608400,621400,633000,639300,645000,659600,671200,671400,669600,680500,688000,683300,671100,668400,672800,672800,668000,662400,657800,656800,659400
192689,"Paradise","Las Vegas","NV","Las Vegas","Clark",2,197800,196900,196700,196500,196300,196700,197100,198400,200200,200800,200100,199300,198600,198500,198400,197900,197600,197900,198900,199200,198400,198000,198600,199100,199400,199400,199600,200200,200600,200400,199500,198600,199100,200300,201100,202700,205100,206600,207100,207300,208100,210200,212900,215700,218100,219400,219500,219800,219900,219700,219300,219500,221300,223600,224400,224800,226300,227900,228000,227400,227700,228000,228400,230200,233200,235600,237500,238600,239400,240500,241200,241900,243400,245700,248400,250300,250800,250600,251300,253300,256400,259900,263100,265000,266600,268700,270700,273100,277100,282900,289400,295300,299900,306200,317300,331800,347700,365000,382700,398200,409000,416000,422300,429400,435800,439900,444900,452700,460300,464900,468200,471200,474400,478000,481600,487000,491800,494700,496400,497500,496400,494000,493000,492800,492100,489500,487100,485200,484100,483100,481000,477300,474300,473100,471100,467700,463700,460100,456500,451700,444100,435100,424200,411600,397700,384700,373500,363900,355000,346600,338300,327800,319600,315500,311700,304000,294900,285400,275600,266500,259900,255500,252400,249700,248000,247300,247300,247600,248300,247800,246400,244600,242600,240300,237900,236300,233800,230000,225900,223900,223100,222600,221100,219300,218100,217500,216200,214500,214100,214700,215900,217000,217200,218700,222700,228000,232100,234600,236700,240100,243300,244600,245100,247800,251900,255900,261700,269000,275800,282000,287500,291600,293500,294000,294600,296100,297800,299500,300100,299100,299200,301300,305300,308800,310700,311900,314300,315400,316100,318000,319800,320300,319900,319300,318800,320100,322400,325100,326900,328600,331000,332900,335300,338500,340600,340600,340800,341300,342200,343200,344700,347000,350500,354200,355900,355800,356900,358500
27080,"Sherman Oaks","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",3,489200,490100,488800,485500,484400,488200,490900,491100,494300,501400,505700,507300,510900,516100,521500,523300,519200,515000,516000,521600,529500,539600,549900,557500,561200,569400,580200,586400,590700,597800,606300,620100,637800,648900,653400,655600,656500,657100,665100,679400,691100,694700,699100,703600,708000,717500,728100,735200,739600,738700,732800,729500,728300,729400,734300,741100,746600,754200,767600,779500,783300,787300,796900,806700,813500,819500,825800,831700,832300,826900,821400,819900,827000,842500,858200,871900,888400,909500,928100,941400,949700,953600,961500,984100,1013400,1022600,1011700,1002000,1003700,1011200,1022700,1038400,1063500,1089100,1104400,1117100,1133200,1149100,1170000,1192300,1210800,1224900,1235800,1243400,1252700,1266000,1276000,1282200,1299700,1335400,1373200,1408500,1435200,1448300,1449000,1453800,1456800,1462900,1481100,1495700,1487700,1481200,1495500,1520800,1544700,1557300,1559200,1556300,1552400,1551500,1556600,1567900,1575000,1568500,1547400,1534100,1528300,1523900,1519800,1517500,1509600,1493000,1474900,1461300,1446000,1424800,1405200,1386000,1368200,1358700,1358800,1354300,1342800,1336800,1335400,1329800,1331500,1333000,1324400,1309400,1303500,1300700,1301700,1300900,1311400,1326000,1328400,1313800,1296300,1292600,1302000,1301000,1285800,1283300,1296900,1313200,1319600,1317000,1311400,1301700,1294100,1287400,1283300,1286700,1296300,1300000,1287400,1266400,1255300,1255500,1254600,1255200,1271100,1296600,1316800,1326900,1335200,1340600,1347300,1359800,1365600,1370100,1392700,1432500,1454000,1481700,1512900,1538800,1556000,1568700,1566200,1572800,1592700,1604700,1612300,1628000,1640500,1641000,1643400,1648600,1647100,1651300,1656400,1665200,1681200,1709600,1727600,1734900,1745200,1748300,1740100,1740300,1754100,1763800,1772900,1779700,1786400,1793800,1807900,1820400,1830200,1832700,1838800,1844200,1844500,1844700,1873500,1905600,1910500,1894400,1877600,1870100,1865200,1850200,1835700,1838300,1849100,1859300
118208,"South Los Angeles","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",4,144000,142800,142600,142600,140800,137500,136000,137000,138900,139900,140500,141400,142300,142600,142700,142400,142500,143700,145000,145700,146200,146900,147400,147700,147700,148200,149600,151500,153300,155000,156600,157200,156900,156300,156500,157400,158200,158400,158200,157700,158000,159600,160900,162200,163400,164300,165900,168200,170800,172900,173900,174100,174400,174200,173900,174800,177000,179400,180900,182300,184000,186300,188100,189600,190400,190800,190800,190600,191100,192600,194400,196400,199400,202700,205700,208700,212200,217500,223300,227900,230700,233100,235500,238100,240100,241500,244100,249000,254700,259100,262800,267100,273000,280100,287400,294200,301700,309500,317800,325800,333100,340500,349400,358400,367100,376800,387100,397300,407100,416900,424900,431900,441100,450300,458300,465600,470000,471300,474700,479800,486400,496900,511200,524900,534200,540000,544000,548200,552600,556200,558000,559200,559100,557100,551900,547000,543700,541700,536500,528700,519100,510600,502600,492900,478700,465800,454800,444000,432100,419200,407500,402000,392400,377600,367300,362600,354200,343300,332000,322000,314300,309600,307700,304200,309300,319100,320300,314900,315700,315100,313900,313100,312200,312200,312900,311300,308500,306200,303600,300300,297700,296700,296300,295900,295500,294500,293900,293800,292500,290900,291200,293100,296200,300800,305000,308500,311800,313900,314900,317300,320500,324500,330600,338000,343900,348700,353800,359000,363200,366900,370100,372800,374400,376200,380200,386400,391500,394900,397000,399700,404700,410700,415100,417600,416100,413600,412400,411300,409700,411700,413900,415900,419500,423000,425100,429600,435200,440200,445500,450300,455200,460200,471700,483600,489200,490400,494900,499000,503400,508300,514600,523100,531300,538600,542200,544300,547000,550400
192820,"Sunrise Manor","Las Vegas","NV","Las Vegas","Clark",5,172300,172200,172800,172200,171700,172800,174100,174800,175700,176700,177200,177100,177000,177200,177200,177300,177500,177800,178000,177600,177100,177000,177400,178200,179000,179500,180700,182600,183900,183800,182700,182200,183700,186100,187400,187600,188100,189400,190200,190900,191900,193100,194700,196700,197500,196900,196300,196000,195500,194000,192300,191700,192100,193500,195600,197700,198700,199700,200700,201100,201100,201600,202200,203800,206300,207900,208700,210100,210800,210400,209900,209900,210000,210800,212400,213600,214900,216200,216200,216000,217500,220400,223300,226200,229700,233300,236400,239400,242100,245300,250000,256400,263000,270400,279000,290700,304400,318300,333000,346100,354000,359200,365000,369900,375800,381100,385400,388600,392100,396500,403000,411100,418100,422600,428200,434000,435600,435800,438000,439500,439100,439000,437600,436000,436900,438900,440300,440900,439800,438000,437900,438700,437600,433500,428700,423900,418400,412500,406900,399600,389800,379500,371300,363300,354300,346600,340400,333400,323600,314300,306300,296000,282300,271100,263800,257800,251700,242200,227700,214000,206700,204300,201500,199200,203600,210800,210900,204400,198400,195700,195100,193600,192100,190400,187900,187500,188500,186400,182700,180600,180200,178800,176800,175700,175300,174100,171600,167800,164800,164500,165500,166500,168000,170100,172100,174700,176600,176400,177200,180600,183100,183600,184800,187900,191100,194100,199900,206800,212500,217500,223400,229000,231400,230800,232400,237100,240000,241800,243100,243600,243300,245700,247400,247700,245800,244800,247300,252200,255300,257900,261800,264900,265200,264900,268600,273800,276700,278800,279800,279000,279300,281300,285600,290000,292700,293900,294700,293200,292500,294000,295200,294700,295700,298000,299500,301400,305900,310400
192796,"Spring Valley","Las Vegas","NV","Las Vegas","Clark",6,237900,234800,232400,231100,230300,229500,228400,227600,229300,232500,234000,234400,235300,235800,235700,234900,234400,234300,234000,233700,234000,234100,233900,234100,235100,236200,238000,241500,244400,245700,246300,246700,246400,245500,244800,245200,245400,245800,246500,246800,246800,247600,249000,250200,250900,251000,251400,251900,252700,254200,255500,256000,256600,258000,259800,261500,263200,265500,267500,268600,269100,269000,268700,268600,268700,269700,272200,274900,276100,276800,277600,278200,278400,279100,280000,281000,282200,284000,285900,288000,290500,292400,294200,296700,299700,302700,305400,308500,313300,319300,325500,333100,342000,351200,362100,378100,398500,418700,438300,456700,471300,480300,487400,494600,502800,511000,517300,519500,519800,521700,525300,529700,533800,537600,541000,543700,545100,546400,549800,553600,555400,555500,555600,555500,556600,559300,560100,558200,553800,549400,546500,544500,541000,538800,537300,535500,529600,519900,511000,504000,493400,479800,467000,455400,444100,431300,419200,409500,402300,395200,387300,376200,365900,359600,354300,346500,337900,329100,318600,307500,297800,291600,288700,286800,289500,295800,297100,291500,287000,285100,284100,282800,280800,278400,276600,276200,274500,270200,264900,262500,260500,257600,253900,251200,249800,248900,247000,245300,244200,242900,244400,249300,253300,255300,258100,262500,267400,271500,274800,277900,281600,285000,287400,290300,295900,303400,310600,317500,325600,331900,334700,337500,341500,343600,345400,347900,349200,351100,353900,354900,354400,355600,357700,359500,359600,360000,363300,366200,367900,370200,372900,373900,373800,374400,376600,377600,375400,373800,373700,376400,379300,381900,384200,386600,387200,387500,389400,392400,393900,394000,394600,395900,397400,399400,401700,403300,404700,406100
268496,"Southeast Los Angeles","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",7,125600,123700,122500,121500,119800,117700,116000,115900,117100,118300,119500,121000,123200,124900,125900,127000,128800,130500,131600,132700,134200,135200,135100,134900,135600,136300,137000,137100,137400,138000,138800,138400,137400,136100,135000,134400,134400,134400,134300,134700,135600,136500,136500,136500,136800,137300,138600,140600,141400,140900,141200,142100,142500,142700,143600,144800,145600,146900,148000,148500,149100,150700,152000,153000,153600,154300,154700,155000,155700,157200,158000,158600,160200,161700,162200,162800,163800,165100,167600,170900,173800,176400,180100,183800,186800,189400,192100,194700,197000,199300,202500,207500,213400,218800,223900,228900,234300,240800,248200,253200,258400,266100,274300,279500,283900,290000,297800,305600,313200,321700,332700,345300,356500,365600,374400,382300,389300,394400,398200,403100,409200,416100,424800,436700,448200,455900,460100,463800,468300,473600,477600,480500,482400,481600,479100,478000,477300,476000,473200,469900,466000,460900,454200,448600,441300,431200,418600,406100,394300,383500,372400,362000,343900,321100,304600,294400,283100,271900,261500,252900,246400,240600,236200,233500,238000,246200,250000,247900,249200,250800,251700,251000,250000,248600,247900,247200,246500,246300,246000,245100,243600,244100,244600,244200,244000,244200,243600,242900,242600,242800,244200,245800,249400,253800,257200,258600,260600,264100,267900,272000,275100,277800,280800,284000,284300,284500,288000,294100,299500,303800,307300,309300,311000,312900,315800,320700,324200,327000,330400,334800,338600,342700,344500,344700,345300,346100,347600,348800,351500,354300,355400,355700,358200,360600,362800,365300,367300,370200,374200,378600,382600,385100,389900,395500,397900,398200,401700,405900,409800,412900,415800,420600,427700,434700,437300,437400,436800,436500
112547,"Paradise Valley","Phoenix","AZ","Phoenix","Maricopa",8,226900,225100,223100,222000,222100,223100,223800,224600,226000,227400,228600,229600,230800,231100,231100,231800,232500,232500,232900,234200,236000,238400,240300,241800,243400,245700,247900,249600,250600,251100,251100,251300,251600,252200,253500,255500,257800,260800,262700,263500,265400,268500,271400,274500,278300,281800,284000,286200,288400,290700,292600,294000,295000,296800,298900,300400,301100,302200,303700,305800,308000,309900,311400,312800,314700,316400,317300,317200,315900,314800,316400,319100,320700,321400,322200,324400,326900,329300,331300,333800,336800,339400,340600,341600,343200,345000,348400,352600,355700,357800,361200,364700,368100,372000,376100,379600,384700,391600,400600,408800,415600,423300,433200,446100,462600,480500,498100,516100,535400,554300,572200,590300,608000,623400,637300,648000,653400,657000,658400,655900,652100,650800,648500,646900,650200,653500,653900,655400,659100,661100,661500,659600,655600,650600,646200,641700,635700,626300,617100,610300,602400,591500,582700,576600,569700,562500,555500,548900,543500,539800,533400,520700,512100,511700,510000,502000,494300,486900,479100,471400,463400,457500,452700,448900,438800,425200,416100,416400,415600,412000,406600,400700,392600,385000,379800,378400,377300,376400,376300,375500,373700,373000,373400,374200,376800,377500,376300,375200,378300,382800,386400,389300,396200,406000,414900,420600,425200,431800,440800,447200,450400,454000,457500,460400,464100,468100,472400,475800,479000,484400,491400,497700,504200,507300,507600,507800,507800,504000,501200,503400,507100,507600,507200,507600,509900,513800,517000,517700,517000,516600,517200,518300,519800,522200,524000,525800,528800,532200,534800,537400,538500,537200,536900,538700,540300,541400,543300,546800,549700,550100,548900,548500,550600,554300,556900,558200,560800,563700
111818,"Deer Valley","Phoenix","AZ","Phoenix","Maricopa",9,198300,197300,196300,195700,196300,197700,198400,199400,200500,200700,200400,199100,197700,198300,200300,201800,203300,204900,206900,208900,210600,212900,215000,216000,215900,217100,219200,221200,220900,220300,219800,218600,218000,219000,222400,226700,230100,231500,232400,233000,234700,236400,237100,237300,238800,240900,241400,241400,243300,246400,249000,252500,255600,257300,258400,258800,258700,260400,262300,263000,263400,264800,266600,268700,271500,273800,274900,275700,277700,279600,281500,284300,287900,289300,287600,285300,285700,288400,290800,294500,298800,300800,300400,300800,301800,303300,306800,311300,314200,316000,319100,323300,327700,332400,337700,341800,345600,349600,352500,353700,354700,358400,364600,370900,377500,387600,400300,414600,428200,440300,455200,473700,489400,499700,510000,521000,526300,523700,520300,519400,521000,526600,532400,534800,536400,538300,538700,538800,539900,541100,541100,537400,531000,525400,521100,516600,513400,510800,506900,500200,492800,485300,475400,463700,456300,452000,444000,433500,423500,413900,404900,395900,388900,385900,384000,379100,371500,362100,353800,348300,344500,340100,334900,330300,325600,320800,318800,319700,319100,315900,312200,307400,302800,300400,299900,298900,297800,296900,295800,294700,293000,290400,288000,287100,287000,288400,290600,294000,297600,300700,303300,306700,311500,316700,323100,330600,337600,341600,344200,345700,345400,345200,346100,348500,352900,359800,367200,373500,378400,381900,383600,385100,387400,388900,390700,393000,392200,390800,391500,391900,390500,389500,389200,390700,393500,396800,397800,398500,401400,404000,403800,404200,405300,406400,407600,409700,411700,413300,416400,419200,419200,418300,417300,415900,416400,418400,420500,422700,425500,426700,425400,423300,424000,426400,428600,429500,430600,431600
41466,"Van Nuys","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,462200,460000,456300,454000,452000,446400,440100,439900,443800,444000,438100,434900,435000,430800,426500,426600,423800,417400,414400,413900,412800,412900,416300,418200,420500,424900,429300,436900,445300,448100,448400,455600,467000,480600,491200,500100,509700,520400,526400,529900,533600,536200,540100,545600,550200,553100,557400,562700,567100,571400,578000,583500,586100,594500,606200,610800,606700,603700,604600,604900,602100,601300,603800,605300,604200,605200,607700,609400,611100,612700,615800,620500,625200,630000,637700,645500,649400,650000,652200,657500,660900,664200,669900,676400,683000,689100
