"Date","RegionID","RegionName","State","Metro","County","City","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2017-09-30,274772,"Northeast Dallas","TX","Dallas-Fort Worth","Dallas","Dallas",0,290100,-0.00275008594018563,-0.0095595766473199,0.0503258508327299,0.113725476157428,0.0489424383368156,"2017-06","2017-Q2",292900,-0.0095595766473199,"2017-06"
2017-09-30,192689,"Paradise","NV","Las Vegas","Clark","Las Vegas",1,215500,0.0098406747891284,0.0315940641455242,0.123566214807091,0.136016685144313,-0.0200941852756351,"2006-07","2006-Q3",290500,-0.258175559380379,"2004-07"
2017-09-30,112345,"Maryvale","AZ","Phoenix","Maricopa","Phoenix",2,156100,0.00644745325596389,0.0236065573770492,0.092372288313506,0.183604822534217,-0.016682879390811,"2007-01","2007-Q1",192900,-0.190772420943494,"2005-10"
2017-09-30,27080,"Sherman Oaks","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Los Angeles",3,910200,0.00775022143489814,0.0214341824711031,0.0747431810131066,0.0824104282840232,0.0172253235845536,"2017-09","2017-Q3",910200,0,"2017-09"
2017-09-30,118208,"South Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Los Angeles",4,437500,0.00505398575694923,0.0181521992087503,0.129907024793388,0.119323809950802,-0.00214588317518094,"2007-05","2007-Q2",455400,-0.0393061045234958,"2006-08"
2017-09-30,192820,"Sunrise Manor","NV","Las Vegas","Clark","Las Vegas",5,176500,0.0097254004576659,0.0255665310865776,0.119213696892835,0.162875775182926,-0.0294117559161138,"2006-10","2006-Q4",258700,-0.317742558948589,"2004-07"
2017-09-30,194430,"East New York","NY","New York","Kings","New York",6,399200,-0.00224943764058985,-0.000250438266967193,0.106123579939041,0.0681480894530233,0.00504714189602651,"2017-07","2017-Q3",400800,-0.00399201596806387,"2017-06"
2017-09-30,192796,"Spring Valley","NV","Las Vegas","Clark","Las Vegas",7,235700,0.0107204116638079,0.0346795434591747,0.109176470588235,0.131291422354062,-0.0154816890769363,"2006-05","2006-Q2",303700,-0.223905169575239,"2004-07"
2017-09-30,268496,"Southeast Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Los Angeles",8,363300,0.00776699029126214,0.0187885586090858,0.115786240786241,0.118642535888036,-0.00967639033922219,"2007-04","2007-Q2",407700,-0.108903605592347,"2006-05"
2017-09-30,112547,"Paradise Valley","AZ","Phoenix","Maricopa","Phoenix",9,311000,0.00484652665589661,0.0123697916666667,0.0607094133697135,0.080778662273506,-0.00263035329666528,"2006-05","2006-Q2",342700,-0.0925007295010213,"2005-08"
