"RegionName","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09"
"New York","NY","New York","Queens",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1096.65427509294,1119.31818181818,1125,1111.87845303867,1136.1646234676,1150.35077261681,1140.24782556893,1153.96578538103,1284.19452887538,1283.23597984407,1222.02797202797,1284.8751835536,1218.24673879787,1217.59214804044,1222.22222222222,1203.96600566572,1210.15348288076,1210.35058430718,1222.22222222222,1240.3949539598,1256.29722921914,1287.09677419355,1294.77589356457,1285.61763000193,1288.88888888889,1292.5341551396,1282.07827260459,1279.73039126809,1285.3007775784
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,348.130841121495,342.748091603053,340.985888177784,352.758751902588,344.397971635073,351.127320954907,357.520564042303,364.773820981713,356.062760712931,355.103446589279,353.195072777341,355.555555555556,352.843137254902,341.412410010285,338.292973540633,366.182314716456,374.432677760968,390.084190832554,392.797319932998,395.41547277937,388.804484911871,390.973413379074,393.804112554113,395.738636363636,391.316355810617,396.712106653855,408.431305536569,412.781954887218,416.375291375291,424.305685049648,427.363054561232,428.844317096466,428.978721144314,425.067427660488,427.350427350427,424.755120213713,422.916666666667,423.492300249939,442.754393645631,446.970591178187,453.497309761722,456.755493221131,455.978260869565,445.201887781856,447.65702891326,446.038677479725,452.292441140025
"Houston","TX","Houston","Harris",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167.395348837209,155.507156191661,167.972774291351,170.592268990438,173.692957230779,175,174.337327523602,175.324675324675,175.324675324675,182.154757497223,179.923483419771,182.659409020218,188.148431952234,184.32581694986,183.457926203199,184.386973180077,187.358916478555,182.247528248588,186.151293447565,184.8322884037,186.149065925583,187.823834196891,191.579943235572,188.737563384238,182.214981021836,182.386709245742,176.079734219269,173.290209503343,173.677884615385
"Philadelphia","PA","Philadelphia","Philadelphia",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,297.46835443038,295.275590551181,287.858143782999,296.587537091988,296.532846715328,305.128205128205,303.607231454107,308.492477587106,301.979166666667,309.324618736383,316.160429576344,307.87610619469,299.221357063404,308.243493020807,306.750297846513,306.38852672751,308.597883597884,306.28507295174,308.041504539559,310.283687943262,310.028613935874,311.117907229052,312.1875,312.222222222222,313.472706155633,317.025999091735,311.89518739735,312.884269213039,318.019480519481,318.951536531086,318.546597219783,321.614687649022,318.478236342713,318.542465418631,322.014316578365,319.85559566787,324.375237666274,326.660750507099,327.727529677784,331.244389587074,341.463414634146,348.415463608175,345.875977835724,346.851654215582,355.766871165644,350.543007598614,350.864121001736
"Phoenix","AZ","Phoenix","Maricopa",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.825613079019,109.128281286543,113.680154142582,113.338192419825,113.010047609312,110.514869791164,110.931867857366,111.764705882353,112.039654015997,114.351145038168,116.320429192664,118.854625550661,121.268656716418,119.825853985265,125.095685455811,126.416739319965,124.019607843137,126.090619125705,129.854903682624,128.805648866752,121.246755869352,126.914438502674,131.369426751592,135.547839506173,137.5,135.350318471338,140.117562989397,142.154505285257,143.926321030708,145.107794361526,145.24036628872,144.199346405229,139.281317961525,141.144414168937,146.959962485981,149.425053110024,152.844411341689,153.436426116838,157.317790479492,160.25641025641,156.901256973852,161.44216954023,163.565022421525,163.087934560327,162.114690118425,162.926459438969,161.447084233261
"Las Vegas","NV","Las Vegas","Clark",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.8537735849057,87.0577281191806,86.2121212121212,86.878453038674,88.9077053344623,90.6071428571429,91.5564598168871,92.7908113391984,90.6788247213779,93.0368441023374,94.1357443925937,93.7489583333333,93.5392516352647,94.9667616334283,95.3038674033149,98.7383731006991,99.3774664482338,99.4318181818182,98.4027252081756,99.6674057649667,100.987841945289,102.138228751791,103.166986564299,105.170391245064,108.889618547282,107.807974399701,110.553191489362,111.120401337793,110.672691174063,110.695187165775,110.37527593819,110.066476733143,110.279472503512,112.555609192791,115.722494708204,116.435173280239,117.608409986859,116.986328179607,119.169903769754,122.525918944392,124.754583334922,129.275723163499,130.327868852459,133,137.919146237498,140.180360721443,144.117647058824
"San Diego","CA","San Diego","San Diego",7,305.775198187995,311.232449297972,306.406685236769,304.703409134571,308.439201451906,300.05359056806,297.5003319353,297.333333333333,291.666666666667,284.952831867191,279.9,275.152905198777,269.559500328731,267.921146953405,265.333333333333,262.742857142857,260.91151359621,259.031388997907,253.357753357753,247.232163616435,242.953550533345,237.797044350318,237.412193447298,233.670255993499,232.638888888889,232.974910394265,231.490477338476,230.763441275233,241.791556795455,240.31007751938,237.746891002195,242.442765337885,242.516447368421,248.387096774194,266.921936758893,269.655620532814,280.693340641272,293.984108967083,302.558514544816,312.1091529278,327.03488372093,331.953125,338.223308883456,337.238058645589,342.125382262997,340.443686006826,340.8203125,350.177304964539,349.257641921397,349.605603627968,352.230483271375,354.523227383863,352.564102564103,361.524163568773,363.901018922853,363.397492691219,361.524163568773,354.235800726039,356.916655186665,351.2,357.197258187357,361.830742659758,368.632707774799,373.010431699418,381.640527918899,370.624678947091,387.568555758684,385.227272727273,382.084095063985,379.701916252661,383.522727272727,393.020867925537,396.282523809263,402.730375426621,401.254180602007,402.464065708419,405.37371457236,410.714285714286,410.756203890007,411.423039690223,411.819852941176,408.572683832429,404.419475655431,405.295117489069,415.320566194838,429.326287978864,432.671396570597,444.890532602891,447.5,449.450040700041,452.894438138479,452.974110591573,463.903469585288
"Dallas","TX","Dallas-Fort Worth","Dallas",8,146.755822290062,144.545921884657,141.935483870968,140.325777106833,139.677419354839,140.178680353439,139.389145918165,133.671193927727,131.412264635949,130.4125,126.838235294118,125.311384857433,125.141283069046,125,123.96694214876,123.888339920949,123.906916327631,123.714285714286,123.900789177001,121.212121212121,117.632094333797,120.659722222222,118.940559440559,117.646078431373,118.628036208125,123.637264618434,124.451197684795,125.05364806867,128.614157527418,126.190693561322,123.163565132223,121.623290084975,122.262773722628,125.884146341463,131.378817910535,130.305286671631,134.776192818495,133.812592959841,135.19313304721,136.328671328671,137.795275590551,139.336492890995,139.490303370035,142.326075411577,150.731339913362,151.498141201758,152.666415885644,149.824686716792,146.774249342743,148.818897637795,147.56460375591,150.803172793768,157.142857142857,144.34716420428,141.071428571429,153.695408734602,141.224397781635,142.715559960357,151.477404379169,150.668851878101,154.255319148936,162.321042013095,162.758705087278,171.206225680934,172.352706856415,171.309192200557,171.443736730361,168.315395904675,172.385057471264,174.972129319955,175.92768791627,189.799527793815,194.640210169671,190.1832685713,197.938223938224,202.984004412576,207.86555643012,207.939508506616,206.919541981184,211.431143114311,219.78021978022,221.074380165289,220,220.00050020008,223.809523809524,223.532699832309,222.24397280033,226.045883940621,222.929936305732,224.528216065418,224.208375893769,218.570683359416,217.529518619437
"San Jose","CA","San Jose","Santa Clara",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356.878650227125,357.125270562771,355.406783229468,362,370.946424822944,376.667383983521,386.223862238622,386.915240423798,392.709284190979,390.275952693824,394.736842105263,396.795332443623,394.927536231884,387.881231821179,387.706541760673,384.2159188956,388.482632541133,405.700657894737,411.241276171486,416.088090430739,420.81838316722,433.330294018629,436.117298036266,438.687498764309,437.912417516497,438.185808339429,436.816636301394,450.721153846154,454.20528750435,470.101781170483,469.982847341338,476.268694074213,487.218045112782,477.305368074086,478.36336933574,475.043237634037,473.498233215548,473.684210526316,468.628778113801,471.445112781955,483.189582856707,485.714285714286,490.485893980234,501.117318435754,500,501.012145748988,502.287282708143,510.204081632653
"Jacksonville","FL","Jacksonville","Duval",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.089552238806,82.5699745547074,82.7067669172932,82.0178644884527,81.9180819180819,82.2391154111956,84.6643557838063,84.9150141643059,84.3394822482788,83.743842364532,86.4628820960699,88.0806375935146,85.341726618705,84.7583643122677,82.6679104477612,83.4517045454545,86.2860271561603,85.9519408502773,84.8048217317487,86.8098159509202,87.723398736648,90.6367246932364,87.9204892966361,88.9378238341969,89.2215568862275,91.6496945010183,91.1813436656961,93.2203389830509,95.9510435779057,95.9379615952733,96.2767878235632,97.65625,98.0292445633432,98.752117708818,101.080737444374,99.6282527881041,98.993288590604,100.160384923817,98.9956958393113,99.1723246408582,99.3119266055046,101.372426699938,103.638914721234,102.998602841037,102.602230483271,101.891191709845,102.225562240592
