"RegionName","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09"
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,499900,499000,492450,497500,499000,520000,529000,539900,549000,540000,540000,540000,529000,496325,498729,529000,548250,559000,574250,599000,589000,595000,599000,599999,604450,606500,617450,635000,639925,650000,658000,679000,675000,672000,674500,670000,673000,659995,679000,681750,695000,699000,699000,699000,699000,696350,695000
"Chicago","IL","Chicago","Cook",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179900,174950,174900,167700,183250,199000,219500,219900,228950,239000,225000,209900,199900,195250,184900,179900,189000,204900,224900,229900,235000,235000,224900,222500,219900,209900,199999,199900,215000,229900,239900,244900,246000,245000,239000,245000,239900,234700,225000,220410,239500,259000,264900,267401,269900,269900,264900,265000
"Houston","TX","Houston","Harris",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350000,350000,355000,352800,349900,352990,350000,349900,355000,349000,349500,343000,338000,334900,329900,328500,329900,329900,333900,334999.5,336750,329999,329000,339000
"Philadelphia","PA","Philadelphia","Philadelphia",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104900,101450,99900,99999,107000,112500,114000,114900,110000,109900,109900,109900,1e+05,94900,99000,102995,109000,115000,119000,118900,114899.5,110000,110000,109990,109900,104900,99900,99900,104987.5,109900,114900,115000,114900,110000,114900,115000,110000,109900,110000,114500,120000,125931,132900,130000,132500,129900,134900
"Phoenix","AZ","Phoenix","Maricopa",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,274900,262413,293990,291745,299990,300990,281745,275000,296500,301990,274933,281515.5,267490,259000,280490,294900,303990,3e+05,296990,307445,327152.5,324949.5
"Las Vegas","NV","Las Vegas","Clark",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165000,164900,165000,161000,164799,165000,167900,169900,173750,175000,179900,182500,180000,179000,180000,180000,184900,188794,189900,194999,192600,195000,195000,199000,199900,199900,199894,199900,199900,2e+05,204999.5,209900,212000,212995,215000,216000,219900,219900,219005.5,220000,224999.5,229000,234000,235000,239945,245000,245000,249900
"San Antonio","TX","San Antonio","Bexar",7,124900,125930,127000,128500,127412,129484,128000,129000,134994.5,134000,129900,129900,129900,129900,128000,128000,130000,133548.5,129900,126945,123934,123000,121000,115900,118000,118000,119900,118500,119500,122996,123995,122900,119900,122900,135000,136445,138490,140000,142000,144750,145900,149500,149925,150000,154500,154995,154128,155000,155000,156700,160000,162000,162813,162900,162000,164560,160995,159999,159000,159900,164500,169497.5,175990,182997.5,183995,185695,189990,190000,190990,189990,189900,191990,189990,180990,184991,184900,183995,185000,186363,184650,181569,184995,185245,181375,183245,185000,188500,194500,197000,199992.5,2e+05,198990,198000
"San Diego","CA","San Diego","San Diego",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,486450,489450,499000,509450,510000,529000,529900,545000,545000,539000,529950,529000,530450,509900,525000,545000,579000,590000,599000,569000,589900,588500,585000,580000,590450,599000,599999.5,599000,599000,599000,619900,622900,620000,619950,615000,619000,619000,622000,629800,626500,640000,664950,669000,660000,670250,669900,659450
"Dallas","TX","Dallas-Fort Worth","Dallas",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197000,194500,184500,180000,199999,225000,235000,220000,225000,239000,217250,220000,199900,189997.5,199900,219900,237496,244500,260000,259500,250000,259987,275000,275000,269000,260000,269900,285000,310000,315000,325000,329900,339000,330000,330000,330000,338000,319700,330000,341950,350000,370000,375000,370000,369000,359000,369900
"San Jose","CA","San Jose","Santa Clara",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,599000,599900,599000,620000,635000,639000,649900,649900,649000,649000,639000,629947.5,599000,575000,599000,638975,669000,688888,695000,699000,699888,699000,699000,699000,699000,688000,699000,699950,750000,775000,789000,775000,767000,766981,769000,763985.5,749500,729995,746990,759499,796990,799900,799844,799000,789888,785000,799988
