"RegionName","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09"
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,995000,1011941.5,1100000,1150000,1190000,1250000,1248000,1200000,1230000,1200000,1200000,1209000,1275000,1250000,1295000,1299000,1320000,1395000,1395000,1350000,1354500,1385000,1350000,1339000,1372500,1392500,1389000,1400000,1449000,1425000,1399450,1379000,1392250
"Chicago","IL","Chicago","Cook",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175000,169900,159950,179000,180000,190000,214900,231000,229000,220000,225000,225000,216450.5,199000,189900,190000,209900,215000,229950,239900,242050,249000,249000,249900,245000,225000,220000,225000,249900,264900,270000,274900,269000,259450,249000,239900,239900,229900,225000,235000,259000,263300,275000,280000,279978,269900,275000
"Houston","TX","Houston","Harris",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,920000,995450,947250,812450,837250,789000,798750,780565.5,744000,699000,699000,719900,799900,804000,799000,749700,749000,725000,739900
"Philadelphia","PA","Philadelphia","Philadelphia",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,267000,279900,279000,260000,249000,257000,249000,250000,260000,249950,249900,265000,275000,299900,282500,271950,277000,259000,259000,265000,250000,265250,270000,279400,299000,299900,272500,255000,250000,279000,3e+05,299900,299000,299000,287000,322450,339900,375000,369999,325000,302450,325000
"Las Vegas","NV","Las Vegas","Clark",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,289000,291250,299000,299000,299900,308444,320000,324995,336670,341750,339900,320000,320000,339431,348000,348000,349900,349900,349994.5,349999,350000,350000,350000,349900,360000,365000,369300,375000,375000,383400,383990,385000,375444,375888,379000,379900,379900,384997,381000,394900,399900,399894,399999.5,399888,399900,399949.5,414139,414899,413096.5,412756,425000,436250,435000,449894,453800,459999
"San Antonio","TX","San Antonio","Bexar",6,3e+05,314450,307450,299900,299700,319500,318000,309450,319950,319000,309900,305900,297473,295000,289945,295012,299000,295024,307500,299900,299495,289450,279000,274900,278000,269000,273450,279900,279990,289900,287750,279900,294900,295500,315495,304975,312990,325000,339000,347750,347945,349990,349999,341725,349000,344250,348900,350000,350000,359000,348948.5,357995,356990,358750,359900,369000,367777,364999,360397,364494.5,360495,361990,359990,365000,355000,355000,359992.5,349945,343900,339975,345990,334400,349900,355000,363000,365000,369900,369700,374945,373895,374900,369900,369450,364900,360209,359900,361659,369777,379000,373999,379995,373626,379000
"San Diego","CA","San Diego","San Diego",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1190000,1249000,1199000,1212500,1199500,1299000,1257888,1250740,1200000,1299000,1295000,1293525,1290000,1176500,1269995,1324000,1395000,1395000,1495000,1350000,1398000,1379000,1350000,1445000,1437450,1495000,1399999,1464900,1464950,1395950,1369000,1399000,1375000,1345000,1349000,1325000,1350000,1449000,1407500,1399000,1449950,1495000,1459000,1548087.5,1550000,1579000,1623450
"Dallas","TX","Dallas-Fort Worth","Dallas",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1297000,1255000,1250000,1250000,1259900,1262450,1350000,1359000,1419450,1399000,1399900,1375000,1375000
"San Jose","CA","San Jose","Santa Clara",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,988888,922500,9e+05,968888,1096500,1066500,1078500,1149000,1150000,1098500,1024475,1024499.5,983630,1049999,999999,1099500,1099000,1198800,1162700,1145350,1184000,1198898,1198898,1150000,1104500,1099444,1131500,1189888,1249000,1293500,1318000,1344499.5,1450000,1449000,1367000,1299888,1299000,1280000,1199000,1293400,1360000,1350000,1425000,1350000,1297000,1360000,1349950
"Jacksonville","FL","Jacksonville","Duval",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329990,301487.5,289990,297990,293990,293990,282000,289900,294950,299900,310445,299000,285275,281445,279500,289900,281150,299900,305990,319950,325000,335495,329900,334900,337995,345500,334990,350000,350000,346495,347990,399990,417735,417735,399000,404990,399900,389675,375000,367990,365000,364945,375450,399000,411000,404500,425000,429000,435000,429998,435000
"Indianapolis","IN","Indianapolis","Marion",11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,289449.5,286000,291950,3e+05,268900,309900,334900,329900,306250,315000,280000,3e+05,319900,345945,299950,314900,277000,309900,285945,269990,265000,234950,240000,244500,257925,257900,264900,264900,264900,283900,287000,295000,297000,3e+05,339247.5,322497.5,361000,349000,329000,319995,3e+05,329900
"Austin","TX","Austin","Travis",12,,,,,,,,,,,,,,,,,,,,,,577495,554995,517300,539900,575000,579900,556000,582900,594450,547000,539700,489000,479900,545000,523995,554900,577450,626250,645900,626250,610000,549000,535000,526127.5,550000,543000,550000,499900,549355,599000,609988,604990,604990,594495,565000,596953.5,574945,578245,599000,616420,605000,615365,595900,595507.5,619990,609000,6e+05,572450,530000,544490,488505,518778,506990,555108,589507,649900,663500,649500,624900,679950,675000,694450,699000,679925,728687,728687,777500,699000,663805,705495,704500,710990
