"RegionName","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09"
"New York","NY","New York","Queens",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,789000,780000,775000,779000,825000,850000,849000,850000,988000,980000,899000,989000,915000,925000,925000,899000,899999,915000,935500,950000,965000,999000,1015000,1008000,1050000,1050000,1e+06,995000,999000
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,427831,419000,415000,429925,429000,439000,449000,448000,439900,439900,439925,449000,439000,429000,428999,450000,479900,486950,495000,495000,489000,485000,498400,499000,499000,499400,506500,515000,510000,520000,515000,529000,525000,525000,529000,529000,535000,529000,549000,559000,560000,575000,579000,569450,569997.5,569900,579000
"Chicago","IL","Chicago","Cook",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,269000,259900,269000,279900,289949.5,299000,299000,296700,297450,289974.5,292900,289999.5,279900,274000,274900,284900,290000,289900,289000,289000,280000,279800,279500,278500,275000,275000,279900,295000,299900,3e+05,3e+05,3e+05,305000,3e+05,319900,324900,325000,324000,335000,349000,349000,349900,349000,349900,349000,339900,349000
"Houston","TX","Houston","Harris",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159000,168900,173500,185000,184450,179950,185000,195000,197000,179900,168500,188950,189850,199900,208000,204500,205000,210000,214900,215100,215600,219900,219250,223000,227500,222000,209995,219000,215000,209750,208950,214900,213000,205000,207500,194900,189900,190000
"Philadelphia","PA","Philadelphia","Philadelphia",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299900,299000,285000,299000,299000,299900,297700,298000,299000,299900,309900,299000,297900,3e+05,3e+05,309900,319000,309900,315000,322000,319000,314900,320000,329900,340000,345000,329900,329900,326500,325000,324900,324900,324900,325000,339900,330000,340500,343000,349900,350000,354999.5,355000,349000,339450,349990,349900,349900
"Phoenix","AZ","Phoenix","Maricopa",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124950,125000,126950,127900,129000,126450,128975,129900,129900,129450,130000,135000,135450,135900,144900,147900,144500,146900,149900,149945,137900,139900,149900,155000,160000,159900,168650,168900,167950,165000,169900,172000,167000,165000,169995,175000,179900,179949.5,184900,189500,187950,185000,185900,187000,185000,187000,185000
"Las Vegas","NV","Las Vegas","Clark",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89000,89000,87500,86700,89500,89990,92500,94000,89900,93000,94992.5,94999,95000,95000,95500,103000,102500,1e+05,99900,99900,104900,105000,109000,110000,117000,118000,119950,120000,119500,119500,117700,118000,119494,120000,124999.5,124900,125000,122750,125000,129000,132000,139700,139000,139900,145000,148000,150000
"San Diego","CA","San Diego","San Diego",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355000,349000,349900,350000,364750,375000,371250,355000,365000,389000,389000,385000,377900,385250,375000,379000,379900,395000,399500,4e+05,384900,415000,409000,415000,415000,409950,415000,415000,420000,428500,432500,439900,449000,449000,439950,439000,437500,429900,430000,449000,449000,444950,455000,495000,490000,495000,485000,479000
"San Jose","CA","San Jose","Santa Clara",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,410000,399900,419000,416500,447750,447500,449000,459000,459000,450000,469900,463500,447850,439990,425000,449900,480000,495000,499888,512450,509499,519475,529950,525000,529925,525444,529000,566500,569888,568000,587444,577500,569800,570000,578500,575000,569000,565000,585000,598000,599000,599000,599500,599000,619000,615000,625000
"Jacksonville","FL","Jacksonville","Duval",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99000,99900,98250,102500,102250,99900,104950,109900,107500,105000,110000,110000,109000,104900,99900,105000,110000,110125,110875,110750,112777,114000,109900,109900,110000,114900,112900,115500,115000,119000,119000,119999,120000,120000,125000,124900,120000,120105,116500,115000,119900,120000,125000,124900,120000,119900,120495
"San Francisco","CA","San Francisco","San Francisco",11,699000,699000,699000,699000,698250,689000,695000,699000,699000,699000,677000,649000,649000,620000,637000,634000,625000,625000,610000,619000,625000,609000,599000,590000,599000,612000,628500,659000,695000,699000,699000,725000,749000,775000,775000,799000,799000,795000,799000,795000,799000,799000,799000,799000,819000,825000,824999,849000,825000,842000,849000,877000,899000,899000,899000,875000,899900,935000,977000,995000,995000,1050000,1062500,1049000,999000,995000,995000,998000,1050000,1017000,999000,998000,979000,1024500,999888,1095000,1099000,1095000,1095000,1049000,1049000,1075000,1044500,1048000,1099000,1111000,1135000,1149000,1134000,1139000,1142000,1150000,1139000
"Indianapolis","IN","Indianapolis","Marion",12,108900,105000,105000,105910.5,105000,104900,105250,99900,104900,104900,104350,1e+05,104900,105900,108000,104900,104950,105000,104050,99900,1e+05,1e+05,99500,99350,97000,99500,99500,99000,99900,99950,99500,94950,98900,99500,99500,99500,97900,95450,95000,99900,99900,99900,99900,99500,99500,95000,96500,96500,95000,95000,99550,98750,99000,99900,101000,99900,99900,98500,98700,98750,96000,99900,99900,103000,1e+05,99900,99250,97000,99000,96700,96995,95000,89900,89900,99900,99900,103990,108500,108900,104900,1e+05,105000,1e+05,99900,99825,109000,107900,109900,114900,118950,124700,119999.5,124900
"Austin","TX","Austin","Travis",13,167700,174500,171000,174500,177950,175000,175000,178750,179110,168000,167000,168950,169000,169000,169675,165000,165000,165000,164900,162900,165000,168950,169900,164900,159000,165000,168500,174900,179900,175000,170000,170000,185500,189000,214444,219222,219813,199900,199900,196900,208900,199900,218700,220000,239000,249900,249900,245000,269900,249900,249900,240000,249700,236945,245000,259999,251500,249950,250000,262091,252500,250000,249999,271425,270850,269000,259900,279000,299000,299990,299700,312983,315599,324900,315000,314990,315491.5,325000,319700,315000,319900,308916.5,315000,315000,321000,325000,324900,329000,325000,318750,316198,313250,315000
"Fort Worth","TX","Dallas-Fort Worth","Tarrant",14,183200,185000,191908,189900,188450,187250,193250,196950,199000,2e+05,2e+05,177450,183950,2e+05,224900,247745,249950,250000,249900,268714,266750,264500,250000,241750,230000,222000,215000,2e+05,2e+05,2e+05,199999,209000,199500,205000,199949.5,229900,230000,234800,225782.5,2e+05,2e+05,225000,225000,225000,229900,219900,225000,219900,220000,219950,231500,225000,240000,233000,228000,199400,235000,249250,265000,269900,270950,265000,264900,249900,249900,254900,252450,250000,252500,249950,279000,259900,282900,274900,272000,270950,267900,249900,268450,259900,254900,262998,264450,259450,274900,280192,283362,279900,247450,239020,235500,239020,232450
"Columbus","OH","Columbus","Franklin",15,114975,114400,114900,117000,117250,114900,110900,110000,110000,108950,102900,99900,90000,97000,97999,99900,99999,1e+05,1e+05,99900,99900,94900,89900,88900,89900,89900,94800,95000,96875,99650,97800,95000,94787.5,94900,99000,99000,99000,99900,99900,1e+05,104900,107950,105125,105750,106950,104900,105000,109000,108900,110000,110000,114900,115000,117000,116950,119000,116450,116500,114900,114500,114000,114900,114900,116200,119250,119900,120000,114945,117900,117462.5,119900,116963,119900,124900,127950,128950,129900,129000,129000,129900,131500,134900,134900,134825,134900,134900,134900,139900,141766,144985,147850,149900,144900
"Memphis","TN","Memphis","Shelby",16,189900,189900,187200,179500,183000,169900,169400,159900,162500,157250,149700,139700,136000,139900,145000,139900,140000,142700,144945,139450,135000,134900,119000,107250,105000,109900,104900,114500,119900,119838.5,134950,134900,135450,134200,148950,146650,144900,145000,139900,139900,139450,147450,149900,154500,158270,157500,164900,159450,159900,149400,159900,165900,159900,169500,174900,169900,165400,170200,164338.5,164895,164750,164895,159900,159900,139900,139000,145000,141900,136000,145900,136900,132000,129900,143250,158000,159999,159949.5,159000,168000,164900,169949.5,167000,148000,145000,145000,148500,155000,159950,177500,189450,186449.5,192450,199000
"Charlotte","NC","Charlotte","Mecklenburg",17,169700,168300,168600,168950,168355,169000,164000,163500,161750,149725,139000,135950,139000,139900,139900,140000,140000,143522,139900,140000,139900,142500,134900,130000,135000,137900,136422.5,129950,128950,124900,122900,123000,124900,129900,145000,148250,149900,150900,159900,164900,166886.5,165900,165000,150000,164950,164950,165000,167450,165000,162500,168000,167950,169900,159995,159900,162500,159900,160000,162400,164950,175000,179900,180000,183000,184900,184997.5,190950,189900,189900,189000,185000,182500,189900,194900,194800,199500,207000,219900,229500,225000,224900,229950,234900,244950,252000,239950,249000,250000,247700,249000,239900,239440,235000
"El Paso","TX","El Paso","El Paso",18,98950,93950,94900,95000,94000,93000,96500,98000,103128,99950,105064,101000,102000,102000,99450,99900,98500,95000,97000,91000,99770,99500,98000,98000,91000,90500,89999.5,97000,97000,93000,89925,92550,96250,99000,99000,109135,114750,115000,115000,115000,115000,115000,119450,117000,115000,115000,119000,120250,120000,119000,111500,111276,119000,115900,116000,119500,119700,109900,109900,115000,109900,109920,115000,115750,119500,116225,114000,115000,102450,108850,114500,115000,115000,116500,115000,112000,114900,114900,114000,111000,110000,105000,103000,102000,102000,95000,109250,109250,98500,104500,96750,97450,101950
"Boston","MA","Boston","Suffolk",19,392450,399000,399000,394000,389000,382000,374900,359000,369000,379000,379000,374950,374700,369900,365000,369000,389000,393000,389900,389900,399000,410000,399000,399000,429000,419950,419000,419000,419000,420500,425000,424900,429500,434450,435000,449000,460000,479000,449000,459000,469000,469000,474999,479000,487000,469000,489000,499900,529000,549000,489000,479450,492450,479900,496000,499950,519000,515000,539900,539000,550000,586000,569900,569000,565000,549900,549000,565000,579000,579000,585202.5,595000,602450,629000,629000,650000,649000,649000,649000,675000,675000,649000,652500,650000,659000,699900,699900,699250,709000,699999,715000,749000,769000
"Seattle","WA","Seattle","King",20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299000,298000,293900,285000,284500,289995,295000,289925,285000,289250,285000,292475,299000,299000,319250,329450,349000,339000,331900,339000,349900,350000,380950,385000,389450,399900,401900,399925,399400,379975,394500,399900,399972.5,394975,410000,410000,384975,399450,399950,385000,395000,399950,415000,419900,425000,425000,432500
"Baltimore","MD","Baltimore","Baltimore City",21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209990,200970,230000,219700,229250,201460,229700,209900,204900,216950,219250,199995,189900,187950,194900,199900,197950,214200,215000,232000,213000,234950,225000,225000,230000,229900,242500,227500,229749.5,239900,259900,257075,254412.5,245000,249900,249900,239000,229900,235000,224250,229450,239450,235000,230000,230000,225000,220000
"Denver","CO","Denver","Denver",22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,339000,322500,345000,345000,325000,339000,349000,325000,339000,350000,369000,352500,360000,350000,345000,325000,339000,340000,350000,359900,374900,376968.5,394750,404900,410000,410000,405000,410000,415000
"Washington","DC","Washington","District of Columbia",23,324000,334450,340000,349900,339900,339000,335000,342450,335000,319750,299700,299999,299900,309900,319900,320000,334950,339000,319900,335000,344500,344337.5,335000,335000,319000,325000,334950,349000,339000,349900,345000,329900,339990,350000,375000,374450,369000,372400,369000,379000,385000,392750,389900,379450,379000,389500,375000,365000,359000,375000,385000,384501,379911,385000,374900,376500,399000,399900,399000,393250,388000,385000,399000,399000,413500,411250,399000,399949.5,429900,429900,425000,419900,417000,425000,435000,448750,443000,440000,440000,439000,429250,439000,439900,439900,449000,449900,449900,459900,459000,472400,469000,450000,469250
"Nashville","TN","Nashville","Davidson",24,168500,166847.5,169000,169900,169500,165000,162900,158000,155000,158599,159500,149920.5,148250,144900,144944,142950,144000,139931,139900,139900,139500,137500,138450,134900,135000,135000,138941.5,143000,144944,147000,145450,142500,140990,139900,143990,144990,149900,154900,154900,159900,159900,157500,159987,164900,157900,154900,150000,152700,159950,169502,169900,165900,174900,174900,170000,169900,167900,170064,170000,179900,183900,190000,189900,2e+05,202450,2e+05,199900,205000,203428,206900,219000,209450,246400,244700,239900,239900,245000,240000,240612.5,250135,245000,244900,248750,247200,264000,270402.5,279950,279900,299700,289892.5,280000,289900,282250
"Milwaukee","WI","Milwaukee","Milwaukee",25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150000,154900,159500,158950,152900,156500,154900,159900,169000,159450,159894,159000,149000,142400,154900,144900,159900,176900,168950,177900,171900,174900,174000,169900,169900,155650,152000,163150,169900,184900,179000,176450,175000,169900,169900,164950,156450,146950,165000,165000,170000,179900,179900,179900,179900,173000,171500,175000,163950,172450,189900,193250,199900,189900,189900,189900,184000,189900
"Tucson","AZ","Tucson","Pima",26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114900,114900,119900,122700,124900,120000,119950,122250,119000,117250,115000,119000,116450,119000,122500,125000,124450,121999,120000,123000,115000,117000,120000,124900,125000,125000,127500,128000,128900,128000,125000,125000,127200,122500,120000,127500,129900,135000,139900,142000,135000,135000,135000,130500,135000,138000,135000
"Portland","OR","Portland","Multnomah",27,257000,250000,250000,249000,249900,249900,249950,249000,244500,214000,199900,209900,199900,199950,2e+05,2e+05,203619,202500,209925,212450,222000,207000,199925,189900,199900,199900,207900,219900,214000,212900,222000,229000,218500,244950,238900,240000,259450,265000,265250,249900,242000,249900,239900,249000,249900,249925,249500,249700,268745,274950,279000,271250,268000,280000,295000,299000,293603,279900,265000,269000,289000,299000,315000,308450,305000,309450,309900,290000,297000,314826,315000,320000,298999.5,309900,319000,325000,335263,349000,349000,349900,365000,369500,374500,365000,375000,374900,369450,389900,379900,375000,379900,379900,375000
"Omaha","NE","Omaha","Douglas",28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225000,225000,225000,225000,218750,215000,199900,206000,205000,199950,199900,195000,222000,229900,216450,225950,234900,239000,249000,220000,221400,222500,227500,251750,236450,216000,238900,229000,222000,223500,222000,217475,222000,240000,244000,248000,272761.5,270000,267450,264000,260000,265000,278000,275000,279900,289020
"Albuquerque","NM","Albuquerque","Bernalillo",29,127500,129900,131750,139900,136995,135000,135000,135000,138000,130000,130000,130000,129500,129400,130000,129950,128900,130000,127950,130000,129500,128500,112500,110000,110000,109900,115000,112500,115000,115000,109450,105900,99900,103975,118500,113500,112000,119400,124900,125000,119800,124950,116500,119000,124900,116250,109900,109900,115000,125000,129721,130000,127900,125000,128500,119000,125000,112500,119450,120950,117000,125000,135000,135000,139000,135000,135000,134000,130000,131000,136000,136000,124900,135000,139700,135000,134000,144242.5,145500,130000,140000,148000,139000,135900,149900,153100,149750,150000,150000,149750,146500,141000,144950
"Fresno","CA","Fresno","Fresno",30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164700,149000,145000,134950,125000,134900,147000,138000,150000,143000,155900,159000,154500,164750,174000,157250,175000,172000,174900,150000,175000,169950,150000,147450,149925,169950,174900,175000,147500,145000,146000,145000,155000,148450,165000,158000,145000
"Sacramento","CA","Sacramento","Sacramento",31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199500,199900,209000,203750,229900,226000,219250,225000,229999.5,241500,230000,228500,229800,225000,232000
"Mesa","AZ","Phoenix","Maricopa",32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118625,119900,118950,115000,114900,119900,119900,115000,115000,118900,122150,120000,115250,109350,119700,118850,119990,119900,115500,111250,109950,119000,129950,132000,139000,139000,139000,132500,132000,127500,129900,124950,125000,130000,132500,138250,139943,149500,149500,145000,142500,139900,139450,134000,135950,135000,140000
