"RegionName","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09"
"New York","NY","New York","Queens",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,449000,439000,439000,449000,439000,439000,438000,419000,420000,419900,419000,424999,425000,429000,429000,429000,449000,454900,469000,469900,469000,459100,469000,459000,450000,459000,459000,459450,479000,495000,479000,499000,510000,525000,539000,534900,535000,549000,559000,559000,569000,565000,569000,570000,550000,559000,550000,559000,549000,539999,539999,569000,599000,625000,638250,639000,638250,635500
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,599900,599999,586495,599000,599000,636250,649000,649000,655000,649000,649000,649000,635000,575000,589999,639900,660000,689000,699900,717000,712525,719000,719000,737435,737870,725000,735000,749000,759000,769925,775000,789000,798000,789000,779000,789000,795000,789950,795000,792141,799000,819000,829888,824000,829999,825000,825000
"Chicago","IL","Chicago","Cook",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159900,159900,149900,159900,169900,184900,199000,209900,209900,2e+05,199000,190450,180000,170000,165000,175000,189900,199900,211025,217850,217850,209900,209900,204900,199900,189900,184900,194900,216200,225900,230000,233900,227950,220000,219900,216750,209900,199000,190000,209000,224900,229900,235000,239900,239900,236000,239000
"Houston","TX","Houston","Harris",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,336900,342990,350000,349000,342900,349000,349000,349900,350000,350000,350000,359000,357500,362900,359990,359000,359900,350397.5,350000,349000,340000,339000,330000,329000,331970,339000,344900,346732.5,347995,339990,339000,345000
"Philadelphia","PA","Philadelphia","Philadelphia",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129900,129900,129000,129900,135000,144900,148000,149000,139900,137900,137900,137100,130000,120000,125000,129900,135450,145000,149900,148900,142500,139900,139900,139900,139900,134900,129900,129900,136000,140900,145900,147138.5,144900,139900,139900,145000,139900,135000,139900,139900,150000,159988,165000,165000,165900,160000,169900
"Phoenix","AZ","Phoenix","Maricopa",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203250,205000,2e+05,209088,219900,224900,229000,229900,229900,229900,230000,231700,225000,218650,229750,239900,249000,255000,259900,259900,254000,259900,258000,256000,259900,255000,259900,269000,270000,279000,279900,275000,274900,269900,268500,268650,264900,260000,263000,269244,269900,278000,280000,279900,279900,279000,278900
"Las Vegas","NV","Las Vegas","Clark",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189900,189900,185400,186800,191000,195000,199000,2e+05,205000,209970,214900,214900,209900,210000,210000,219000,220000,225000,230000,229900,230000,233000,235000,235000,235000,235000,235000,235000,239900,243000,247945,249900,249999,252500,255000,255990,259900,259900,260000,265000,269500,275000,278000,284900,285000,288000,290000
"San Antonio","TX","San Antonio","Bexar",8,140519,143950,144900,145000,145000,148000,145100,145000,153000,151000,145000,145000,145000,145500,148000,149900,152900,154400,150000,149000,143000,140000,137900,132997.5,135000,135000,137126,136625,138500,142995,142497.5,143750,142995,145945,161495,160000,163744,169000,170000,174500,176000,179025,179900,180000,184900,187500,185000,189000,189000,192000,198100,198900,205000,199990,199300,204900,199000,196992.5,196945,201995,208684,213303,213282,222990,223990,226490,230990,230000,233750,229000,228900,228372.5,228900,217990,222041,224151.5,224900,227033.5,227850,225000,221000,225000,226500,220000,225000,229500,234997.5,239900,242000,244990,244900,240992.5,242990
"San Diego","CA","San Diego","San Diego",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,589950,599000,585000,599000,624900,649000,629000,645000,650000,649000,645000,639000,639975,619000,634950,649000,689000,739000,749000,699000,725000,728438,729000,729900,729947.5,749000,750000,759950,759900,765000,780000,775000,769900,769000,750000,749000,749900,759000,759000,775000,799000,839000,829000,819900,824900,817000,829000
"Dallas","TX","Dallas-Fort Worth","Dallas",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,269900,265999,249000,250000,275000,295000,3e+05,294900,299900,299900,295000,299000,273900,269900,280000,299750,325000,329700,339000,337500,325000,325000,340000,349000,349500,335000,334975,349900,375000,380000,385000,389000,389000,379900,380000,379900,379500,364500,366995,389000,399900,425000,435000,435000,424700,414900,415450
"San Jose","CA","San Jose","Santa Clara",11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,682500,685000,661000,699000,725000,739000,749000,749694,750000,749000,745000,739890,715000,699000,699999.5,749000,778475,789000,799000,803127.5,8e+05,801880,814701,799980,799000,799190,815000,869000,898000,889999.5,898000,899000,898888,878000,879000,868000,850000,845000,838500,878000,899000,899894,925000,9e+05,918723,939000,949000
