"RegionName","State","Metro","CountyName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09"
"New York","NY","New York","Queens",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2850,2860,2800,2800,2700,2750,2800,2795,2800,2800,2850,2899,2900,2900,2850,2800,2800,2800,2800,2850,2950,2995,3000,2995,3000,3000,3195,3000,2800,2800,2700,2700,2795,2850,2900,2900,2900,2800
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",2,2374.5,2400,2448.5,2550,2500,2585,2825,2500,2750,2800,2750,2750,2857.5,2600,2800,2800,2800,2750,2700,2650,2600,2595,2500,2600,2605,2695,2595,2695,2650,2500,2595,2600,2400,2300,2300,2400,2400,2400,2400,2450,2417.5,2500,2489.5,2650,2600,2500,2795,2600,2500,2595,2675,2725,2795,2995,3041,3000,2995,3000,2990,2999.5,2950,2999,3250,3295,3300,3399.5,3495,3500,3457.5,3363,3445,3595,3500,3500,3450,3500,3450,3495,3390,3599,3250,3500,3450,3495,3595,3600,3700,3700,3750,3700,3692.5,3650
"Chicago","IL","Chicago","Cook",3,,,,,,,,,1950.5,1995,1862.5,1650,1700,1795,1880,1900,1800,1825,1850,1800,1700,1600,1575,1600,1645,1700,1645,1647.5,1700,1700,1700,1650,1650,1600,1643,1600,1650,1750,1650,1800,1800,1925,1800,1750,1700,1700,1750,1650,1700,1747,1819,2000,2100,2100,1975,2000,1927,1800,1700,1700,1800,1800,1900,2000,2002,2000,1950,1975,1950,2000,1850,1800,1900,1875,1900,2000,2100,2000,1975,1925,1799,1750,1700,1700,1745,1850,2000,2150,2100,2100,2050,1995
"Houston","TX","Houston","Harris",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1409,1259,1275,1314.5,1329,1400,1317.5,1445,1400,1500,1450,1500,1425,1495,1400,1375,1447,1599,1600,1600,1598,1600,1600,1595,1600,1650,1650,1750,1800,1786,1800,1796,1750,1750,1695,1795,1800,1795,1798,1800,1800,1795,1800,1700,1695,1700,1625,1639,1600,1650,1695,1700,1750,1750,1753,1750,1750,1750
"Philadelphia","PA","Philadelphia","Philadelphia",5,,,,,,,,,,,,,,,,,,1300,1300,1200,1100,1100,1100,1100,1250,1320,1350,1300,1300,1275,1200,1100,1000,1100,1000,1100,1175,1200,1350,1400,1400,1330,1200,1200,1150,1200,1200,1200,1200,1200,1300,1450,1450,1450,1395,1300,1250,1250,1275,1300,1350,1400,1500,1500,1500,1500,1425,1400,1395,1350,1250,1300,1350,1455,1500,1500,1485,1350,1300,1287.5,1200,1250,1200,1200,1262.5,1395,1490,1500,1500,1450,1400,1300
"Phoenix","AZ","Phoenix","Maricopa",6,,,,,,,,972.5,950,977,972.5,995,995,903.5,950,950,975,990,1050,1050,999,995,995,975,992,1000,1008,1000,1025,1010,999,1000,1003.5,1024.5,1020,1020,1030,1025,1015,1017,1020,1025,1010,1000,999,1000,1000,995,995,1000,1050,1075,1050,1050,1099.5,1097,1075,1050,1080,1050,1099.5,1100,1105,1139,1100,1115,1115,1100,1115,1140,1180,1158,1095,1100,1192,1145,1136,1120.5,1150,1177.5,1109,1100,1100,1167,1200,1250,1256,1321,1300,1294.5,1260,1230
"Las Vegas","NV","Las Vegas","Clark",7,1195,1177.5,1150,1200,1050,1150,1195,1164,1150,1150,1100,1150,1150,1125,1150,1150,1150,1150,1150,1150,1125,1100,1100,1100,1095,1095,1099,1100,1100,1100,1100,1100,1096,1095,1095,1095,1095,1100,1100,1100,1100,1125,1100,1125,1100,1100,1100,1131.5,1109,1100,1102.5,1150,1150,1175,1180,1175,1175,1175,1175,1164,1175,1195,1200,1195,1200,1200,1200,1200,1200,1200,1200,1200,1200,1250,1225,1250,1250,1250,1250,1250,1250,1250,1200,1250,1285,1295,1300,1300,1325,1315,1300,1320
"San Antonio","TX","San Antonio","Bexar",8,,,,,,,,1177.5,1100,1050,1100,1034.5,1095,1095,1095,1095,1100,1125,1100,1100,1095,1100,1100,1140,1150,1150,1100,1095,1150,1150,1122,1100,1100,1125,1100,1200,1155,1237,1250,1239,1225,1240.5,1225,1200,1200,1200,1200,1200,1200,1200,1200,1225,1250,1250,1250,1250,1250,1250,1250,1250,1250,1275,1295,1295,1300,1300,1300,1300,1295,1295,1300,1295,1300,1303.5,1300,1311,1321,1300,1300,1300,1295,1300,1300,1300,1325,1350,1361,1382.5,1395,1395,1375,1350
"San Diego","CA","San Diego","San Diego",9,,,,,,,,,2800,2800,2750,2350,2412.5,2400,2400,2395,2400,2395,2300,2200,2250,2200,2200,2200,2250,2205,2150,2195,2200,2200,2200,2250,2200,2200,2200,2169.5,2200,2200,2212.5,2225,2295,2350,2300,2390,2350,2200,2395,2360,2300,2295,2300,2450,2500,2495,2500,2495,2500,2545,2500,2595,2647.5,2600,2600,2600,2595,2600,2675,2600,2600,2650,2710,2795,2785,2750,2795,2740,2750,2795,2750,2695,2695,2600,2619,2700,2850,2890,2900,2959,2995,2995,2995,2950
"Dallas","TX","Dallas-Fort Worth","Dallas",10,,,,,,,,,,,1285,1395,1250,1295,1395,1395,1357,1255,1250,1275,1200,1250,1350,1250,1210,1300,1200,1200,1275,1250,1195,1200,1195,1224,1277,1457.5,1323,1350.5,1398.5,1426.5,1342,1351,1295,1400,1645,1700,1851,1595,1477.5,1522,1640,1600,1490,1449,1450,1430,1350,1400,1356,1489,1425,1525,1595,1525,1500,1645,1650,1500,1450,1495,1500,1500,1600,1750,1750,1700,1550,1510,1650,1695,1695,1545.5,1550,1650,1750,1817.5,1945.5,2000,2100,1995,1945,1913
"San Jose","CA","San Jose","Santa Clara",11,,,,,,,,,,,,1995,1985,2150,2295,2375,2300,2300,2250,2300,2395,2269,2300,2288,2200,2262.5,2275,2295,2350,2395,2655,2600,2599,2400,2472.5,2449,2400,2495,2500,2497,2513.5,2695,2668,2695,2700,2695,2823.5,2695,2603,2606,2750,2858,2900,2850,2972.5,2995,2959,2900,3000,3000,3000,3000,3150,3200,3303,3211,3287,3300,3299.5,3295,3250,3300,3395,3349.5,3314,3409,3400,3395,3215,3200,3195,3195,3150,3200,3288,3300,3390,3479.5,3450,3500,3450,3400
"Jacksonville","FL","Jacksonville","Duval",12,997,995,995,1000,995,1000,1050,1000,1000,1000,1000,995,1000,1045,1050,1050,1050,1025,1000,999,1000,1025,1000,1000,1000,1040,1050,1054,1050,1060.5,1050,1034,1025,1000,1093,1150,1150,1165,1175,1190,1175,1190,1195,1195,1195,1200,1200,1219,1230,1230,1250,1200,1219,1200,1200,1200,1200,1200,1225,1235,1200,1200,1225,1227.5,1225,1100,1100,1100,1095,1095,1095,1095,1099,1100,1150,1175,1150,1190,1186,1175,1150,1150,1135,1150,1125,1150,1195,1200,1250,1250,1210,1200
