"RegionName","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09"
"New York","NY","New York","Queens",1,,,,,2250,2400,2400,2397.5,2535,2750,2650,2900,2600,2200,2550,2650,2700,2695,2800,2850,2850,2800,2650,2595,2450,2600,2550,2575,2600,2600,2606.5,2650,2700,2750,2700,2800,2800,2800,2800,2800,2900,2800,2700,2800,2850,2895,2900,2900,2950,2950,2900,2850,2950,2995,2900,2900,2900,2950,2900,2850,2947.5,2950,2950,2975,2900,3000,3000,3000,3000,2995,2995,2999,2995,2975,2995,2995,2995,2920,2950,2985,2950,2973,2940,2895,2902.5,3000,3000,3000,3000,3000,3000,3000,3000
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2992.5,2900,2950,2982.5,2995,2995,3000,3200,3195,3250,3250,3300,3300,3250,3200,3200,3300,3397.5,3400,3400,3292.5,3300,3250,3150,3495,3150,3500,3200,3250,3350,3495,3500,3500,3500,3500,3500,3500
"Chicago","IL","Chicago","Cook",3,,1572.5,1500,1500,1500,1562.5,1500,1500,1600,1650,1700,1775,1600,1600,1599,1600,1614,1610,1650,1650,1650,1650,1600,1600,1604,1625,1650,1600,1600,1650,1650,1650,1595,1598,1565,1599,1595,1592,1583,1575,1600,1600,1635,1631,1660,1700,1685,1700,1695,1675,1691,1695,1750,1750,1772,1795,1800,1800,1795,1778,1750,1750,1765,1750,1774.5,1770,1785,1795,1750,1715,1725,1700,1725,1750,1750,1770,1750,1750,1750,1750,1700,1700,1695,1691,1695,1700,1725,1750,1793,1800,1841,1800,1795
"Houston","TX","Houston","Harris",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1235,1209,1250,1250,1300,1395,1400,1400,1450,1450,1450,1450,1450,1450,1468.5,1475,1500,1549,1550,1600,1575,1550,1527,1516,1550,1580,1575,1580,1595,1550,1500,1500,1475.5,1495,1472,1400,1447,1400,1495,1500,1500,1525,1500,1515,1500,1500,1550
"Philadelphia","PA","Philadelphia","Philadelphia",5,,1350,1290,1250,1300,1400,1500,1500,1450,1475,1450,1500,1400,1385,1450,1500,1499.5,1450,1462.5,1495,1400,1350,1325,1325,1250,1350,1400,1425,1400,1400,1350,1250,1200,1200,1200,1150,1150,1200,1295,1350,1395,1350,1300,1289.5,1300,1275,1250,1250,1200,1200,1250,1300,1500,1500,1500,1452.5,1400,1395,1375,1300,1395,1400,1500,1550,1595,1550,1500,1500,1495,1450,1425,1400,1400,1400,1500,1585,1550,1500,1435,1395,1395,1300,1395,1300,1350,1395,1500,1545,1550,1520,1500,1490,1430
"Phoenix","AZ","Phoenix","Maricopa",6,,1300,1200,1200,1200,1100,1150,1195,1100,1100,1099,1099,1000,1025,1041,1050,1050,1050,1050,1050,1025,1000,995,995,995,995,1000,1000,1000,1050,1049,1000,1000,1000,1000,1000,999,999,1000,1000,1000,1000,1000,995,1050,1050,1050,1050,1050,1050,1050,1095,1100,1100,1125,1150,1129,1129,1125,1150,1150,1190,1195,1200,1200,1200,1199,1200,1195,1199,1195,1200,1219.5,1225,1250,1250,1200,1200,1200,1200,1200,1200,1200,1195,1200,1250,1295,1300,1325,1325,1325,1300,1300
"Las Vegas","NV","Las Vegas","Clark",7,,1250,1250,1200,1200,1072.5,1150,1200,1200,1200,1195,1100,1150,1150,1100,1125,1175,1150,1150,1150,1150,1125,1100,1100,1100,1100,1100,1095,1099,1100,1100,1100,1099,1095,1095,1095,1095,1090,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1150,1150,1150,1150,1150,1150,1195,1195,1195,1195,1195,1195,1199,1200,1200,1225,1200,1200,1225,1232.5,1225,1225,1225,1225,1245,1250,1250,1250,1250,1275,1200,1200,1200,1250,1250,1200,1250,1295,1300,1325,1325,1345,1350,1350,1350
"San Antonio","TX","San Antonio","Bexar",8,,,,,,,,1160,1155,1150,1100,1195,1095,1095,1100,1135,1150,1195,1200,1195,1150,1100,1100,1100,1125,1150,1150,1000,1000,1100,1100,1100,1090,1073,1084,1029,885,900,889,914,906.5,995,936.5,950,999,1095,1059.5,1070,1060,1075,1100,1100,1100,1125,1150,1150,1125,1100,1100,1095,1097,1100,1113,1100,1124,1150,1130,1120,1100,1100,1104.5,1100,1133.5,1135,1100,1075,1073,1074,1079,1095,1058.5,1055,1095,1025,1150,1175,1195,1200,1222,1275,1275,1250,1250
"San Diego","CA","San Diego","San Diego",9,,,,,,,,3500,2995,2750,2495,2500,2100,2200,2200,2295,2295,2295,2250,2250,2200,2100,2095,2095,2000,2050,2000,1900,1895,2000,1995,1995,2000,1995,1995,1990,1950,1900,1900,1950,1995,2000,2000,1900,2200,2249,2195,2200,2200,2200,2195,2150,2250,2299,2295,2300,2300,2395,2300,2300,2350,2395,2300,2295,2250,2300,2300,2350,2350,2350,2395,2400,2400,2400,2400,2395,2300,2395,2375,2350,2395,2300,2300,2350,2400,2495,2500,2500,2595,2600,2600,2595,2530
"Dallas","TX","Dallas-Fort Worth","Dallas",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1095,1150,1075,1000,1100,1115,1195,1190.5,1100,1122,1199,1190,1198,1250,1295,1238.5,1250,1250,1250,1312.5,1250,1249,1225,1250,1300,1300,1350,1325,1300,1300,1300,1300,1300,1312.5,1375,1399.5,1400,1400,1450,1450,1400,1400,1400,1400,1425,1471,1500,1495,1495,1467,1450,1450,1400,1450,1495,1450,1500,1550,1600,1600,1650,1695,1650,1650,1650
"San Jose","CA","San Jose","Santa Clara",11,,,,,,,,,,,,,1995,1998,2125,2250,2200,2300,2350,2300,2297.5,2300,2250,2200,2100,2200,2200,2200,2200,2292.5,2295,2200,2250,2300,2200,2300,2300,2250,2274,2250,2297.5,2300,2350,2338,2495,2565,2550,2600,2495,2495,2495,2499,2600,2700,2700,2800,2795,2795,2800,2795,2795,2850,2825,2950,3000,3150,3100,3100,3192.5,3150,3095,3100,3095,3195,3100,3122.5,3190,3200,3200,3090,3000,2995,2995,3000,3099,3150,3200,3200,3300,3350,3395,3300,3230
