"RegionName","State","Metro","CountyName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09"
"New York","NY","New York","Queens",1,,,,,,,,,,,,,,2700,2750,2795,2795,2900,2995,2995,2995,2700,2595,2400,2600,2550,2600,2695,2750,2750,2800,2800,2895,2895,2950,2900,2950,2900,2900,2925,2850,2700,2800,2895,3050,3200,3200,3200,3200,3200,3200,3200,3202,3150,3175,3150,3185,3100,3100,3200,3183,3199,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3159.5,3175,3150,3150,3000,3100,3100,3000,3095,3075,3000,3100,3200,3200,3250,3295,3295,3250,3200,3200
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2650,2600,2625,2600,2650,2650,2750,2850,2800,2800,2862.5,2850,2900,2937.5,2850,2950,2950,2900,2950,2950,2800,2850,2895,2800,3150,2800,2995,2850,2895,2950,2995,3000,3000,3000,3092.5,3100,3000
"Chicago","IL","Chicago","Cook",3,1500,1500,1500,1500,1550,1500,1500,1600,1650,1695,1800,1650,1650,1600,1635,1650,1649.5,1650,1655,1695.5,1700,1651,1659,1675,1700,1700,1685,1650,1695,1689,1700,1700,1725,1695,1651,1650,1699,1655,1650,1637,1649,1650,1648,1689,1750,1750,1750,1750,1775,1775,1795,1800,1800,1829,1842.5,1850,1842,1800,1825,1800,1800,1825,1800,1800,1800,1800,1800,1800,1795,1800,1795,1800,1850,1850,1850,1800,1823,1800,1807.5,1800,1800,1800,1789,1800,1800,1800,1850,1850,1900,1900,1900,1850
"Houston","TX","Houston","Harris",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1328,1360,1319,1300,1325,1318,1303,1301.5,1300,1319.5,1300,1303,1319.5,1311,1303.5,1305,1317,1300,1317,1300,1415,1400,1390,1390,1395,1395,1395,1395,1400,1430,1435,1424,1401,1400,1390.5,1357,1350,1350,1320,1320,1395,1300,1304.5,1304,1300,1317,1300,1299,1299,1300
"Philadelphia","PA","Philadelphia","Philadelphia",5,1800,1800,1575,1650,1900,1925,1995,1872.5,1897.5,1872.5,1722.5,1650,1650,1595,1600,1700,1650,1725,1750,1725,1700,1700,1700,1545,1650,1500,1575,1600,1600,1550,1585,1575,1550,1600,1475,1450,1500,1500,1495,1500,1395,1330,1375,1450,1650,1625,1637.5,1600,1600,1600,1600,1650,1650,1650,1650,1700,1700,1700,1575,1695,1700,1725,1695,1725,1695,1695,1750,1700,1750,1725,1675,1730,1700,1725,1750,1750,1695,1700,1695,1700,1607.5,1650,1700,1625,1720,1750,1775,1800,1750,1750,1750,1725
"Phoenix","AZ","Phoenix","Maricopa",6,,895,800,799.5,845,797.5,845,950,937.5,950,950,925,895,875,895,900,900,895,900,900,895,850,850,850,850,850,800,800,825,850,800,850,850,850,850,850,850,875,892.5,870,855,850,843,850,900,895,900,900,900,925,950,975,950,950,975,950,950,950,960,975,995,975,1000,1025,1050,1000,1050,1050,1000,1005,1000,1050,1095,1085,1050,996,1000,1000,1000,975,995,1000,985,1062,1075,1100,1100,1100,1145,1150,1150,1150
"Las Vegas","NV","Las Vegas","Clark",7,,897,885,875,850,850,899,920,897,795,787.5,800,800,800,825,850,800,815,825,800,800,800,825,800,800,800,795,795,795,795,775,795,795,800,800,822.5,800,849,850,800,825,900,900,850,810,825,825,850,850,850,850,850,850,850,850,895,900,900,900,900,900,925,950,925,925,925,925,900,900,900,900,900,907,910,907,925,995,925,950,950,1100,1200,1100,1195,1200,1249,1250,1100,1075,1050,1051,1050
"San Antonio","TX","San Antonio","Bexar",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,738,753.5,775,850,851.5,850,875,834,825,850,875,850,847,874,879,880,882,995,939,925,900,900,900,927,979,995,1000,1000,967.5,950,899,876.5,875,860,881.5,878.5,875,1005,1025,1080,1050,1025,1030,1050,1050,1085,1100,995,1000,950,995,995,960,949.5,1010,950,1000,1030,1015,1000,1050,1097.5,1090,1185,1170
"San Diego","CA","San Diego","San Diego",9,,,,,,,,,,,,,1950,1895,1950,1900,1850,1812.5,1850,1895,1895,1892.5,1850,1800,1800,1825,1745,1695,1750,1745,1700,1750,1795,1795,1800,1750,1775,1795,1795,1795,1795,1782.5,1700,1975,1999,1950,1995,2025,1999,1995,1989,1995,2050,2050,2100,2150,2150,2140,2100,2100,2100,2100,2000,2000,2050,2050,2115,2150,2195,2200,2195,2195,2195,2150,2100,2100,2177.5,2195,2100,2195,2100,2037,2100,2150,2200,2200,2295,2300,2395,2395,2350,2300
"Dallas","TX","Dallas-Fort Worth","Dallas",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1246,1300,1350,1350.5,1250,1250,1250,1250,1275,1275,1300,1295,1250,1295,1295,1250,1295,1312.5,1350,1350,1350,1300,1395,1350,1350,1375,1395,1395,1395,1389,1397,1395,1351,1350,1320,1389,1300,1378,1395,1389,1400,1407.5,1475,1477.5,1450,1467,1450,1449,1450
