"RegionName","State","Metro","CountyName","SizeRank","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09"
"New York","NY","New York","Queens",1,,,,,,,,,,,,,,,,,,,2600,2600,2695,2650,2695,2700,2700,2700,2750,2800,2800,2800,2800,2800,2800,2800,2750,2800,2800,2800,2850,2895,2895,2895,2899,2900,2800,2800,2750,2795,2800,2800,2895,2895,2550,2509.5,2550,2550,2509,2500,2500,2575,2599,2650,2695,2650,2600,2650,2650,2600,2600,2575,2550,2550,2550,2595,2600,2600,2600,2645,2650,2749,2650,2500,2550,2500,2500,2545,2595,2600,2600,2665,2600
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",2,,,,,,,,,,,,1562.5,1550,1500,1575,1550,1597,1650,1500,1450,1450,1495,1581,1595,1600,1595,1540,1450,1447.5,1450,1500,1400,1400,1400,1485,1450,1450,1495,1500,1495,1450,1450,1495,1495,1400,1497,1472,1450,1475,1495,1575,1550,1700,1625,1595,1650,1650,1695,1700,1725,1750,1750,1695,1795,1795,1795,1697.5,1750,1850,1850,2100,2195,2250,2245,2308,2090,2195,1850,1898,1900,1800,1825,1995,2100,2095,2100,2095,2095,2095,2095,2000
"Chicago","IL","Chicago","Cook",3,1300,1340,1395,1230,1300,1238,1345,1450,1450,1400,1380,1394,1377.5,1450,1450,1500,1475,1450,1450,1436.5,1445,1450,1350,1300,1331,1460,1595,1600,1565,1575,1500,1525,1524,1528,1550,1601,1558,1599,1650,1650,1635,1650,1600,1576,1600,1650,1610,1550,1550,1550,1525,1581,1700,1638,1675,1695,1725,1600,1650,1806,1605,1650,1700,1700,1745,1669,1895,2056,2155,1975,1800,1900,1600,1515,1550,1585,1500,1545,1500,1495,1525,1525.5,1500,1500,1500,1500,1510,1535,1550,1575,1595
"Houston","TX","Houston","Harris",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1214,1275,1319,1375,1400,1250,1200,1208,1200,1250,1300,1250,1200,1100,1150,1107.5,1195,1214.5,1195,1229,1200,1200,1195,1175,1150,1180,1142.5,1195,1170,1100,1095,1095,1075,1095,1150,1150,1150,1100,1095,1095
"Philadelphia","PA","Philadelphia","Philadelphia",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200,1300,1295,1175,1160,1195,1200,1295,1295,1250,1250,1200,1250,1330,1400,1350,1330,1350,1400,1350,1400,1400,1350,1395,1350,1450,1400,1400,1450,1405,1479,1437.5,1400,1322.5,1275,1250,1250,1300,1270,1295,1300,1350,1375,1395,1395,1400,1350,1325
"Phoenix","AZ","Phoenix","Maricopa",6,,,,,,,,,,,525,550,599,550,575,575,550,550,550,595,575,595,675,725,750,702.5,774,682.5,625,625,645,622,625,625,650,650,625,625,600,600,625,650,685,699,650,650,675,675,675,675,637.5,650,650,675,675,650,625,600,650,625,650,695,700,725,725,730,700,695,695,710,695,697,750,735,730,730,727.5,725,700,749,687.5,680,775,795,795,800,795,820,850,850,825
"San Antonio","TX","San Antonio","Bexar",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,900,950,1040,900,950,922.5,917,920,1027,1095,1050,1000,995
"San Diego","CA","San Diego","San Diego",8,,,,,,,,,,,,,,,1350,1350,1350,1395,1299,1347.5,1350,1297.5,1350,1385,1345,1325,1335,1275,1200,1250,1200,1200,1195,1250,1295,1300,1347.5,1300,1300,1300,1300,1425,1395,1300,1325,1400,1450,1395,1395,1445,1595,1495,1475,1475,1400,1395,1397.5,1395,1395,1450,1395,1375,1400,1475,1550,1550,1595,1495,1500,1595,1700,1695,1795,1672.5,1695,1595,1550,1550,1595,1595,1500,1500,1645,1695,1650,1650,1695,1695,1700,1700,1700
"Dallas","TX","Dallas-Fort Worth","Dallas",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1297,1129,1200,1150,1268,1210,1300,1421,1423,1411.5,1300,1275,1275,1230,1200,1135,1150,1135.5,1095,1141,1195,1100,1100,1217,1350,1302.5,1250,1195,1170,1210,1195,1200,1150,1271.5,1295,1305,1395,1250,1300.5,1345,1402.5,1295
"San Jose","CA","San Jose","Santa Clara",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2595,2500,2095,2145,1895,1800,1900,1950,1875,1950,2100,2095,2100,2197.5,2200,2250,2147.5,2245
"Jacksonville","FL","Jacksonville","Duval",11,,,,,,,,,,,,,,,745,739.5,747.5,680,675,650,650,650,750,750,852.5,897,917,797.5,712,723.5,775,754.5,750,750,750,690,697.5,719,719.5,709.5,750,750,750,750,707,800,810,813,813,813,750,785,782.5,725,725,750,675,695,675,697.5,795,795,795,875,795,885,850,837.5,800,795,825,830,840,875,875,900,950,900,895,875,911,795,850,875,855.5,950,925,995,900,895,949.5
"San Francisco","CA","San Francisco","San Francisco",12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3200,3200,3350,3350,3500,3850,3900,3800,3495,3200,3298.5,3400,3400,3195,3200,3485,3750,3650,3800,3822.5,3995,3990,3950,4000,4050,4000,3950,3995,3967.5,4007.5,4000,4200,3800,3812.5,4000,4000,4400,4400,4200,4200,4400,3925,4040,3475,3595,3400,3407.5,3299.5,3400,3495,3500,3550,3600,3595,3700,3595,3550
"Austin","TX","Austin","Travis",13,,,,,,,,,,,,,,,,,,,,,,,,,1275,1250,1225,1095,1025,1025,1050,1025,1077.5,1050,1095,1000,950,979,1050,1055.5,1072,1050,1034.5,1026.5,1070,1022,1037,1100,1166,1178,1200,1102,1195,1200,1200,1200,1150,1150,1200,1200,1217,1299,1250,1285,1250,1275,1325,1375,1377.5,1327.5,1375,1325,1350,1350,1350,1300,1275,1290,1297.5,1253.5,1227.5,1250,1295,1295,1300,1350,1350,1300,1350,1300,1300
"Fort Worth","TX","Dallas-Fort Worth","Tarrant",14,,,,,,,,,,,785,715,750,715,695,700,725,725,720,699.5,695,695,707.5,761,770,750,758,750,748,757.5,765,750,775,775,767.5,750,784.5,778.5,750,765,775,770,770,775,725,800,750,750,750,775,777.5,753.5,725,720,725,716,716,725,750,799,799,795,770,750,740,800,715,797,849.5,825,850,923,900,900,902.5,900,895,980,962.5,905,930,900,975,950,950,975,1000,999,999,1058,1050
"Detroit","MI","Detroit","Wayne",15,,,,,,,,,,,,,,,,,,,,537.5,550,550,550,550,575,590.5,600,600,570,575,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,600,600,550,550,550,550,600,600,600,575,575,575,600,625,625,625,600,595,600,600,600,625,615,650,685,650,670,625,637.5,600,600,615,615,650,675,645,650,650,675
"Columbus","OH","Columbus","Franklin",16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,900,750,850,895,899,930,967.5,949.5,917.5,900,850,999
"Charlotte","NC","Charlotte","Mecklenburg",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1050,995,1030,1025,875,1025,922.5,1074.5,1078,1100,1147.5,1086,1129,1000,981.5,895
