"RegionName","State","Metro","CountyName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09"
"New York","NY","New York","Queens",1,2200,2400,2500,2462.5,2595,2495,2350,2500,2600,2500,2550,2250,2150,2449.5,2500,2550,2500,2645,2695,2685,2600,2500,2495,2495,2545,2550,2600,2650,2699,2700,2750,2775,2795,2795,2750,2700,2795,2777,2800,2850,2895,2800,2826,2889.5,2899,2800,2800,2750,2794,2795,2800,2800,2900,2500,2500,2500,2500,2500,2450,2450,2500,2500,2550,2595,2550,2500,2575,2550,2500,2500,2495,2450,2495,2500,2500,2550,2599,2600,2600,2600,2680,2600,2400,2489,2500,2500,2500,2561,2599,2600,2600,2563
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",2,1762.5,1750,1900,2000,2100,2100,2200,1950,1900,1895,1950,1760,1755,1795,1850,1900,1995,1975,1937.5,1850,1650,1500,1500,1595,1645,1650,1650,1695,1650,1670,1695,1700,1690,1695,1625,1636,1725,1750,1750,1754,1729.5,1718.5,1700,1795,1795,1650,1799.5,1795,1750,1750,1795,1861,1885,1967.5,1995,1995,2021,2030,2080,2099,2100,2124,2109,2160,2195,2185,2189,2200,2200,2195,2185,2295,2306.5,2350,2345,2343,2300,2265,2250,2345,2200,2211,2175,2250,2395,2397.5,2395,2390,2390,2400,2400,2395
"Chicago","IL","Chicago","Cook",3,,1305,1325,1300,1350,1300,1275,1395,1500,1541,1550,1400,1400,1400,1456,1475,1475,1450,1456,1465,1430,1400,1401,1435,1400,1395,1400,1425,1450,1472,1500,1525,1550,1500,1504,1500,1605,1550,1575,1600,1633,1625,1624,1613,1595,1600,1644,1600,1565,1560,1567,1600,1650,1700,1622,1706,1708,1674,1561,1607,1709,1600,1620,1650,1650,1650,1635,1700,1745,1799,1700,1683.5,1750,1650,1650,1650,1650,1640.5,1600,1600,1595,1600,1595,1600,1600,1600,1645,1650,1658,1660,1675,1695
"Houston","TX","Houston","Harris",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1195,1195,1125,1189,1179,1200,1260,1242,1325,1290,1379,1385,1385,1265,1408,1251,1194,1234,1375,1367,1385,1341,1373,1385,1346,1350,1335,1375,1385,1428.5,1429,1420,1409,1410,1424,1409,1500,1486.5,1500,1479,1495,1477,1480,1460,1420,1370,1390,1356,1345,1350,1355,1391,1390,1400,1400,1390,1385,1400,1400
"Philadelphia","PA","Philadelphia","Philadelphia",5,,,,,,,,,1420,1390,1347.5,1322.5,1335,1350,1400,1400,1400,1350,1300,1325,1212.5,1200,1200,1200,1300,1350,1375,1350,1325,1350,1300,1275,1265,1270,1250,1275,1433.5,1395,1357,1390,1315,1300,1300,1350,1302.5,1350,1365,1295,1300,1295,1320,1400,1400,1400,1375,1320,1350,1395,1325,1350,1385,1400,1450,1450,1420,1400,1400,1380,1395,1402,1385,1400,1425,1450,1450,1500,1450,1400,1400,1400,1450,1400,1462,1400,1470,1500,1500,1550,1500,1500,1525,1500
"Phoenix","AZ","Phoenix","Maricopa",6,,710,750,750,825,775,800,795,849,847,850,799,795,797,835,825,850,825,825,844.5,775,729,725,742.5,750,764.5,756,750,759.5,775,779,795,779,775,758,750,756.5,778,785,788,790,778,785,800,800,775,795,825,825,825,841.5,849,850,840,850,850,850,844,850,875,875,888,900,899,895,898.5,900,905,900,905,975,975,970,1000,985,975,1016.5,960,969,960,959.5,944,939,995,1050,1150,1180,1135,1133,1112,1085.5,1066
"Las Vegas","NV","Las Vegas","Clark",7,799,835,862.5,850,850,837.5,895,775,755,735,725,755,775,780,800,810,800,800,825,800,790,750,766,750,763,759,750,750,750,750,750,750,750,795,772,758,770,799,799,799,850,895,895,925,925,895,950,995,995,995,995,1000,1000,950,900,900,925,940,989.5,925,919,925,950,950,950,930,940,900,900,939,970,925,939,967,970,950,1030,1100,1099,1090,1100,1125,1050,1100,1150,1150,1148,1067.5,1040,1019,1040,1001.5
"San Antonio","TX","San Antonio","Bexar",8,,,,,,,,921,950.5,910.5,799,749.5,764,800,765,797.5,780,795,841,895,805,790,800,805,860,865,820.5,799,800,808.5,846,850,825,835,809,799,831,910,905,851,863,859,877,894,899,908,949,987,975,975,985,960,1000,1000,990,995,975,979,1000,985,999,962.5,944,950,979,989,992,991,975,1019,1024.5,1004,1013,1063,1043,999,1025,995,1047.5,1025,955,1005,949,1000,1020,1024,1045,1100,1079,1060,1055,1072
"San Diego","CA","San Diego","San Diego",9,,,,,,,,,1980,1695,1832.5,1600,1650,1675,1795,1800,1795,1795,1800,1850,1777,1600,1626.5,1630,1600,1640,1595,1589,1630,1605,1595,1635,1550,1571,1609,1600,1595,1625,1600,1625,1650,1650,1670,1805,1775,1649,1795,1842,1785,1760,1795,1900,1950,1900,1949,1901,1925,1904.5,1895,1890,1905,1900,1900,1900,1938,1955,1995,2000,1995,1977.5,1955,1965,1965,1980,1995,1982.5,1992,2075,1995,2040,1950,1900,1950,1985,2000,2035,2080,2105,2100,2139,2135,2130
"Dallas","TX","Dallas-Fort Worth","Dallas",10,,,,,,,,,,,,,,1050,995,995,1020,1000,900,920,900,931,1030,972.5,949,1020,975,1100,1149,1100,1025,1100,1095,1115,1197,1282,1200,1215.5,1215,1167,1217,1231,1177,1284.5,1335,1332,1322,1350,1300,1300,1321,1287,1295,1275,1250,1250,1275,1328.5,1325,1305,1295,1250,1290,1280,1280,1300,1317,1353,1325,1288,1319.5,1338,1375,1395,1370,1354.5,1372.5,1350,1324,1420,1410,1350,1328,1395,1400,1425,1436.5,1436,1430,1442,1478,1455
