"Date","RegionName","State","Metro","County","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2017-09-30,"New York","NY","New York","Queens",0,2328,0.00215238915195867,0.00997830802603037,0.0219490781387182,386280
2017-09-30,"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",1,2986,0.00234978180597516,0.00776240296996288,0.0371656825286558,483019
2017-09-30,"Chicago","IL","Chicago","Cook",2,1601,-0.00124766063630692,0.00691823899371069,0.0190961171228517,316202
2017-09-30,"Houston","TX","Houston","Harris",3,1452,0.0020703933747412,0.00345542501727712,-0.0102249488752556,442053
2017-09-30,"Philadelphia","PA","Philadelphia","Philadelphia",4,1408,0.00427960057061341,0.013678905687545,-0.0007097232079489,122891
2017-09-30,"Phoenix","AZ","Phoenix","Maricopa",5,1327,0.00454201362604088,0.0176380368098159,0.0407843137254902,365341
2017-09-30,"Las Vegas","NV","Las Vegas","Clark",6,1318,0.00764525993883792,0.0169753086419753,0.0312989045383412,348665
2017-09-30,"San Antonio","TX","San Antonio","Bexar",7,1277,0.00156862745098039,0.0102848101265823,0.0323362974939369,421397
2017-09-30,"San Diego","CA","San Diego","San Diego",8,2760,0.00327153762268266,0.0143329658213892,0.050628092881614,221923
2017-09-30,"Dallas","TX","Dallas-Fort Worth","Dallas",9,1435,0.00209497206703911,0.0141342756183746,0.0520527859237537,231877
2017-09-30,"San Jose","CA","San Jose","Santa Clara",10,3443,-0.000870574579222287,0,-0.000870574579222287,172991
2017-09-30,"Jacksonville","FL","Jacksonville","Duval",11,1195,-0.00167084377610693,0.000837520938023451,0.0152931180968564,250200
2017-09-30,"San Francisco","CA","San Francisco","San Francisco",12,4198,-0.000476190476190476,0.00214848412508952,-0.0443888003642158,101669
2017-09-30,"Indianapolis","IN","Indianapolis","Marion",13,1118,0.00811541929666366,0.0210045662100457,0.0117647058823529,240369
2017-09-30,"Austin","TX","Austin","Travis",14,1878,-0.00212539851222104,-0.00582318687136051,-0.0131371518654756,178190
2017-09-30,"Fort Worth","TX","Dallas-Fort Worth","Tarrant",15,1418,0.007818052594172,0.0179468772433597,0.0411160058737151,214332
2017-09-30,"Detroit","MI","Detroit","Wayne",16,747,0.00134048257372654,-0.00133689839572192,0,303911
