RegionName,State,County,Metro,City,SizeRank,Year,Month,Value
26,13,49,44,26,1,2010,9,9.41480060593585
26,13,49,44,26,1,2010,10,10.4737162902597
26,13,49,44,26,1,2010,11,9.70765741143039
26,13,49,44,26,1,2010,12,8.97040118989606
26,13,49,44,26,1,2011,1,9.69802495331045
26,13,49,44,26,1,2011,2,9.51698697789672
26,13,49,44,26,1,2011,3,10.6769843463814
26,13,49,44,26,1,2011,4,10.6223601439538
26,13,49,44,26,1,2011,5,10.14182482921
26,13,49,44,26,1,2011,6,11.4938187737846
26,13,49,44,26,1,2011,7,11.7132923566899
26,13,49,44,26,1,2011,8,10.4888722674451
26,13,49,44,26,1,2011,9,10.5358431839314
26,13,49,44,26,1,2011,10,9.12945131951038
26,13,49,44,26,1,2011,11,8.98646272646628
26,13,49,44,26,1,2011,12,9.06198566945371
26,13,49,44,26,1,2012,1,9.21968043525326
26,13,49,44,26,1,2012,2,9.43334056619583
26,13,49,44,26,1,2012,3,7.97429688142263
26,13,49,44,26,1,2012,4,7.01704684057879
26,13,49,44,26,1,2012,5,7.27439207342137
26,13,49,44,26,1,2012,6,6.89220857159223
26,13,49,44,26,1,2012,7,6.83280897930822
26,13,49,44,26,1,2012,8,8.12409399546316
26,13,49,44,26,1,2012,9,6.34248055440015
26,13,49,44,26,1,2012,10,6.1944780081677
26,13,49,44,26,1,2012,11,5.65130096887185
26,13,49,44,26,1,2012,12,6.73242052284965
26,13,49,44,26,1,2013,1,6.61234452961047
26,13,49,44,26,1,2013,2,6.52836127641253
26,13,49,44,26,1,2013,3,5.36014626036065
26,13,49,44,26,1,2013,4,6.20757356141284
26,13,49,44,26,1,2013,5,5.29397389516093
26,13,49,44,26,1,2013,6,5.21774186801967
26,13,49,44,26,1,2013,7,5.71765819802769
26,13,49,44,26,1,2013,8,6.71958449979231
26,13,49,44,26,1,2013,9,5.23438284988264
26,13,49,44,26,1,2013,10,6.54839124820322
26,13,49,44,26,1,2013,11,6.27324700859755
26,13,49,44,26,1,2013,12,6.0146042141188
26,13,49,44,26,1,2014,1,5.56681479018845
26,13,49,44,26,1,2014,2,5.439651309445
26,13,49,44,26,1,2014,3,5.00666382236865
26,13,49,44,26,1,2014,4,4.8262263034588
26,13,49,44,26,1,2014,5,4.93564852816471
26,13,49,44,26,1,2014,6,4.19383470473826
26,13,49,44,26,1,2014,7,5.61656254684314
26,13,49,44,26,1,2014,8,5.41710767750122
26,13,49,44,26,1,2014,9,4.95395383669494
26,13,49,44,26,1,2014,10,4.99669448477201
26,13,49,44,26,1,2014,11,4.99748251759016
26,13,49,44,26,1,2014,12,5.82742928470304
26,13,49,44,26,1,2015,1,5.25003581391602
26,13,49,44,26,1,2015,2,5.30497852239911
26,13,49,44,26,1,2015,3,5.11965407452799
26,13,49,44,26,1,2015,4,5.91453960230617
26,13,49,44,26,1,2015,5,5.11042605343033
26,13,49,44,26,1,2015,6,5.0776793099337
26,13,49,44,26,1,2015,7,5.58429105803032
26,13,49,44,26,1,2015,8,5.90809520277111
26,13,49,44,26,1,2015,9,5.08208555372287
26,13,49,44,26,1,2015,10,5.94612625636082
26,13,49,44,26,1,2015,11,6.20601202262098
26,13,49,44,26,1,2015,12,6.14518833391275
26,13,49,44,26,1,2016,1,5.55921233539677
26,13,49,44,26,1,2016,2,5.7174570934372
26,13,49,44,26,1,2016,3,6.71628640779441
26,13,49,44,26,1,2016,4,6.32688606817872
26,13,49,44,26,1,2016,5,6.73617037417187
26,13,49,44,26,1,2016,6,6.42560755641552
26,13,49,44,26,1,2016,7,6.21978140720042
26,13,49,44,26,1,2016,8,6.71133993668941
26,13,49,44,26,1,2016,9,6.49291874421825
26,13,49,44,26,1,2016,10,5.53311432714758
26,13,49,44,26,1,2016,11,6.88177581223864
26,13,49,44,26,1,2016,12,5.86747172770259
26,13,49,44,26,1,2017,1,6.74375788002805
26,13,49,44,26,1,2017,2,6.83633198149772
26,13,49,44,26,1,2017,3,7.1314448459374
26,13,49,44,26,1,2017,4,7.10598630678096
26,13,49,44,26,1,2017,5,7.72089855939115
26,13,49,44,26,1,2017,6,7.99293871353654
26,13,49,44,26,1,2017,7,7.43491532366689
26,13,49,44,26,1,2017,8,7.04091989751387
