"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09"
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","06","037",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,311.040944619573,310.676527553324,305.555555555556,308.978180063165,312.025675891857,320.871604938272,326.547073791349,329.843997876361,332.857142857143,331.552458996348,332.167832167832,332.308282208589,327.281982227339,316.857334778528,320.121951219512,333.333333333333,338.180701047542,345.155709342561,353.936837333059,354.422964264792,355.920459299893,358.166189111748,358.15002820079,360.085836909871,358.558558558559,358.334598643587,360.109553286599,367.117117117117,372.915276851234,376.961967075327,378.952360431984,383.741258741259,385.342789598109,384.74415307344,385.321859654384,385.761589403974,385.588126207011,382.963641970565,385.195345788266,387.985865724382,397.129186602871,403.34679746105,407.407407407407,403.825136612022,404.65754298657,406.666666666667,406.739686228937
"Cook","IL","Chicago","17","031",2,175.330396475771,177.313015992829,178.2796961173,177.492924297185,173.333333333333,171.313706441271,165.225958124696,163.043025362319,157.255182273052,156.153823390152,152.523571824737,144.244052018828,140.398550724638,139.5,140.369181380417,140.938111653368,141.537424140256,140.930648732303,140.065545479881,138.777379878186,137.5,134.415584415584,127.693535514765,121.811535337124,123.354285628306,125.343026761131,127.352941176471,129.941860465116,130.79068943985,128.442644650487,122.96258329062,121.104701866172,119.735182849937,119.202272727273,125.702247191011,123.356128353498,122.233560090703,126.212121212121,130.792508657255,135.411020776874,139.405204460967,142.810714285714,141.584770114943,140.2687360546,142.041081328381,140.286977902543,134.596153846154,133.285714285714,128.900624099856,136.78905687545,144.496941045606,150.193798449612,155.670126019274,157.471728594507,157.420539986329,156.25,154.343667416085,151.983444470605,146.888180075044,138.888888888889,136.234280533505,143.035214309465,151.909722222222,155.330373658898,159.960404964076,161.904761904762,161.114842175957,159.421734795613,158.21874695249,157.5,154.640151515152,150.580053047702,149.615867004402,154.331797235023,162.323194444444,168.454460905723,171.930335123067,172.627705627706,170.498597396668,166.925465838509,166.812535151779,165.546179010741,162.651582734518,158.458244111349,157.629704984741,166.240409207161,172.655478775913,176.722270914826,179.763676506713,181.528669864154,180.875713043225,177.933056501778,177.053140096618
"Harris","TX","Houston","48","201",3,75.1400948592006,76.0886521315228,76.2682562904714,76.4705882352941,76.2629488401652,75.8612169460125,74.7623802391651,74.6875,75.3750645108643,74.7559181781537,75.1157407407407,74.2255266418835,73.6281736281736,73.5434574976122,73.7684729064039,73.4408268919214,73.7655122801002,73.7207285342585,73.1034482758621,72.5806451612903,71.6712990949671,71.8816805169423,71.2739793408756,71.3147286821705,71.3022662096605,71.307430129516,72.2100656455142,73.237489632292,73.6842105263158,74.0125673249551,73.7634869268738,73.6526344723559,73.5077677841374,73.3099377063436,75.2801434334379,75.9113814074718,76.2965917097646,78.7281321619557,79.8896015810578,80.8902877697842,81.6742988667458,82.4392712550607,82.6365052123061,83.1124750305412,83.7464999902166,85.4795439302482,84.8593121929433,85.448763080398,85.9519408502773,88.2776639344262,89.7204161248375,91.6921963828132,92.5462962962963,92.5925925925926,93.1923709016264,94.4904350078033,95.5620814134512,96.156948891702,97.578125,99.8055653913957,102.229381443299,104.338426059383,105.118935837246,107.293263335377,105.102688408991,103.560756972112,106.246320920788,106.931757119828,107.868674457387,109.17569887485,108.932819029251,110.858143607706,111.890685831709,109.721163922229,110.963586439282,111.030138725295,111.375,111.570698166114,110.930477898628,111.391340899538,110.827561064528,110.882777670151,110.2260111023,110.112045956225,110.791366906475,111.805,112.833223395964,113.469985358712,113.324175824176,113.113735239279,112.362796071635,112.725450901804,113.884892086331
"Maricopa","AZ","Phoenix","04","013",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.085048010974,122.743640378717,123.114061557031,124.373754351366,125.202125374695,125.950972104818,125.838649453384,125.770238629434,124.991883116883,125.057736720554,125.352554058289,126.586196224079,125.920542635659,125,128.784573039742,131.11277505797,132.62599469496,134.177306484387,134.778365471878,134.384694932782,132.31362817943,133.86534230391,135.048231511254,136.766647802301,138.198757763975,138.66559101523,140.18691588785,142.785319255907,143.279569892473,143.747005270724,144.725956566701,144.083466731345,143.3944291954,143.202416918429,143.904752173733,144.858262292915,145.687645687646,145.967259532987,147.298828862864,148.981612446959,149.414519906323,150.425060020199,150.505780346821,149.767787946541,148.996412843593,149.847327888416,151.281056672833
"San Diego","CA","San Diego","06","073",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,274.02991544118,274.664562765461,276.344168372268,281.033153430995,285.635993135993,289.767549668874,294.620602076905,296.052631578947,295.342465753425,295.657009942132,294.464944649447,292.256638096317,289.473684210526,285.843920145191,289.148129896171,294.38717067583,299.309523809524,302.559213789683,307.801418439716,302.974379421748,314.510400811771,315.51724137931,316.473791695031,314.717477003942,315.250484362026,316.524599277309,317.721483334178,321.000911284974,323.033707865169,325.095057034221,327.066466934846,328.518092105263,330.595482546201,330.031196244788,330.388013830196,330.46357615894,328.752107925801,329.632199861207,333.642261353105,334.928229665072,339.987405541562,345.697690662453,350,348.747652524154,350.588529927373,352.263196391564,353.624792473713
"Orange","CA","Los Angeles-Long Beach-Anaheim","06","059",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,343.762235708692,343.841214244016,344.020614225151,345.091466815393,347.970490434605,349.52285084877,352.571165429253,354.161542875881,356.339039446341,356.466876971609,355.704697986577,357.734806629834,356.309315479212,355.442493578333,353.356890459364,356.203845027153,360.843373493976,362.047440699126,364.583333333333,367.801897789938,370.171673819742,372.072853425846,374.073333333333,374.641675854465,374.944444444444,373.970515970516,376.778144135657,378.434421980301,381.801069518717,384.111288334104,386.403253922138,388.559377310084,391.077894544404,391.350813743219,391.023500097865,391.330166270784,392.361804429593,394.059405940594,395.054037580558,397.843942505133,399.860682765978,403.921568627451,406.091370558376,408.967156835747,408.061224489796,410.400302840427,412.312662534322,413.913973814964
"Kings","NY","New York","36","047",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,387.984542483993,382.848491524801,379.43848059455,388.586956521739,393.333333333333,395.878040057225,399.7,390.833333333333,389.756944444444,403.973509933775,401.606425702811,420,402.895054282268,401.931720945577,391.176470588235,398.614483493078,404.312668463612,433.365508365508,446.828358208955,447.9,450,449.228791773779,470.183299142262,466.941838011974,470.348796291002,523.776223776224,519.230769230769,533.73083766767,550,580,578.59649122807,579.150579150579,575.555555555556,603.204677754146,608.339768339768,607.741013071895,610.449482806403,660.427807486631,676.328502415459,653.719498813179,703.059271033269,666.878575969485,676.5625,666.666666666667,680.32699279824,704.398521350592,713.914174252276,714.252364782925,723.636363636364,718.75,729.11597729116,745.166666666667,753.012048192771,785.377358490566,798.525798525799,789.058093626622,769.344374386997,760.747663551402
"Miami-Dade","FL","Miami-Fort Lauderdale","12","086",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151.388888888889,157.769035532995,161.627279605001,165.892501658925,165.28162511542,164.682945515125,168.456036929089,175.438596491228,160.172833993786,158.685062946247,163.934426229508,176.782557454331,178.098029122383,182.309110303041,183.243017975078,180,183.59443582748,181.439197370697,182.125603864734,180.930499712809,181.791443850267,185.401808215726,188.583078491335,202.748986029743,206.756189213086,203.333333333333,212.520724281981,211.392304098632,211.60409556314,197.263397947548,198.935462408516,213.33632498616,216.657287563309,222.305526963802,221.722113502935,239.115398550725,242.950516525464,256.888888888889,264.940239043825,257.142857142857,264.246323529412,267.81778104335,266.310160427807,265.379033844943,260.246584255042,266.739866167849,270.873786407767,274.261603375527,278.179638107696,278.238866396761,280.244970698288,280.472015879222,280.838323353293,282.511210762332,284.501061571125,282.511210762332,277.156654676109,281.046174299521
"Dallas","TX","Dallas-Fort Worth","48","113",9,84.2479397856177,84.5967741935484,86.9262865090403,88.0597014925373,87.3524091670366,86.8459302325581,86.5098147128967,84.7852985075302,84.0760945668409,82.8995519983892,80.9181347150259,77.8938207136641,76.0326086956522,75.7575757575758,76.3095256203302,76.6706646351311,78.6672015417376,78.6356821589205,76.9230769230769,75,73.4707903780069,72.7728983688833,70.5521472392638,68.1694699157603,68.8920454545455,70.1882682878227,70.1996670892779,70.2455808891903,71.8348623853211,73.3720574747784,73.1327113080319,71.6946335107936,71.0526315789474,72.4588119327045,82.3809523809524,82.2175732217573,81.4937622229993,82.9302987197724,87.9126488939308,90.5072463768116,92.2564136355649,92.215088282504,92.2242314647378,91.9067349762781,92.5925925925926,92.2958579881657,91.5668535660254,91.4796523802876,88.9431442283791,89.4866217409518,94.3469119579501,97.5201265094882,100.585223116313,96.5672737496486,96.8493070237256,101.315789473684,98.7108288332515,98.3971187150306,96.4467952706907,98.6827554307525,99.3781094527363,104.166666666667,108.556341442654,111.194029850746,111.384487567503,112.109320490143,110.267584871983,110.411277507425,112.467866323907,114.285714285714,114.795918367347,114.05356605477,114.126172356385,117.710005350455,124.001650165016,128.642281463112,131.562078272605,131.491712707182,131.039017974573,129.433083096039,132.083040237919,133.608815426997,134.555049172463,134.709434106876,135.991550039609,138.384509613063,142.321975647767,148.594778411584,151.095993953137,150.871080139373,148.131267092069,147.029204431017,147.854232010806
"Queens","NY","New York","36","081",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,292,291.880029261156,294.257127192982,300.915451650746,303.171641791045,307.916666666667,312.206572769953,316.455696202532,319.263865546218,324.599397590361,318.910256410256,319.023569023569,315.811403508772,314.705882352941,312.308643527834,323.481591710758,330.648976104007,339.698492462312,349.998888888889,348.228026675787,348.081206584114,349.166666666667,350.9011208577,346.204188481675,345.333333333333,350,352.305607671461,355.569948186529,350,362.851332113077,376.868022328549,380.788676342933,392.486992529655,398.434715787598,396.935285588198,399.092970521542,400.802752293578,412.593984962406,420,425.696594427245,433.967792450085,439.703889685956,444.8,449.878020609728,455.852004716981,458.333333333333,464.948081264108,460.307692307692,458.987783595113,446.873958333333,452.412698412698,465.333333333333,482.347497720018,497.767857142857,505.506607929515,501.329824859237,500.78243708452,499.166666666667
"Riverside","CA","Riverside","06","065",11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161.457878655609,163.188131313131,163.206815245478,165.196078431373,165.516069309218,167.26618705036,168.9332247557,168.45363463057,166.666666666667,166.752262344052,166.500716666105,166.982963200369,166.954032470264,167.232186136694,168.646720071742,172.937771345876,173.830670090836,174.44908915421,175.757575757576,174.910220760642,174.880763116057,174.193548387097,174.3512885155,175.929614873838,179.162221524945,180.13728013728,181.982169888685,183.237791932059,182.697814785444,183.460836218791,183.184593705965,183.318056828598,183.580858085809,182.531478633257,183.544303797468,184.653409090909,186.743268840183,187.428501922051,188.656858092074,189.343768813968,190.361445783133,190.763052208835,191.964285714286,192.747826222883,193.069306930693,193.222378624304,194.734698561235
"San Bernardino","CA","Riverside","06","071",12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.615842796705,144.399398667647,144.980760287265,146.389069616135,150.558035714286,153.747876077597,156.1144839549,159.409020217729,160.818713450292,160.481635214303,160.311958405546,159.541592653547,157.657657657658,155.973068935017,161.591355599214,161.458333333333,163.909007659008,165.207006369427,166.666666666667,168.544830965213,169.408043380027,170.173267326733,171.166818777033,172.413505747126,172.445019404916,172.353278410056,171.876918747442,171.255225720626,175.842797989727,178.541410519126,181.781011946686,183.640303358613,186.458333333333,184.52380952381,183.290194024179,182.430536065114,182.453038414577,182.456143944966,182.086910841464,185.212377413531,187.50706853653,189.819407966192,192.486750657519,191.246742702682,192.776849683529,194.39582473007,196.981683927886
"Clark","NV","Las Vegas","32","003",13,84.8133484162896,85.6793145654835,84.1981132075472,83.0508474576271,81.6062176165803,80.3161424200065,78.3699059561129,76.9430051813471,75,74.3971449261123,70.0379867046534,67.3823134500346,64.1254574638844,62.1393034825871,61.6201060363391,60.8818737270876,61.7283950617284,61.7283950617284,61.5847403981552,62.4457935819601,62.0156279389006,61.1734693877551,60.8359133126935,59.9400599400599,59.8563447725459,61.6602949208083,63.2011967090501,64.8252536640361,68.3691568851804,70.1195090931568,69.0335305719921,70.0654794207535,71.3095856021729,72.2583659771652,76.6575342465753,79.0195044807591,81.1751063007344,82.5747724317295,84.8953594176524,87.5656742556918,90.1230117404114,93.4056399476083,94.9754901960784,99.3365047348687,100.877192982456,102.189781021898,102.996254681648,102.947438970628,101.815311760063,102.818714194976,104.529616724739,106.10101744186,107.421875,108.185039384259,108.592132505176,110.320284697509,110.822570690562,111.074322935856,110.408839779006,110.965433273193,112.221749733882,113.873757723404,115.237288135593,115.972176388261,117.647058823529,117.968182633963,119.287880137463,119.701762313601,120.535714285714,120.850698700662,121.151929262564,121.11620414076,121.587240156291,121.301487982375,123.472862737528,125.909345271405,127.286668676172,127.852348993289,128.289223897264,129.032383820204,129.688325409403,130.184581976113,130.684104627767,130.992507295128,132.151221144195,133.836020097517,135.82510059757,137.710751440135,139.169756494318,140.801001251564,143.091041607478,145.272727272727,147.415233415233
