"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09"
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","06","037",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,311.829969189223,312.572505800464,310.118476398193,307.692307692308,313.029133267333,310.320997068846,318.265976023764,325.842696629213,328.571310722724,327.41758806011,326.944114149822,327.419461753188,328.082191780822,325.225470196521,317.578006293439,320.042719829121,332.704402515723,337.593984962406,344.536088208754,347.426470588235,346.733668341709,345.435853639357,351.663672179793,352.907961603614,354.720439963336,349.228611500701,349.992998833139,358.339749035017,364.971203301611,368.468468468468,371.260874496444,370.806731850947,375.264270613108,375.693656682098,374.331550802139,375.669138064295,375.085266030014,373.134328358209,373.031727379553,377.754459601259,382.230640321727,389.72602739726,398.089171974522,398.406374501992,394.004282655246,394.134353296288,395.670103092784,398.311027646374
"Harris","TX","Houston","48","201",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157.458775294141,143.784079057044,159.362549800797,162.812160694897,165.561694713354,165.377132595031,163.139329805996,169.525731584258,169.584294363558,176.460769576167,175.245441795231,177.417380660955,181.562088971281,178.871548619448,178.527768075445,181.607621103869,182.271658545463,177.36890524379,180.588744280871,179.10447761194,179.10447761194,179.955992751747,184.012600506644,179.461279461279,175.341130604289,175.580221997982,169.801462904911,166.107382550336,167.34693877551
"Maricopa","AZ","Phoenix","04","013",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.583566760037,124.916666666667,125.364384963548,125.490196078431,124.916666666667,124.739039665971,125.497287522604,126.138752627891,125.875499636628,125.684931506849,126.4,128.5,130,127.803669181832,130.518065268065,131.081081081081,131.410256410256,134.253731343284,135.720879878212,134.651737676312,128.496283021373,134.196373081424,138.968149694728,141.191576784797,144.204018547141,146.017699115044,147.520661157025,147.548566142461,146.83734939759,149.348659003831,150.508209538702,149.657827202737,148.267284268314,148.554169030062,150.342801175318,150.869368159538,152.959183673469,154.600606673407,156.949688933322,159.432778063631,157.1361565264,160.050251256281,160.662586883004,159.581359928227,158.390410958904,159.096677132391,159.628378378378
"San Diego","CA","San Diego","06","073",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290.130624092888,290.778246688191,294.34546862897,298.969072164948,307.765151515152,313.417190775681,315.265486725664,321.631878557875,320.054945054945,321.198072805139,318.009597971749,311.264822134387,309.844559585492,304.790940766551,312.5,316.356382978723,323.820617355853,326.998689384011,331.473214285714,320.584926884139,340.17746787568,340.302491103203,339.450867052023,335.364371252341,338.499184339315,341.713483146067,344.339622641509,344.210062842733,347.407248120489,351.598676957001,353.77358490566,355.547573245937,358.645509953668,360.932475884244,362.036232027242,359.983309692635,353.611899118296,353.493222106361,360.772357723577,370.403321470937,374.362317264709,382.231111111111,387.367303609342,392.156862745098,395.321774445486,394.709288910248,403.196776515943
"Orange","CA","Los Angeles-Long Beach-Anaheim","06","059",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,328.961850649351,326.357096141269,326.24633431085,328.63403944485,329.362828512006,331.55792276964,334.979640315621,338.181818181818,338.902352027247,339.958158995816,343.341957430044,340.497729336966,341.261633919338,338.571428571429,337.673611111111,343.721356553621,344.01966138722,346.58432802509,351.570964247021,354.51197053407,354.78563388126,355.075472652225,356.227916227916,354.655294953802,354.095491029273,357.142857142857,358.248519990268,362.727272727273,365.806129247169,366.070932539683,370.37037037037,372.198767003812,373.303167420814,373.494419461332,372.950819672131,374.348958333333,375.19747235387,374.449941575715,376.269164840106,380.309697923724,386.18025751073,390.625,395.441030723489,393.1378259425,395.232607142082,396.155811351657,397.437238493724
"Kings","NY","New York","36","047",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,761.760222367436,761.116600790514,753.889674681754,846.153846153846,873.544093178037,841.052631578947,916.331414895436,873.998543335761,890.432098765432,859.723802750118,847.710004781893,881.949916502874,892.857142857143,896.642397798511,905.407420663326,902.610441767068,923.071998786071,932.400932400932,929.06976744186,945.241199478488,956.284153005465,939.879518072289,916.507220069012,901.253918495298
"Miami-Dade","FL","Miami-Fort Lauderdale","12","086",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218.132499684224,232.394366197183,243.703411607747,244.431416378785,242.914979757085,240.10617499973,243.089430894309,250.078369905956,229.591836734694,229.635499207607,242.424242424242,266.331658291457,261.795564167045,267.665952890792,270.192606399503,266.197183098592,269.607843137255,262.295081967213,268.772240205066,265.237219698608,270.894238456842,280.295454545455,284.285714285714,311.675564620137,321.854304635762,321.05504587156,328.09412055336,330.034134467418,322.31708353054,309.326491406499,302.547770700637,324.396512705563,331.922544951591,341.955688849044,342.555994729908,365.37263556116,367.396331738437,371.209909799699,370.713623725672,361.338797814208,371.302975367959,371.051283811254,368.188512518409,371.951219512195,369.916330300119,372.368939207482,372.041984732824,371.133505154639,372.020725388601,373.194221508828,373.961218836565,372.351160443996,370.967741935484,371.428571428571,371.158625341712,370.559262687127,367.441860465116,368.932038834951
"Dallas","TX","Dallas-Fort Worth","48","113",8,142.93625659163,141.797216805232,139.677419354839,138.549675003972,136.551286122579,137.692932575142,137.487989872191,131.236402412634,130.110278802811,129.694321353867,124.895652173913,123.136285978453,121.840526769748,123.339658444023,123.156992151177,122.919818456884,121.832358674464,121.681415929204,121.303395399781,119.46446961895,115.753424657534,117.233324700737,116.016720826483,114.942528735632,116.543849577522,119.471397538016,120.398009950249,120.454545454545,123.191733639495,120.954692556634,118.097876269621,117.189280261417,115.348837209302,120.488664995419,128.452151573539,128.022759601707,132.126436781609,132.430841671571,133.971291866029,136.222005842259,136.28736234924,136.600173460538,136.938256257162,138.846214276985,144.397463002114,142.819289878113,143.887074844389,139.964788732394,138.577635327635,140.451368887077,140.160183066362,143.79622021364,150.153290706336,140,139.196265251563,143.79622021364,142.214126453257,142.715559960357,146.033350176857,145.965237427369,150.858583614715,153.684210526316,156.180952380952,165.425531914894,161.377084454008,159.552845528455,157.48031496063,159.281740010116,162.881142968555,166.538461538462,165,181.159420289855,184.452143785188,182.97081790087,186.096512183469,195.858642510953,200.573065902579,203.012019627247,200.166984732824,204.042444267521,208.944793850454,213.635027916544,215.72982774252,215.759849906191,216.687691815255,216.355140186916,218.1198371912,223.351955307263,221.238938053097,221.279212792128,221.810545172848,215.336134453782,214.098856535035
"Queens","NY","New York","36","081",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,472.222222222222,478.260869565217,491.615454545455,502.728668171558,504.489343477604,516.597510373444,522.92576419214,534.458348921312,530.741542619085,554.814814814815,556.379821958457,581.734470691164,596.262160139686,613.996439697374,592.938041305796,584.615384615385,600.350015985971
"Riverside","CA","Riverside","06","065",10,164.460346481237,161.790780141844,163.926726162518,162.48105066263,159.948931476928,158.091723774381,152.328767123288,155.31914893617,151.749174917492,150.347222222222,151.515151515152,149.013405820508,146.252927400468,141.672572643515,140.986632718014,141.911764705882,139.225181598063,136.538461538462,133.147853736089,130.784706783873,130.630630630631,130.58677061545,132.170083433698,131.864406779661,133.004544492504,133.876935259263,131.710079275198,132.824953506908,133.287128939788,132.837407013815,131.257631257631,133.697880681033,134.784283513097,138.726716708368,150.668993600931,153.228962818004,156.0545764639,160.875721256244,160.887096774194,162.878787878788,164.401019541206,165.038532335776,163.98482781289,164.359861591696,164.530959752322,167.253521126761,172.713791398913,174.79674796748,176.405733186329,177.850719866346,176.825919824272,177.737465725316,180.822822129929,178.953721668577,177.838577291382,176.977401876569,177.872340425532,178.909691629956,180.614539475973,180.535793198601,180.882026039641,180.994152046784,182.365542116462,183.080808080808,184.411969380654,184.439608269859,184.07960199005,183.199285075961,184.377422274168,185.239298393069,187.254630615286,187.894073139975,187.169030022632,185.303514376997,185.612066519969,185.902494724366,185.968521021694,186.781609195402,186.170212765957,186.382978723404,188.156029012884,188.333333333333,190.191754761442,189.949324324324,190.36954087346,190.561529271207,189.787234042553,189.355386517623,189.669396816423,192.307322485207,192.804954849177,192.279138827023,194.029850746269
