"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09"
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","06","037",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,437000,429869,419000,425000,429900,448500,450000,459900,469900,468000,465900,465000,459000,445000,445000,459900,474900,489000,499900,509000,509900,515000,514000,517604,510000,509900,501750,518950,529900,544994.5,549000,551302,549999,549000,549000,549000,549000,540000,547000,549844,559900,574900,579900,579000,579000,579000,575000
"Cook","IL","Chicago","17","031",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159500,157900,160000,167700,174900,179900,184000,180000,180000,184900,179000,169900,169900,162900,169900,180000,190000,198250,199900,2e+05,199900,194500,189900,184500,175000,169900,175000,189900,199000,204900,209900,209900,205000,2e+05,199900,199000,190000,189900,199000,214900,224000,228600,229105,225000,219900,219900,218900,210000,204900,2e+05,219900,229900,235000,239900,242952,244000,239900,239900
"Harris","TX","Houston","48","201",3,119000,120000,124123,124900,124813.5,123000,120000,122000,128500,126900,128038,125000,124900,124900,124900,124900,125000,125269,125000,124900,120000,120000,119000,119900,119900,119000,119900,120995,122500,123985,124595,125000,124500,124900,130000,131500,131997.5,138000,139900,143900,145000,145000,146000,148925,149000,150000,149900,149950,152000,157490,159990,167000,167900,169000,169000,169990,169995,174900,175000,184900,189343,199500,199900,213990,199999,196255,210000,215000,220990,224900,222990,227990,230000,224000,229000,229900,229000,230440,229000,227950,225000,225000,224000,219900,220000,224990,227000,229990,230000,229900,225970,228000,234925
"Maricopa","AZ","Phoenix","04","013",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214990,239000,229990,233332,243957,247643,245000,249900,244495,255945,244970,263118,230000,239900,265000,265990,274995,280990,278490,278490,274990,282990,278490,283000,284995,283900,284900,289995,283995,285000,289990,288380,285995,285245,286582.5,285990,284990,274945,279695,287990,299700,300990,299900,299000,304945,309990,310950
"San Diego","CA","San Diego","06","073",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,410000,419900,425000,429500,439000,449000,449000,459900,464900,459999.5,459000,450000,449900,439900,449500,455000,479000,479975,497250,479900,499900,504000,509000,499900,5e+05,499999,5e+05,514900,515000,519000,527500,528800,529900,525000,528000,525950,525000,519950,525000,530000,539900,549900,559000,555000,559900,559000,559000
"Orange","CA","Los Angeles-Long Beach-Anaheim","06","059",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,579000,575000,575000,589000,599000,599999,610000,618000,612400,615000,619900,6e+05,599800,589999,599888,620000,628000,635000,649000,649000,640000,649000,649000,649000,649000,649900,649999,650000,655292.5,669900,674900,675000,675000,677000,677500,679000,675000,675000,680000,689000,699000,710000,715000,7e+05,709825,709000,715000
"Kings","NY","New York","36","047",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,818400,819000,799999,879500,899000,899000,889999,942900,939062.5,929000,995000,974500,969000,925000,949500,989000,999000,1050000,1082000,1040000,1051000,1052000,1095000,1199500,1195000,1249000,1162500,1117000
"Miami-Dade","FL","Miami-Fort Lauderdale","12","086",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239999,235000,229900,230000,229997.5,240000,239000,239900,235000,239900,248250,249900,260000,265000,260000,274500,285995,285000,263450,265000,290000,295000,3e+05,3e+05,324999,329900,339500,340000,335000,350000,350000,350000,350000,351990,359900,359000,365000,369000,369899,375000,374700,375000,385000,395000,387000,380000,388790
"Dallas","TX","Dallas-Fort Worth","48","113",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144900,144900,144000,137350,135945,142500,149900,153990,147990,148990,154900,148950,147000,144900,145000,148000,158000,159990,164000,167500,165000,164900,169000,174900,174900,174900,169900,170000,174900,185000,195000,199000,199900,203950,204800,205000,211000,215000,210000,217450,224900,225000,235000,239900,242000,240000,240000,245000
"Queens","NY","New York","36","081",10,446777.5,448000,440000,438000,429000,425000,419000,409000,419990,419000,409999,399945,399000,399000,399000,399000,399000,399000,389000,379000,379000,379000,379000,378000,379000,378500,377500,375000,375000,370000,373250,369000,365000,365000,379000,379000,379000,380000,385000,385000,389000,380000,371000,371000,371000,370000,379000,379000,379000,390000,389000,395000,399000,399000,399995,4e+05,399999,429000,429000,419000,419000,419000,419000,419000,419000,409000,429000,439000,439000,465000,469000,459000,479000,480000,489000,499000,495000,499000,499000,499000,499000,499000,489999,489000,485000,479999,489000,495000,532500,529000,537750,539999,550000
"Riverside","CA","Riverside","06","065",11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299000,299950,299900,305000,310000,315000,315000,314000,309900,310000,309900,305000,3e+05,308000,312184.5,324900,325000,328165,329000,329000,325000,325000,325000,329000,335000,339000,339900,340000,344900,349000,348900,345000,345000,339900,339900,340000,349000,349900,350000,358900,359900,359900,359250,359900,359900,359000,359000
"San Bernardino","CA","Riverside","06","071",12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219900,219000,218000,219900,224945,227700,234500,240000,247500,245000,247900,247000,240000,239900,245000,245000,249800,249900,254999.5,259900,259900,261000,262250,264900,264900,260000,260000,264900,266000,269000,278000,279999,285000,280000,279900,279500,279900,279000,275000,279900,287000,290000,295000,294900,297000,298000,299000
"Clark","NV","Las Vegas","32","003",13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169000,168949.5,165000,167950,169900,171900,175000,179900,180000,185000,189500,187925,185000,186000,187500,189990,194750,195000,199900,199000,199999,2e+05,204900,205888,205000,205000,205000,2e+05,209000,210000,215000,219900,219900,220000,222000,224900,225000,225000,227900,229925,234900,239900,240000,247000,249990,250000,255000
"King","WA","Seattle","53","033",14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350000,349900,339000,345000,354950,369900,369000,393000,395000,390000,389825,379900,352500,325000,340000,364974.5,390000,399950,414950,424900,419900,424900,419950,419000,415000,4e+05,408000,419900,435000,449000,464900,475000,460700,450000,465000,470000,465000,445000,449950,479950,515600,519000,535000,540000,540000,539900,530000
"Wayne","MI","Detroit","26","163",15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99600,109800,119900,124900,119900,120000,119900,114900,104900,99900,110000,119900,120000,125388.5,129900,130000,129999,134500,130000,128350,124900,117200,115000,114900,119900,124900,129900,125000,138900,139900,144900,139900,139449.5,135000,135500,135000,149900,155900,159000,169900,163900,157750,155000
"Tarrant","TX","Dallas-Fort Worth","48","439",16,118900,119900,120000,121000,120000,119900,119900,120000,125000,120000,115322.5,112900,110000,109900,110000,114000,114900,116500,114900,114500,109900,109900,107000,104000,104990,105500,105000,105000,108000,110000,108992.5,105000,105000,109850,126900,128000,129900,134400,134990,136990,139900,140000,141765,140151,140612,141990,139900,140000,139900,145000,147500,149900,152000,150000,153000,155601.5,156385,156550,154115,153900,155990,160000,165000,168000,167000,165000,166093,167000,168000,167400,169000,169500,169900,168450,172900,176250,180000,185000,187000,186853,185000,187900,189000,189900,190000,197000,199900,203900,205900,209999,210000,209000,209900
