"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09"
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","06","037",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,938888,938888,859000,849000,850000,899800,959000,950000,975000,950000,950000,930000,922450,825000,879000,919000,957000,997000,1059997,1148950,1149000,1100000,1100000,1100000,1099000,1080000,1099000,1138400,1150000,1150000,1198888,1200000,1200000,1199000,1199000,1199999,1199800,1180000,1208000,1250000,1250000,1288000,1299500,1288944,1299900,1299000,1298250
"Cook","IL","Chicago","17","031",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,374000,382450,379900,374900,372990,374999.5,379000,364900,339900,329000,359900,393999,405000,419800,415000,399000,380000,369900,359450,349900,329900,315000,349900,375000,395000,4e+05,419900,419900,399500,399686.5
"Harris","TX","Houston","48","201",3,349000,349000,342967.5,339949.5,342000,339000,329000,330000,339000,333962.5,333000,325000,316252,319990,325000,329900,334949.5,337900,329900,320000,312500,317995,309900,319900,309949.5,310000,329575,338900,343495,349975,349900,339975,337000,328634.5,339997,353990,354970,369900,375000,375000,389000,399000,400990,399900,409602.5,415495,410732,417495,414950,433720,435900,447445,440000,449000,443990,450000,462990,459000,457990,458612,467238.5,469000,473614.5,477990,469020,464350,473014,469900,455125,474900,477616,475000,479950,475484.5,475000,479900,479000,469974.5,459000,459170,460000,458990,450000,439900,440000,450000,454995,459950,464900,457877.5,450000,449250,450000
"Maricopa","AZ","Phoenix","04","013",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,604990,598460,556990,525000,548990,545990,530000,499945,497400,491900,536500,533745,527240,519999,508945,521195
"San Diego","CA","San Diego","06","073",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,910000,927000,950000,978450,995000,1049500,1049500,999000,959000,969000,997000,995000,969000,924888,950000,1e+06,1099000,1100000,1149000,1050000,1150000,1150000,1175000,1179000,1195000,1227500,1184944,1249000,1250000,1200000,1199949.5,1185500,1195000,1195000,1177000,1150000,1167547,1205035,1235000,1205000,1250000,1287492,1250000,1230000,1225000,1200000,1201490
"Orange","CA","Los Angeles-Long Beach-Anaheim","06","059",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1275000,1249950,1250000,1202495,1275000,1295000,1299000,1299000,1275000,1297500,1350000,1375000,1349450,1309519,1389000,1362000,1347000,1350000,1388750,1388000,1375000,1390000,1385000,1369000,1349000,1399000,1450792.5,1418450,1411447.5,1398500,1449000,1450000,1450000,1399999.5,1399888,1388450,1398000,1400000,1464497.5,1462000,1450000,1450000,1499900,1490000,1542000,1589000,1595000
"Kings","NY","New York","36","047",7,550000,559950,569000,559000,550000,550000,550000,550000,550000,529393,529000,519000,507000,517000,519000,499000,510000,539000,549000,539000,549000,549000,539000,529000,539000,545000,539000,539000,549000,550000,549000,549000,549000,549000,579999.5,589000,589000,599000,599000,599000,599000,649888,669000,679000,698900,699000,725000,728900,775950,769000,799000,788500,799000,8e+05,829000,799000,799000,849000,879000,899000,995000,949000,949000,994500,1100000,999000,998499,999999,1100000,1199000,1260000,1254500,1335000,1350000,1320000,1300000,1299000,1250000,1200250,1275000,1267500,1250000,1270000,1350000,1299000,1299000,1299000,1299000,1300000,1450000,1500000,1499000,1500000
"Miami-Dade","FL","Miami-Fort Lauderdale","12","086",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999450,1060000,1039900,1098000,1099000,1100000,1025000,975000,975000,979900,995000,1032450,999999,1099999.5,1050000,1100000,1100000,1150000,1050000,998000,998950
"Dallas","TX","Dallas-Fort Worth","48","113",9,465000,470761,495000,489900,474999,455000,482000,450000,444900,4e+05,380000,350000,349900,369900,369000,385000,415000,365000,349900,319900,350000,349900,329757,329000,347000,374900,399950,399450,424900,399900,424900,396700,399990,389000,433900,419000,419900,447450,505000,572734,575000,549900,546250,546500,563567,549900,549894,499900,499900,499900,549445,599900,598250,569000,550000,581249.5,549000,549900,559945,559900,550000,567000,629000,609990,603485.5,599500,594990,592990,574245,599450,592990,586990,579990,615000,678794.5,712103,749000,750000,775000,727000,750000,749000,730000,705411,688611.5,709995,779000,869000,949497.5,850000,724900,699000,729900
"Queens","NY","New York","36","081",10,648350,645000,640000,639000,629000,625000,619000,625000,625000,607000,599000,598000,589000,599000,599000,579000,585000,589999.5,590000,575000,568000,585000,579000,569000,569000,569000,559000,575000,585000,579000,569000,559000,549000,549000,589999.5,592000,579000,589000,585000,585000,589000,575000,585000,578500,579000,589999,583000,589000,589999,599000,599000,625000,629000,649000,649000,667000,649000,639000,625000,629000,639000,629000,629000,679000,679000,669000,677000,699000,699000,719000,719000,719000,729000,729999,739000,769000,769000,789000,789000,799999,838500,855000,799000,799000,819000,769000,799999,829000,875000,899000,899999,930000,929000
