"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09"
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","06","037",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,399000,398000,388000,394900,395000,4e+05,419000,419000,419000,419000,425000,425000,422975,4e+05,4e+05,429900,449000,450000,459850,463500,459000,459000,465000,468000,459500,459900,468000,478000,479000,485888,488000,495000,495000,489000,494800,495000,495000,489000,493000,499000,499900,519925,525000,520000,525000,529000,530000
"Cook","IL","Chicago","17","031",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190000,184900,180000,199900,219000,225000,229900,229000,229000,224900,224886,219500,214900,2e+05,199872,215000,225000,225000,225000,225000,224900,219900,215000,210000,205000,204900,209999,225000,234900,239000,239000,239000,235900,234900,239000,240000,239900,238300,244000,254000,259900,264500,264900,265900,264900,258000,259900
"Harris","TX","Houston","48","201",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144000,150000,153750,165000,175000,174900,175000,179550,185000,170000,155000,175000,179990,185000,189000,188000,194900,195000,2e+05,205000,209000,212000,210000,215000,220000,215000,199500,209900,208500,199900,199250,205000,205000,199000,196400,185000,179900,184500
"Maricopa","AZ","Phoenix","04","013",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145000,144900,147900,145000,145000,144900,145000,147900,144250,143000,149500,150000,154000,149990,155000,155000,155000,159000,160000,159000,149500,159794,169000,169900,174000,175000,179900,179000,175000,175000,179900,179900,179900,179900,184900,185000,189500,190000,194900,195495,194900,192500,190000,189999,189000,189900,189900
"San Diego","CA","San Diego","06","073",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317500,319000,320000,325000,339900,349000,329900,339900,359900,359900,355000,349000,354900,349000,349000,349900,365000,375000,382500,363000,389000,389000,392500,389000,389000,388444,388000,395000,399900,414000,417000,423949.5,425000,424900,419000,415000,409900,399990,419900,420000,420000,429000,445500,449000,446250,445000,445000
"Orange","CA","Los Angeles-Long Beach-Anaheim","06","059",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,389999.5,389500,389000,385000,393500,399000,399900,409000,405000,405900,409535,4e+05,399900,399000,399800,414700,418444,420000,429999,435000,435000,435000,429900,426000,423900,425000,429000,439000,437000,438000,449000,459000,455000,449900,450000,450000,449900,449000,452250,465000,479950,480000,488880,485000,490000,490000,494900
"Kings","NY","New York","36","047",7,399000,406750,399000,399000,408500,409000,409000,405000,415000,416540,399000,399000,395000,365000,379000,374000,375000,365000,350000,349000,349000,350000,350000,365000,355000,379000,365000,379000,399000,385000,379000,359000,355000,349000,365000,349000,349500,365000,369000,388000,389000,385000,364999.5,365000,385000,395000,439000,439000,459000,449000,459000,475000,459000,475000,479000,479000,479000,525000,538000,540000,589000,564749.5,597000,609000,650000,665130,669160,650000,679000,675000,675000,689000,735000,752500,735000,798000,750000,760000,749000,755550,785000,799000,790000,795000,785000,799000,820000,825000,825000,825000,8e+05,799000,795000
"Miami-Dade","FL","Miami-Fort Lauderdale","12","086",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,269000,267000,270000,270000,269000,275000,274900,270000,267600,270000,280000,285000,305000,317950,309900,315000,318000,310000,297000,292000,310000,320000,329900,335000,365000,377450,370000,372000,359900,375000,375000,370000,375000,372000,375000,374900,375000,375000,375000,379000,375000,375000,375000,376625,378000,375000,377000
"Queens","NY","New York","36","081",9,249000,249000,245000,245000,249000,249000,249000,240000,240000,245000,245000,239888,239000,239000,238823.5,230000,229945,229000,229000,229000,229000,225000,224000,223000,220000,223000,224999,225000,225000,225000,220000,219900,219000,219994.5,220000,219000,219000,219800,220000,225000,225888,225000,225000,225000,228990,220000,228000,228000,234900,235000,245000,249000,239000,248000,246000,249000,252900,249000,245000,249000,255000,259000,259000,250000,265000,285000,280000,289000,299000,299000,309900,3e+05,329000,339500,330000,329999,333000,339000,349000,358000,368000,369000,375000,379000,380000,389500,399000,419000,435000,439000,428000,428000,425000
"Riverside","CA","Riverside","06","065",10,219000,218900,224000,219900,219900,216000,2e+05,219000,210000,208450,219000,204450,199000,195900,199000,203800,199900,195900,189000,184900,184900,185000,189000,189000,189900,195000,189000,189000,189900,189000,179950,179000,182000,194450,229000,235000,239000,243500,249000,249900,249900,249000,244900,239000,239000,239900,249900,259000,269000,269000,265000,265000,269000,259500,254990,249900,249900,250400,259000,264250,269000,274900,273000,275000,275000,275000,269000,265000,269000,272985,280000,284000,284900,281500,284700,283950,279900,283450,281790,279750,279999.5,285000,289900,290000,295000,290000,289000,279999.5,279000,279900,279500,279900,288888
