"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09"
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","06","037",1,416900,399000,399500,399000,399000,389450,377691.5,379900,390000,389000,375000,365000,350000,349999,350000,349000,350000,350000,349900,350000,349995,355000,369000,359900,355400,359900,370000,365700,379900,384945,379949.5,379000,372000,399000,399900,405000,425000,425000,445000,450500,475000,489000,5e+05,525000,538000,549000,549000,559000,540000,544950,539000,550000,570000,579900,589000,599000,599000,599000,595000,599000,599000,599997,614900,649999,653500,660000,669999,688944,688000,695000,699000,695000,690000,698000,699000,699000,720000,729000,730000,739000,749900,749900,750000,745000,770000,765000,780000,799000,798000,798000,799000,799000,799000
"Cook","IL","Chicago","17","031",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169007.5,159700,150500,159900,169900,168000,172000,189949.5,195250,194999,196900,199000,189900,180000,167000,168900,176000,185000,195000,199000,199000,199900,199000,199900,199000,190000,189000,185000,199000,219450,220000,214900,212000,205450,204900,199997,199000,195000,187000,190000,204700,209900,220000,228500,223950,220000,225000
"Maricopa","AZ","Phoenix","04","013",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149900,154950,159400,166200,168500,169000,172000,173250,167518,172900,169000,169900,172978,175000,175000,174900,169250,174900,189000,179000,169000,175000,170000,169900,175000,175000,174950,179945,185000,189900,210000,210000,220000,220900,220000,215000,230000,225000,229900,240000,230000,224950,229250,249000,244500,249900,240000,249950,249900,264950,279250,279000,275000,295000,290000
"Orange","CA","Los Angeles-Long Beach-Anaheim","06","059",4,,,749000,737000,749000,725000,725000,727000,716995,717995,710000,675000,672500,649900,688000,690000,699000,699900,699000,677450,659000,674000,639000,649250,580000,629000,599850,605000,599000,669000,635000,638000,629000,657000,649950,649900,692500,699900,715000,748500,749950,795000,798888,769900,769000,769000,699000,749000,759950,799000,765000,799000,815000,819000,860360,850000,857140,874900,861720,825000,859520,799999,838500,819000,842752.5,925000,882000,949000,875000,888000,874950,877000,879999,939000,929000,955000,969000,966900,1050000,1100000,1150000,1199950,1160000,1124694,1249500,1172500,1150000,1194250,1050000,1088800,1099999,1150000,1199000
"Kings","NY","New York","36","047",5,549000,549000,549000,540000,539000,540000,546800,539000,549000,529000,529000,525000,525000,525000,529000,525000,525000,529000,529000,520500,519999,520000,529000,529000,529000,539000,529000,529000,529000,539000,539000,539000,539949.5,546000,559000,565000,559000,575000,589000,598000,589000,599000,629000,639000,649998,660000,680000,699000,7e+05,726944,749000,749000,749000,770000,789000,796500,789000,799000,799000,817000,869000,875000,875000,899000,940000,9e+05,899000,915000,950000,995000,999000,999000,1050000,1100000,1150000,1190000,1150000,1175000,1150000,1175000,1181000,1150000,1150000,1195000,1188000,1183000,1195000,1200000,1200000,1250000,1250000,1245000,1250000
"Miami-Dade","FL","Miami-Fort Lauderdale","12","086",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275000,269450,255995,260000,256000,262950,262950,275990,290990,279000,269000,291445,279950,295000,298000,320000,298450,295000,299900,299949.5,319000,329750,352245,350000,380000,352245,329950,380000,389000,380000,395000,389000,4e+05,419000,4e+05,419000,435000,425000,425000,426000,430000,425000,449002.5,447000,449900
"Queens","NY","New York","36","081",7,589999.5,595000,595000,589000,579888,573000,569000,570000,569000,559000,559000,549000,549000,540000,545000,528876,535000,539000,539000,539000,539000,539000,535000,529000,529393,529000,525000,529000,549000,539000,539000,535499.5,524000,508000,530000,529000,529000,539000,539000,549000,550000,549000,559000,555000,559000,559000,539000,549000,559000,555000,565000,589999.5,599000,609450,625000,629000,620000,615050,599000,599000,599999,599000,599990,629000,649000,649000,675000,689000,699000,699888,710000,719000,729000,729000,729444,759000,759000,769000,769000,769000,798000,807500,784043.5,788000,799000,759000,799000,820000,850000,875000,869900,879000,875000
"Riverside","CA","Riverside","06","065",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330500,326214,326950,350000,399000,399000,399000,379500,399999,395000,395000,377500,375000,395000,385000,375000,370000,367500,387000,370000,384950,425000,449450,464500,450000,442000,425000,435000,450000,459000,469900,469450,450000,5e+05,529000,499000,499499.5,550000,554999.5,504500,528000,539500,554999.5,587000,650000,669900
"San Bernardino","CA","Riverside","06","071",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,257000,254950,259000,269000,259900,259450,275000,273525,275000,275000,279700,265000,275000,275000,280000,277900,287000,279400,285000,279000,275000,279900,295000,282061,289990,289000,285000,289000,280000,289000,295800,295000,294900,295400,299450,299900,310000,310000,3e+05,299900,325000,343000,330000,350000,341500,338500,337500,340000
"Clark","NV","Las Vegas","32","003",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175000,179000,179000,179900,185000,185000,185000,189950,195000,195000,189995,193200,199000,195000,191900,180500,165500,160000,180000,182500,189900,195000,179900,189987.5,189987,189900,189000,199000,195000,199000,204950,206000,214950,215000,215000,215000,224900,219450,227500,229000,229949.5,235000,235000,245500,246750
