"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09"
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","06","037",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,495942.5,491975,475000,480000,490000,513900,529000,539000,548888,540000,545000,530000,519000,489000,499000,528000,539900,565800,599000,599000,599888,599000,599000,599000,599000,595000,592900,599000,620000,625980,635000,648000,645000,639000,638000,640888,640000,629900,635000,630000,649000,660000,675000,665000,669000,665000,654950
"Cook","IL","Chicago","17","031",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190000,189900,179000,189900,2e+05,219900,229900,236000,235000,229900,225000,219900,209900,195000,188825,199900,220000,229900,239900,239900,239000,237250,231300,230000,229000,219900,218250,225000,242000,254000,259900,259900,250053,249000,245000,239900,234900,225000,224900,239900,254900,265000,269900,274900,272289.5,267500,265000
"Harris","TX","Houston","48","201",3,142000,145500,148990,149000,147960,146380,144900,145000,156900,155000,155990,153450,150000,150000,154900,154900,155990,155000,154900,150000,149000,148000,143900,144900,144900,144900,148000,149900,149900,150000,149999,150000,149900,149900,161995,165000,165000,173990,179000,182000,184900,185500,185000,185950,188990,194900,189883,189900,190000,199900,205000,215000,219900,218992.5,219900,224900,225086,227900,232990,240000,250000,260000,268683,275000,265000,259900,272290,274900,275000,279072.5,279000,285000,289000,275000,280000,280000,279900,280000,279000,276990,274644.5,270000,268990,265000,265000,269900,274990,279500,279900,279000,275000,275000,279900
"Maricopa","AZ","Phoenix","04","013",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,245500,249900,249500,249900,258900,260000,264900,264990,260000,260000,260357.5,265000,259900,256000,268000,275000,280990,289000,290000,289000,283000,289000,289900,289900,295000,294500,297990,299500,299900,299900,299999,3e+05,299900,297990,298000,297439.5,298000,298900,299000,299999,304999,309990,310000,308000,305000,303000,305000
"San Diego","CA","San Diego","06","073",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,510000,520000,525000,529950,539000,549900,533000,549900,559000,550000,549900,549000,539950,529900,539000,549900,585000,599900,625000,599000,635000,635000,639000,635000,635000,639991.5,635000,636977.5,639900,649000,649000,649000,649000,649000,640000,639900,629000,629900,645990,649000,659000,675000,685000,675000,679000,679900,679000
"Orange","CA","Los Angeles-Long Beach-Anaheim","06","059",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,709950,710000,699900,710000,729000,739900,749000,749990,749000,749000,749999,748800,739000,724999,745000,750000,775000,779000,795000,798000,790000,794947.5,795000,795230,789990,798000,795000,799250,8e+05,819000,819900,825000,825000,825000,824900,825000,820799,825000,829000,839000,849000,859000,869000,859518.5,869000,875000,879900
"Kings","NY","New York","36","047",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,599000,599000,609000,590000,619000,649000,649000,649000,650000,649000,650000,689000,699000,698999.5,729000,749000,749000,729000,769000,799000,795000,795000,799000,799000,797000,789000,838000,828000,828500,829000,835000,810000,829499.5,849995,869000,880000,879000,888888,879500,875000,875000,875000,849000,850000,869000,850000,862500
"Miami-Dade","FL","Miami-Fort Lauderdale","12","086",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,269900,270000,265000,268000,259900,265000,269000,270000,270000,274900,279900,279990,287000,289900,283155,299900,310000,310000,289000,295000,320000,324000,325000,329620,345000,349000,350000,350000,349900,364900,369000,369500,369900,370000,377292.5,375000,378000,379374.5,379000,379999,380000,387990,392500,399000,399000,394900,398000
"Dallas","TX","Dallas-Fort Worth","48","113",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179900,181950,175000,178000,189900,199000,209900,199000,199900,208000,2e+05,199900,189900,199800,199950,225000,235000,239000,242500,240000,229900,230000,239700,244900,245000,239900,238000,240999.5,265000,275000,279900,279900,275000,270000,274000,275000,274317.5,272000,275000,285000,294000,309995,319900,317000,309929,3e+05,3e+05
"Queens","NY","New York","36","081",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,399000,397000,399000,399000,399000,399000,399000,399000,399000,399000,399000,399000,399000,399000,409000,399999,419000,429999,449000,449000,449000,449000,449000,449000,445000,439000,439000,439949.5,459000,479000,469000,484450,499000,499000,510000,499000,499000,517499.5,525000,529000,539000,539000,549000,545000,529000,529000,525000,519999,515000,519000,519000,529000,549000,599000,619000,628888,639000,629000
