"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09"
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","06","037",1,,1.65116279069767,1.65639710531863,1.64470972360828,1.65149006622517,1.61452188528148,1.5536398467433,1.60395978564993,1.63288288288288,1.6195796754456,1.65,1.65319617927994,1.64271047227926,1.60069848661234,1.60602816170268,1.65238678090575,1.66333333333333,1.65,1.63131248480711,1.62116040955631,1.59615384615385,1.65562913907285,1.64027062979763,1.6875,1.76111111111111,1.78571428571429,1.76205128205128,1.76470588235294,1.76991150442478,1.77898850506782,1.7664885277305,1.76630434782609,1.8,1.76666666666667,1.75,1.79094326725906,1.82746532080147,1.89807976366322,1.88717339667458,1.92629970888505,1.875,1.8765171957023,1.87020222311504,1.86150799813636,1.86732673267327,1.84,1.8952802359882,1.86558435890722,1.82418836870892,1.81818181818182,1.88405797101449,1.96857142857143,2.00212072725973,2.02083333333333,2.04,2.04545454545455,2.02702702702703,2.05263157894737,2.06745318031289,2.09248058758299,2.125,2.125,2.18629422475428,2.21491228070175,2.23663453111306,2.27272727272727,2.29504098360656,2.29166666666667,2.27895854474386,2.37183493589744,2.35168717535405,2.40877914951989,2.40625,2.43480474630302,2.43358946212953,2.39928057553957,2.44593202883625,2.46323529411765,2.41228070175439,2.46734397677794,2.35076923076923,2.35480611297579,2.32456140350877,2.42454895778595,2.50227272915102,2.60769230769231,2.60634649622041,2.5974532487793,2.62489044697634,2.6378352687288,2.63636363636364,2.63253012048193
"Cook","IL","Chicago","17","031",2,,1.38031914893617,1.43888888888889,1.39442231075697,1.4569696969697,1.38636363636364,1.39553571428571,1.56722343921139,1.61538461538462,1.64498299319728,1.6586106310674,1.49442268041237,1.56449579831933,1.67407407407407,1.78501400560224,1.81818181818182,1.83606557377049,1.83846153846154,1.85096212521866,1.85851318944844,1.79296609758463,1.74723756906077,1.75414772727273,1.765899864682,1.71428571428571,1.68027210884354,1.6275,1.7,1.78202247191011,1.78078358208955,1.77222222222222,1.7286432160804,1.71358386655837,1.68518518518519,1.72553247800013,1.71491228070175,1.92916666666667,1.83333333333333,1.92934782608696,1.97931034482759,2.05,2.06976744186047,2.06973684210526,2.08611111111111,2,2,2.04018547140649,1.93617021276596,1.85,1.875,1.89977543309927,2.05454545454545,2.14718934911243,2.28074496586293,2,2.25285714285714,2.19073569482289,1.93387768379961,1.8,1.94508009153318,2.25106227053332,1.98701298701299,1.97240205412267,2.00527704485488,1.99411764705882,1.96875,1.9,2.12666666666667,2.22340425531915,2.30884557721139,2.21666666666667,2.1040995651522,2.29568454772911,1.97716210343329,1.918211910405,1.94887688069506,1.93153409090909,1.94444444444444,1.90909090909091,1.895,1.86948275862069,1.88888888888889,1.88888888888889,1.87,1.89520624303233,1.90183870001574,1.895,1.93939393939394,1.9632265717675,1.92179487179487,1.96428571428571,2.01784267191479
"Harris","TX","Houston","48","201",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.08832836457915,1.0894495412844,1.09059233449477,1.02022058823529,1.06069958847737,1.06113537117904,1.07594936708861,1.11718522943779,1.0834386852086,1.18312622629169,1.1976911976912,1.36075949367089,1.37191358024691,1.33777777777778,1.21072319201995,1.35637860082305,1.18664194682813,1.15257192676548,1.18150684931507,1.33480518299023,1.32694763729246,1.32897603485839,1.30199124073363,1.37313432835821,1.38918448782296,1.31081081081081,1.32142857142857,1.32195899456898,1.33222222222222,1.3414914925041,1.36312754613126,1.3729302853564,1.3771186440678,1.38231981981982,1.38713795430721,1.40089385585461,1.39315462380478,1.58291949488827,1.55149253731343,1.56768558951965,1.49042914196972,1.51069709429615,1.4925452524611,1.48642804563857,1.45736070849952,1.44434988179669,1.39480301760268,1.43120567375887,1.375,1.33677991137371,1.33333333333333,1.38425196850394,1.42604006163328,1.42630491403376,1.43531202435312,1.44970906068163,1.43129770992366,1.4292364990689,1.44966498090251,1.45270988310308
"Maricopa","AZ","Phoenix","04","013",4,,0.788837477468477,0.870535714285714,0.873819390333168,0.93984962406015,0.939702427564605,0.932755768821343,0.948333333333333,0.968176914778856,1,0.982142857142857,0.917624966529968,0.895142918875657,0.890270914445443,0.946969696969697,0.944465432565168,0.921052631578947,0.908396946564885,0.9,0.888888888888889,0.871027777923971,0.867832847424684,0.876225262560075,0.863715277777778,0.87579329563161,0.885714285714286,0.88125,0.877427413273002,0.879807692307692,0.881410256410256,0.895104895104895,0.892857142857143,0.887468030690537,0.88510662117237,0.880487804878049,0.884114583333333,0.890644195331695,0.891891891891892,0.89386189258312,0.894205331705332,0.885045778229908,0.901225666906993,0.905555555555556,0.916496945010183,0.915795438447372,0.901377483264222,0.91663671219746,0.920323937985001,0.923560209424084,0.918103448275862,0.930680359435173,0.94615909284679,0.950095969289827,0.950095969289827,0.946688206785137,0.9488913027781,0.947459086993971,0.95048472339494,0.964611249879249,0.97352243313201,1.00227856938023,1.02300613496933,1.04669887278583,1.04430379746835,1.04658914728682,1.04392663011507,1.06125,1.07061113655696,1.06883116883117,1.10030791438187,1.1483519282694,1.15205860882717,1.14657534246575,1.16711590296496,1.16495806150979,1.14237931355493,1.16666666666667,1.12579415501906,1.12258953168044,1.12218911127727,1.10667996011964,1.12704918032787,1.07594936708861,1.14910025706941,1.18371212121212,1.24137931034483,1.26488095238095,1.24269005847953,1.24156305506217,1.24590163934426,1.23641143802434,1.23188405797101
"San Diego","CA","San Diego","06","073",5,,2.22679640718563,2.37896322627286,2.19153311878099,2.05423171733772,2.05444273240883,1.99866666666667,1.68153594771242,1.70103092783505,1.66240409207161,1.72131147540984,1.61548132183908,1.60516076182675,1.59698025551684,1.64314601061589,1.64735099337748,1.63962136578769,1.61781498847973,1.63934426229508,1.63131273402347,1.60030328915579,1.58896904254087,1.5989847715736,1.6108545034642,1.63524612400472,1.65590405904059,1.63163716814159,1.625,1.65648854961832,1.66666666666667,1.64075993091537,1.64968461999759,1.63636363636364,1.63834142394822,1.63031624863686,1.61290322580645,1.61764705882353,1.61778185151237,1.64184413898885,1.64852927245169,1.64117647058824,1.63958641063516,1.67089678510998,1.7173447112164,1.70662100456621,1.66547277936963,1.77222222222222,1.78890247215431,1.76018365092516,1.76562801319462,1.80763983628922,1.86721344977804,1.875,1.90893734643735,1.91611842105263,1.9134775374376,1.93555498663026,1.96581196581197,1.95151033386328,1.9798309259136,2.01321935854005,1.9934449822431,2.02232142857143,2.02101449275362,2.05550244316975,2.06412825651303,2.10589651022864,2.10191082802548,2.08717004297115,2.12579617834395,2.11400049603175,2.11382113821138,2.1184893092818,2.14317152917505,2.16017569584838,2.12357954545455,2.12556354034072,2.18072289156627,2.13929889298893,2.19077486353348,2.09299655568312,2.1,2.09459459459459,2.17272727272727,2.20523960793026,2.24768577675554,2.27934552199258,2.31428571428571,2.32878581173261,2.31835564053537,2.3287037037037,2.31428571428571
"Orange","CA","Los Angeles-Long Beach-Anaheim","06","059",6,1.73559286898839,1.66666666666667,1.66666666666667,1.64703790626556,1.65,1.68711656441718,1.63934426229508,1.62525879917184,1.63787962975511,1.64412943834311,1.65036674816626,1.63527279401643,1.62490768094535,1.62393162393162,1.64041970350538,1.64938016528926,1.66666666666667,1.67352448176818,1.68217609162491,1.66602117221792,1.66289667512161,1.67539267015707,1.69270833333333,1.70279641182254,1.70415406156739,1.70858340423068,1.71188959091883,1.72470054446461,1.72413793103448,1.74216027874564,1.74788831627362,1.77173913043478,1.74671243325706,1.74168297455969,1.76,1.7531556802244,1.76569803483975,1.78378378378378,1.77777777777778,1.78075396825397,1.77536231884058,1.75763182238668,1.7803096873835,1.79894736842105,1.81281499911143,1.81026047641541,1.91159855103996,1.90091297442006,1.89698040674603,1.9,1.91891891891892,1.90250396057032,1.92436974789916,1.9159382384656,1.94511757666591,1.98757763975155,2.0855614973262,2.09545983701979,2.09869848156182,2.09401709401709,2.08649468892261,2.10352909573218,2.10576690821256,2.12630343432247,2.12951036473239,2.14320591517857,2.16366158113731,2.15399455582111,2.16666666666667,2.16647544051688,2.2082878953108,2.21227018288858,2.21465076660988,2.22142857142857,2.21997815258949,2.21301169389746,2.23233110456575,2.26230599637642,2.21243523316062,2.29188078108941,2.19402985074627,2.22198439878234,2.19683655536028,2.27848101265823,2.35133886939259,2.36636363636364,2.36842105263158,2.38841405508072,2.37691686844229,2.37313432835821,2.40786516853933,2.40625
"Miami-Dade","FL","Miami-Fort Lauderdale","12","086",7,,1.9420169606586,1.89873417721519,1.83767228177642,1.88955125548578,1.85873605947955,2,1.94805194805195,1.86662189899399,1.82072829131653,1.81278129927632,1.74787265687899,1.70454545454545,1.71206225680934,1.73267326732673,1.74938974776241,1.75,1.73184447443421,1.73267326732673,1.74793008279669,1.73415728627928,1.7189516391452,1.73469387755102,1.73501577287066,1.73767268327115,1.75,1.7741935483871,1.8,1.8125,1.80851063829787,1.7969926811524,1.78518313928784,1.72884768343607,1.72771250863856,1.75824175824176,1.7458777885548,1.76767676767677,1.8,1.79878048780488,1.84738955823293,1.93965517241379,2.02230995337699,2.00601805416249,1.94029850746269,1.93820547497194,1.94750211685013,1.95646098135952,1.90140845070423,1.8976897689769,1.86666666666667,1.83192614742741,1.93321616871705,1.96428571428571,1.98019801980198,1.985559566787,1.99781020847966,1.96687370600414,1.99044585987261,1.99105033436111,2.02020202020202,2.05263157894737,2.13717693836978,2.18943211952773,2.24242424242424,2.2969696969697,2.29468599033816,2.30634905195839,2.25515463917526,2.26244343891403,2.26120962111401,2.24937103403481,2.26415094339623,2.2911051212938,2.3160454799497,2.28690228690229,2.262044653349,2.26891504598277,2.22071078431373,2.16712167011884,2.22222222222222,2.16606498194946,2.26744186046512,2.12938005390836,2.15889464594128,2.17391304347826,2.19453947045366,2.1875,2.18934911242604,2.19298245614035,2.17672586576503,2.20779220779221,2.23149236192714
"Dallas","TX","Dallas-Fort Worth","48","113",8,,,,,,,,,1.24300699300699,1.24125378027194,1.29820051413882,1.19196622755235,1.04915980965599,1.04166666666667,1.01876789049899,1.02197802197802,1.03904282115869,1.03125,0.990990990990991,0.994513031550069,0.981817572378337,0.986903648269411,1.09151600011885,1.08657243816254,1.07204687114888,1.13853769992384,1.07030269351464,1.12926136363636,1.16618075801749,1.16666666666667,1.12822470150714,1.16648992576882,1.16686983071754,1.17090959453951,1.18945022326614,1.25030917654325,1.22126054300732,1.24718821119094,1.23849878934625,1.25600408788963,1.27250308261406,1.27151640789869,1.21739130434783,1.29100529100529,1.30278593653311,1.31698389458272,1.29947722180732,1.34333028083028,1.33840605367324,1.31826741996234,1.3663535439795,1.36936936936937,1.35701598579041,1.33579335793358,1.3,1.31609195402299,1.32090335192525,1.38540692235734,1.32231404958678,1.25,1.33159629313344,1.33300524934383,1.37782504677597,1.3855981416957,1.39533539472951,1.37736223073873,1.38051752301752,1.40700844142212,1.3984375,1.47001090512541,1.46781115879828,1.45814757966225,1.46669928245271,1.50466045272969,1.49030470914127,1.48287112561175,1.49034038638454,1.48,1.45747316267547,1.5459031837807,1.49739583333333,1.48524305555556,1.45629965947787,1.56832515767344,1.58742857142857,1.59406432891541,1.59230769230769,1.60337552742616,1.63157894736842,1.62860438292964,1.63777274565491,1.60697887970615
"Queens","NY","New York","36","081",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.44444444444444,2.4375,2.42142857142857,2.4,2.40384615384615,2.4,2.4,2.43616905693177,2.44444444444444,2.46153846153846,2.46428571428571,2.49367806905371,2.52058484684196,2.48012743675478,2.46022727272727,2.43333333333333,2.4375,2.43337195828505,2.46470588235294,2.46153846153846,2.52182347235693,2.58333333333333,2.54887262251227,2.5609756097561,2.52631578947368,2.5,2.53062200956938,2.58333333333333,2.54545454545455,2.51748251748252,2.40909090909091,2.45454545454545,2.5,2.5,2.53571428571429,2.5,2.5,2.44444444444444
"Riverside","CA","Riverside","06","065",10,,1.46530612244898,1.39239586109967,1.2856568903174,1.38977185852815,1.41050583657588,1.47798957335357,1.30272226714412,1.46581870528142,1.48216767021769,1.5828677839851,1.33064516129032,1.47081986467278,1.43744576094079,1.55461666652325,1.51515151515152,1.46105454579022,1.34693137051628,1.34914145543745,1.35569620253165,1.29610589378238,1.23944091486658,1.23589030206677,1.26665057915058,1.23113220955684,1.25485520613068,1.23356247661803,1.1671469740634,1.18378378378378,1.18693009118541,1.21654501216545,1.22669283611384,1.22734537580041,1.25748502994012,1.2266500622665,1.19791666666667,1.22117039586919,1.21033544877607,1.21606265356265,1.22425629290618,1.18110236220472,1.19024769216708,1.17704879482657,1.22532007498841,1.24375,1.17432150313152,1.22608541566206,1.21726303768557,1.18378378378378,1.138147566719,1.15723270440252,1.29533678756477,1.30072840790843,1.30686384617906,1.3255033557047,1.36425648021828,1.37010309278351,1.39370204603581,1.41326749891406,1.38611413043478,1.4943032427695,1.48115687992989,1.49285714285714,1.45322434150772,1.45,1.47005587242463,1.48765524158097,1.47910953485919,1.49088541666667,1.49308755760369,1.56242424242424,1.5456570155902,1.52015235706615,1.52794041113713,1.53161397670549,1.4532293986637,1.41033499181106,1.41187925998053,1.4,1.41461538461538,1.46956405947535,1.59543230016313,1.4242305610439,1.5,1.50100401606426,1.56209426549028,1.58527827648115,1.60511749383434,1.58450704225352,1.60418743768694,1.60558072050393,1.70026292725679
"San Bernardino","CA","Riverside","06","071",11,0.999163879598662,0.99250936329588,1.06843575418994,1.082687911563,1.04838787033899,1.0038240917782,1,1.12802334591859,1.08603292618163,1.09760188221065,1.10563802397618,1.06884109501758,1.05210420841683,1.06533333333333,1.06811718365337,1.08311229000884,1.05162523900574,1.04499621268524,1.03794403263079,1.03438606847698,1.04166666666667,1.05607142857143,1.10142857142857,1.09126984126984,1.22822908511711,1.28865558145736,1.17957746478873,1.15151082431691,1.16119815532244,1.125,1.14873035066505,1.17773019271949,1.22117630476804,1.24822666165665,1.2475,1.23295454545455,1.21863799283154,1.20397534405179,1.2,1.16369348548317,1.07661492238358,1.12559241706161,1.112217039801,1.02328545790282,1.0187074829932,1.02865216334468,1.00280112044818,1,1,1.00415512465374,1.046918767507,1.09195402298851,1.06568386568387,1.05612951316431,1.11326234269119,1.09594618516552,1.1,1.10169491525424,1.13654581368676,1.11188811188811,1.13050851623369,1.1738578680203,1.21100316752491,1.21428571428571,1.24838779019776,1.2401055408971,1.21767001114827,1.21247113163972,1.22178678952364,1.30434782608696,1.33853917821309,1.36527788140895,1.32645541635962,1.34541909075592,1.45361877495943,1.46841122037221,1.40984974958264,1.53370507741865,1.50881484933209,1.38026224982747,1.34730538922156,1.30649047819638,1.28118255971323,1.38888888888889,1.43108899297424,1.50998824911868,1.56555201995869,1.5997311827957,1.62107396149949,1.62527728482697,1.62268091159469,1.64657308009909
"Clark","NV","Las Vegas","32","003",12,0.811295515886169,0.816326530612245,0.823733121778137,0.83640922109232,0.83088954056696,0.777482900200408,0.775805640062802,0.74487895716946,0.753768844221106,0.744578470053154,0.738140103567319,0.764428739693757,0.76593137254902,0.753968253968254,0.777941176470588,0.767741935483871,0.765107406366502,0.772889417360285,0.779709587299463,0.77915993485129,0.773552290406223,0.760549558390579,0.770712909441233,0.766666666666667,0.783420677037698,0.78125,0.763035321516367,0.767543859649123,0.772727272727273,0.775849673202614,0.762128567225655,0.767543859649123,0.773732119635891,0.774047772756617,0.777777777777778,0.774162098916646,0.777777777777778,0.788954635108481,0.795454545454545,0.801479654747226,0.769230769230769,0.778399046063717,0.768792109663493,0.756200040992007,0.752393980848153,0.754958734852513,0.75,0.743801652892562,0.745299533740679,0.744047619047619,0.751097018803287,0.76092971776425,0.758933285548349,0.771869639794168,0.787937743190661,0.787855495772483,0.783224315247951,0.783270524379735,0.785082234989298,0.790067720090293,0.799189935064935,0.814974767080745,0.82981314796661,0.83917207148195,0.850383631713555,0.866459627329193,0.863636363636364,0.858202038924931,0.864862285647169,0.915357766143106,0.973830293417922,0.95,0.943007779263401,0.96239837398374,0.96239837398374,0.961538461538462,0.953488372093023,0.876623376623377,0.881057268722467,0.914470145239376,0.903805496828753,0.883223705804351,0.891638225255973,0.919463442979529,0.921269535431385,0.9521484375,0.972795497185741,1.01894736842105,1.04094615630493,1.06392294220665,1.07971014492754,1.08571428571429
