"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09"
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","06","037",1,,1375,1450,1500,1495,1495,1500,1337.5,1295,1350,1375,1250,1295,1295,1295,1300,1295,1295,1250,1200,1195,1195,1150,1195,1250,1300,1300,1300,1300,1300,1320,1350,1387,1380,1328,1345,1430,1475,1450,1475,1450,1400,1395,1350,1395,1295,1400,1395,1350,1345,1395,1495,1495,1525,1575,1595,1595,1595,1625,1616,1675,1693.5,1695,1700,1745,1749,1779.5,1794,1750,1844,1795,1850,1895,1900,1900,1880,1889.5,1940.5,1800,1850,1795,1795,1790,1862,1924,1995,1990,1965,1995,1995,1990.5,1975
"Cook","IL","Chicago","17","031",2,,1100,1130.5,1099.5,1097,1020.5,985,1140,1300,1300,1345,1150,1232.5,1200,1245,1265,1347.5,1300,1265,1295,1280,1267,1305,1325,1270,1200,1175,1250,1300,1300,1295,1371,1425,1385,1425,1415,1535,1452,1495,1505,1549,1550,1550,1525,1500,1550,1610,1595,1500,1475,1450,1440,1485,1602,1450,1640,1669,1634,1425,1550,1625,1450,1450,1460,1445,1400,1401,1595,1657,1755,1670,1619,1690,1545,1500,1495,1455,1425,1430,1450,1430,1500,1500,1465,1460,1465,1450,1474.5,1475,1465,1475,1550
"Harris","TX","Houston","48","201",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1157,1032,999,1035,1122,1131.5,1119,1100,1142,1154,1099,1089,1080,1100,1105,1128,1154,1152,1150,1145,1155,1160,1295,1289,1299,1225,1250,1214.5,1211.5,1190,1158,1120,1150,1100,1050,1095,1120,1162,1191,1199,1201,1183,1180,1195,1204.5
"Maricopa","AZ","Phoenix","04","013",4,,,,,,,,,,,,,,,,650,650,645,650,664,659,650,650,659,675,689,675,672,674,679,699,695,699,699,690,687,695,699,695,689,688,697,688,689,679,678.5,699,731,725,724,735,724,727,707,725,710,720,730,745,750,755,775,797,785,795,795,800,815,800,815,925,918,900,945.5,925,925,979,895,920,926,894,850,850,919,962,1050,1090,1034.5,1020,1004,980.5,980
"San Diego","CA","San Diego","06","073",5,,,,,,,,,1183,1230,1278,1200,1195,1150,1200,1205,1250,1295,1347.5,1350,1275,1200,1217.5,1250,1250,1295,1245,1242,1250,1248,1250,1293,1280,1300,1295,1223,1245,1245,1244,1225,1199,1100,1175,1295,1245,1175,1300,1350,1300,1295,1350,1500,1495,1480,1500,1500,1510,1550,1509,1593,1625,1560,1595,1600,1615,1637,1680,1695,1650,1643,1650,1650,1650,1695,1655,1600,1610,1815,1637,1750,1614,1622,1600,1654,1698.5,1729.5,1750,1774,1775,1794,1785,1780
"Orange","CA","Los Angeles-Long Beach-Anaheim","06","059",6,1395,1387.5,1400,1395,1395,1595,1650,1395,1300,1347.5,1345,1350,1350,1350,1350,1395,1430,1395,1395,1395,1325,1350,1376,1365,1350,1350,1351.5,1355,1372,1375,1369,1405,1370,1350,1365,1380,1399,1428,1400,1398,1400,1375,1400,1495,1500,1490,1625,1605,1590,1585,1590,1605,1600,1600,1627,1670,1725,1730,1730,1730,1740,1720,1715,1720,1720,1730,1738.5,1745,1765,1770,1795,1805,1830,1850,1818,1837,1828,1823,1818,1855,1815,1850,1825,1870,1905,1905,1910,1930,1925,1925,1945,1945
"Miami-Dade","FL","Miami-Fort Lauderdale","12","086",7,,1400,1450,1400,1400,1350,1375,1500,1475,1475,1495,1450,1410,1450,1450,1450,1450,1400,1420,1450,1425,1475,1500,1500,1500,1500,1500,1550,1550,1550,1550,1500,1500,1495,1500,1500,1500,1550,1600,1600,1675,1775,1750,1650,1675,1700,1700,1695,1699,1650,1600,1675,1695,1700,1699,1681,1650,1700,1700,1700,1750,1800,1800,1850,1900,1860,1900,1850,1850,1890,1889,1900,1900,1900,1850,1850,1823,1800,1799,1800,1800,1850,1750,1795,1790,1800,1795,1795,1800,1795,1800,1800
"Dallas","TX","Dallas-Fort Worth","48","113",8,,,,,,,,,1285,1215,1260,1127,950,959,920,900,920,920,841,845.5,745.5,704,809,841,895,950,864,918,949,915,862,940,939.5,950,1018,1101,1006,1030,1034,1000,1040,1054.5,995,1060,1095,1125,1120,1150,1105,1100,1128,1100,1135,1098,1060,1044.5,1059,1140,1150,1119,1100,1100,1126,1125,1139,1151,1151.5,1189,1168.5,1200,1200,1200,1211,1242,1227,1200,1210,1188.5,1190,1276.5,1225,1210,1158.5,1273,1279,1283,1274,1290,1300,1306,1314.5,1291
"Queens","NY","New York","36","081",9,1200,1200,1300,1287.5,1300,1300,1300,1350,1400,1385,1450,1377.5,1375,1400,1400,1400,1425,1450,1450,1450,1450,1450,1450,1495,1450,1500,1500,1525,1495,1500,1500,1549,1575,1575,1550,1550,1595,1600,1600,1625,1675,1747.5,1750,1775,1750,1725,1750,1750,1750,1750,1750,1800,1825,1850,1800,1800,1800,1800,1795,1785,1795,1795,1799,1800,1800,1850,1850,1850,1800,1850,1850,1850,1850,1850,1850,1900,1875,1900,1900,1900,1930,1975,1850,1850,1750,1790,1800,1800,1800,1800,1800,1800
"Riverside","CA","Riverside","06","065",10,,,,,,,,962.5,995,982.5,967.5,950,957.5,937.5,1097.5,1100,1057.5,905,900,875,895,885,900,937.5,900,925,900,875,895,895,885,895,947,996,960,947.5,969.5,966,950,940,875,862,850,850,850,850,850,850,850,825,850,925,895,902.5,895,920,935,950,967.5,950,995,1050,1094,1075,1094,1100,1100,1075,1095,1140,1142.5,1149,1167.5,1190,1190,1177,1100,1150,1105,1125,1170,1161.5,1113.5,1195,1195,1220,1260,1300,1322,1327.5,1303,1374
"San Bernardino","CA","Riverside","06","071",11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,1237.5,1195,1050,925,950,950,995,1100,1185,1200,1220,1300,1335,1355,1355
"Clark","NV","Las Vegas","32","003",12,,,,,,,,,650,638,625,650,650,650,750,850,800,700,700,700,650,635,650,625,650,650,620,600,630,630,636,650,650,650,630,645,645,650,669,695,699,695,675,655,650,675,700,697.5,695,695,699,700,700,725,729,744,750,750,750,760,790,789,780,789,805,825,825,800,800,839,889.5,875,850,880,874.5,865,895,840,880,875,850,850,865,872.5,905,920,950,925,935,935,950,925
"King","WA","Seattle","53","033",13,,,995,995,1100,1072.5,1025,1000,1040,1050,950,995,1040,995,1015,1095,1100,1057.5,1100,1095,1095,1050,1050,1050,1045,1091,1100,1098.5,1180,1151.5,1203,1240,1264.5,1260,1250,1202,1260,1304,1320,1325,1350,1365,1370,1450,1425,1405,1475,1449,1425,1432,1480,1550,1595,1624,1600,1600,1570,1580,1564,1587,1629,1621,1626.5,1625,1648,1670,1684,1675,1650,1550,1631,1645,1700,1744,1742,1760,1755,1652,1712,1750,1688,1650,1660,1710,1795,1854,1856,1920,1920,1931,1900,1895
"Wayne","MI","Detroit","26","163",14,,,,,,,,,,,,,,,,,,607.5,600,595,500,525,550,567,555,575,585,575,550,550,592.5,575,570,570,550,545,550,580,550,560,550,550,550,550,550,550,550,550,550,550,550,550,599.5,600,600,627,600,575,595,600,575,575,585,575,575,550,550,525,550,550,550,550,595,600,625,602.5,599.5,650,675,595,639.5,605,657.5,625,625,650,700,780,780,747.5,765,780
"Tarrant","TX","Dallas-Fort Worth","48","439",15,,,,,,,,,,,,,,,,,650,672.5,620,610,609.5,590,575,589,625,644,636,660,650,650,660,669,660,667,660,656.5,658.5,680,687,705.5,699,698,689.5,749,725,680,751,785,765,751.5,785,766,775,750,765,757,789,799,805,815,832.5,815,850,818,825,840.5,867,874,894,899,899,902.5,927.5,958,943,957,950,958,975,981.5,926.5,946.5,905.5,949.5,950,969,1055,1082,1113.5,1080,1089,1055
"Santa Clara","CA","San Jose","06","085",16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005,1898,1745.5,1740,1697,1760,1815.5,1827,1854,1840,1930,1906.5,1885,1849,1835,1965,1995,1926,1902.5,2015,2135,2200,2245,2268,2300,2300,2295,2310,2335,2382,2395,2431,2473,2525,2575,2595,2550,2510,2510,2490.5,2527,2508.5,2509.5,2475,2445,2450,2504,2398,2405,2339,2325,2395,2486,2477,2500,2535,2546,2549,2543,2514,2509
"Broward","FL","Miami-Fort Lauderdale","12","011",17,,900,975,950,950,950,1000,979.5,977,975,1000,995,1000,1000,1000,1000,975,995,995,995,973,969,950,950,985,1045,1000,1000,1050,1020,1020,1000,1020,1050,1040,1050,1050,1050,1050,1050,1012,1050,1050,1050,1050,1050,1092.5,1050,1025,1004,1035,1100,1100,1100,1095,1100,1109,1120.5,1150,1150,1195,1200,1200,1200,1250,1215,1225,1200,1200,1275,1282,1269,1250,1300,1275,1275,1250,1250,1250,1300,1200,1275,1200,1265,1275,1300,1300,1343,1345,1349,1350,1350
"Bexar","TX","San Antonio","48","029",18,,,,,,,,,,,,650,597,595,599.5,595,616,645,650,659.5,640,675,695,695,715,730,695,689.5,687,695,730,725,708,715,699,711,715,734,750,732,734,727,750,765,775,775,790,800,800,800,800,775,796,785.5,788,784,775,775,787,785,790,775,774,775,775,784,794,795,799,849,849,827,820,845,825,803.5,824,809,825,836,793.5,805.5,780,810,835,840,850,905,900,895,890,894.5
"New York","NY","New York","36","061",19,2395,2495,2650,2635,2735,2795,3000,2895,2762.5,2800,2550,2472.5,2400,2575,2650,2695,2650,2695,2700,2700,2795,2850,2800,2800,2850,2800,2850,2850,2895,2875,2895,2900,2995,2995,2990,2900,2900,2924.5,2950,2925,2900,2895,2900,2975,2969.5,2910,2900,2900,2900,2900,2900,2950,2925,3200,3195,3195,3175,3195,3200,3175,3200,3200,3225,3195,3195,3195,3200,3200,3200,3195,3195,3195,3199,3200,3200,3200,3195,3100,3150,3175,3175,3150,3127.5,3087.5,3100,3100,3115,3125,3100,3100,3150,3150
"Philadelphia","PA","Philadelphia","42","101",20,,,,,,,,,1257.5,1270,1291,1295,1295,1285,1250,1195,1170,1100,1050,1050,985,975,972,967.5,1100,1150,1240,1195,1225,1200,1175,1100,1150,1100,1075,1050,1200,1150,1150,1204,1125,1150,1100,1225,1200,1250,1250,1050,1070,1050,1100,1295,1295,1250,1250,1195,1200,1150,1120,1100,1100,1200,1280,1250,1245,1195,1215,1190,1177.5,1250,1197.5,1225,1200,1270,1299,1350,1299,1299,1300,1287,1329,1295,1335,1292.5,1340,1364,1390,1420,1395,1395,1400,1395
