"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09"
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","06","037",1,,1900,1900,1950,2000,2100,2170,2250,1995,1950,1900,1992.5,1850,1850,1800,1850,1950,1945,1900,1820,1798,1700,1650,1650,1675,1725,1795,1770,1795,1775,1750,1765,1799.5,1795,1795,1725,1750,1805,1850,1850,1895,1850,1850,1800,1895,1880,1750,1943,1900,1850,1850,1895,1995,2025,2100,2100,2100,2159,2171,2200,2200,2200,2238,2300,2315,2350,2375,2395,2395,2395,2400,2350,2395,2415.5,2480,2464,2450,2467,2475,2400,2495,2400,2400,2350,2420,2543,2600,2600,2600,2600,2599,2599,2595
"Cook","IL","Chicago","17","031",2,,,1397.5,1462.5,1450,1500,1500,1475,1495,1550,1550,1564.5,1500,1550,1556,1650,1650,1750,1700,1650,1665,1625,1575,1600,1600,1575,1500,1455,1500,1600,1590,1595,1600,1650,1560,1600,1595,1695,1600,1600,1695,1750,1800,1850,1800,1700,1795,1850,1650,1595,1600,1600,1675,1700,1800,1695,1800,1800,1725,1585.5,1600,1750,1600,1675,1695,1675,1685,1695,1750,1775,1850,1735,1695,1815,1695,1695,1740,1700,1700,1650,1650,1600,1596,1600,1600,1650,1650,1685,1700,1695,1695,1675,1650
"Harris","TX","Houston","48","201",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1229,1175,1229,1300,1300,1300,1300,1350,1385,1299,1292.5,1300,1292.5,1332,1400,1400,1425.5,1415,1409,1400,1400,1570,1540,1571,1500,1535,1500,1475,1460,1439,1395,1400,1350,1350,1320,1395,1458,1440,1450.5,1482,1463,1469,1489,1500
"Maricopa","AZ","Phoenix","04","013",4,,,,,,,,,,,,,,850,875,950,900,869,833,825,838,825,810,820,810,825,836,825,815,824,825,839,839,830,835,829,825,841.5,845,840,850,849,829,816,835,825,800,841.5,850,850,850,865,875,888,869,865,860,875,885,899,899,914.5,929,950,944,955,950,959,960,951,960,1095,1075,1055,1100,1095,1095,1100,1050,1044,1070,1000,995,980.5,1045,1100,1183,1222,1178,1162,1175,1150,1145
"San Diego","CA","San Diego","06","073",5,,,,,,,,,,1875,1780,1800,1650,1695,1650,1750,1750,1750,1700,1700,1750,1650,1595,1600,1595,1600,1636.5,1595,1595,1600,1600,1590,1600,1595,1595,1589.5,1560,1595,1595,1600,1595,1625,1575,1607,1750,1695,1600,1795,1800,1750,1750,1790,1900,1900,1895,1895,1900,1950,1950,1947,1942,1977,1950,1993.5,1950,1975,1980,2016.5,2050,2025,2022.5,1995,2000,2050,2095,2095.5,2000,1995,2100,2000,2149,1989,1995,1990,2036,2055,2100,2150,2177,2187.5,2195,2200,2200
"Orange","CA","Los Angeles-Long Beach-Anaheim","06","059",6,,2000,1917.5,1995,1900,1935,2100,2100,1895,1850,1850,1850,1800,1840,1850,1895,1899,1899.5,1900,1900,1889,1807,1790,1840,1800,1797,1777,1790,1789,1795,1799,1798,1800,1750,1718,1740,1735,1767,1773.5,1777.5,1805.5,1830,1800,1825,1950,1975,1920,2020,2000,2000,2000,1995,2000,2025,2015,2050,2100,2135,2128,2130,2135,2130,2111,2125,2135,2145,2150,2175,2175,2200,2200,2235,2220,2250,2275,2262,2260,2285,2250,2275,2290,2225,2275,2259,2295,2350,2375,2395,2400,2400,2390,2395,2400
"Kings","NY","New York","36","047",7,,,1700,1900,1900,1950,1800,1850,1950,1800,1800,1800,1700,1600,1800,1900,1900,1800,1800,1800,1800,1800,1800,1800,1800,1800,1865,1950,2000,2063,2100,2100,2100,2000,2000,1990,1999,2000,2050,2100,2300,2350,2400,2400,2450,2400,2400,2400,2300,2300,2300,2300,2400,2450,2400,2400,2500,2500,2500,2400,2400,2433,2450,2500,2600,2500,2500,2500,2500,2500,2500,2450,2400,2450,2495,2500,2500,2500,2500,2500,2599,2670,2600,2400,2400,2303.5,2300,2399,2400,2400,2450,2495,2400
"Miami-Dade","FL","Miami-Fort Lauderdale","12","086",8,,,,,,,,,,,,,,1900,1900,1895,1900,1900,1850,1875,1900,1900,1900,1900,1900,1900,1950,1950,2000,2000,2000,1999,1950,1895,1890,1930,1900,1950,2000,2000,2100,2200,2300,2250,2200,2200,2200,2225,2200,2200,2200,2200,2250,2200,2200,2200,2225,2200,2200,2125,2190,2200,2300,2397,2420,2500,2500,2500,2400,2450,2450,2450,2497,2500,2500,2500,2450,2400,2359,2289,2350,2300,2423.5,2200,2300,2300,2366,2350,2350,2375,2300,2350,2382
"Dallas","TX","Dallas-Fort Worth","48","113",9,,,,,,,,,,,,,,,,,,,,,,,,,1133,1100,1227,1050,1110,1176,1185,1110,1190,1195,1215,1300,1421,1330,1373,1353,1387,1433,1410,1284,1450,1495,1525,1526,1550,1500,1500,1535,1490,1489,1463,1432.5,1400,1400,1509,1522,1503,1455,1450,1475,1485,1473.5,1430,1468,1500,1503.5,1539,1570,1550.5,1605,1614,1595,1564,1555,1500,1495,1575,1546,1514,1500,1610,1650,1694,1725,1700,1733,1739,1736.5,1693
"Queens","NY","New York","36","081",10,,,1500,1550,1500,1550,1500,1500,1500,1600,1500,1500,1500,1580,1600,1600,1625,1700,1750,1775,1750,1700,1775,1725,1800,1750,1800,1800,1800,1795,1850,1801,1900,1900,1900,1895,1800,1850,1900,1900,2000,2100,2195,2250,2300,2300,2200,2250,2200,2200,2200,2200,2300,2300,2300,2295,2300,2300,2300,2250,2200,2250,2200,2250,2250,2300,2300,2300,2300,2250,2275,2250,2275,2300,2300,2300,2350,2350,2350,2398.5,2350,2300,2350,2250,2241.5,2100,2200,2200,2200,2200,2200,2200,2199
"Riverside","CA","Riverside","06","065",11,,,,,,,,,,,,,,,2000,2300,2100,1900,1600,1550,1500,1500,1350,1400,1375,1310,1310,1280,1236,1225,1235,1245,1235,1249,1285,1255,1220,1275,1295,1300,1319,1300,1298.5,1295,1395,1400,1295,1350,1350,1300,1250,1250,1401.5,1400,1398,1400,1475,1400,1400,1495,1450,1500,1495,1500,1500,1500,1500,1500,1506,1500,1500,1550,1525,1500,1525,1544,1484.5,1420,1406.5,1422,1400,1427,1600,1400,1452,1455,1500,1545,1595,1561,1590,1548,1600
"San Bernardino","CA","Riverside","06","071",12,,,1000,1100,1050,1075,1020,1050,1097.5,1150,1175,1197.5,1000,995,995,1000,1000,1000,950,925,900,950,900,900,900,995,1050,960,940,930,950,950,950,995,1025,1000,1010,1017.5,1000,1000,950,900,950,950,900,900,899,895,900,900,900,935,950,950,940,950,925,950,900,950,940,950,992.5,995,1000,1050,1050,1025,1025,1045,1100,1150,1165.5,1175,1200,1295,1261.5,1274,1387,1300,1200,1150,1200,1195,1260.5,1250,1305,1350,1415,1490,1450,1416.5,1505
"Clark","NV","Las Vegas","32","003",13,,1000,1050,995,1000,900,1000,1050,995,995,925,862.5,900,895,875,900,950,900,900,900,895,875,850,850,850,850,837,820,825,825,825,800,800,806.5,825,825,805,804,830,849,845,825,850,850,850,840,825,850,850,850,850,850,890,895,895,895,895,898,895,895,895,895.5,900,937,940,940,950,945,900,925,950,989,950,959,995,1000,978.5,999,992,975,1000,995,995,985,1025,1030,1050,1075,1065,1070,1070,1095,1094
"King","WA","Seattle","53","033",14,,,,1395,1295,1295,1295,1295,1350,1295,1395,1300,1395,1361.5,1299,1297,1300,1295,1295,1350,1395,1350,1325,1295,1295,1295,1295,1300,1309.5,1350,1350,1395,1400,1399,1395,1408,1365,1435,1486,1520,1486.5,1495,1500,1550,1600,1617,1650,1695,1630,1617,1605,1672,1825,1831,1850,1850,1850,1793,1825,1785,1795,1895,1891,1895,1885.5,1900,1966,1995,2000,1987,1795,1895,1903,1950,2021,2000,2049,2135.5,1947.5,2000,2000,1962.5,1900,1975,2000,2050,2176,2170,2175,2195,2190,2150,2150
