"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09"
"Harris","TX","Houston","48","201",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2650,2772.5,2700,2625,2400,2324.5,2450,2495,2340,2300,2395,2500,2850,2950,2850,2550,2600,2600,2600,2700,2800,2887.5,2800,2900,2687.5,3000,2550,2900,2850,2450,2495,2550,2500,2500,2672.5,2700,2700,2550,2600,2690
"San Diego","CA","San Diego","06","073",2,,,,,,,,,,,,,,,4000,3797.5,3800,3850,3995,3800,3800,3600,3500,3800,3725,3795,3500,3595,3800,3500,3400,3400,3300,3150,3300,3200,3500,3197.5,3500,3500,3400,3500,3495,3500,3450,3445,3550,3525,3500,3500,3500,3950,4000,4000,3825,3950,3975,3981.5,3950,3900,3975,3950,4000,3825,3950,3695,3697.5,3780,3800,3800,3800,3995,4000,4150,4200,4000,3972.5,3800,3725,3797.5,3800,3950,3800,4050,4500,4500,4400,4500,4500,4350,4500,4400
"Orange","CA","Los Angeles-Long Beach-Anaheim","06","059",3,,,,5900,6500,6225,6200,6000,6000,5975,5500,4972.5,5000,5200,5595,5450,4685,4500,4650,4500,4600,4500,4500,4500,4397.5,4825,4600,4500,4500,4500,4450,4500,4200,4295,4350,4500,4600,4500,4800,4500,4800,4700,4500,4700,4300,4500,4500,4500,4500,4485,4500,4500,4500,4300,4400,4444,4500,4400,4500,4725,4695,4500,4500,4700,4500,4862.5,4800,4995,5000,4900,4995,4975,4900,4900,4500,4600,4925,4797.5,4500,4500,5200,4900,4490,4500,4800,5000,5500,5050,5250,5195,5095,5300
"Kings","NY","New York","36","047",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4100,4100,4200,4299,4225,4200,4200,4200,4100,4000,4250,4274.5,4195,4000,4300,4200,4500,4500,4647.5,4500,4500,4400,4500,4500,4500,4750,4634.5,4900,4800,4598,4700,4574.5,4300,4397,4599,4500,4500,5100,4970,4999.5,4900,4600,4800,4850
"Queens","NY","New York","36","081",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3800,3900,3900,3850,3300,3125,3300,3600,3600,3750,3750,4000,4100,3999,3800,4000,3500,3990,3725,3550,3999,4000,3500,3500,3600,3800,3700,3800
"Riverside","CA","Riverside","06","065",6,,,,,,,,,,,,,,2275,2300,2300,2297.5,2200,2195,2195,2150,2250,2200,2200,2250,2197,2150,2150,2195,2195,2150,2150,2190,2200,2100,2150,2195,2150,2100,2100,2095,2195,2195,2200,2195,2100,2150,2150,2150,2150,2150,2200,2200,2235,2275,2292.5,2200,2200,2200,2275,2300,2300,2300,2300,2309.5,2300,2300,2350,2400,2400,2419.5,2450,2350,2350,2395,2350,2400,2381,2307.5,2372.5,2372.5,2450,2450,2495,2500,2592.5,2550,2600,2600,2600,2600,2650
"San Bernardino","CA","Riverside","06","071",7,,,,,,,,,,,,,,1975,1962.5,2100,2237.5,2000,2122.5,2097.5,2000,1750,1797.5,1950,1895,1975,1700,1600,1750,1900,1795,1635,1600,1697.5,1767,1725,1650,1700,1872.5,1797.5,1695,1595,1750,1650,1679,1550,1620,1750,1800,1925,1950,2000,1900,2000,1750,1747.5,1650,1700,1812.5,1950,1697.5,1895,1929,1908,2200,2180,2300,2200,1950,2175,2177.5,2200,2197.5,2365.5,2337.5,1950,1995,2295,2275,2199,2400,2350,2275,2300,2400,2547.5,2700,2625,2550,2500,2600,2680
"Clark","NV","Las Vegas","32","003",8,,,,,,1900,2000,1985,2195,2097.5,2050,1900,1895,1850,1900,1800,1850,1885,1850,1800,1895,1950,1962.5,1900,1850,1880,1790,1699.5,1750,1795,1795,1795,1700,1700,1695,1699,1695,1700,1700,1700,1700,1775,1795,1800,1800,1750,1749,1700,1750,1750,1750,1800,1795,1800,1800,1800,1795,1795,1800,1800,1800,1800,1849,1850,1995,1897.5,1895,1900,1850,1850,1895,1900,1900,1950,1945,1950,2000,1895,1995,1950,1950,1995,1895,1900,1995,2000,2100,2195,2100,2085,2025,2000
"King","WA","Seattle","53","033",9,,,,,,,,,,,,2097.5,2472.5,2400,2300,2495,2450,2395,2380,2500,2500,2229,2390,2575,2547.5,2200,2200,1995,2272.5,2400,2400,2200,2295,2195,2437.5,2449.5,2500,2395,2700,2495,2395,2395,2400,2450,2500,2375,2375,2395,2395,2390,2425,2715,2597.5,2650,2750,2597.5,2625,2495,2597.5,2700,2800,2700,2725,2795,2950,2800,2907.5,2800,2975,2900,2775,2995,2995,2800,2700,2725,2895,3100,2995,2800,2950,2795,2995,2975,3150,3400,3500,3225,3600,3500,3350,3000
"Tarrant","TX","Dallas-Fort Worth","48","439",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1795,1764.5,1795,1850,1772.5,1797.5,1895,2029.5,1800,1795,1895,1875,1910,1875,1937.5,1900,1850,1875,1850,1885,1850,1875,1850,1850,1850,1850,1850,1925,2000,1910,2100,2295,2000,1895,1975,1850,1950,2065,2057.5,2100,2150,2295,2270,2250
