"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09"
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","06","037",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2400,2400,2400,2400,2495,2400,2500,2600,2600,2597,2650,2643.5,2650,2680,2650,2650,2695,2695,2700,2695,2600,2625,2600,2600,2795,2550,2750,2550,2675,2700,2800,2850,2875,2895,2850,2800,2800
"Cook","IL","Chicago","17","031",2,1450,1450,1425,1450,1450,1450,1450,1500,1572.5,1596,1650,1550,1550,1534,1595,1595,1600,1600,1600,1600,1600,1595,1575,1600,1600,1637,1599,1550,1600,1600,1615,1615.5,1650,1600,1600,1600,1625,1614,1600,1600,1600,1600,1600,1641.5,1690,1675,1675,1675,1665,1650,1665,1747,1750,1750,1750,1750,1750,1700,1725,1700,1700,1750,1700,1701,1750,1750,1750,1700,1690.5,1700,1695,1700,1750,1750,1775,1750,1750,1700,1725,1700,1700,1695,1681.5,1700,1725,1725,1750,1790,1800,1800,1800,1795
"Harris","TX","Houston","48","201",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1232,1279,1270,1244.5,1280.5,1269.5,1255,1255,1250,1282,1240,1263,1280.5,1269,1250,1255,1269.5,1264,1250,1250,1400,1390,1350,1350,1350,1350,1350,1350,1390,1399,1400,1400,1375,1350,1350,1317,1325,1300,1282,1300,1320,1276,1300,1298,1300,1300,1300,1275,1266.5,1280
"Maricopa","AZ","Phoenix","04","013",4,,1100,1100,1050,1100,1050,1100,1197,1150,1199,1199,1095,1025,1000,1095,1000,1000,999,995,1000,995,995,995,995,995,995,930,925,950,950,950,950,950,985,995,975,975,995,995,950,950,950,900,950,999,990,995,995,995,995,995,1050,1045,1050,1049,1025,1045,1050,1075,1072.5,1150,1180,1200,1200,1200,1190,1200,1200,1200,1200,1200,1200,1250,1250,1250,1175,1150,1107.5,1100,1075,1100,1150,1025,1195,1195,1200,1221,1200,1239,1250,1250,1250
"San Diego","CA","San Diego","06","073",5,,,,,,,,,2450,2200,2325,1950,1975,1895,1950,1900,1900,1850,1850,1850,1875,1850,1850,1800,1800,1800,1675,1645,1695,1695,1695,1700,1700,1750,1750,1700,1700,1700,1725,1700,1700,1695,1650,1850,1900,1895,1950,1995,1950,1900,1900,1975,2000,1995,2000,2100,2100,2091.5,2050,2075,2099.5,2000,1995,1995,1995,2000,2050,2100,2100,2100,2100,2100,2100,2100,2099,2075,2100,2100,2085,2150,2025,2000,2050,2100,2195,2200,2250,2300,2350,2350,2350,2300
"Orange","CA","Los Angeles-Long Beach-Anaheim","06","059",6,2000,1962.5,1990,1900,1995,2150,2200,2100,2000,2000,2000,2000,1995,2000,1995,1995,2000,2085,2100,2000,2000,2000,2000,2000,2000,1982.5,1950,1995,2095,2100,2075,2100,2095,2000,2000,2000,2050,2050,2050,2100,2099.5,2095,1887,2150,2200,2200,2200,2200,2200,2200,2195,2250,2250,2275,2300,2350,2300,2300,2300,2300,2300,2300,2300,2300,2395,2400,2400,2395,2400,2395,2400,2400,2400,2400,2400,2395,2495,2425,2400,2400,2300,2485,2395,2450,2500,2500,2550,2595,2600,2600,2600,2600
"Kings","NY","New York","36","047",7,,,,,,,,,,,,,,,,,,,,,,,1850,1800,1800,1800,1800,1833,1900,1950,1942.5,1900,1900,1875,1850,1899,1950,1995,2050,2200,2200,2195,2275,2300,2500,2500,2500,2600,2600,2695,2700,2700,2700,2700,2700,2695,2650,2650,2600,2700,2600,2650,2650,2700,2799.5,2850,2872.5,2837.5,2850,2800,2800,2819.5,2800,2750,2650,2600,2600,2699,2700,2600,2700,2680,2500,2575,2650,2697,2700,2700,2700,2750,2700,2700
"Miami-Dade","FL","Miami-Fort Lauderdale","12","086",8,,1800,1800,1800,1800,1850,1925,1990,1800,1850,1900,1700,1652,1650,1675,1700,1700,1700,1700,1700,1700,1750,1750,1750,1750,1800,1800,1800,1800,1800,1800,1775,1750,1750,1800,1800,1800,1850,1850,1895,1950,2000,1950,1900,1950,1950,1950,1925,1900,1900,1850,1900,1950,2000,1950,1950,1900,1950,1925,1950,2000,2100,2195,2200,2250,2300,2300,2200,2200,2200,2200,2250,2300,2300,2200,2200,2160,2100,2000,2050,2000,2150,1950,2000,2000,2100,2100,2100,2050,2050,2100,2100
"Dallas","TX","Dallas-Fort Worth","48","113",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1125,1300,1300,1311,1200,1200,1200,1200,1250,1250,1300,1295,1250,1250,1295,1225,1295,1295,1300,1350,1350,1297.5,1372,1350,1311,1369,1375,1364,1395,1378,1395,1369,1300,1323,1300,1350,1300,1323,1364,1343,1397,1400,1450,1477.5,1450,1475,1450,1448,1450
"Queens","NY","New York","36","081",10,,1600,1675,1600,1600,1550,1500,1600,1600,1550,1550,1500,1450,1437.5,1450,1450,1412.5,1495,1500,1577.5,1600,1600,1575,1595,1575,1575,1550,1550,1575,1550,1600,1650,1675,1650,1695,1695,1650,1675,1700,1750,1800,1850,1900,1975,1850,1850,1875,1850,1850,1850,1850,1950,1950,1950,1977.5,1950,1950,1950,1950,2000,2000,2000,2000,2000,2100,2000,2075,2100,2100,2100,2100,2100,2100,2100,2100,2037.5,2100,2100,2097,2100,2100,2100,2100,2100,2150,2122.5,2200,2200,2245,2250,2250,2200
