"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09"
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","06","037",1,,1595,1700,1785,1800,1905,1797.5,1562.5,1517.5,1562.5,1715,1535,1550,1550,1500,1500,1495,1495,1495,1400,1350,1350,1350,1400,1400,1450,1405,1405,1395,1395,1395,1395,1350,1350,1342.5,1350,1375,1400,1400,1450,1425,1400,1400,1400,1399,1395,1400,1395,1375,1390,1395,1475,1450,1550,1500,1475,1500,1525,1545,1595,1595,1600,1675,1597,1675,1675,1695,1675,1695,1825,1895,2000,2095,2151.5,2115,2162.5,1950,1995,1750,1795,1850,1750,1795,1850,1950,1995,2025,1995,1995,1995,1950,1950
"Cook","IL","Chicago","17","031",2,,1300,1347.5,1395,1235,1310,1263,1342,1400,1400,1397,1350,1355,1350,1431,1440,1499,1456,1435,1431.5,1410,1400,1425,1349,1300,1325,1432.5,1550,1561,1545.5,1549,1475,1499,1495,1500,1511,1594,1545.5,1560,1625,1625,1600,1621,1585,1549,1574,1625,1595,1520,1525,1535,1500,1550,1679,1612,1650,1665,1700,1575,1625,1790,1600,1613,1695,1695,1711,1650,1850,2000,2138.5,1901,1761,1875,1590,1500,1550,1550,1495,1500,1480,1450,1500,1500,1485,1495,1495,1495,1500,1500,1525,1550,1576
"Harris","TX","Houston","48","201",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1315,1127,1267,1080,1035,1040,1200,1202,1247.5,1300,1302.5,1363,1200,1200,1200,1180,1250,1229,1225,1200,1150,1150,1150,1150,1185,1150,1200,1200,1200,1150,1175,1150,1180,1120,1187.5,1100,1097,1075,1070,1062,1095,1130,1125,1125,1100,1095,1095
"Maricopa","AZ","Phoenix","04","013",4,,,,,,,,,,,,,,,,,,,,,,,,,749,769,750,795,747,657,650,663,650,650,650,667,667,666,675,650,675,695,717.5,750,750,725,725,750,750,750,780,750,725,725,750,725,700,699,700,725,700,700,775,750,789,771.5,775,791.5,750,775,795,768,775,850,799,800,800,795,768,795,768,750,750,835,850,875,900,900,900,937,925,899.5
"San Diego","CA","San Diego","06","073",5,,,,,,,,,,,,,,,1350,1350,1350,1350,1300,1295,1295,1295,1282.5,1345,1347.5,1300,1300,1300,1250,1200,1200,1200,1210,1200,1250,1250,1295,1300,1295,1295,1265,1272.5,1300,1295,1250,1280,1300,1375,1350,1350,1375,1450,1395,1411,1400,1395,1350,1395,1350,1350,1395,1375,1375,1395,1450,1500,1500,1500,1495,1500,1550,1595,1595,1645,1637.5,1650,1562.5,1550,1525,1595,1595,1500,1495,1595,1647.5,1650,1650,1650,1650,1675,1687.5,1695
"Orange","CA","Los Angeles-Long Beach-Anaheim","06","059",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1737,1650,1612.5,1700,1675,1650,1700,1625,1650,1662.5,1650,1795,1800,1767.5,1705,1650,1750,1750,1700,1695,1720,1950,1900,1795,1949.5,1850,1900,1942.5,1900,1850,1900,1900,1850,1792.5,1850,1895,2000,1975,2000,1995,1997.5,2100,2100,2095,2150,2150,2100,1935,1878,1950,2100,1915,2000,1995,2050,2100,2100,2095,2095,2100,2100,2150
"Kings","NY","New York","36","047",7,1400,1600,1800,1800,1925,1697.5,1600,1600,1525,1500,1600,1550,1600,1650,1700,1700,1757.5,1800,1860,1800,1799,1800,1800,1850,1850,1900,1925,2000,2000,2145,2195,2100,2050,2000,2000,2000,2000,2000,2050,2200,2250,2299,2375,2400,2300,2300,2300,2250,2200,2250,2300,2400,2450,2450,2500,2500,2500,2500,2450,2450,2500,2500,2600,2700,2600,2500,2595,2595,2600,2599,2550,2550,2500,2500,2500,2500,2550,2595,2550,2600,2750,2650,2400,2400,2400,2400,2400,2475,2500,2500,2550,2500
"Miami-Dade","FL","Miami-Fort Lauderdale","12","086",8,,,,,,,,,,,,,,,,1500,1500,1495,1500,1500,1475,1475,1495,1500,1575,1600,1500,1500,1600,1550,1595,1500,1350,1400,1450,1450,1500,1550,1600,1600,1650,1900,2000,1900,1900,1950,2000,2100,2100,2150,2175,2250,2000,2100,2000,2100,2000,1850,1900,1900,1995,2000,2000,1900,1950,2000,1950,1950,2000,2000,2095,2125,2100,2150,2000,2000,2100,2100,2000,2000,2100,2200,2000,2000,2050,2100,2100,2200,2200,2200,2200,2200
"Dallas","TX","Dallas-Fort Worth","48","113",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1052.5,1165,1060,1200,1077.5,1169,1350,1417.5,1430,1275,1245,1290,1228,1157.5,1095,1050,1050,1025,1092.5,1157.5,1099,1100,1195,1240,1295,1195,1195,1145.5,1200,1150,1141,1100,1273,1295,1295,1350,1250,1295,1370.5,1375,1284
"Queens","NY","New York","36","081",10,1600,1600,1600,1600,1650,1600,1600,1600,1600,1595,1600,1600,1600,1600,1600,1600,1600,1600,1625,1600,1600,1600,1600,1600,1600,1600,1649,1650,1675,1700,1750,1725,1750,1700,1700,1700,1700,1700,1700,1750,1795,1890,1900,1950,1995,1900,1950,1950,1910,1900,1975,2150,2150,2150,2070,2095,2100,2100,2050,2050,2000,2050,2050,2100,2150,2200,2200,2200,2200,2200,2200,2200,2200,2225,2215,2295,2295,2300,2300,2300,2300,2323.5,2137,2150,2100,2100,2100,2150,2200,2200,2250,2200
