"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09"
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","06","037",1,,1850,1850,1900,2000,2050,2000,2000,1800,1800,1795,1800,1659,1650,1650,1750,1800,1800,1825,1800,1750,1595,1450,1445,1495,1530,1580,1595,1595,1580,1575,1595,1600,1601,1599,1545,1550,1635,1665,1650,1695,1650,1652,1650,1695,1700,1595,1700,1699,1650,1650,1695,1795,1800,1850,1855,1875,1895,1900,1918,1945,1955,1994,2000,2019.5,2070,2095,2100,2100,2100,2100,2099,2150,2195,2200,2195,2195,2193,2185,2100,2195,2100,2100,2040,2162,2281,2300,2300,2295,2295,2299,2285,2270
"Cook","IL","Chicago","17","031",2,1625,1342,1300,1317.5,1300,1300,1280,1250.5,1335,1450,1450,1475,1380,1395,1375,1435,1450,1450,1425,1430,1435.5,1400,1355,1380,1395,1375,1350,1350,1380,1400,1400,1430,1475,1500,1450,1465,1460,1568,1508,1529,1568,1600,1599,1599,1584,1550,1561,1600,1575,1515,1520,1534,1575,1601,1675,1596,1680,1685,1635,1500,1579,1675,1585,1595,1600,1600,1600,1600,1650,1687,1737,1655,1625,1700,1600,1600,1612.5,1605,1600,1575,1560,1545,1550,1550,1550,1565,1589,1600,1625,1634,1625,1630,1650
"Harris","TX","Houston","48","201",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1030,1039,1033,955,1000,999,1020,1095,1089,1199,1173,1300,1305,1297,1170,1329,1175,1105,1155,1289,1295,1295,1261,1295,1304,1250,1250,1250,1265,1295,1325,1342.5,1350,1330,1337.5,1350,1338,1428,1419,1437,1395,1405,1391.5,1395,1375,1350,1300,1305,1275,1250,1260,1275,1312.5,1315,1330,1332,1315,1304,1329,1333
"Maricopa","AZ","Phoenix","04","013",4,,,,,,,,,,,,,,900,900,1000,995,950,925,900,900,850,799,805,800,804,816,805,805,805,814,825,825,815,818.5,800,795,809,820,825,839,853,839,839,880,885,850,885,899,899,895,900,941,945,910,919,923.5,925,925,944,950,975,990,1003,999,1000,999,1000,1000,999,960,1103,1100,1100,1115,1105,1100,1108,1055,1055,1050,1025,1025,991,1075,1109,1180,1200,1180,1172,1175,1150,1135.5
"San Diego","CA","San Diego","06","073",5,,,,,,,,,,1795,1645,1770,1595,1650,1650,1750,1797,1795,1750,1795,1800,1650,1515,1550,1540,1500,1535,1500,1500,1525,1510,1500,1525,1466,1485,1475,1439,1444,1459,1485,1483,1516,1450,1525,1695,1629,1500,1695,1735,1690,1675,1695,1805,1845,1800,1850,1850,1830,1845,1815,1825,1850,1835,1840,1848,1850,1880,1900,1925,1910,1890,1850,1875,1890,1900,1920,1895,1900,1995,1900,1950,1870,1850,1835,1900,1950,1965,1995,2022,2025,2041,2050,2045
"Orange","CA","Los Angeles-Long Beach-Anaheim","06","059",6,,1895,1890,1917.5,1850,1897.5,2100,2100,1825,1835,1800,1850,1767.5,1790,1800,1875,1890,1900,1900,1950,1900,1800,1725,1793,1700,1650,1650,1650,1650,1660,1675,1695,1700,1630,1600,1619,1614,1655,1690,1653,1695.5,1740,1700,1745,1900,1885,1850,1919.5,1895,1880,1880,1860,1927,1945,1950,1950,1975,1995,1990,1997.5,2000,2005,1995,1995,1985,2000,2000,2035,2030,2055,2050,2070,2065,2090,2100,2100,2120,2125,2060,2120,2130,2095,2150,2106,2135,2200,2205,2226,2250,2250,2240,2250,2250
"Kings","NY","New York","36","047",7,,,1700,1997.5,1900,2000,1962.5,1900,1895,1750,1700,1850,1600,1600,1695,1750,1750,1800,1800,1850,1875,1750,1700,1700,1750,1750,1800,1825,1900,1945,2000,2000,1950,1900,1900,1850,1875,1950,2000,2000,2195,2200,2200,2300,2350,2300,2300,2300,2250,2200,2200,2200,2300,2400,2300,2350,2400,2400,2400,2350,2350,2400,2400,2495,2562,2500,2500,2500,2500,2500,2500,2490,2450,2450,2495,2500,2500,2500,2595,2567,2600,2700,2650,2350,2400,2300,2300,2395,2400,2450,2470,2499,2450
"Miami-Dade","FL","Miami-Fort Lauderdale","12","086",8,,,1850,1850,1800,1800,1850,1862.5,1900,1800,1800,1800,1680,1650,1650,1650,1700,1695,1650,1650,1700,1700,1700,1700,1700,1750,1750,1750,1750,1800,1750,1750,1700,1700,1700,1750,1750,1750,1800,1800,1825,1900,2000,1950,1900,1900,1950,1950,1980,2000,1950,1950,2000,1950,1995,1950,1945,1900,1900,1900,1900,1950,2000,2084,2100,2150,2200,2200,2100,2100,2150,2180,2200,2200,2210,2200,2100,2100,2050,2000,2000,2000,2100,1950,2000,2000,2000,2000,2000,2000,2000,2040,2050
"Dallas","TX","Dallas-Fort Worth","48","113",9,,,,,,,,,,,,,,,995,959,950,965,965,869,887,845,834.5,941.5,946,960,1021,955,1020.5,1057.5,1030,969,1049,1030,1055,1125,1245,1147,1164,1165,1127.5,1169.5,1189,1108,1210,1299,1297,1274,1315,1274,1267,1293,1249,1250,1225,1200,1192.5,1200,1274,1274,1272,1250,1232,1251,1250,1250,1250,1265,1290,1280,1290,1305,1305,1345,1356,1345,1319,1330.5,1295,1279,1369,1325,1306,1276,1370,1385.5,1390,1390,1400,1410,1414,1425,1405
"Queens","NY","New York","36","081",10,,1600,1600,1600,1600,1600,1600,1600,1600,1600,1550,1595,1595,1550,1549.5,1550,1547.5,1550,1550,1575,1572,1550,1575,1550,1550,1550,1600,1600,1600,1600,1625,1650,1650,1695,1650,1650,1650,1650,1650,1675,1700,1795,1850,1900,1950,1950,1900,1935,1900,1900,1900,1910,2050,2095,2050,2000,2000,2000,2000,1975,1950,1950,1990,2000,2000,2020,2095,2100,2100,2100,2100,2100,2100,2100,2150,2150,2195,2200,2200,2200,2200,2200,2200,2100,2100,2000,2050,2099,2100,2100,2150,2199,2100
