"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09"
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","06","037",1,,2700,2700,2800,2800,2825,2950,2975,2800,2800,2800,2800,2700,2800,2700,2800,2800,2800,2799,2700,2650,2500,2400,2350,2350,2395,2350,2350,2400,2400,2295,2195,2250,2120,2130,2050,2100,2149,2100,2195,2200,2295,2285,2250,2300,2300,2100,2350,2300,2280,2250,2295,2400,2500,2600,2600,2600,2600,2600,2695,2695,2600,2650,2800,2895,2962.5,2950,2950,2950,2900,2900,2850,2900,2995,3000,3000,2995,2995,2999,2850,3000,2850,3000,2800,2995,3000,3200,3300,3300,3300,3250,3250,3250
"Cook","IL","Chicago","17","031",2,,,1600,1600,1650,1650,1650,1650,1650,1695,1700,1695,1600,1600,1565,1600,1645,1624.5,1660,1640,1630.5,1595,1525,1520,1521,1525,1552,1500,1543,1590,1575,1554.5,1495,1495,1460,1495,1499,1459.5,1500,1495,1531,1523,1599,1600,1589.5,1594.5,1575,1600,1595,1558.5,1568,1553,1600,1640,1650,1650,1650,1650,1650,1627,1637,1619,1624,1650,1650,1650,1666,1691.5,1675,1650,1649.5,1600,1600,1600,1609,1609,1611,1600,1625,1620,1600,1600,1600,1595,1562,1562,1595,1609.5,1650,1675,1700,1659,1650
"Harris","TX","Houston","48","201",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1300,1300,1300,1300,1300,1395,1425,1450,1450,1475,1475,1475,1495,1495,1495,1495,1500,1550,1575,1595,1575,1550,1550,1550,1550,1550,1550,1575,1600,1600,1550,1550,1500,1550,1500,1500,1500,1450,1500,1500,1519,1550,1580,1595,1595,1575,1575.5
"Maricopa","AZ","Phoenix","04","013",4,,,1600,1500,1495,1500,1400,1400,1400,1400,1395,1362.5,1200,1200,1200,1250,1225,1200,1195,1195,1150,1150,1125,1100,1150,1150,1175,1195,1200,1200,1195,1170,1150,1150,1111,1122,1150,1150,1150,1175,1195,1195,1195,1100,1195,1175,1175,1195,1175,1150,1175,1195,1250,1250,1250,1265,1250,1250,1250,1250,1275,1300,1345,1350,1350,1350,1350,1302,1300,1300,1345,1350,1365,1390,1400,1400,1395,1395,1375,1350,1350,1350,1350,1300,1375,1399,1450,1495,1500,1495,1495,1470,1450
"San Diego","CA","San Diego","06","073",5,,,,,,,,,,,,,,2500,2500,2592.5,2650,2500,2500,2495,2400,2300,2250,2200,2200,2200,2200,2100,2180,2250,2295,2250,2200,2200,2190,2150,2150,2150,2185,2200,2300,2350,2395,2395,2400,2400,2300,2400,2362.5,2300,2295,2295,2495,2500,2500,2500,2500,2500,2512.5,2500,2550,2550,2500,2500,2500,2550,2545,2500,2500,2500,2500,2600,2650,2675,2650,2600,2575,2600,2575,2595,2550,2550,2550,2500,2600,2700,2750,2800,2850,2800,2800,2800,2800
"Orange","CA","Los Angeles-Long Beach-Anaheim","06","059",6,,,3300,3425,3325,3400,3500,3295,3200,3000,3200,3150,2950,2900,2900,3000,3000,3000,2995,3000,2950,2850,2750,2850,2800,2900,2700,2700,2850,2850,2900,2850,2790,2750,2600,2700,2750,2800,2800,2850,2950,2950,3000,2950,2950,2950,2895,2900,2900,2900,2900,2900,3000,3100,3100,3100,3150,3150,3100,3100,3100,3200,3150,3200,3200,3200,3250,3300,3200,3200,3250,3300,3250,3300,3300,3200,3200,3300,3200,3141.5,3100,3141.5,3250,3100,3200,3300,3450,3495,3500,3500,3500,3500,3475
"Kings","NY","New York","36","047",7,,1600,1600,1725,1700,1700,1700,1600,1700,1700,1750,1800,1600,1600,1800,1800,1750,1700,1800,1750,1800,1800,1800,1800,1700,1750,1795,1800,1900,1900,1925,2000,2000,1950,1892.5,1900,1950,1975,1950,2000,2100,2200,2390,2500,2500,2400,2400,2500,2500,2500,2500,2500,2500,2440,2500,2500,2550,2750,2500,2300,2500,2500,2500,2500,2600,2600,2550,2500,2575,2500,2550,2600,2590,2595,2599.5,2600,2600,2600,2599.5,2600,2795,2825,2795,2500,2450,2499,2450,2450,2450,2500,2500,2500,2500
"Miami-Dade","FL","Miami-Fort Lauderdale","12","086",8,,,2400,2500,2475,2500,2250,2200,2200,2100,1950,2000,1900,1850,1850,1900,2000,2000,1997,1950,1950,1950,1900,1900,1950,2000,2000,2000,2000,2000,2000,1900,1850,2000,1950,1895,1900,1950,2000,2000,2000,2100,2125,2100,2100,2100,2160,2170,2100,2100,2100,2100,2200,2200,2250,2200,2250,2250,2200,2175,2150,2200,2225,2300,2250,2250,2300,2250,2200,2200,2300,2350,2350,2350,2350,2250,2300,2290,2300,2250,2249,2200,2275,2150,2200,2225,2250,2300,2350,2300,2350,2350,2350
"Dallas","TX","Dallas-Fort Worth","48","113",9,,,,,,,,,,,,,,1250,1250,1250,1275,1250,1250,1250,1200,1195,1195,1200,1200,1200,1200,1095,1196,1200,1200,1200,1195,1195,1195,1195,1195,1200,1200,1200,1200,1250,1250,1250,1250,1250,1250,1290,1250,1250,1250,1250,1300,1300,1350,1350,1345.5,1300,1320,1350,1350,1350,1395,1400,1400,1425,1450,1450,1400,1400,1395,1399.5,1425,1450,1495,1480,1500,1499.5,1495,1495,1495,1495,1500,1475,1500,1529,1595,1600,1650,1650,1650,1625,1650
"Queens","NY","New York","36","081",10,,1600,1600,1700,1650,1650,1650,1650,1600,1650,1600,1650,1677.5,1700,1650,1697.5,1800,1800,1800,1750,1700,1600,1600,1650,1650,1695,1775,1750,1725,1650,1600,1600,1650,1700,1700,1700,1750,1700,1750,1700,1800,1950,2100,2100,2100,2060,2100,2100,2100,2060,2000,2000,2100,2100,2100,2180,2200,2200,2200,2285,2255,2290,2285,2260,2300,2380,2400,2400,2400,2390,2300,2400,2400,2400,2397,2350,2400,2365,2300,2400,2400,2300,2400,2400,2350,2350,2400,2400,2450,2450,2500,2500,2500
