"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09"
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","06","037",1,,,,,,,,,,,,,,,975,1050,1050,1200,1160,995,897,866.5,875,875,899,945,949,958.5,935,925,950,996.5,975,995,990,995,1050,1100,1100,1134,1100,1095,1100,1050,1095,950,1050,1050,1050,1000,1050,1100,1149.5,1200,1245,1200,1200,1225,1250,1275,1295,1300,1350,1300,1398,1395,1400,1400,1400,1400,1399.5,1505,1542,1582,1550,1602.5,1508,1605,1495,1547,1495,1500,1450,1450,1695,1841.5,1720,1700,1807,1895,1850,1860
"Cook","IL","Chicago","17","031",2,,,,,,,,,1500,1550,1600,1460,1400,1343.5,1350,1355,1330,1300,1300,1330,1295,1250,1260,1250,1217,1214.5,1258.5,1275,1250,1300,1350,1359.5,1359,1361,1364,1375,1410,1400,1395,1411.5,1420,1428,1475,1488,1464,1425,1452,1452,1445,1425,1425,1470,1505,1557,1469.5,1576,1569,1495,1435,1500,1600,1510,1489.5,1500,1508,1500,1477,1500,1500,1510,1495,1499,1525,1495,1460,1464,1435,1425,1407,1425,1464,1486,1460,1467,1460,1450,1450,1450,1450,1475,1499,1504
"Maricopa","AZ","Phoenix","04","013",3,1650,1500,1500,1412.5,1395,1350,1350,1295,1295,1295,1295,1200,1195,1195,1200,1200,1195,1150,1150,1145,1100,1100,1100,1100,1100,1100,1150,1175,1175,1150,1150,1125,1100,1100,1100,1100,1100,1125,1150,1150,1125,1150,1100,1150,1150,1150,1150,1150,1150,1150,1150,1200,1225,1217.5,1250,1225,1225,1250,1250,1250,1295,1300,1350,1350,1350,1300,1300,1300,1300,1299,1325,1350,1350,1395,1399,1350,1350,1350,1300,1300,1300,1325,1295,1350,1350,1395,1400,1439,1438,1425,1400,1400
"San Diego","CA","San Diego","06","073",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1399,1450,1505,1537.5,1495,1446.5,1500,1475,1635,1620,1641,1375,1400,1549,1500,1500,1529,1450,1420,1480,1350,1535.5,1395,1380,1478,1635,1700,1625,1680,1680,1625,1675,1589,1650
"Orange","CA","Los Angeles-Long Beach-Anaheim","06","059",5,,,,1700,1695,1867.5,1672.5,1650,1600,1650,1550,1600,1620,1600,1640,1585,1495,1550,1640,1600,1500,1300,1321,1220,1215.5,1213.5,1250,1274,1250,1218,1250,1288,1295,1297,1230,1250,1235,1295,1281,1295,1337.5,1348,1387,1587.5,1450,1514,1599.5,1575,1570,1545,1515,1577.5,1618,1594,1590,1610.5,1625,1625,1637.5,1640,1650,1675,1630,1597.5,1660,1730,1745,1775,1815,1800,1765,1775,1800,1797.5,1800,1800,1765,1790,1797,1805,1895,1817.5,1817.5,1800,1855,1837.5,1830,1830,1820,1845,1930,1910
"Miami-Dade","FL","Miami-Fort Lauderdale","12","086",6,,,,,,,,,1350,1450,1495,1400,1350,1350,1350,1375,1350,1350,1400,1399.5,1350,1350,1350,1375,1400,1450,1450,1400,1400,1395,1400,1400,1400,1400,1450,1475,1500,1500,1500,1500,1500,1550,1550,1550,1550,1550,1600,1600,1600,1550,1550,1600,1629,1650,1600,1580,1575,1550,1550,1550,1650,1650,1650,1700,1700,1650,1650,1650,1650,1650,1650,1692.5,1700,1700,1700,1650,1650,1600,1600,1600,1550,1650,1500,1550,1600,1600,1600,1600,1600,1600,1600,1600
"Dallas","TX","Dallas-Fort Worth","48","113",7,,,,,,,,,,,,,,875,875,850,845.5,800,821,821,799,800,787.5,750,752.5,820,785,895,880,840.5,750,795,795,835,850,850,825,856,894,801,810,852.5,898.5,933,990,995,999.5,975,945,950,962,966,1006,1035,1010,997,1025,1055.5,1010,1041,1000,997.5,1093,1050,1086,1095.5,1115,1041,1000,1050,1006,1021,1050,1100,1150,1149,1077.5,1101.5,1089,1101.5,1150,1170,1101.5,1172.5,1190,1184,1167.5,1170,1171,1182,1220,1225
"Queens","NY","New York","36","081",8,,,1650,1650,1650,1650,1649,1600,1600,1600,1650,1650,1600,1600,1600,1600,1600,1600,1600,1600,1550,1450,1400,1365,1400,1500,1500,1500,1475,1400,1450,1400,1400,1400,1375,1365,1400,1400,1425,1475,1500,1600,1600,1700,1700,1650,1700,1700,1650,1650,1700,1975,2000,1975,1899,1842,1799.5,1700,1700,1700,1700,1700,1775,1775,1800,1800,1900,1900,1875,1920,1900,1875,1900,1900,1900,1900,1900,1995,1875,1929,1950,2000,1800,1800,1950,1900,1862.5,1925,1968,2000,2050,2000
"Riverside","CA","Riverside","06","065",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,900,882,895,822.5,839.5,829,850,900,937.5,850,890,899,895,950,945,925,863,899,850
"King","WA","Seattle","53","033",10,,,,,,,,,,,,,,995,1045,1017.5,995,1050,1000,1062.5,955.5,895,915,899,922,1000,1045,1055,1075,1085,1099.5,1141,1140,1145,1111.5,1090,1105,1166.5,1150,1100,1114,1150,1195,1245,1195,1220,1232.5,1224,1200,1195.5,1224,1272,1350,1393,1400,1400,1386.5,1395,1375,1353,1375,1378,1400,1385.5,1419,1425,1446,1435,1400,1375,1429,1427,1450.5,1495,1490,1499,1475,1432,1425,1495,1425,1425,1488.5,1500,1475,1500,1500,1525,1595,1582,1550,1500
"Wayne","MI","Detroit","26","163",11,900,900,960,967.5,1000,950,950,925,900,900,900,815,800,800,850,875,850,850,850,850,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,775,790,775,780,800,800,800,800,790,797,795,800,795,787.5,800,800,800,800,800,800,800,795,800,800,800,800,800,800,800,800,825,850,800,825,825,800,800,800,825,850,850,850,850,850,850
