"RegionID","RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","1996-04","1996-05","1996-06","1996-07","1996-08","1996-09","1996-10","1996-11","1996-12","1997-01","1997-02","1997-03","1997-04","1997-05","1997-06","1997-07","1997-08","1997-09","1997-10","1997-11","1997-12","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09"
3101,"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","06","037",1,138400,137600,136600,135600,135000,134700,134600,134500,135000,136100,137200,138100,138500,138600,138900,139600,140300,140900,141700,142500,143400,144500,145700,146900,147900,149100,150300,151100,151800,153100,155100,156800,157700,158300,159300,160300,161000,161800,163100,164500,165400,166100,167100,168500,170000,171800,173700,175500,176900,178200,179400,181000,182900,184400,185700,187500,189500,191800,194300,196500,198400,200400,202300,204000,205600,207400,209200,211300,214000,217000,219400,221400,224200,227600,231100,234800,238900,243000,247000,251100,255400,259300,262900,266900,271200,275400,279500,284400,290100,296100,302500,309100,315400,321800,329000,336900,345600,355000,364400,372500,379200,384500,388600,392200,396300,400700,405900,412300,418700,424800,431000,437900,445300,452500,458800,464800,468600,470200,471200,472900,474500,476300,478500,480100,480500,480500,480300,479600,477400,474900,473600,473700,473200,471600,469000,466500,463900,460600,457500,453900,447900,440700,434000,426900,418700,410600,403000,395200,388100,382800,378600,374400,370000,366200,362800,359600,356600,353800,351100,349300,348400,347800,347600,347400,352900,362100,366600,363900,361700,359800,357600,354600,352300,350300,348000,346000,343600,340600,338000,335800,333300,330800,327700,324500,321900,319700,317600,315800,313400,310900,309700,310300,312200,314700,317900,321400,323800,324900,325200,327400,331000,334400,338000,344500,352000,360200,369000,377000,383900,390400,395900,399700,401100,401600,403400,406200,407900,408900,410400,412800,415000,417400,420100,421900,422700,424000,426800,429800,432000,433400,433700,434500,435800,438000,441400,445400,448400,451200,454100,457200,459900,462100,464000,465600,467300,469500,473000,477200,479900,480900,482800,486300,489300,491700,494100,496900,500100,503000
139,"Cook","IL","Chicago","17","031",2,108600,108500,108500,108600,108600,108600,108500,108900,109600,110100,110300,110700,111100,111100,110900,111100,111400,112000,112500,112900,113100,113500,114100,114500,114800,115400,116200,116900,117500,118100,119000,119500,119800,120200,121000,121800,122700,123400,124300,125400,126500,127600,128900,130000,131200,132400,133900,135600,137200,138900,140500,141600,142400,143100,144100,145700,147700,149400,150600,151700,153300,155500,157800,159800,161400,162600,163500,165000,166800,168600,169800,171200,171900,171400,170600,170600,171200,172700,174700,176100,176900,177500,178500,180200,182100,184700,187800,189900,191000,191400,191000,190500,190300,190400,190600,191300,191900,192500,192700,193400,195000,196900,198100,198900,200200,201500,203000,204100,205200,206500,207900,209300,210700,211700,212600,213500,214000,214800,215900,216300,216400,216400,216500,216800,217000,217000,217300,218200,218700,219000,219300,219300,219400,219300,219100,219200,219200,219100,219200,219300,219700,219900,219600,218700,217400,215600,213600,212100,211400,210500,209300,207600,207200,207300,206900,206000,205000,202700,200700,199300,198000,197700,197300,197300,195200,192100,189300,187300,185600,185300,184500,182100,178900,177500,176900,174900,172900,172400,171400,169600,167500,165600,163600,161300,159200,157000,154800,153100,151700,150500,150000,149400,149100,149200,149200,148800,148700,147500,146600,146900,147100,146200,146200,147500,148900,150200,152400,154800,156400,157300,157800,158000,158400,158900,159200,159100,158700,158500,158800,160000,161600,162700,163100,163700,164300,164400,164500,165400,167200,168700,169100,169400,170000,170800,171000,171200,171200,170900,170800,171700,173300,174100,175000,176200,177000,177700,179600,181400,183500,185800,187400,187600,187700,188400,189700,191100,192200,193000
2402,"Maricopa","AZ","Phoenix","04","013",3,77500,78000,78300,78500,78800,79000,79400,79800,80100,80400,80800,81100,81500,81900,82000,82300,82800,83200,83500,83800,84100,84700,85200,85800,85800,85900,86500,87400,88000,88300,88400,88500,88700,89100,89800,90300,90400,90600,90800,91100,91200,91400,91800,92300,93000,93600,94000,94300,94800,95100,95400,95500,95900,96300,96600,96900,97300,97800,98200,98600,99100,99600,99800,100000,100100,100500,100800,101500,101900,102200,102400,102800,103500,104000,104300,104600,105100,105500,106000,106600,107100,107600,108300,108900,109300,109700,110300,110800,111100,111400,111700,112000,112700,113600,114500,115400,116200,117300,118700,120200,122200,124700,127100,129600,132300,135100,138300,142400,147100,152600,158800,165000,170400,175300,180000,184400,188100,190900,193000,194500,195100,195000,194500,194000,193800,193700,193600,193400,192900,192400,192200,192000,191700,191300,190400,189400,188300,186800,185000,183000,180400,177600,174700,171800,169000,166700,164600,162700,160500,158100,155300,152200,149600,148300,146900,145100,143100,140400,137400,134400,131500,128400,125100,122300,120000,117600,115300,113400,111900,110200,108500,106600,104600,102500,101100,99900,98600,97200,95800,93300,90200,87800,86000,84100,83000,83100,83500,83600,83600,83700,84600,86000,87300,89000,90700,92400,94100,95600,97000,98800,101100,103500,105300,107400,110400,112900,114900,117100,119300,121100,122400,123500,124500,124900,125000,125400,125700,126100,126300,126500,126800,127300,127800,128500,129300,129600,129900,130700,131500,132100,132900,133800,134600,135500,136800,137900,138900,139900,140900,141900,143100,144400,145800,147100,148000,148900,150100,151300,152000,152900,153800,154500,155100,156500,158100,159900,161200,161900
2841,"San Diego","CA","San Diego","06","073",4,123100,122300,122300,123000,123600,123200,122900,122500,122300,122700,123400,123700,123900,124100,124400,125100,125700,127200,129700,131800,132900,133900,135100,136400,137100,137900,138500,138800,139300,140100,140800,142300,144000,145200,146200,147500,149000,150700,152700,154600,156000,157500,160000,162100,163300,165300,168200,170900,173300,175900,178100,180200,182600,185000,187100,189400,192200,195600,199200,202700,205500,207300,208500,210400,213200,215800,217800,219800,222600,225600,228100,230700,234600,239500,244300,249200,254600,260200,265500,270600,274800,278200,281300,284900,288200,291500,295500,299800,303600,307300,311800,317500,324300,331400,338700,346400,355700,366600,377600,386400,393600,400000,405100,407900,409600,411800,414400,416000,415600,414300,413700,414400,415300,415700,416000,417000,417500,417000,415900,415000,413800,411300,407000,402700,399500,396300,392800,389800,387400,385100,383200,381500,379300,377100,375100,373400,370600,366900,363500,360400,355700,348900,341400,334300,328300,323300,318500,313400,308400,303800,299200,294900,290900,286700,282700,279800,277900,276000,274000,272600,272000,271700,271000,270100,272300,276800,280700,282100,282500,282500,282400,281100,279600,278300,277200,276000,273800,271000,269300,267700,265100,262000,259200,256200,253100,251100,250300,249400,248500,248800,248900,248100,247100,246700,247500,249500,252300,255400,259300,263500,267300,271000,275300,281400,289200,297500,304600,311400,316800,320900,323500,324600,325000,325900,328100,330400,331300,331200,332000,333500,335000,336300,338000,340600,343500,345600,346300,346800,348300,351000,353700,355600,357300,359700,362600,365100,366200,366900,367800,369800,372700,375500,378300,381600,385200,388400,391200,394100,396800,398200,399100,401400,404700,407900,410600,412900,416100,419300
1286,"Orange","CA","Los Angeles-Long Beach-Anaheim","06","059",5,138900,138400,138400,138800,139300,139800,140100,140800,141600,142300,142800,142600,141800,141700,142400,143300,144400,145700,147000,148100,149200,150300,150800,154400,,,,160000,163300,163800,164900,165600,166600,168000,170100,172600,174600,176100,177000,177100,177400,178800,181100,183900,186500,188400,190300,191700,193000,194800,196200,197600,200000,203200,205600,207700,210100,212800,215600,218700,222200,225300,227700,230300,233400,236300,238700,241100,243700,246300,247900,249000,251300,255300,259700,264300,269100,273800,278200,282500,286600,290700,295200,299300,302900,306200,309500,312900,317100,322400,328800,336000,344000,352400,361000,371400,384700,398900,410500,418600,425000,430400,433200,434500,435500,437500,440100,443100,445700,448100,452200,459600,465900,471300,478000,484500,488400,491700,495000,497800,498300,498000,498000,497100,495200,493400,491700,490500,488200,484700,481400,478100,474800,472200,468600,463600,458300,452200,446000,440200,434800,429600,424200,416900,407800,398500,390400,384100,379600,375800,371800,367300,362800,357800,352900,348700,344800,340900,338800,337900,337000,336100,335600,334600,334900,336000,336700,337000,338400,338800,337500,335600,334000,332000,330600,330400,330000,328300,325100,321100,317700,315400,312500,309300,306200,304100,302000,300300,299100,298600,297900,297000,296100,296300,297200,298900,301900,305700,309100,312000,315600,321100,329300,339600,349800,359600,368800,376500,381900,387200,392900,398000,400500,401200,402100,404900,407500,408500,409100,408900,408600,409400,410100,411100,413200,415400,417500,420200,422700,424600,426200,428700,431000,432800,435000,436700,437600,439000,441100,442800,444100,445600,449600,454400,457400,459000,461400,464100,466200,467900,469000,470000,471900,474800,476900,478700,481700,484800
581,"Kings","NY","New York","36","047",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,403000,403200,402100,400500,401600,405700,407400,407300,408900,411400,411700,413200,417400,422300,426300,429100,429300,427900,423800,419100,420200,425300,428100,427700,428000,430300,434400,438100,441200,444000,444400,444300,445400,448700,452900,458700,464200,470500,477800,486900,494500,498400,499000,499400,500200,502700,507100,512600,517500,521100,522400,522300,522700,525800,530200,533700,538100,544300,550200,555300,561900,568600,573200,580400,593100,605400,612600,615900,615700,617000,621500,625600,627500,629700,634500,642200,650100,656900,662100,667400,672600,677500,686700,703800,720600,733500,743900,752100
2964,"Miami-Dade","FL","Miami-Fort Lauderdale","12","086",7,76400,76400,76400,76400,76500,76600,76600,76800,76900,76900,77200,77600,78000,78000,78300,78900,79500,79800,79800,79600,79700,80300,80900,81100,81600,82300,82300,82100,82200,82500,82700,82900,83000,83000,83300,84100,84600,84700,84700,84800,84900,85200,85500,85900,86500,87100,87700,87900,88100,88500,89400,90400,90700,91000,91700,92500,93300,94100,94900,95900,96900,98000,99100,100200,101500,103000,104400,105800,107400,108900,110400,111800,113100,114400,115800,117600,119400,121200,123000,124800,126500,128000,129800,131400,132900,134600,136100,137400,138900,140800,142800,144900,146900,149100,151300,153200,155300,157800,160100,162700,165800,169000,172100,175300,178600,181700,185500,190100,195200,200200,205800,211500,216600,221000,225300,229300,232800,235900,239000,242300,245500,247900,249700,251300,252600,253500,253800,254100,253500,252600,252500,253100,253400,252900,251900,250900,249800,248200,246200,244200,241400,237700,232800,227600,222300,216700,210800,205100,199100,192500,186300,180300,174200,168500,163100,157600,152100,147700,144100,140700,138100,136700,135700,133900,134000,135100,134600,131900,130400,129800,129000,127500,125500,123300,121300,120100,118900,117800,117600,118400,118600,117700,116300,115400,115100,115000,114800,114800,114800,115700,117000,118000,118700,120500,122900,125000,127200,129300,130700,132100,133800,135400,137300,140100,142900,144400,146100,148200,150100,152100,154800,157600,160100,161700,163100,164500,165700,166900,168600,170300,171800,173600,175700,177500,178200,178300,178700,180100,181800,183700,185100,186100,187100,188800,190800,192600,193600,194300,195200,196700,198800,200600,203300,206800,208700,209200,210600,211800,212200,212000,212000,212400,213200,214200,215000,215500,217100,219100
978,"Dallas","TX","Dallas-Fort Worth","48","113",8,,,,,,,,,,,62800,62800,62400,62000,61800,61800,61700,61700,61600,61500,61700,62100,62400,62600,62500,62500,62700,62900,63200,63600,63700,64000,64600,65200,65700,66500,67900,69300,70000,70600,71200,71700,72200,72800,73200,73200,72900,72800,73100,73300,73400,73700,74200,74600,75200,75900,76400,76400,76400,76700,76700,76900,77300,77700,78100,78800,79500,79900,80200,80700,80900,80900,81300,81600,81600,81600,82100,82700,83200,83800,84400,84900,85400,85900,86300,86700,86900,87200,87400,87300,87100,87100,87200,88100,89700,91200,92300,92900,93900,95000,95600,95700,95700,95700,96100,96500,96700,96800,96900,96900,97000,96900,96800,97100,97900,98500,98700,98500,98400,98600,99000,99700,100200,100700,101100,101700,102300,102800,103000,103100,103700,104300,104800,105500,106300,106600,106700,106800,106900,107200,106800,105500,103700,102300,101100,99900,98900,98500,98400,98200,98200,98100,97700,97300,97100,97000,96600,96100,95800,95400,95400,95700,96100,96000,96700,98100,98300,97500,98000,98500,98100,97600,97500,97000,95700,94400,94100,94300,94500,93900,92700,91600,91100,90800,90400,89800,89500,89700,90200,90900,92000,93300,93800,94100,94700,94800,94400,94200,94100,94400,94700,94600,94700,95500,96600,97200,97600,98100,98600,99300,100200,100800,100800,100800,100600,100400,100600,101500,102400,103200,103800,104900,106500,108300,109200,110000,112100,115200,118500,120900,123000,125600,128100,130200,132100,134100,135800,137600,139400,141600,143300,144900,147100,149800,152700,155400,157400,158800,160000,160700,161200,162000,163200,164700,166700,168900,170800,172300
1347,"Queens","NY","New York","36","081",9,188200,189000,190100,190500,188500,185900,184000,183900,184900,186400,187900,190000,192700,194600,195200,195700,197700,199400,200400,200100,201200,204400,207000,209600,210100,211300,212100,212900,214300,215800,217100,219100,220200,222600,223600,226000,227800,229000,230700,231500,232700,233900,237200,242500,248400,254500,259500,262200,263800,265800,268800,272800,278200,284100,289400,290800,289800,288900,291600,296800,303400,307900,311500,312300,312400,312900,312500,312800,313700,315700,317700,319800,322400,324000,324600,324800,325700,327000,328600,331000,334400,339400,343300,347200,349600,351400,351900,352100,353300,352900,354600,359000,367600,377300,385000,392500,397500,402800,405500,408400,406800,405900,400200,386400,364200,334300,307600,281200,258500,240900,229600,225200,219400,212100,206800,206500,211100,216600,220400,221600,223200,223000,223500,220800,219600,219800,219500,217500,212600,209500,207900,207000,205000,203300,201700,199500,198500,197600,197900,198600,200300,204600,208700,213000,215200,215900,214700,212400,211500,211300,211900,212900,214200,217900,221600,225900,227700,229500,230800,231600,231300,230300,228300,227200,226900,216100,204900,193300,192600,192600,192100,191700,191200,190800,189700,188800,187500,188100,188200,187900,185900,183400,181000,179000,177500,176800,176700,176400,176900,180000,183400,186900,187900,190000,191700,193300,195500,197400,200300,201700,202700,204600,206000,206300,204800,203600,202600,202000,200600,199100,198900,197400,195600,195900,196500,197700,196600,195200,192400,190200,189100,189600,192500,191400,188500,187100,186500,186200,184400,183300,181800,181100,179900,179900,183400,184900,188300,193100,199900,203700,206800,209000,215800,220100,228300,235200,253200,270200,287500,301800,316300,336500,360300,386400,410900,436800,463400,486100
2832,"Riverside","CA","Riverside","06","065",10,94100,94500,94600,94500,94200,93800,93600,93200,93100,93900,95100,96400,97300,97700,98400,99500,100700,101900,102500,102900,103400,104400,105200,104900,103800,104000,105200,105800,106000,106200,106200,105900,106100,106600,106900,107800,109400,110600,111500,112400,113300,114400,115800,117600,119200,120500,121800,123200,125100,127300,128800,130200,132300,134100,135900,137600,139400,141000,143000,145200,147900,150200,152000,153500,155100,156400,157200,158100,158700,159500,160300,161700,163300,164500,165300,166500,167900,169800,172900,176500,179400,182000,184600,185900,185900,186500,188900,191400,193400,196400,200200,204300,208500,213100,218400,224900,231900,238800,245000,251500,258800,265700,271300,276200,281200,286400,291100,295100,299400,304200,309100,314000,318200,321400,324900,328800,331700,333200,334300,334800,334200,333700,334200,334200,333900,333100,330800,327900,325400,323100,320900,319000,316500,313100,309100,306000,303400,299800,295500,291700,287300,281700,276500,272100,267500,262400,257400,253200,248500,243100,237500,231500,225400,221300,217400,214000,211400,209100,207600,207100,205400,203400,202300,202100,203500,206400,207700,206700,206100,205800,203800,200300,197900,196400,195100,193800,192300,189900,188700,188100,186400,183100,179400,175800,173200,171800,170900,170600,171100,171200,171000,170600,170300,170900,172400,173200,174400,176400,178800,180500,181100,181900,183900,186800,190700,196000,202000,208200,212900,215800,217900,220500,222900,224500,224700,225000,225400,226000,226500,227100,227900,229100,229900,230400,231200,232000,233400,235000,236100,237100,238900,240300,241500,242500,242900,242200,241200,241000,241300,242300,243600,245000,245700,245500,245500,247500,250600,253100,254400,255100,255600,255900,256100,256600,257400,259500,261800,262900
