"RegionID","RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","1996-04","1996-05","1996-06","1996-07","1996-08","1996-09","1996-10","1996-11","1996-12","1997-01","1997-02","1997-03","1997-04","1997-05","1997-06","1997-07","1997-08","1997-09","1997-10","1997-11","1997-12","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09"
3101,"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","06","037",1,159400,159500,159200,158900,158700,158600,158700,159000,159400,160100,161200,161900,162100,162200,162200,162200,162400,163100,163900,164600,165700,167300,169000,170400,171400,172300,173300,174200,175000,176400,178100,179800,180900,181700,182700,183900,185000,186400,187900,189300,190600,191800,193200,194900,196900,199100,201400,203500,205400,207200,209100,210900,212800,214600,216300,218000,220000,222300,224500,226700,228500,230200,232100,234000,235500,237200,239300,241700,244100,247100,250100,253000,256500,260600,264600,269000,273900,278600,283200,288100,293100,298100,302600,307000,311700,316300,320500,325500,331500,338000,344400,350900,357800,365200,373000,381500,391000,401000,411500,421500,429700,436300,442400,448200,453700,459100,465100,471800,479100,486500,494500,503600,513600,522900,530800,537800,542800,545200,547600,550700,552900,555000,557600,559500,560000,559900,559200,558500,557000,555300,554400,553900,552600,550500,547000,542700,538500,534100,529800,525000,517200,507500,497700,487700,476900,466300,455800,445000,434500,425800,418800,412300,406100,401700,398400,395100,391600,388100,384700,382500,381500,381000,381000,380500,385200,393300,398000,396500,395600,395100,394300,392500,391400,390300,388700,387500,385700,383000,380100,378200,375600,372500,369900,367400,364500,361700,359200,357300,355700,354100,352700,352900,354700,357900,361800,366100,369900,373100,375800,380000,384600,387900,391900,398600,406000,413100,420600,427900,434000,439500,444300,447400,448300,449300,451700,455300,458400,462000,465300,468100,470700,473900,477200,479400,480300,481800,484800,488000,490800,492700,494100,496000,498500,501400,505300,509500,512500,515100,518300,522600,526600,529200,531000,533000,535400,538100,541800,546000,549500,551600,554400,558100,561200,563700,565900,568200,571400,574400
139,"Cook","IL","Chicago","17","031",2,128700,129000,128900,128600,128400,128400,128500,128800,129000,129300,129800,130100,130100,130000,129900,130100,130300,130800,131300,131700,132100,132700,133400,133700,133600,133800,134100,134600,135000,135400,136000,136700,137200,137600,138400,139100,139900,140900,141700,142300,143200,144200,145200,146200,147200,148400,149900,151400,152600,153700,154700,155800,156900,158100,159200,160600,162300,163900,165100,166300,167700,169200,170500,171600,172600,173900,175600,177100,178500,180000,181200,182600,183800,184300,184400,185100,186600,188200,190000,191700,193400,194800,196500,198700,200900,204200,208800,212900,215000,215800,215400,214900,214900,215500,216300,216900,218000,219100,220100,221500,223500,225300,226900,228500,230300,232000,233600,235300,236900,238400,239900,241400,242900,244600,246500,248400,249700,251100,252600,253900,254900,255400,255600,255800,256100,256300,256900,257800,258200,258600,258900,258900,258200,257300,256200,255300,254600,254200,254000,253600,252700,251200,249700,247700,245200,242800,239900,236900,234800,233000,230900,228300,226500,225100,223700,222100,220300,217700,215300,213300,211700,210600,209900,209400,207900,206000,203700,201600,200000,199300,197900,195800,193700,191900,189700,187200,185300,184400,183500,181800,179200,176900,175000,173100,170900,168900,167200,166100,165200,163800,162700,162200,162300,162800,163600,164600,164900,164000,163400,163300,163700,163900,164200,164800,166300,168400,171400,173900,175300,176500,178000,179100,179800,180500,181100,181500,181700,182000,182100,182500,183700,185100,185800,186200,186300,186000,186300,187800,190000,191500,192100,192800,193900,194900,195500,196100,196300,196000,196300,197700,199400,200200,200700,201300,202000,202700,203800,204900,206700,209100,211200,211900,212200,212600,213100,214000,215100,215900
2402,"Maricopa","AZ","Phoenix","04","013",3,107300,107400,107700,108200,108600,108900,109200,109500,109800,110400,111300,111900,112400,113000,113500,113500,113800,114400,115100,115300,116100,117000,117600,118000,118300,118800,119800,120600,120700,120800,121100,121500,122000,122500,123100,123800,124600,125100,125500,126000,126700,127500,128200,128900,129900,130900,131800,132800,133600,133800,133900,134300,135000,135500,135800,136200,136700,137300,138100,138800,139200,139600,139900,140400,140700,140700,141100,141700,142400,143100,144000,144900,145700,146200,146700,147400,148100,148700,149600,150500,151400,152400,153000,153300,153700,154600,155600,156300,156700,157200,158000,158900,159800,160800,162300,163700,164800,166200,167800,170000,173100,177000,181100,185800,190500,195100,200500,207300,215600,224700,234200,243400,252100,259700,265900,270700,274200,276400,277500,277900,277900,277900,277400,276500,275400,274100,273100,272100,270800,269400,268000,266200,264600,262900,261000,259000,256900,254900,252900,250300,246600,242700,238500,234000,229400,225400,221500,218000,214500,211000,207000,202900,200700,200300,199000,196200,193100,189500,185600,181800,178400,175100,171800,169200,165900,161700,159100,158300,157400,155900,154500,152900,150500,147600,145500,144000,142700,141400,140300,139200,137600,135300,133200,131700,130900,131100,131600,132500,134000,136000,137900,139800,142300,145400,148900,152500,155600,158300,160700,162500,164200,166400,168700,171100,173700,176600,179700,183100,186800,190300,193200,195400,197200,198300,198700,198900,199400,200000,200400,200300,200300,201000,202000,203300,204600,205900,206800,207900,209200,210500,211600,212800,214500,216400,218200,220000,221700,222800,223900,225000,225900,227000,228600,230000,231100,232100,233600,235200,236600,237600,238400,239100,240000,241400,243300,244800,245900,246900
2841,"San Diego","CA","San Diego","06","073",4,164700,164400,164000,163700,163200,162900,162600,162400,162700,163700,164600,165100,165300,166200,166800,167200,167900,169200,170400,171800,173200,175000,176900,178700,180300,181300,182300,183600,185100,186500,188200,190400,192300,193900,195700,198000,200100,201800,203700,205800,207800,209700,211700,213800,216000,218600,221800,224700,227700,231100,234600,237800,240700,243600,246700,249700,252800,256000,259200,262500,265200,267600,270000,272700,275400,278000,280600,283100,286100,289700,293500,296900,300700,305400,310900,317000,323400,329700,336000,342100,347600,352300,356800,361000,365100,368700,372100,376200,381500,387700,395200,403400,412000,420600,429400,438800,449900,462600,475900,488000,497800,505400,511500,516400,520300,523600,527000,530300,532700,534600,536200,538100,540200,542300,543300,543500,543200,543200,543200,543300,543600,543100,540400,536500,533100,529700,526300,524100,522200,520400,519300,517800,514400,510100,506000,502100,497400,492100,487200,482200,475500,467100,457300,447300,438500,431300,425000,418600,411900,405500,399200,392500,386800,382600,379100,375800,372600,369500,367700,367000,367200,368000,368800,369400,372000,375300,377200,378100,379700,380500,379600,378100,377500,376100,373900,372000,369700,367200,365800,364500,362100,359500,357100,354600,351400,348800,348000,348600,349000,349900,351000,352300,353200,354200,355500,357500,360600,365000,370000,375300,380500,384800,389000,394500,401100,408600,416200,423000,428200,432800,436400,437700,438100,440200,443500,446800,449000,450800,452200,452700,453300,455600,458300,460300,463100,466200,468400,469800,471700,474100,477100,481200,485600,488700,491300,494200,496600,498400,500700,503600,506700,508200,510600,514600,518000,520100,523200,526600,528400,528300,528300,530700,535200,541200,545900,548500,551200,553900
1286,"Orange","CA","Los Angeles-Long Beach-Anaheim","06","059",5,199900,199900,200400,201000,202200,203400,203900,204000,204400,205300,206300,206500,206300,206800,207800,208800,209800,211000,212600,214600,216800,219200,220800,225100,,,,231800,236700,238400,240400,242400,245200,247700,250300,252600,254300,256100,257900,258000,257600,258900,261700,264400,266800,269600,272700,275500,278200,281200,283700,285700,288000,291500,294600,297400,300400,304200,308000,311600,315300,318700,320700,322900,325900,328900,331100,334200,338300,341900,344700,347600,351500,356600,362400,368000,374500,381300,388400,395400,401600,407000,412500,417900,422500,426500,430500,435200,441200,448400,457100,466800,476300,486100,497300,510300,525000,541000,557300,572500,584600,593100,598900,602400,605300,608300,612400,617900,624700,632900,641400,650100,658700,668100,677800,686400,692800,698800,703500,706400,708400,708800,706200,702900,700400,697600,694800,692500,690300,688500,687600,686000,682500,678300,675100,671700,665500,657300,649700,642600,636100,628900,619100,606400,593800,581900,571400,562400,555400,549100,542600,535800,530500,525900,520300,514500,509800,506200,504600,504200,504700,505500,505300,504000,501800,499300,498300,500500,503600,504300,502000,498800,495200,491800,489600,488000,486500,485700,484500,481000,476600,472800,468700,464400,460700,458300,456500,455900,455300,454200,453300,453400,453800,455100,457400,460800,465500,470800,475900,481700,488700,496900,506500,516800,526700,536900,546800,554400,560400,567200,573300,577600,579900,581000,583200,587800,591700,593800,595700,598100,599700,600500,601800,603900,606400,609100,612300,615400,617900,620500,624000,627800,631000,633600,636500,639500,642400,644700,646700,648800,651300,653100,656200,659700,661700,663300,666600,669800,672200,675000,676600,676200,676900,679600,681600,684000,687900,691600
581,"Kings","NY","New York","36","047",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,353400,369100,381900,392800,404700,419100,427200,428200,429400,432800,433800,428000,412800,397900,397300,405400,404200,391900,381100,377300,380100,386900,392800,399000,407900,417200,424500,430100,437000,446300,454700,458800,460900,461300,460700,460700,462600,464900,464700,462700,463100,465200,463900,461200,459900,460800,462200,463600,462800,460900,459400,459600,461800,465600,468600,469300,467600,465400,461400,457300,456200,456500,453700,449400,445500,441700,437100,432700,430000,428500,428300,428600,433300,441200,445600,444200,442600,442300,441900,441300,439400,437900,438700,442500,444700,445700,447700,450300,451600,453400,457400,461200,464900,467200,466900,464600,461000,456800,457900,461700,463700,463000,462900,464500,468200,472600,475500,476300,476500,478400,479300,480500,483800,489100,493600,499100,505700,512500,517700,520400,521400,523400,526600,529700,532200,534600,538100,542200,545500,546600,547500,549600,552400,555000,559300,565200,571500,578000,585800,592800,597600,604700,616200,626200,632600,637300,639200,641300,645000,647700,648800,649700,652300,658100,665800,675100,684100,689600,692000,696000,704600,718300,730300,739400,746700,752500
2964,"Miami-Dade","FL","Miami-Fort Lauderdale","12","086",7,96000,95700,95400,95400,95500,95600,95700,95800,95900,96500,97300,97800,98100,98500,99200,99800,100500,101000,101000,101100,101400,101900,102400,102500,103000,104000,104300,104000,104300,104700,105100,105500,105600,105700,106000,107000,107700,107900,108300,108700,108700,109000,109800,110500,111200,112100,112700,113100,113500,114100,115000,116000,116900,117700,118500,119300,120100,120800,121800,123000,124400,125700,127100,128700,130200,131500,133000,134500,136200,138000,139700,141000,142100,143200,144600,146400,148200,150100,152100,154200,156100,158000,159800,162000,164200,166100,167900,169700,171600,173800,176100,178300,180900,183600,186300,189000,191800,195500,199300,203100,207200,211500,215800,220600,225200,229800,235200,241500,247800,253700,259800,266200,272600,278400,283900,288900,293000,296000,299600,304000,308700,312600,315300,317700,319300,320400,321500,323000,323700,324400,325100,325400,324600,323200,321900,320700,319200,317100,314200,310700,306700,302500,297600,291400,284200,276200,268200,260500,252500,243900,235700,228000,220100,212500,205400,198300,191500,186400,182300,178800,176400,175100,173900,171800,171600,171800,169800,166200,164400,163800,162800,160800,158300,156200,154400,153300,152300,151500,151800,153300,154200,153800,153000,152300,152100,151600,150800,150400,150800,151500,152700,154500,156100,157500,159800,162200,163900,164800,165900,167800,169700,170900,172500,174800,177400,179700,181500,183400,185600,188900,192600,195300,197900,201100,204200,206500,208200,210300,212400,214500,216600,219000,221500,223700,224600,224800,225700,227200,228900,231300,233800,235900,237600,239500,242100,244200,245100,245600,246700,248800,250900,252200,253100,254700,256700,259100,261700,264300,266100,267400,268200,268200,268000,268500,270000,272100,274600,276800
978,"Dallas","TX","Dallas-Fort Worth","48","113",8,,,,,,,,,,,79200,79200,79300,79400,79600,79800,80300,80900,81300,81800,82500,82900,83300,83600,83800,83900,84100,84400,84600,84700,85200,85700,86200,86800,87400,88400,89400,90300,91300,92400,93100,93600,94200,94800,95500,95900,95900,95800,95800,96000,96500,96800,97200,98000,98700,99300,100000,100500,100800,100900,101200,101500,102100,102700,103100,103600,104000,104500,104900,105300,105700,106500,107000,107700,108300,108900,109400,110100,110600,111400,112100,112800,113300,113400,113300,113300,113000,112800,112900,113000,113100,113300,113700,114600,116000,117900,119800,121300,122100,122700,123300,123700,124000,124200,124400,124800,125100,125400,125700,126000,126500,126600,126500,126500,126600,126800,126700,126600,126700,127000,127200,127600,127900,128300,128900,129600,129800,129900,129700,129500,129600,129800,129800,130000,130300,130600,130900,131200,131600,131900,131200,129500,127600,125900,124200,122400,120900,119900,119000,118300,117600,116900,115900,114700,113900,113200,112100,110700,110100,110000,109600,109300,109500,109000,110100,112600,113800,113400,113800,114300,114500,114200,113700,113200,112500,112100,111900,111700,111300,110600,109800,109100,108600,107900,106800,105500,104700,104900,105300,105500,105900,106800,107800,108500,108400,108500,109300,109900,110000,110300,110500,110600,110900,111800,112900,113900,114500,114900,115600,116700,117200,117400,117400,117300,117500,117800,117700,117800,118300,119000,120200,121600,122800,123700,124100,124400,125100,126700,129300,132600,135600,137700,139500,141500,143600,145800,147500,149300,151400,153400,154800,156000,159200,163400,165600,166300,168000,169700,170700,171400,173000,174900,176100,176700,176800,176900,177700,178700
1347,"Queens","NY","New York","36","081",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342600,354300,365100,373800,382100,391300,395200,396500,399700,406100,410800,412600,402700,384200,372100,373000,378200,382900,383900,382300,383200,388600,395000,403000,412600,423100,433500,442300,450300,458900,464700,467500,471500,477000,481100,484200,487300,490500,492700,492600,491400,490500,488300,485100,482700,480800,478300,475800,474400,475000,475800,474300,470600,466000,460500,453900,447700,443300,438300,432100,426300,420900,415300,410100,405500,401600,398300,395200,392000,389000,386900,385700,385700,385800,384800,382900,381400,381200,380900,380000,378400,376800,374900,373000,371400,370100,368300,366200,364000,361200,358100,355600,353500,351700,350400,349400,348700,349400,350400,350700,350800,351600,353000,355500,358200,359100,359200,360200,362000,363200,363700,364200,365600,367900,370100,371400,372600,373700,374400,375700,377500,380200,385200,391200,394000,392900,391500,391500,393500,397700,403400,407800,409800,410400,411700,411900,411900,413700,417700,421000,422400,423000,425700,430100,434600,438100,440900,443600,446600,449800,452400,456400,461600,465200,468900,474000,477400,478300,478900,484100,494100,504400,511700,517900,525600,537200,547300
2832,"Riverside","CA","Riverside","06","065",10,124100,123500,122900,122500,122000,121600,121300,121500,122200,123100,124300,125200,125800,126300,127200,128200,129000,129400,129700,130500,131200,132200,133600,134600,135400,136000,136400,136800,137200,137900,139000,139900,140300,140700,140900,141400,142300,143700,145400,147200,148500,149700,151000,152300,153600,155200,156900,158200,159400,161000,162600,164200,166000,167500,168500,169800,171200,172500,173900,175800,178000,179900,181600,183400,185200,186700,187700,188500,190000,192300,194600,197100,199700,202200,204400,206200,208900,212200,215300,218300,222100,225700,229000,232200,235100,238100,241700,245400,248600,252400,258000,264600,271000,277000,283100,289900,297900,306500,314700,322700,331400,340100,347800,353900,358300,362000,366100,370200,374200,378400,383200,388500,393400,397800,402700,407800,412300,416000,419200,421200,422400,423200,424200,424700,424900,424200,422100,419100,416400,414200,412300,410000,406800,403000,399400,395400,390700,384900,378400,371700,364900,357700,350200,341900,333400,324800,315800,307300,299100,290200,281200,272900,264800,257200,249500,242800,236800,231500,227500,224500,221200,218300,216400,215600,215000,215400,216400,217400,218200,218500,216900,214100,212600,212100,211800,211300,211000,210200,209500,209000,208200,206500,203800,201300,199500,198800,198900,199400,200400,201400,202000,202200,202400,203300,205900,208600,210700,212600,214600,216500,219100,222300,226300,231000,236100,241100,246500,252400,258300,263600,268100,271800,274400,276300,277800,279400,281000,282900,285200,287400,289500,291300,292700,294200,295400,296100,296300,296900,298200,300600,303400,305800,307500,309300,311200,312500,313100,313800,314900,316300,318200,320400,322600,324900,327000,329000,330900,332200,332800,333600,334700,335700,337100,339200,341800,344300,346400,347700
