"RegionID","RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","1996-04","1996-05","1996-06","1996-07","1996-08","1996-09","1996-10","1996-11","1996-12","1997-01","1997-02","1997-03","1997-04","1997-05","1997-06","1997-07","1997-08","1997-09","1997-10","1997-11","1997-12","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09"
3101,"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","06","037",1,164000,164000,163700,163400,163200,163100,163200,163400,163800,164700,165600,166200,166500,166600,166700,166900,167100,167600,168300,169200,170300,172000,173700,175000,176000,177200,178000,178800,180100,181600,183300,185000,186400,187500,188700,189800,190900,192300,194000,195600,197000,198200,199600,201300,203200,205500,208000,210200,211900,213900,215700,217600,219700,221500,222900,224400,226400,228600,231100,233400,235200,236800,238800,240600,242200,244100,246500,249000,251500,254200,257400,260400,263700,267800,272200,276900,281800,286800,291700,296900,302000,307200,312100,317000,321900,326600,330700,335400,341300,347700,354100,360700,367800,375400,383300,392100,402000,412400,423300,433800,442800,450000,456600,462500,468200,473600,479200,485800,493200,500900,509200,518200,527800,537200,545600,553000,558200,561300,563700,566400,568600,570800,573500,575200,575500,575200,574800,574300,572800,571100,570400,570000,568700,566700,562800,558000,553600,549300,544700,539600,531400,521100,511000,501100,489700,478400,467700,457000,446300,436900,428900,422100,415700,410900,407200,403800,400400,396800,393700,392000,391100,390600,390700,390100,395000,403700,408300,406500,405500,404600,403700,402200,401200,400400,399500,398400,396800,394400,391800,389800,387400,384700,382100,379500,376800,373700,371100,369300,367600,365300,363800,364600,367300,371200,375100,379100,382800,386100,389000,392800,396800,400100,404100,410500,417900,425500,432900,439300,445200,451600,457100,460800,462700,464400,467500,471600,474800,478100,481400,484700,487900,490800,493100,494600,495400,497200,500700,504300,506700,508400,509900,512400,515700,519400,523100,527800,531400,534200,537200,541200,544900,547600,550400,553100,555000,556900,561000,566200,570100,572200,575000,578800,581600,583600,585300,587300,590200,593000
139,"Cook","IL","Chicago","17","031",2,144400,144000,143500,143100,142800,142300,142000,142100,142300,142800,143400,143600,143400,143100,143000,142900,143000,143400,144000,144400,144900,145300,145800,146000,146000,146100,146300,146600,146900,147500,148200,148800,149000,149300,150000,150900,151800,152600,153200,153800,154600,155600,156500,157500,158500,159700,160900,162000,163300,164600,165400,166300,167600,169100,170500,171800,173400,174700,175700,176900,178400,179700,180700,181500,182400,183800,185600,187200,188500,190000,191700,193300,194700,195800,196900,198400,200300,202700,205200,207600,209700,211400,213400,216100,219000,222800,227800,231900,233900,234300,233400,232600,232800,233800,235000,236000,237000,238000,239300,241400,243500,245300,247300,249800,252300,254500,256400,258400,260400,262400,264300,266400,268500,270700,272800,274800,276600,278400,280000,281300,282600,283700,284500,285000,285800,286300,287000,287900,288200,288600,289200,289400,288200,286100,283900,281900,280200,279300,279000,278400,276600,273900,271500,268800,265500,262200,258700,255100,252100,249600,246800,243700,241300,239500,237400,234700,232000,229100,226300,223800,221800,220600,220000,219200,218200,217200,215200,212700,211500,211100,209700,207500,205400,203200,200300,197100,195000,194100,193300,191800,189800,188200,186600,184700,182900,181200,179100,177100,175700,174400,173100,172300,171900,171700,172300,173800,174600,174000,173900,174900,175500,175000,175000,175700,176800,178900,182300,185300,187300,188900,190300,191500,192500,193600,194800,196300,197700,198500,199000,199500,200600,202100,203100,203600,203300,202400,202400,204300,206800,208300,208900,209400,209900,210500,211400,212300,212900,213100,213900,215600,217500,218100,218500,219100,219700,220100,221000,221900,223900,226400,228100,228300,228300,228500,228300,227900,228200,228600
2402,"Maricopa","AZ","Phoenix","04","013",3,112300,112500,113000,113600,113900,114200,114600,114800,115200,116000,116700,117200,117800,118600,118800,118800,119000,119700,120600,121400,122000,122700,123400,123900,124000,124700,125900,126600,126800,126900,127100,127700,128200,128700,129300,129900,130500,131200,131600,132000,132700,133700,134400,135200,136100,136900,137800,139200,140300,140600,140700,141100,141600,142200,142600,143000,143500,144300,145100,145700,146200,146600,147000,147400,147700,147700,147800,148200,149000,149900,151000,151900,152600,153200,153900,154700,155600,156400,157300,158400,159400,160100,160700,161100,161600,162200,163300,164300,164700,165200,165800,166700,167800,169100,170700,172200,173600,175200,177000,179600,183100,187300,191900,196900,202000,207300,213300,220400,228800,238200,247900,257500,266500,274300,280700,285500,288800,290700,291800,292300,292400,292200,291600,290700,289700,288500,287500,286900,285700,284000,282600,280900,278900,276900,274600,272200,270000,268000,265600,262500,258700,254500,250000,245100,240600,236600,232800,228900,225000,221400,217600,213100,210300,209500,208200,205600,202800,199200,195300,191700,188400,185100,181800,179200,176100,172500,169900,168600,167200,165600,164100,162200,159600,156700,154800,153300,152100,151000,149900,148800,147400,145700,143700,142100,141400,141500,142100,143200,144800,146600,148400,150500,153100,156200,159500,162900,165900,168700,171200,173300,175400,177500,179700,182300,185400,188800,192700,196700,200600,204000,206800,209000,210900,212300,213000,213200,213500,213800,214100,214400,214700,215500,216500,217700,218800,220000,221000,222200,223500,224700,225700,226900,228500,230400,232200,234000,235400,236500,237700,238900,239800,240700,242300,243800,244900,246000,247700,249200,250500,251700,252800,253500,254100,255300,257000,258300,259700,260900
2841,"San Diego","CA","San Diego","06","073",4,178500,177900,177400,176700,176000,175800,176000,176200,176500,177500,178500,179200,179800,180300,180600,181000,181500,182600,183600,185200,187200,189300,191000,192900,194600,196100,197600,199400,201700,203900,206200,208900,211200,212900,214700,216600,218400,220300,222600,224700,226600,228200,229700,231400,233600,236400,239700,243300,246700,250000,253200,256300,259600,263000,266300,269200,272300,275700,279300,282800,285700,288200,291000,294100,296800,298900,301100,304200,307400,310900,314600,318100,322400,327600,333100,338900,345200,351900,358800,365500,371600,377100,382200,386800,390600,393900,397500,402200,408100,415000,422700,430500,438400,447300,456900,467300,479900,494700,509800,523000,533700,542100,548500,553500,557800,561400,564200,567000,569400,571300,573000,574800,577000,579700,581500,582300,582300,582300,582400,582400,581900,580800,578200,574800,571500,568100,564500,561800,559500,557200,555500,553600,549900,545500,541200,537300,532800,527300,521800,516900,510600,502500,493200,484300,476800,469900,462900,455600,448000,440300,433200,425900,419900,415600,411800,407400,403100,399100,396500,395300,395600,397100,398500,399400,402000,405000,407000,407900,408500,408200,406500,403900,401600,399200,397300,396500,394900,392600,391100,389800,387900,386400,385000,383100,379500,376600,375600,375900,375400,375100,376000,377600,379000,380500,382500,385300,389700,394600,399400,404100,409100,413700,418200,424400,431800,438800,446000,453600,460100,465900,470500,471800,472200,474800,478400,480900,482400,484400,486400,487600,488900,491400,493100,494500,497300,500200,502300,505400,509000,511400,513200,516500,520200,523300,526100,528900,531300,533800,535700,536400,537300,538800,541900,545700,549200,551800,554900,559200,562900,564400,564900,567200,572100,578900,584700,588100,591000,593600
1286,"Orange","CA","Los Angeles-Long Beach-Anaheim","06","059",5,216200,216300,216800,217500,218600,219400,220200,221000,221800,222700,223700,223700,223600,224200,225100,226100,227800,229700,232000,234500,237100,239600,240900,245800,,,,254200,260100,262000,264500,266700,269400,272100,274600,276900,278600,281000,283400,283800,283500,284900,287400,289700,292100,294800,297800,301300,305500,309700,312300,314100,317000,321300,324800,328200,331800,335500,339200,342700,346200,349300,351000,352600,355500,358800,361600,365300,369700,373100,375900,378500,382200,387400,393300,399400,406300,413800,421400,428700,435100,441200,447200,452700,458200,463300,468000,473500,479900,487700,497300,508000,519000,530600,543300,556800,571400,587900,605800,622200,634700,643000,648500,652000,654600,657700,662100,667900,675600,684000,692500,701200,710400,720300,730600,739700,746900,753100,758600,762500,764600,765000,762400,757900,753900,750200,746200,742800,739600,737400,736500,735400,732100,727400,723200,719800,714200,705800,697800,691600,686300,679400,668900,656000,644300,633400,623300,615100,609500,603900,596600,588800,583000,577300,570900,565100,560100,555700,554000,553900,554100,554300,553600,551800,548200,544500,543500,545300,546400,546500,544800,540900,536100,533000,532100,531400,530500,529700,527500,522700,517900,514200,509500,504100,500000,498100,496900,496900,497300,498300,499200,500200,501400,502800,504500,508200,513600,518900,524100,529000,534300,540700,549600,560300,570800,580900,591000,599600,606700,613600,619300,624000,627600,630300,632800,636500,640000,641800,642900,644600,646700,647900,648300,648800,650400,652900,656000,659500,662300,665200,669800,674300,677200,679000,681700,684500,687200,689900,692900,695500,697900,700100,703300,705800,706600,707200,710300,714500,718400,721300,722300,722100,723700,727200,730000,731800,733700,735400
581,"Kings","NY","New York","36","047",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340100,360700,380600,397600,414500,431500,441300,445600,452200,460500,464800,468900,472100,472100,471400,472900,476200,480000,480300,479000,482300,490300,498800,508100,518300,528300,538800,550300,563100,576000,583000,583200,581500,579500,576200,573800,571500,569000,566800,564700,561300,558200,555200,551300,547200,546400,548200,550100,548100,545200,544300,545800,547400,549100,548900,546100,542100,538900,533400,526100,523400,524700,522900,518100,514600,511400,507600,503200,501100,501800,504200,506400,506400,505000,503500,501900,499500,498000,495900,494300,492700,491400,493200,498600,503300,505600,507400,508700,508600,509500,512300,514800,516900,516200,511000,504200,498900,495000,496300,498600,498600,497600,499000,501300,503300,504100,504600,505200,507200,510200,511800,513600,516500,519600,522400,527600,535300,542800,547000,548500,548300,548900,551300,554500,557600,560000,562600,566400,571200,575500,578800,580300,582100,585300,588700,593400,601100,609900,618000,624200,627200,632000,640900,649200,654800,659100,661200,662900,666300,669800,672900,675700,678300,683300,692200,704700,717400,725900,729800,733300,737700,741600,744100,747100,750700,753600
2964,"Miami-Dade","FL","Miami-Fort Lauderdale","12","086",7,116900,116800,116500,116400,116600,116800,117000,117300,117700,118200,118800,119100,119000,118700,118500,119000,119800,120400,120500,120400,120700,121300,122100,122400,123100,124000,124300,124000,124200,124600,125100,125400,125400,125100,125200,126000,126900,127300,127900,128500,128500,128600,129200,130000,130700,131900,133100,133700,133700,134300,135300,136000,136500,137200,137900,138500,139300,140200,141500,142600,143700,145200,146900,148500,149700,151100,152400,154000,155800,157900,159900,161900,163500,164900,166100,167900,170300,172700,175200,177800,180300,182400,184200,186400,189000,191600,194100,196700,199300,202000,205100,208700,212300,215600,218700,221900,225900,230600,235600,240900,246200,250800,255000,259100,263100,267800,273800,280400,287200,294300,301500,308100,314900,321800,328200,333800,339100,344300,349500,354600,359100,362500,365200,367300,369600,371900,374000,375900,376800,377500,378500,379500,379700,379000,378100,377200,375700,373000,368900,364500,360300,355600,349100,341000,332200,322500,311700,301800,293000,283900,274800,266100,257900,249700,241700,233600,226000,220100,215700,211500,208200,206400,204800,203000,202100,200800,198200,195800,194400,193000,191400,189900,187200,184700,183400,182400,180100,177800,177300,177500,177200,176500,175900,175000,174400,173700,172500,171700,172300,174400,176500,177800,179000,180900,183000,184700,186000,186600,187300,189100,191600,194000,196100,198900,202200,204900,207200,210100,213200,216700,221100,224800,227200,229200,232000,234400,236300,238000,239900,241400,243300,245600,248200,250600,252000,253000,254400,256600,258800,261400,264700,267700,270000,272800,275400,276700,277900,279600,281200,283700,287400,290400,292200,294300,296600,299200,301900,304700,306600,307900,308200,308100,308400,310100,312800,315900,319600,322900
978,"Dallas","TX","Dallas-Fort Worth","48","113",8,,,,,,,,,,,80800,80700,80800,81000,81400,81800,82200,82700,83200,83700,84100,84500,85100,85400,85500,85700,85900,86200,86200,86300,86700,87300,88000,88600,89100,90000,91100,92100,92900,93800,94600,95200,95700,96300,97000,97600,97600,97500,97600,98100,98300,98300,98700,99700,100500,101100,101800,102200,102400,102800,103200,103500,104000,104600,105200,105600,106200,106800,107200,107500,108100,108700,109200,109600,110300,111100,111700,112500,113100,113500,114100,114800,115300,115400,115300,115200,114900,114700,114900,115100,115100,115300,115700,116600,118100,119900,121700,123000,123900,124500,125000,125400,125700,125900,126200,126600,126900,127100,127600,128100,128400,128600,128300,128100,128200,128300,128200,128100,128200,128400,128700,129000,129500,130100,130800,131200,131400,131700,131500,131100,131100,131300,131200,131500,131800,132000,132300,132700,133100,133300,132600,130800,128800,127300,125500,123500,121900,120800,120000,119300,118800,118100,116900,115700,114900,114100,113000,111800,111000,110600,110400,110200,110200,109600,111000,113600,114800,114400,114600,115000,115400,115200,114700,114000,113300,113000,112900,112700,112400,111900,111300,110700,110100,109300,108200,106900,106200,106300,106700,107000,107400,108300,109200,109800,109900,109900,110500,111000,111200,111500,111800,111800,112100,112900,114000,115200,115900,116500,117200,118300,119000,119200,118700,118500,118700,119100,118900,118900,119200,120100,121600,122900,123900,124800,125500,125900,126500,127700,130300,133700,136700,138700,140600,142700,144800,146800,148500,150200,152300,154400,155900,157100,160100,164200,166400,167200,169100,170800,171600,172500,174200,176000,177100,177900,178200,178000,178300,179400
1347,"Queens","NY","New York","36","081",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,333100,344100,354100,363400,373100,384000,389300,390900,396300,406600,414700,420800,425500,430300,436000,442500,449100,456500,459200,459600,464400,473900,482700,492500,501900,511200,521900,533100,543400,553700,559600,561200,562800,566300,568700,570500,570500,569100,567300,565900,564200,562300,558600,553900,550600,548900,547500,546600,546100,546300,546800,546100,544800,544300,541800,536000,529400,523900,517000,509200,501800,496800,493200,489100,484100,479700,475500,471200,467500,465600,465600,467300,470300,467300,459500,454800,455200,456700,459400,461200,461900,462000,461100,459700,458700,458600,459200,458700,456600,454000,451400,449200,447800,446400,444700,443200,441800,442400,444400,446200,446600,446000,445600,447600,450200,451500,452300,453200,453900,454700,455100,455100,455700,458100,462300,466300,468800,471600,475200,479100,482500,487600,495200,502200,505200,504700,503200,503700,506900,512300,518500,523300,525900,528300,530800,531600,532900,537800,543600,547600,550600,553200,556300,559700,563000,567200,572400,577100,582100,587600,591100,596300,603300,607800,610800,617000,622700,624600,625300,631100,641200,649100,653700,654800,656200,661000,666300
2832,"Riverside","CA","Riverside","06","065",10,128100,127400,126600,126000,125600,125000,124900,125100,125900,126800,127800,128900,129700,130200,130800,131700,132500,133000,133400,133900,134700,136100,137600,138700,139400,140200,140700,141000,141200,141800,142800,143900,144600,145200,145500,145800,146600,148100,150100,152100,153500,154700,156400,157900,158700,159700,161400,162800,164000,165400,166800,168600,170500,172000,172800,173700,175100,176400,178000,180000,182000,183700,185600,187500,189200,190500,191600,192900,194800,197100,199400,202000,204900,207900,210000,211800,214800,218500,221400,224500,228900,233200,236500,239600,242700,245800,249400,253100,256500,260700,266800,273500,279600,285700,292200,299200,307200,316000,324700,333000,342000,351100,359000,364800,368400,371500,375200,379000,382800,386900,391600,396900,402000,406400,411000,416100,420600,424300,427600,430100,431600,432400,433500,434500,434500,433300,431100,428200,425900,424400,422800,420400,417200,413200,409400,405300,400100,393800,387200,380300,373000,365700,357900,349300,340600,331900,322400,313600,305100,296000,286500,277900,269700,261800,253600,246200,239600,233900,229600,226200,222800,219900,218100,217300,216600,216500,217500,218800,219900,220500,218900,216000,214600,214300,214200,213800,213400,212600,211900,211600,210700,209100,206600,204100,202300,201700,201800,202300,203600,204800,205400,205700,205800,206600,209000,211700,214000,216100,218000,220100,222700,226100,230400,235500,240700,245900,252000,258700,265100,270700,275600,279500,282200,283900,285400,287100,289000,291000,293400,295600,297400,298900,299800,300600,301900,302900,303200,303800,305500,307900,310100,311900,313800,315700,317800,319700,320600,321400,322700,324300,326300,328600,332000,335100,336700,338200,340500,341400,341700,342900,344200,345100,346400,348900,351600,354100,355800,356900
