"RegionID","RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","1996-04","1996-05","1996-06","1996-07","1996-08","1996-09","1996-10","1996-11","1996-12","1997-01","1997-02","1997-03","1997-04","1997-05","1997-06","1997-07","1997-08","1997-09","1997-10","1997-11","1997-12","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09"
3101,"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","06","037",1,280700,280400,279900,279400,279200,279200,279400,279800,281500,284100,286700,288400,289900,291700,293700,295600,297600,299500,301400,303800,307000,310800,314300,317900,321700,325100,328300,332000,335800,339600,343500,346900,348700,349500,351000,353300,355700,358200,361000,363500,365500,367700,370400,373300,376100,379400,383200,386600,389600,392500,395000,397700,400900,404100,407400,411400,415300,419300,423600,427200,428900,430000,431400,433400,435600,438300,441200,444800,448900,453300,457300,461800,466800,472300,478600,486400,494700,502700,510200,517500,524700,532100,539300,545900,553100,560200,566300,572400,580700,590200,599800,610600,622400,633300,643500,655400,670100,686000,701200,714200,724500,732200,739000,745100,751400,758700,767600,777100,787000,798500,811600,824000,834100,842300,850000,858100,865200,869500,872900,876600,879000,880200,882900,885600,885800,884500,883400,882400,878900,875600,875000,875700,875300,873900,870100,866200,864400,863000,859400,852700,844600,836500,828000,817100,803600,790400,778100,766200,756000,750100,745200,737500,729800,726200,723100,717400,711500,707000,704200,703600,704800,707300,710200,713000,718300,724700,727000,724700,724100,723200,721000,717700,714500,710100,706600,706200,707100,705700,704100,704200,702000,698100,696000,693600,690200,686700,683800,681200,678700,674900,671600,671700,676800,686000,695300,703100,709000,712000,713900,719200,725900,731500,739800,752200,765200,775900,784100,791500,800200,809600,818600,824500,827300,829800,834100,840400,846400,850200,853000,857800,862600,867400,871300,875100,878900,885600,892600,898100,902400,906200,907400,909400,913300,918900,925400,933500,940500,946900,952800,958200,961700,962700,966400,971200,973700,976000,982200,988500,994100,998700,1003200,1007900,1012400,1018000,1024000,1029100,1032700,1035500
139,"Cook","IL","Chicago","17","031",2,212300,213000,213400,213200,213100,212800,212900,213500,214200,215300,216400,217000,217000,217200,217600,217900,218500,219100,219500,220100,220800,221500,222200,222900,223200,223700,224600,225700,226500,227600,229600,231600,232800,234400,236200,237700,239300,241300,243000,244700,246600,249100,251600,253900,255800,258200,260600,262900,265000,267000,268400,269700,271700,274300,277100,280100,283000,285600,288100,290700,293100,295000,296500,298500,301100,303800,306200,308600,310600,312300,313900,315300,316600,317300,318200,320100,322500,324800,327400,330000,332500,334600,337300,341000,344700,350100,357400,363100,365500,364900,362200,360000,359900,360900,362400,364300,366400,368100,369300,370800,372900,375500,378000,380900,384800,388400,391200,393900,397100,400000,401900,403800,406500,410100,414200,417500,419500,420900,422400,424100,425600,426800,428200,429900,431000,431800,433100,434400,434400,434300,434000,432600,430500,428500,426600,425300,424400,423500,422300,420700,419300,418200,416900,413800,409700,405500,401300,396800,393100,390400,388300,385900,384400,383700,382800,380300,377400,374100,371000,368100,365800,364200,362400,360900,357800,353300,349000,347100,346500,346300,344800,342000,339100,337300,335300,332500,330000,329500,329800,329100,326200,322700,320700,319700,319000,317900,316500,315100,314600,313800,312400,311900,312400,313000,314300,316100,316700,315600,315700,317300,318600,319500,320900,323000,327000,332200,337400,342200,345600,347600,349500,351200,352400,353500,354600,355100,355100,355800,357100,358700,360800,362100,362000,362000,362400,361800,360900,362200,365500,368700,369700,369200,368700,369300,370200,371200,372100,372500,372900,374800,377300,378000,378800,380200,381500,382200,383900,385500,387900,390800,393000,393500,393300,393000,391800,390100,389900,390600
2402,"Maricopa","AZ","Phoenix","04","013",3,177000,176600,176300,176100,176300,177000,177400,177700,178700,179900,180800,181300,182100,183000,183900,184700,185700,186800,188100,189200,190400,191900,193500,194700,195600,196800,197800,198500,198800,199300,199600,200500,201700,203300,205000,206900,208600,210000,211200,212400,213600,214200,214600,215400,216900,218300,219500,221300,223300,225200,226900,228300,229000,229900,231100,232200,233400,234700,235900,236700,237500,238200,239000,239700,240500,241200,242100,242700,243100,244000,245400,246800,248300,249100,249600,250500,251700,252900,254700,257100,259600,261100,262200,262700,263200,264500,266800,268800,270100,271300,273100,275400,277100,279000,281300,284300,287700,291700,295900,301100,307800,316200,324400,331500,339000,347800,358100,370500,383800,396900,409800,422800,435400,446300,455000,462800,469600,474600,477500,478700,478800,479300,479500,479500,479200,478100,476800,476000,475400,474000,471500,468500,465900,463400,460800,458000,454800,450600,446100,441400,435600,428500,420800,412900,405900,399900,393400,386400,380000,374500,368900,361700,356300,354200,351800,346800,341700,336400,331400,327100,323800,320800,317600,314800,309800,304400,302500,303300,302400,300400,298100,295400,291400,287200,285000,284800,285500,285400,284100,282900,281100,278400,276300,275000,274100,273700,274000,275200,277800,281000,283900,287100,291600,296600,301800,307000,312000,315800,318400,320400,322000,324400,327300,330000,333200,337500,342400,346900,350900,354600,357900,359700,361300,362900,364000,364600,364800,364700,364500,364100,364200,365300,366700,368500,370400,371800,372500,373200,374500,375900,376600,377400,378800,380700,382900,385200,386700,387700,388600,389700,390400,391000,391500,391700,392400,394000,396100,398500,400700,401600,401700,402300,403900,406200,408800,410600,412300,413900
2841,"San Diego","CA","San Diego","06","073",4,270500,268300,267100,266300,265100,264600,264800,265000,265900,267300,268300,269200,270800,273200,275400,276800,278500,281300,284500,287300,290000,293200,296900,300500,304200,307800,311000,314700,319600,323900,327600,332100,336200,338600,340500,342800,345100,347100,349500,352000,354300,356000,357200,359200,363100,367900,372700,377900,383800,389600,395400,401300,407600,413600,419000,423500,427400,431500,436800,443200,448500,452500,455500,458700,461500,463900,466300,470100,475200,480400,483400,484900,488000,493100,499600,507500,515200,522900,531500,539800,546900,553500,559700,566100,570400,573500,577400,583400,590700,599900,611000,621700,631500,643500,657300,671400,688500,707500,725700,740700,752400,760900,767700,772400,776000,780400,787800,794800,798500,800800,803500,805900,808800,811700,813500,815100,816100,816200,814800,813700,813600,813400,809100,803400,799900,796800,791900,788700,787300,784700,781900,779400,775800,772400,770000,768300,765700,761800,757800,755100,750700,742900,731500,719800,709300,700600,693400,686700,678000,670100,664300,656800,651900,652200,651700,648200,645600,642800,640600,640400,642600,645100,646000,646700,644600,638600,634800,635400,637100,638700,638900,635800,632100,627100,622700,618900,616400,615800,618000,618200,614200,609700,605900,601400,596200,594400,594900,596400,598100,600000,601000,601400,603200,606400,608700,611000,616000,621700,626500,631900,638200,643600,648500,656400,666800,675500,683300,692700,701000,706200,709800,712900,715200,717900,722000,725400,724900,723000,723000,725200,727400,730600,733700,735700,738900,744000,748900,753300,757100,760000,762500,764300,766800,770400,774100,776600,778900,780900,781600,781400,782100,784300,789900,797200,802300,806400,812200,817400,820600,822300,823600,826300,833000,841200,847900,852200,855700,857900
1286,"Orange","CA","Los Angeles-Long Beach-Anaheim","06","059",5,304100,305800,307900,309900,311600,312800,313800,315000,317600,321400,323500,323000,322000,322800,324400,326500,329700,333100,336000,338600,341100,343700,345700,353200,,,,365300,374200,377100,379900,382500,386500,390800,393700,396300,399800,405500,410700,412300,412200,414300,419100,423700,427700,431600,434800,435900,437600,442600,447100,448900,450100,452400,454500,457900,462900,469300,475800,481100,485300,488100,489800,491800,495400,499700,503600,508200,513400,517700,522500,527500,532100,538100,545200,552400,560600,571000,581700,591000,597600,605600,615400,624800,632100,638700,646400,655300,665500,676400,688400,701600,716400,730600,744000,760000,779000,798200,816900,835600,851900,863700,872300,877900,880200,882500,887200,892700,899900,910000,920800,931000,941600,953400,964700,974500,983100,990700,998000,1006200,1014100,1016900,1015600,1012000,1007700,1003800,1000200,994700,990700,989500,989100,987600,985700,982400,977400,973100,967700,958000,947700,941700,938400,933800,922400,904800,889400,878900,869800,859700,849700,839900,832400,825600,823000,820200,813400,804100,795700,787100,781900,780800,782500,785200,784400,781700,767900,750000,742900,747400,749200,749800,747900,744700,741300,738500,736300,735400,736000,737300,736100,732000,727600,722500,716300,709900,704200,700700,699800,700500,703200,707000,710000,711600,713100,715700,719600,723800,728400,733300,738200,742500,749800,760400,772500,784100,796000,807200,817100,825300,832600,840200,847200,851700,854200,855900,858300,863500,868600,870000,871800,875500,877500,877400,877300,877900,881400,886200,889900,892400,894800,897800,902400,906800,910200,913900,917800,921200,924200,927300,932800,938200,941600,943900,946200,948100,950300,955300,962500,969500,973500,977000,975800,972400,973300,979400,985800,991300,998400,1005800
2964,"Miami-Dade","FL","Miami-Fort Lauderdale","12","086",6,171300,170900,170700,170700,170800,171000,171000,171200,171500,172200,172900,173300,173200,172900,173100,173300,173600,174100,174700,174900,175200,175700,176500,176900,177400,177900,177700,177700,178400,179300,180000,180600,180800,181000,181200,182100,183300,184300,185000,185800,186600,187400,188200,189200,190400,191800,193400,194700,195800,197100,198700,200400,201900,203400,205200,206600,207700,209200,211300,213900,216800,219600,222100,224900,228100,231300,234100,236900,240000,243300,246400,249100,251700,254800,258400,261700,264800,267900,270800,273900,277300,280500,282900,285300,287700,290600,294100,297700,300500,303200,306800,310800,315100,319600,324100,328300,333400,339200,345100,351200,358100,365100,371700,378700,386000,393200,401400,411900,423400,433300,442300,452100,462400,471600,480100,487700,495100,502900,511400,519300,526900,533500,538100,539000,537800,537500,540200,544900,547300,546900,546100,544200,540800,538300,536000,534500,533500,531100,525900,519200,511900,505400,496400,484000,469900,456200,444200,434300,424900,415000,404900,393800,384000,377300,371400,364500,357400,351500,346800,342400,338800,337800,337900,337500,336500,332900,328300,325200,324400,324200,322800,321100,320000,318200,315500,314000,312800,312000,313000,316700,319500,319900,320000,319700,318800,318500,318800,319300,320600,323400,326900,330300,332600,335600,339900,344700,348900,350900,351900,355700,361800,365900,368900,372800,377900,382300,386500,390300,393300,397100,402200,405600,407900,411400,415800,419900,424000,427700,430800,433100,434100,435800,439000,441000,442600,445900,448600,449500,450800,453300,455800,458400,461100,464400,468100,471200,472200,472500,472900,472900,473500,474800,474700,474600,477100,480800,484500,487200,487700,486900,485500,483600,482900,483900,486100,488900,491600,493600
978,"Dallas","TX","Dallas-Fort Worth","48","113",7,,,,,,,,,,,138300,140000,141300,142400,142900,143200,143900,144700,145300,146100,147200,148200,149100,149500,149200,148800,149300,150100,150800,151900,153500,155300,157100,158800,160100,161800,163600,165100,166600,168400,169900,171000,171700,172800,174400,175200,175200,175700,176900,178000,178600,178900,179300,180200,181500,183200,184500,185200,185900,187000,188600,190500,192500,194000,195300,196000,196000,195800,195900,196300,196700,197300,198100,199100,200200,201300,202400,203400,204700,205800,206700,207400,207800,207400,206800,206200,205600,205400,205800,206300,206700,206700,207400,209300,211900,214200,216600,219000,220400,221300,222100,223000,223600,224500,225300,225700,226200,227100,227900,228500,229700,230500,230900,231600,233200,234800,235900,237000,238700,239700,239400,239500,240400,241900,243600,244700,245000,245600,246600,247300,247700,248400,249400,250400,251200,252100,253300,254500,255500,256200,255700,253800,251300,249800,248900,247900,247000,246500,246100,245400,244800,244400,243600,242800,242200,241600,240400,239100,237900,237000,236900,237600,238500,238200,239400,242100,242900,241700,242100,243700,244300,243400,241500,239600,237900,237100,237100,237600,238100,237600,236500,235800,235900,235900,235500,234900,234700,234800,234700,234900,236400,239100,241100,241500,241200,241400,242100,242600,242900,244100,245300,245500,246300,248900,251300,252700,253500,254700,256600,258700,260400,261700,262300,263100,264100,264700,264600,264600,265100,266300,268200,270200,272100,274200,276200,277500,278500,279900,283500,290200,298100,304100,308400,312200,316000,319700,323900,328400,333100,337300,340400,342400,345300,349500,353000,355800,359400,362100,362800,363500,365400,368200,370700,372500,373400,374100,375100,376200
1347,"Queens","NY","New York","36","081",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,460100,472900,481300,488500,498200,511100,519900,524900,529700,537200,544100,549200,550100,553900,562000,570500,578100,585700,588700,590200,596300,606800,616900,628900,640300,651800,665300,678700,689800,700100,705500,706600,708900,712400,712600,711400,708600,705700,703500,701300,697400,693700,688500,681200,675100,673200,672900,671900,671600,673900,677600,679000,679900,681900,681500,678200,674200,669700,664000,657900,651100,646400,643000,638500,631800,625400,620000,615900,612500,610900,611700,613800,619300,613000,596500,587300,590400,593100,596100,598100,599900,600500,599900,599300,598200,598700,601300,603000,601300,598600,595000,591300,588300,586000,583000,579200,576500,577800,581200,582600,582300,582700,584600,588900,593700,597400,600200,602700,604500,607000,608300,608000,607100,608200,610700,614700,619000,622000,623900,627800,633500,641400,653700,666800,674000,675400,674400,675700,677300,678800,682400,687500,688700,690300,694500,696100,694500,695400,699500,705600,713200,718800,722800,728500,734300,738800,742600,746900,752800,760700,768000,771500,774500,781200,790800,798500,802500,803100,804100,810400,822900,835100,842800,843700,844100,850400,859000
2832,"Riverside","CA","Riverside","06","065",9,193200,191500,191000,190900,190100,189300,189900,192200,195400,198200,200400,201600,202300,202600,203400,203900,203700,204900,208100,210700,213400,216700,219200,221800,224200,224500,223400,223200,225500,228700,230400,230900,231800,232900,233700,235000,237800,241600,244600,247500,250600,252200,253300,253800,253800,254600,257100,258500,260800,264700,268400,269700,270000,270300,271200,273100,275100,277000,279300,282800,287000,291200,293800,296800,300700,303500,303700,303200,303900,305800,308500,311700,314700,316300,318300,321400,325200,330000,335200,340800,346700,352500,357100,360900,363600,367900,373600,379300,383900,389700,396100,403200,411400,419900,427100,435200,444900,455500,467100,479300,490700,500900,510900,519300,523700,525700,530200,535800,540600,546100,555300,565500,573500,578700,584500,592500,602100,609700,613700,614600,615600,615500,613300,610600,609100,607400,604800,600700,596100,592700,590400,587500,583400,577500,571300,565600,559200,551500,543700,535500,525700,515400,504700,493600,482200,470400,457400,445400,434400,423700,413100,402600,393700,386800,380300,374200,369000,364100,360800,358300,355300,352300,350600,350000,348700,347400,348500,351200,352900,353600,351600,347400,345300,344800,344400,344100,344000,342600,340800,339000,337800,336000,332500,328600,325000,323400,323500,324600,326100,327700,328600,329200,329100,329600,332200,336000,339200,342600,345800,348400,351700,356800,362200,366900,371900,378900,387800,396500,404500,411700,417200,421100,424300,426800,428200,429100,430400,431300,432100,432800,433600,434300,435300,436800,437800,438000,438600,440300,442300,443900,446000,448300,450000,451300,452400,451900,451000,450900,451900,453800,456600,459200,461900,464500,466700,469000,471500,473500,475200,476700,477200,477700,480800,485000,489200,493500,497800,500700
3250,"San Bernardino","CA","Riverside","06","071",10,162400,162200,161500,160900,160400,160200,160300,160600,161000,161500,162100,162800,163600,164500,165200,165500,166000,166600,167000,167400,168300,169700,170800,171600,172300,173000,173600,174700,175700,176800,177900,179200,180700,182600,184200,185200,186000,187300,188500,189300,190300,191400,192300,193600,195300,197000,198800,200400,201700,203000,204900,206800,208100,209200,210700,212800,214800,216800,218800,221100,223400,225100,226300,227900,229700,231900,234300,236700,238500,240600,243000,245300,247700,250900,254500,258100,261900,266400,270800,274600,278300,282200,286400,290900,295800,300500,305500,310800,316300,322000,328400,334900,342000,349400,357400,365400,374400,384200,394900,405600,415300,423000,429100,434800,440700,445800,450500,456000,462000,468400,475000,482500,490300,498400,506400,515000,523300,530500,537300,543800,547900,548900,548300,546900,545400,543900,542200,540500,537500,533700,530300,527500,524900,521700,516400,509800,503800,498200,491700,483100,472900,463300,453800,442900,432300,423300,414800,406800,399100,391800,384900,377200,371700,368500,365700,361300,357200,353300,349700,346200,342800,340000,338200,337900,337600,336200,334400,333400,332300,330900,330600,331300,331300,330400,329300,328200,327500,327300,326400,324500,322200,320900,319600,317400,314900,312500,310700,310100,309600,309300,310200,311100,310200,309500,310500,312500,314600,316400,318500,321600,325400,328600,331700,337700,347000,355600,362400,369700,377500,384500,389500,392900,396200,399000,401000,403100,405900,408300,408900,408300,409300,412600,416200,417900,418300,419000,420700,422000,423100,424500,426000,427200,428200,429300,431000,433200,434500,435000,435800,437600,439300,440700,442800,445000,446000,447200,449600,452400,455000,456900,458500,460300,462400,464700,467000,469000,471000,473000
