"Date","RegionName","State","Metro","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2017-09-30,"Los Angeles","CA","Los Angeles-Long Beach-Anaheim",0,2594,0.00425861401471158,0.0136772176631497,0.0409309791332263,2120186
2017-09-30,"Cook","IL","Chicago",1,1672,0.00119760479041916,0.00844390832328106,0.00905250452625226,1612835
2017-09-30,"Harris","TX","Houston",2,1477,0.00135593220338983,0.00407885791978246,-0.00739247311827957,1137494
2017-09-30,"Maricopa","AZ","Phoenix",3,1371,0.00513196480938416,0.0148038490007402,0.0323795180722892,1325912
2017-09-30,"San Diego","CA","San Diego",4,2528,0.00357284636760619,0.0164857257740249,0.0429042904290429,821350
2017-09-30,"Orange","CA","Los Angeles-Long Beach-Anaheim",5,3020,0.00232326584799203,0.0144440712126302,0.0370879120879121,827677
2017-09-30,"Kings","NY","New York",6,2342,0.00342759211653813,0.00128259940145361,0.00515021459227468,406947
2017-09-30,"Miami-Dade","FL","Miami-Fort Lauderdale",7,1941,-0.00205655526992288,-0.00563524590163934,-0.031437125748503,958230
2017-09-30,"Dallas","TX","Dallas-Fort Worth",8,1481,0.00543109300746775,0.0164722031571723,0.0422237860661506,615992
2017-09-30,"Queens","NY","New York",9,2245,0.00133809099018733,0.0112612612612613,0.00717810677433827,467065
2017-09-30,"Riverside","CA","Riverside",10,1938,0.00414507772020725,0.0151911995809324,0.0642504118616145,638972
2017-09-30,"San Bernardino","CA","Riverside",11,1638,0.00862068965517241,0.02375,0.0466453674121406,549209
2017-09-30,"Clark","NV","Las Vegas",12,1278,0.0062992125984252,0.019952114924182,0.0356564019448947,673687
2017-09-30,"King","WA","Seattle",13,2431,0.00247422680412371,0.00997091815538014,0.0433476394849785,658138
2017-09-30,"Wayne","MI","Detroit",14,847,0.00474495848161329,0.0107398568019093,0.0266666666666667,725222
2017-09-30,"Santa Clara","CA","San Jose",15,3504,0.000285469597487868,0.00372386135777714,-0.00426257459505541,452089
2017-09-30,"Broward","FL","Miami-Fort Lauderdale",16,1707,-0.00117027501462844,-0.00233781414377557,-0.0172711571675302,802803
2017-09-30,"Bexar","TX","San Antonio",17,1286,0,0.00233826968043648,0.0206349206349206,516190
2017-09-30,"New York","NY","New York",18,3722,0.00513097488522819,0.0214050493962678,-0.00214477211796247,442249
2017-09-30,"Philadelphia","PA","Philadelphia",19,1215,0.00247524752475248,0.00746268656716418,-0.00328137817883511,514483
2017-09-30,"Alameda","CA","San Francisco",20,3052,0.00361723117395594,0.0126078301260783,0.0105960264900662,419198
2017-09-30,"Middlesex","MA","Boston",21,2438,0.000821018062397373,0.000410340582683627,0.00619067271976888,473568
2017-09-30,"Sacramento","CA","Sacramento",22,1678,0.00962695547533093,0.0307125307125307,0.066751430387794,415487
2017-09-30,"Bronx","NY","New York",23,1795,-0.000556792873051225,0.0106981981981982,0.00391498881431767,122131
2017-09-30,"Nassau","NY","New York",24,2960,0.00338983050847458,0.00577641862045532,0.0320781032078103,401358
2017-09-30,"Palm Beach","FL","Miami-Fort Lauderdale",25,1899,0.00105429625724829,0.00582627118644068,0.0220667384284177,629108
2017-09-30,"Cuyahoga","OH","Cleveland",26,1094,-0.00091324200913242,-0.00815956482320943,0.000914913083257091,436297
2017-09-30,"Hillsborough","FL","Tampa",27,1398,0.0021505376344086,0.00431034482758621,0.0294550810014728,417122
2017-09-30,"Allegheny","PA","Pittsburgh",28,1139,-0.00610820244328098,-0.00956521739130435,-0.0138528138528139,468677
2017-09-30,"Oakland","MI","Detroit",29,1613,0.00623830318153462,0.0151038388923851,0.000620347394540943,442074
2017-09-30,"Franklin","OH","Columbus",30,1276,0.003933910306845,0.0110935023771791,0.0224358974358974,400930
2017-09-30,"Hennepin","MN","Minneapolis-St Paul",31,1693,0.00118273211117682,0.00534441805225653,0.062107904642409,397346
