"Date","RegionName","State","Metro","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2017-09-30,"Los Angeles","CA","Los Angeles-Long Beach-Anaheim",0,2669,0.00376081233546446,0.0144431774990498,0.045846394984326,1488323
2017-09-30,"Cook","IL","Chicago",1,1728,0.000579038795599305,0.0064065230052417,0.0224852071005917,919240
2017-09-30,"Harris","TX","Houston",2,1490,-0.000670690811535882,-0.00401069518716578,-0.0145502645502645,1035150
2017-09-30,"Maricopa","AZ","Phoenix",3,1423,0.00423429781227946,0.0128113879003559,0.0334059549745824,1103164
2017-09-30,"San Diego","CA","San Diego",4,2652,0.00378501135503407,0.0188244333461391,0.0523809523809524,582311
2017-09-30,"Orange","CA","Los Angeles-Long Beach-Anaheim",5,3157,0.002540489044141,0.010886967659302,0.0388285620269826,607935
2017-09-30,"Kings","NY","New York",6,2355,0.00641025641025641,0.000424808836023789,0.0150862068965517,74803
2017-09-30,"Miami-Dade","FL","Miami-Fort Lauderdale",7,2106,-0.000474608448030375,-0.0018957345971564,-0.0218300046446818,451981
2017-09-30,"Dallas","TX","Dallas-Fort Worth",8,1496,0.00470114170584285,0.012863913337847,0.0446927374301676,527220
2017-09-30,"Queens","NY","New York",9,2356,-0.000424268137462877,0.0185905750108085,0.0185905750108085,179702
2017-09-30,"Riverside","CA","Riverside",10,1947,0.00464396284829721,0.0140625,0.0627729257641921,547430
2017-09-30,"San Bernardino","CA","Riverside",11,1669,0.00845921450151057,0.0239263803680982,0.0450845335003131,498232
2017-09-30,"Clark","NV","Las Vegas",12,1328,0.00606060606060606,0.0184049079754601,0.0358814352574103,525228
2017-09-30,"King","WA","Seattle",13,2546,0.00394321766561514,0.017585931254996,0.0481679703581721,499116
2017-09-30,"Wayne","MI","Detroit",14,840,0.003584229390681,0.0144927536231884,0.033210332103321,689292
2017-09-30,"Tarrant","TX","Dallas-Fort Worth",15,1518,0.00663129973474801,0.0201612903225806,0.0512465373961219,512398
2017-09-30,"Santa Clara","CA","San Jose",16,3635,0.00110162489672267,0.00972222222222222,-0.00383666758015895,345663
2017-09-30,"Broward","FL","Miami-Fort Lauderdale",17,1991,-0.00150451354062187,-0.00300450676014021,-0.02783203125,456779
2017-09-30,"Bexar","TX","San Antonio",18,1293,0.00232558139534884,0.00310318076027929,0.0181102362204724,497676
2017-09-30,"New York","NY","New York",19,4014,0.00778307808184785,0.032673012606123,-0.00643564356435644,21596
2017-09-30,"Philadelphia","PA","Philadelphia",20,1408,0.00427960057061341,0.013678905687545,-0.0007097232079489,122473
2017-09-30,"Alameda","CA","San Francisco",21,3207,0.00124882922260381,0.013590391908976,0.0103969754253308,312233
2017-09-30,"Middlesex","MA","Boston",22,2579,0.00389256520046711,0.0109760878087025,0.0153543307086614,295218
2017-09-30,"Sacramento","CA","Sacramento",23,1715,0.00763807285546416,0.0294117647058823,0.0685358255451713,366316
2017-09-30,"Bronx","NY","New York",24,1856,0.00760043431053203,0.0242825607064018,0.0192202086765513,29041
2017-09-30,"Nassau","NY","New York",25,2994,0.00402414486921529,0.0101214574898785,0.0367036011080332,347972
2017-09-30,"Palm Beach","FL","Miami-Fort Lauderdale",26,2258,0.000443066016836509,0.00177462289263532,0.0116487455197133,331042
2017-09-30,"Cuyahoga","OH","Cleveland",27,1135,-0.00263620386643234,-0.0130434782608696,0,364237
2017-09-30,"Hillsborough","FL","Tampa",28,1469,0.000681198910081744,0.00754458161865569,0.0396319886765747,323477
2017-09-30,"Allegheny","PA","Pittsburgh",29,1157,-0.00771869639794168,-0.0102651839178785,-0.0111111111111111,381016
2017-09-30,"Oakland","MI","Detroit",30,1615,0.00685785536159601,0.0138104205900816,-0.000618811881188119,348164
2017-09-30,"Franklin","OH","Columbus",31,1362,0.00590841949778434,0.0133928571428571,0.0310370931112793,304176
2017-09-30,"Hennepin","MN","Minneapolis-St Paul",32,1772,0.00169587337478802,0.00739056281978397,0.049141503848431,288891
2017-09-30,"Orange","FL","Orlando",33,1526,0,0.0099272005294507,0.0317782285327924,299615
2017-09-30,"Fairfax","VA","Washington",34,2890,0.000346140533056421,0.000346140533056421,0.00837404047452896,195800
2017-09-30,"Contra Costa","CA","San Francisco",35,2769,0.00326086956521739,0.0157740278796772,0.0339805825242718,294549
2017-09-30,"Salt Lake","UT","Salt Lake City",36,1612,0.00624219725343321,0.0234920634920635,0.0633245382585752,256858
2017-09-30,"Travis","TX","Austin",37,1862,-0.00214362272240086,-0.00374531835205993,-0.0148148148148148,254153
2017-09-30,"Saint Louis","MO","St. Louis",38,1266,0.00237529691211401,0.0103750997605746,0.0267639902676399,350869
2017-09-30,"Pima","AZ","Tucson",39,1187,0.00253378378378378,0.0127986348122867,0.0430579964850615,254918
