"RegionType","RegionName","City","State","Metro","CBSATitle","SizeRank","MarketHealthIndex","SellForGain","PrevForeclosed","ForeclosureRatio","ZHVI","MoM","YoY","ForecastYoYPctChange","StockOfREOs","NegativeEquity","Delinquency","DaysOnMarket"
"County","Ada",,"ID","Boise City, ID","""Boise City, ID""",,7.52,89.52,,,227700,0.396825396825397,9.15627996164909,0.0290294246815985,,0.10648537677111,0.0105878634639697,53
"County","Bay",,"FL","Panama City, FL","""Panama City, FL""",,4.54545454545455,74.48,,,187900,0.750670241286863,3.5832414553473,0.0377967003725386,,0.114087631724903,0.0544482255712202,98
"County","Bay",,"MI","Bay City, MI","""Bay City, MI""",,0.574545454545455,,,,88300,-0.897867564534231,3.51699882766706,0.0220271800679501,,0.163770892515029,0.0189592577652279,74
"County","Elk",,"PA",,,,6.78545454545455,100,,,88000,-0.564971751412429,13.6950904392765,,,0.119483638546983,0.0251256281407035,
"County","Gem",,"ID","Boise City, ID","""Boise City, ID""",,5.48363636363636,,,,183700,0,8.95610913404508,0.0217855198693522,,0.0933753943217666,0.027027027027027,70
"County","Kay",,"OK","Ponca City, OK","""Ponca City, OK""",,9.55636363636364,96,1.3158,0.6111,,,,,,0.09683150725496,0.0275229357798165,87
"County","Lea",,"NM","Hobbs, NM","""Hobbs, NM""",,2.4,,,,104700,-0.0954198473282443,-4.29616087751371,,,0.135940409683426,0.0352250489236791,91.5
"County","Lee",,"AL","Auburn, AL","""Auburn-Opelika, AL""",,1.46909090909091,,,,182600,-0.381887615930169,7.15962441314554,0.029315443592552,,0.166135292486831,0.0254484772632457,78
"County","Lee",,"FL","Fort Myers, FL","""Cape Coral-Fort Myers, FL""",,6.55272727272727,90,,,222900,0.54127198917456,1.64158686730506,0.0288739344997757,,0.0722490446880077,0.0414885193982581,130
"County","Lee",,"GA","Albany, GA","""Albany, GA""",,0.676363636363636,62.5,,,143200,0,0.774102744546094,0.0382262569832401,,0.127059947456413,0.0357142857142857,79
"County","Lee",,"MS","Tupelo, MS","""Tupelo, MS""",,2.95272727272727,,,,124300,0.403877221324717,4.19111483654652,,,0.142246230024758,0.0189873417721519,70
