"RegionName","CBSA Title","SizeRankMetro","PctPriceCut","DaysOnMarket","BuyerSellerIndex"
"New York","""New York-Newark-Jersey City, NY-NJ-PA""",1,13.7657838635618,139,8.57142857142857
"Los Angeles-Long Beach-Anaheim","""Los Angeles-Long Beach-Anaheim, CA""",2,13.2642050688212,59,0.752895752895753
"Chicago","""Chicago-Naperville-Elgin, IL-IN-WI""",3,21.9232006371866,87,8.68725868725869
"Dallas-Fort Worth","""Dallas-Fort Worth-Arlington, TX""",4,20.1962638317447,47,4.55598455598456
"Philadelphia","""Philadelphia-Camden-Wilmington, PA-NJ-DE-MD""",5,20.5858198740761,95,9.28571428571429
"Houston","""Houston-The Woodlands-Sugar Land, TX""",6,14.1364382743693,90,5.46332046332046
"Washington","""Washington-Arlington-Alexandria, DC-VA-MD-WV""",7,20.2077311564972,69,6.42857142857143
"Miami-Fort Lauderdale","""Miami-Fort Lauderdale-West Palm Beach, FL""",8,9.43312666076174,105,2.7027027027027
"Atlanta","""Atlanta-Sandy Springs-Roswell, GA""",9,14.3470430557882,63,1.66023166023166
"Boston","""Boston-Cambridge-Newton, MA-NH""",10,17.7958968963703,67,4.74903474903475
"San Francisco","""San Francisco-Oakland-Hayward, CA""",11,9.29423926322714,42,0.0579150579150579
"Detroit","""Detroit-Warren-Dearborn, MI""",12,20.1833002149317,70,6.52509652509652
"Riverside","""Riverside-San Bernardino-Ontario, CA""",13,13.6133680821708,68,1.42857142857143
"Phoenix","""Phoenix-Mesa-Scottsdale, AZ""",14,19.1433924702851,64,5.30888030888031
"Seattle","""Seattle-Tacoma-Bellevue, WA""",15,10.9631320818535,42,0.0965250965250965
"Minneapolis-St Paul","""Minneapolis-St. Paul-Bloomington, MN-WI""",16,19.7007481296758,70,6.38996138996139
"San Diego","""San Diego-Carlsbad, CA""",17,19.2345245069322,52,4.36293436293436
"St. Louis","""St. Louis, MO-IL""",18,18.5633035415571,69,5.77220077220077
"Tampa","""Tampa-St. Petersburg-Clearwater, FL""",19,16.4952512179519,78,5.71428571428571
"Baltimore","""Baltimore-Columbia-Towson, MD""",20,22.0723306544202,91,9.13127413127413
"Denver","""Denver-Aurora-Lakewood, CO""",21,23.1884057971014,48,5.19305019305019
"Pittsburgh","""Pittsburgh, PA""",22,18.969465648855,91,8.62934362934363
"Portland","""Portland-Vancouver-Hillsboro, OR-WA""",23,19.3260404878662,51,4.3050193050193
"Charlotte","""Charlotte-Concord-Gastonia, NC-SC""",24,13.350976969424,62,0.965250965250965
"Sacramento","""Sacramento--Roseville--Arden-Arcade, CA""",25,17.6770249617932,45.5,3.06949806949807
"San Antonio","""San Antonio-New Braunfels, TX""",26,23.0096379687373,109.5,9.82625482625483
"Orlando","""Orlando-Kissimmee-Sanford, FL""",27,14.9149351086006,79,3.996138996139
"Cincinnati","""Cincinnati, OH-KY-IN""",28,17.417742607247,73,5.55984555984556
"Cleveland","""Cleveland-Elyria, OH""",29,16.9154585904981,73,5.05791505791506
"Kansas City","""Kansas City, MO-KS""",30,14.1301272984441,63,1.50579150579151
"Las Vegas","""Las Vegas-Henderson-Paradise, NV""",31,13.4033156243999,59,0.907335907335907
"Columbus","""Columbus, OH""",32,17.5487465181059,58,3.3976833976834
"Indianapolis","""Indianapolis-Carmel-Anderson, IN""",33,18.8839769788973,67,5.5984555984556
"San Jose","""San Jose-Sunnyvale-Santa Clara, CA""",34,7.4000660720185,40,0.0193050193050193
"Austin","""Austin-Round Rock, TX""",35,23.394777265745,57.5,5.75289575289575
"Virginia Beach","""Virginia Beach-Norfolk-Newport News, VA-NC""",36,17.3124535776182,85,7.08494208494209
"Nashville","""Nashville-Davidson--Murfreesboro--Franklin, TN""",37,13.3373002380143,59,0.83011583011583
"Providence","""Providence-Warwick, RI-MA""",38,16.9487568577098,81,6.31274131274131
"Milwaukee","""Milwaukee-Waukesha-West Allis, WI""",39,19.0743530056141,72,6.35135135135135
"Jacksonville","""Jacksonville, FL""",40,13.2155653695525,81,2.64478764478764
"Memphis","""Memphis, TN-MS-AR""",41,14.3589743589744,69,2.2972972972973
"Oklahoma City","""Oklahoma City, OK""",42,22.0655239748319,72,7.16216216216216
"Louisville/Jefferson County","""Louisville/Jefferson County, KY-IN""",43,17.600538448595,63,3.78378378378378
"Hartford","""Hartford-West Hartford-East Hartford, CT""",44,21.6137965760322,90,9.01544401544402
"Richmond","""Richmond, VA""",45,18.406816337571,69,5.6949806949807
"New Orleans","""New Orleans-Metairie, LA""",46,18.5866666666667,74,6.48648648648649
"Buffalo","""Buffalo-Cheektowaga-Niagara Falls, NY""",47,15.1133981322661,101,7.83783783783784
"Raleigh","""Raleigh, NC""",48,13.9409336297237,55,1.02316602316602
"Birmingham","""Birmingham-Hoover, AL""",49,14.6996642208681,80,4.03474903474903
"Rochester","""Rochester, NY""",50,14.3667296786389,83,4.22779922779923
"Grand Rapids","""Grand Rapids-Wyoming, MI""",51,20.169014084507,60,5.34749034749035
"Tucson","""Tucson, AZ""",52,16.847740513305,72,4.82625482625483
"Urban Honolulu","""Urban Honolulu, HI""",53,11.8491090025457,69,0.540540540540541
"Tulsa","""Tulsa, OK""",54,18.8132733408324,82,7.7992277992278
"Fresno","""Fresno, CA""",55,18.1719653179191,57,3.68725868725869
"Worcester","""Worcester, MA-CT""",56,21.0035247771097,78,7.97297297297297
"Stamford","""Bridgeport-Stamford-Norwalk, CT""",57,19.3834900731452,107,9.65250965250965
"Albuquerque","""Albuquerque, NM""",58,20.9679987263175,77,7.81853281853282
"Albany","""Albany-Schenectady-Troy, NY""",59,14.8579201934704,105,8.06949806949807
"Omaha","""Omaha-Council Bluffs, NE-IA""",60,21.579476861167,60,5.73359073359073
"New Haven","""New Haven-Milford, CT""",61,19.7235513024987,101,9.47876447876448
"Bakersfield","""Bakersfield, CA""",62,15.7704918032787,75,4.32432432432432
"Knoxville","""Knoxville, TN""",63,12.557111274871,76,1.52509652509653
"Greenville","""Greenville-Anderson-Mauldin, SC""",64,14.1079565369786,67,1.85328185328185
"Ventura","""Oxnard-Thousand Oaks-Ventura, CA""",65,14.6402764687402,56,1.44787644787645
"Allentown","""Allentown-Bethlehem-Easton, PA-NJ""",66,17.6150234741784,88,7.8957528957529
"El Paso","""El Paso, TX""",67,12.3751713334639,102.5,5.07722007722008
"Baton Rouge","""Baton Rouge, LA""",68,20.541231621564,67,6.04247104247104
"Dayton","""Dayton, OH""",69,13.5338345864662,76,2.41312741312741
"Columbia","""Columbia, SC""",70,16.3728875159004,84,6.46718146718147
"Akron","""Akron, OH""",71,16.5944540727903,68,3.66795366795367
"North Port-Sarasota-Bradenton","""North Port-Sarasota-Bradenton, FL""",72,12.1081200841919,104,5.03861003861004
"Little Rock","""Little Rock-North Little Rock-Conway, AR""",73,16.1929033522839,84,6.23552123552124
"Stockton","""Stockton-Lodi, CA""",74,16.1023622047244,51,2.27799227799228
"Charleston","""Charleston-North Charleston, SC""",75,16.1604207758054,80,5.63706563706564
"Syracuse","""Syracuse, NY""",76,18.1601903251388,122,9.76833976833977
"Colorado Springs","""Colorado Springs, CO""",77,17.9204182399071,52,3.41698841698842
"Winston-Salem","""Winston-Salem, NC""",78,11.9053611880191,75,1.13899613899614
"Wichita","""Wichita, KS""",79,19.7251646149442,78,7.66409266409266
"Springfield","""Springfield, MA""",80,21.1332858161083,84,8.47490347490347
"Fort Myers","""Cape Coral-Fort Myers, FL""",81,9.22898428435819,118,3.49420849420849
"Boise City","""Boise City, ID""",82,14.8016768784263,51,1.37065637065637
"Toledo","""Toledo, OH""",83,17.2207084468665,87.5,7.52895752895753
"Madison","""Madison, WI""",84,15.6642259414226,67,2.87644787644788
"Lakeland","""Lakeland-Winter Haven, FL""",85,12.5894840780054,94,3.70656370656371
"Ogden","""Ogden-Clearfield, UT""",86,17.9068842021488,48,3.3011583011583
"Daytona Beach","""Deltona-Daytona Beach-Ormond Beach, FL""",87,13.0698005698006,92,4.16988416988417
"Des Moines","""Des Moines-West Des Moines, IA""",88,12.5040863027133,72,1.15830115830116
"Jackson","""Jackson, MS""",89,15.7376039421004,137,9.44015444015444
