"RegionName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09"
"United States",0,182.608695652174,181.88202247191,182.879377431907,181.818181818182,183.355466663655,180.16393442623,177.083333333333,171.965317919075,173.151750972763,169.476744186047,168.141592920354,162.891986062718,160.275881421345,158.75,159.224936815501,155.529973969065,158.666666666667,158.05127878865,158.033826638478,156.578947368421,156.326530612245,154.51209908362,153.746056782334,150.602409638554,146.01226993865,149.307733863098,151.515151515152,152.777777777778,153.31715210356,154.115226337449,155.333333333333,153.062143776429,150.339110776187,151.275820170109,158.396009389671,160.126086035177,161.830357142857,163.7509936407,166.458333333333,168.428571428571,171.303937217345,171.339563862928,169.816272965879,171.875,173.369565217391,172.413793103448,175.889328063241,173.332,171.238095238095,174.875,177,181.367581438682,183.039348710991,186.011904761905,184.044629163015,184.782608695652,184.049079754601,183.333333333333,166.527777777778,157.142857142857,167.826086956522,184.375,182.352941176471,185.897435897436,192.902230187176,194.260060255823,194.118734772015,194.123505976096,194.85580670304,194.155686359218,197.153156721235,193.49657850241,192.362363686406,198.571428571429,199.833333333333,205.223880597015,206.428571428571,209.059233449477,210,208.553436443024,212.5,213.114754098361,211.92,211.111111111111,210.375939849624,214.510101010101,218.623348921158,221.052631578947,223.177061355389,225.332449160035,225.879682179342,223.53515625,227.389650483296
"New York, NY",1,299.846153846154,292.87109375,295.180722891566,287.5,320.535714285714,311.517857142857,298,288.289782886335,287.878787878788,298.333333333333,292,282.269503546099,282.252398831873,272.222222222222,278.666,265.333333333333,259.010600706714,250.518518518519,251.185567010309,247.001695262417,244.138262781748,243.714705882353,240,238.666666666667,234.165253657018,238.387077439463,236.25,248.834688346883,249.875,243.445692883895,238.419684606216,233.333333333333,238.372093023256,233.140494025325,238.095238095238,234.978540772532,243.333333333333,238.666666666667,238.296872800688,233.333333333333,231.946747410665,218.888888888889,217.808219178082,220.824713634448,224.875,223.076923076923,244.755244755245,239.985714285714,244.615384615385,242.744426094137,244.827586206897,247.058823529412,251.773542912783,279.866666666667,267.435424354244,273.056281636087,271.320350301113,270.147559591373,245.633187772926,258.903710182958,266.272189349112,273.4375,268.75,264.705882352941,265.19899298302,272.556390977444,276.72619047619,280,280,285.900621118012,287.877823529412,284.615384615385,323.254139668826,330.132052821128,286.363636363636,318.50665954416,288.964023109244,297.279678635611,300,307.119815668203,320.408602944797,340,355.551205439934,368.782096171802,372.046511627907,377.857142857143,365.70460704607,355.551205439934,368.020304568528,391.003460207612,391.692789968652,369.230769230769,384.461538461538
"Los Angeles, CA",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,386.513670543315,384.467455621302,386.469072164948,374.996428571429,383.928571428571,390.380952380952,389.514557216421,385.999867116257,387.39811373786,391.190645481078,388.455538221529,382.8125,378.599325730919,386.861313868613,403.908836261777,405.292792792793,419.358855562327,423.076923076923,425.931812295449,419.422796348536,425.691010056335,426.187576126675,425.685425685426,422.312649197547,426.336375488918,433.503401360544,443.686006825939,444.755244755245,450.020699839962,454.760878931495,460.655737704918,462.5,464.369995785925,465.361445783133,470.271130584578,476.190476190476,476.5625,486.875529212532,489.789998073377,483.606557377049,484.244202828827,494.858611825193,494.317045454545,492.307692307692,498.360655737705,505.12
"Chicago, IL",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.142857142857,134.778420038536,149.758838518098,152.153846153846,151.526806526807,148.966840719418,142.962962962963,143.333333333333,141.735174480839,141.043623554913,140.063694267516,138.888888888889,140.90799031477,144.145208032785,141.825095057034,142.539682539683,147.944078947368,152.172463768116,151.454005240502,153.563285151432
"Dallas, TX",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169.683257918552,172.018348623853,174.234424498416,173.958333333333,186.574531095755,197.169811320755,197.686957684784,198.601398601399,197.099767981439,195.467422096317,200,201.486199575372,207.08446866485,207.006623167844,202.736850974747,207.507987220447,209,208.466189856957,204.227502858076,209,210.335621662853,205.479452054795
"Philadelphia, PA",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173.934108527132,172.135866436385,172.837370242215,183.02752293578,176.561129032678,184.859268707483,184.682135728543,183.333333333333,186.40350877193,181.816645992085,181.69696969697,183.333333333333,187.849982843084,184.200952932844,199.935483870968,195.035460992908,193.865831412136,187.388618088112,192.66894940808,193.440860215054,189.530685920578,183.585194918966,183.923705722071,190.584028605483,191.382783882784,212.606341840681,209.464461242921,224.183135704875,233.644859813084,221.739130434783,233.778625954198
"Houston, TX",6,111.455108359133,115.418773056428,110.981912144703,110.435663627153,110.778443113772,107.212475633528,105.882352941176,104.590223186049,103.245421862712,106.263982102908,104.172099087353,103.448275862069,101.570500890112,98.7297573896815,101.020408163265,100.034833210393,100.580832526621,95.1127976190476,92.6433823529412,91.5832587787967,88.5267275097784,88.7221226602947,88.7096774193548,91.9750805460524,84.208884831888,92.2266139657444,93.75,96.9255663430421,97.4025974025974,95.9302325581395,93.0232558139535,92.8669904817977,87.871278140886,88.0882352941177,92.9069767441861,99.2122261518813,101.465614430665,99.5406746031746,101.008978675645,100.918853978707,100,107.419712070875,114.161849710983,120.167189132706,121.734892787524,120.481927710843,118.962585034014,118.658760594244,120.481927710843,124.242424242424,126.493975903614,127.694267671226,131.035347688508,135.802469135802,135.416666666667,135.281385281385,140.039414975476,137.724550898204,127.551020408163,140.620978120978,139.133285646161,144.227080935942,152.407771619286,159.883720930233,162.659123055163,150.63731170336,164.556962025316,160.45981045981,162.690689861913,167.6040510858,166.184971098266,167.244718309859,170.634617945831,175.038986354776,173.788819875776,179.640312938779,180.158412326188,178.970917225951,178.998170477382,187.96992481203,192.640692640693,189.790693605377,189.790693605377,191.761730861363,191.835477174047,189.705962860772,192.50645994832,192.50645994832,189.008008266598,192.640692640693,182.608695652174,177.215189873418,176.691729323308
"Washington, DC",7,,,,,,,,,,,,,,,,,,,,,,,,,,,333.332666666667,352.735294117647,360.642570281125,368.131868131868,357.333333333333,347.361861861862,355.133614627286,348.894817742644,359.711906972315,374.651810584958,360.69587628866,336.918138041734,364.529899972966,370.847664600576,379.718804920914,390.894835451287,395.246847355543,396.307504629298,405.030340974764,404.703298613592,393.661971830986,387.006566868813,390.662931839402,391.272430668842,398.163114695082,396.907216494845,400,399.916,392.15546418282,386.293314389455,390.347071583514,384.455128205128,332.277995074605,330.603631344234,333.332051282051,352.467418406609,361.895161290323,371.25,372.02380952381,372.90314484701,336.415313225058,373.226357004217,377.805260617761,377.851458885942,371.753246753247,373.517711962834,375.788288288288,383.421245421245,389.033018867925,395.574494949495,395.225464190981,390.87452397757,386.297173740028,374.979498501814,381.346980186202,385.709238331984,375.755109129856,363.004308656483,362.31884057971,379.591836734694,386.510791366906,388.276836158192,397.097658828907,415.632673696374,414.438502673797,394.177489177489,404.896421845574
"Miami, FL",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213.898916967509,205.726605127439,200.66889632107,199.891891891892,200.525354576778,195.402298850575,202.098575279168,199.556213017751,206.135263413306,207.597173144876,207.932692307692,209.72602739726,209.574695512707,205.342465753425,215.368364030336,205.223785429265,204.248366013072,214.142857142857,213.052921589507,208.163265306122,216.494845360825,219.70021068884,216.981132075472,240.271784389431,239.32384341637,238.888888888889,244.399185336049,237.772287862513,245.163617744263,249.669749009247,253.769230769231,258.701059917802,255.585464333782,259.836901121305,266.423357664234,267.177432307314,267.669229609528,261.006289308176,262.872628726287,264.088397790055,263.591433278418,266.544444444444,270.86842776927,270.420980629916,268.473181963208,273.4375
"Atlanta, GA",9,162.965188661176,161.290322580645,158.308910891089,160.457939688902,156.445993031359,153.578947368421,150.753768844221,146.119916267943,143.67816091954,140.639764724712,135.891942855285,131.985814203945,130.541871921182,131.233595800525,124.858115777526,117.43119266055,119.367485333155,116.193581383455,115.324376718813,114.591542419249,114.525316897221,112.704918032787,107.41935483871,103.565601345669,96.7741935483871,103.027376157372,101.409962813928,101.173830187813,104.170804369414,106.845376795637,109.136047666336,109.136047666336,110.491071428571,111.657704918033,124.861111111111,126.341463414634,126.693766937669,128.220858895706,131.079874192007,134.161073825503,134.439461883408,136.183395291202,138.57938718663,143.405424763328,148.768156424581,138.888888888889,139.457169459963,135.260115606936,135.260115606936,143.495475113122,144.816053511706,149.068322981366,156.044151376147,158.965079365079,159.262948207171,163.461538461538,164.705882352941,165.348510260458,148.660714285714,145.443037974684,157.446649410411,161.458333333333,168.939393939394,174.039215686275,175.089354744674,177.793583056741,179.434167573449,185.604815431738,185.185185185185,183.49358974359,182.328190743338,179.647526488962,184.492325966006,185.987367021277,185.084431547979,191.083488951136,194.249649368864,194.882393813451,192.878338278932,196.391003806852,199.174718196457,200.561009817672,201.237949496119,201.47956742272,201.809523809524,201.154163231657,208.333333333333,209.308783783784,208.872458410351,215.264965149651,211.680219241656,215.203884109206,217.948717948718
