"RegionName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09"
"United States",0,159.51595159516,159.979297551138,160.234420591485,159.231490159325,159.308807134894,156.452284386667,154.555314533623,151.054852320675,151.677072781111,149.321266968326,147.962962962963,143.635430278141,141.469594594595,140.660592255125,141.252006420546,139.67803030303,142.190152801358,142.314990512334,141.840347416923,141.206675224647,141.057934508816,139.90457051558,137.375,135.566188197767,133.673108488764,134.390009606148,134.551224508585,133.698054979128,133.386581469649,134.353741496599,134.228493400091,132.8125,133.827089958548,133.259259259259,142.698412698413,142.291666666667,142.989985693848,144.613653853755,146.911764705882,149.297012302285,150.92816787732,152.294853963839,151.18449197861,152.767237462819,154.479973876945,153.571428571429,155.103448275862,154.185022026432,154.270772806508,157.178526841448,158.977800450324,161.214953271028,163.09412861137,165.469344901585,165.011961722488,165.562789283338,166.666666666667,166.800920598389,166.592592592593,164.346541327139,167.338329036318,167.157976031665,167.73733047823,169.7983014862,174.22714302175,175.568181818182,175.330964003651,175.555555555556,177.23204750717,177.644817036793,180.127041742287,180.381097560976,182.998229043684,185.34253850239,184.912594535408,188.431461408889,188.612099644128,190.957318882851,192.727272727273,192.614770459082,198.13978090643,199.2,199.530516431925,199.039997542394,199.28425058548,201.68776371308,203.308063404549,205.95558451622,207.686980609418,209.713024282561,209.677419354839,208.830548926014,212.5
"Los Angeles, CA",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322.314049586777,321.766072534162,318.939393939394,317.066327228929,320.371935756551,320.364539306847,325.426241660489,329.505664263646,332.826747720365,333.102923136305,333.196046128501,335.172310682515,333.333333333333,332.690114068441,326.768128916741,328.626630019415,336.928540907905,340.297682487131,345.188695830373,349.179275055072,350.514406169193,350.149816853105,353.721583460384,354.461028192371,354.670470727198,351.524879614767,353.572234217395,358.300975893967,364.058094500387,367.089452603471,369.10634514005,370.678836280662,373.287671232877,374.141161773891,373.875724065298,374.391431353457,374.592833876222,374.213836477987,373.51598173516,376.727272727273,381.189667527273,387.889240576867,394.291902486547,396.608517188302,393.643263757116,394.743219114021,396.007726980039,397.88790560472
"Chicago, IL",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.406775507476,100.609816563636,101.400313356835,101.351351351351,102.914766429137,105.852292057546,109.331302139493,110.762711864407,111.21078411322,111.592154452809,113.236627379873,111.916264090177,110.714285714286,110.360821462013,108.489634748272,114.326766458424,118.685669041964,122.040072859745,122.068020099765,123.195937956519,121.623584870245,122.770007512484,123.04347826087,121.323529411765,121.204545454545,119.032218320705,120.743421052632,123.493975903614,124.626121635095,125,126.643835616438,127.222222222222,130.15625,128.693181818182,129.324503714529,127.261794057904,125,126.287742666956,128.535357142857,130.324556830031,131.665570158073,134.736842105263,136.232092531705,137.452959300659,138.623978201635,137.602926587302,139.416983523447,142.713622469577,145.416666666667,146.268382352941,149.469026548673,152.885154061625,151.515151515152,149.916666666667,151.53816938853,154.885947620389,153.769230769231,149.866071428571,151.130845898288
"Dallas, TX",3,127.51724137931,127.110206989651,127.2614622057,126.403823178017,123.582766439909,124.072749451696,124.891304347826,119.742990654206,119.576423128642,119.250425894378,116.288088642659,111.586498781542,109.354838709677,115.013132577956,114.294996751137,114.389475825699,115.240945459247,116.191164873503,117.260787992495,115.996500412188,112.166172106825,114.32751185856,113.033056920413,110.754554344843,113.737727540388,114.710884353741,114.803625377643,113.972894881673,115.204455175637,113.034629225414,109.004739336493,108.978721019598,108.594657375145,112.267767652036,118.012560362017,117.98623130343,120.930826576376,122.9821945047,125,128.069787985866,129.683265410087,128.207836512126,128.207836512126,128.298387096774,134.388045211844,132.858068697343,135.030944591469,130.503144654088,127.702893294649,132.515890613452,134,136.409230769231,141.298958849777,134.517766497462,130.411767517446,122.434435575827,134.517766497462,137.931034482759,139.51048951049,141.324575807334,146.371463714637,150.665333333333,150.581101566448,156.15774442415,154.268934533331,152.085452695829,150.581101566448,150.985728222558,153.938085456316,156.496062992126,155.660377358491,167.842031029619,174.725201213973,173.674982541121,175,183.663172635351,185.088734567901,186.260280599903,187.667560321716,189.701896279975,194.482470781565,199,200.166984732824,201.949860724234,203.256575819968,199,202.137754733041,205.570144988781,203.592814371257,202.554047757286,203.703703703704,201.433685976003,201.086956521739
"Philadelphia, PA",4,169.69696969697,173.231511254019,176.792828685259,169.478260869565,166.571428571429,164.986675126904,164.896276595745,157.800309994041,159.231490159325,157.400379506641,155.042253541171,151.67106853779,153.114679146306,155.012879395397,150.754554564743,145.873015873016,149.021435228332,146.243902439024,141.451414514145,142.743593601123,141.567852437418,135.547307019604,136.055555555556,128.024157500753,129.761338463537,134.358198924731,128.127428127428,128.525542979504,130.742261156505,134.778420038536,129.777707543194,129.963898916968,130.741279069767,136.402116402116,148.913043478261,149.739583333333,149.78976481035,151.191871349684,154.724397102037,153.846153846154,156.912144702842,156.555043951444,151.529268292683,148.237179487179,149.55985915493,151.425178147268,149.170130008525,145.896666666667,144.614981600389,146.929685852836,150.029617253949,151.923076923077,150.734027279253,149.383630429325,147.954790096878,147.911832946636,148.478899957911,145.756457564576,146.667510745776,145.417789757412,144.200338532221,147.254692937313,150,152.417866371355,151.288677130045,154.340836012862,151.758373678861,151.361357940305,151.260504201681,151.5625,151.796610169492,148.837747136388,148.016003874,148.466009800855,149.28,151.330418224244,154.728789986092,153.386887835703,149.818716170813,147.993203494848,146.960784313725,148.006381645917,146.077621800165,146.077621800165,144.628099173554,146.383595065236,151.413189771198,156.363636363636,156,156.276595744681,158.781401679129,158.833615547132,160.869565217391
"Houston, TX",5,98.4380303801765,98.9010989010989,99.722297838876,99.1957104557641,97.6698885707193,96.8338603046853,96.1147086031452,94.5659474179092,95.9302325581395,96.4039510559504,99.0291262135922,97.5510204081633,97.2222222222222,95.6869009584665,96.2796877595084,94.901547116737,94.7893569844789,92.4144721019721,89.7961328289197,88.8429752066116,88.2704015411051,88.8148148148148,90.5797101449275,90.6716417910448,91.3440860215054,91.8658088235294,91.991341991342,93.7375893566322,95.0528202225995,94.619679075823,92.5603002495322,93.482905982906,89.8412698412698,89.3617021276596,89.9470899470899,94.9511919589839,95.1256958361167,96.7321064511432,99.5726495726496,94.689378757515,96.477125289107,99.0708269956622,99.3506493506493,102.942618930848,107.995925642984,106.747362032981,109.860093271153,109.396914446003,110.522788203753,112.10849106482,114.726457117761,114.942528735632,122.964264792033,128.6632,126.628513467721,127.070265978563,130.229591836735,130.468005773633,138.888888888889,142.405063291139,146.655791190865,149.155722326454,155.313765182186,165.850636516269,160.089484578512,148.07676638592,162.031936055115,165.408201434911,166.666666666667,166.666666666667,167.602996254682,170.56530214425,169.42195670122,175.245441795231,172.307692307692,175.492610837438,179.353522879883,176.918199112238,177.353342428377,181.129476584022,182.235974551764,178.059801801466,180.032733224223,178.415163711467,178.991893978384,180.62185825094,184,179.461279461279,176.227095497166,176.46395948376,171.767645221736,168.432203389831,169.641893386419
"Washington, DC",6,213.2,213.051517067004,227.588904694168,244.560043519652,240.228484316777,231.535593748913,221.113952536825,209.569303054033,202.687862535343,204.685332063203,202.309005779275,192.696754563895,186.853582554517,186.2908139915,189.657738095238,192.568939441026,199.32584850577,204.425074217446,199.323024054983,198.469387755102,202.380952380952,196.243069643667,177.151845533172,166.516841155568,162.108922363847,167.301179168031,172.111258004709,173.154362416107,181.661915522336,187.200832466181,183.005870530992,180.430130874399,180.67115498657,188.507099771695,216.308950838318,209.700830866475,212.083580890021,217.864379084967,225.56579562466,234.962406015038,244.45652173913,238.501694669701,235.109451168095,234.884965222044,244.704925009201,246.214917825537,243.047916666667,232.988165680473,228.852639457579,241.903415634069,247.747747747748,250.388437217706,255.681818181818,260.164654438511,254.804892253931,247.967479674797,251.172529313233,249.457700650759,241.508052708638,228.943758573388,227.686796315251,231.123736635713,242.523364485981,244.076303839273,244.263214081399,243.899140892672,226.374650512582,237.807986406117,242.920353982301,243.631827731092,240.813648293963,240.223463687151,241.830065359477,245.069439677855,256.236825375581,260.425368550369,258.864541832669,262.276785714286,258.658170914543,252.688172043011,258.518518518519,259.74025974026,258.526365931337,255.060728744939,257.213704630788,262.237325174825,266.418215613383,272.149814698801,275.111754611755,277.489760348584,275.306142850003,267.416934619507,278.666245259166
"Miami, FL",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.449438202247,149.745867768595,154.367469879518,157.255244755245,159.469253616502,156.732026143791,157.825237210144,157.327586206897,157.894736842105,159.228324569324,162.835249042146,173.788819875776,172.563176895307,173.544433094995,173.277105989287,170.855921855922,170.664206642066,165.553347120952,169.14749661705,167.025862068966,171.016042780749,173.913043478261,175,183.793103448276,187.312312312312,185.714285714286,187.897932342829,185.94664336801,182.2828125,190,187.510103459424,189.200032354606,196.065573770492,200,201.33086316182,220.08869399067,220.466342521108,220.13708436088,223.75,219.9,227.272727272727,229.434267968855,235.103067199328,239.964317573595,240.26243019615,247.051035771767,250,253.273333333333,251.968503937008,248.405609650942,251.578947368421,251.312828207052,251.798561151079,253.042921204356,253.567924880875,252.611311672684,252.068750106967,256.168737143488
"Atlanta, GA",8,125,124.595588235294,124.679487179487,127.425044091711,127.144619139644,123.242349048801,117.1875,108.014407924358,112.5,116.421052631579,113.636363636364,110.972219209579,108.210975806886,107.482487478547,106.110640604509,103.096774193548,103.538663171691,102.698064476366,101.53357827817,99.6158764509148,100.402010050251,98.8732669400508,96.7973548412772,94.6372239747634,94.2604565246075,93.3,91.7052924176271,88.9877641824249,92.9521276595745,93.75,90.8812292358804,90.811749781052,94.4108761329305,95.8017882782927,97.6836948827809,94.6811473127263,95.4927425515661,96.8399592252803,97.4497322365821,97.9680696661829,100.876217501342,102.90736984449,103.164982174295,102.502138993489,104.209284028324,105.163576828622,104.593023255814,100.46619721799,99.5683920341455,104.503350083752,106.28591954023,118.241439792572,116.5,120.72808320951,118.290790171085,120.698362939742,121.487179487179,120.878861556064,118.694362017804,116.564417177914,115.449915110357,116.762635956494,118.799315126523,117.100694444444,117.105034722222,117.830188679245,115.449202350966,106.825657894737,104.700854700855,105.833333333333,105.505279034691,105.857106426386,105.028520857039,108.380952380952,110.351067680058,112.644310060473,114.05100286533,117.498192335503,123.568453246214,129.999,137.039937353171,142.648104686722,141.416708479679,140.893470790378,144.896460900366,143.84,151.772151898734,153.378327283727,154.602259446825,156.596081294876,157.502329916123,158.620689655172,159.716065367095
"Boston, MA",9,233.300589390963,239.158823529412,244.059056629335,246.623376623377,244.544770504138,243.674155197687,233.486842105263,225.890529973936,226.448362720403,228.491170757549,231.480555555556,225.339168490153,223.147301006404,222.771672771673,225.212464589235,229.493087557604,236.397748592871,231.407098031007,225.429017160686,221.488862289361,218.031914893617,218.031914893617,208.479359990135,204.901884793758,212.352904982387,217.088055797733,224.572038052839,229.609035643243,228.612875401866,225.180049808171,220.146818923328,216.848053531686,218.031914893617,217.527787074624,215.513161045169,212.689824831647,213.724137931034,218.467347198892,231.356509884117,235.483870967742,237.936507936508,238.616512202936,234.288194444444,228.486745886654,235.131396957123,235.630727231791,233.183306055646,229.632465543645,231.913188142771,236.728070175439,244.239631336406,250.283276450512,253.391859537111,249.947368421053,244.736842105263,240.168729929541,242.030934767989,243.627438616846,241.769547325103,236.572993990809,238.333333333333,240.288461538462,253.472222222222,259.721706864564,260.983263598326,262.14319534632,255.886504799548,246.860112602858,251.523178807947,255.442025766326,254.23243936341,249.999642857143,254.645560908465,262.247168474589,268.097035040431,272.772828507795,272.644628099174,274.549201442555,273.164146868251,269.513991163476,280.524495382094,284.411149157442,285.064935064935,285.250219490781,285.479608482871,290.93931837074,304.639804639805,312.63036809816,322.847682119205,332.697807435653,322.203397797475,308.983228813072,319.158200290276
