"RegionName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09"
"United States",0,95.1086956521739,95.8591297227807,96.5166908563135,96.0125529377702,94.9255366846008,94.7476828012358,93.207222699914,91.8133129303749,93.4262689501102,92.74105507818,92.3357014105635,90.0336335210773,89.527027027027,88.47224452081,90.7929782082324,90.6735751295337,91.5663670459676,93.0479863584041,92.8073087005802,91.8747114496768,90.2079141515761,88.8335401157982,86.9565217391304,84.642660664468,78.0671296296296,84.8214285714286,84.5298749421028,84.4155844155844,85.1485620591637,84.9494897959184,84.4594594594595,84,82.421875,84.9386213408876,86.3479262672811,88.2352941176471,86.671198731022,88.3841361730513,88.6488086428889,89.84375,90.690513312545,91.0035131951603,90.8285334514843,90.5344202898551,90.2777777777778,92.2477440525021,103.489907341785,98.0392156862745,93.7397054356456,94.9262347658756,97.0560954063604,97.7034120734908,97.8150728309056,99.4363395225464,98.1400154998708,97.1482928609404,97.1225710014948,96.571652646419,96.6614906832298,95.2360971838933,95.598122649987,97.0026041666667,98.5410094637224,99.9257054673721,103.364182692308,104.650511367338,104.079861111111,103.056092843327,103.390804597701,101.668987929434,101.041666666667,100,100.879917184265,100,103.255011856003,105.950653120464,105.740181268882,107.67871575279,106.060606060606,106.182693947574,106.580829756795,106.060606060606,106.26600660066,104.808569667078,105.388272583201,107.142857142857,111.648351648352,114.50230459346,116.491841491841,116.71270718232,115.773487160575,114.631389083783,115.039447731755
"New York, NY",1,229.735374472217,228.83295194508,229.747872152935,232.610832724362,233.117816091954,233.903338321303,233.918128654971,232.772361089958,233.434027825257,232.038501203163,230.833333333333,228.618576143329,226.818181818182,223.673469387755,226.802116155133,225.328821206994,226.704545454545,227.078891257996,226.406533575318,224.5,224.161322591594,222.701149425287,221.248066013409,219.699424576288,217.695473251029,216.497861520846,216.97628458498,220.070422535211,222.870879120879,221.480177360459,221.666666666667,220.833333333333,220.867395787303,220,228.110469890511,226.165622825331,227.272727272727,228.260869565217,231.814814814815,233.585227272727,235.553234737044,234.920964528812,237.5,241.116751269036,241.346025828784,245.722934472934,255.017868745939,252.415397102897,250.257997936017,249.5,252.164502164502,252.628488532744,258.690028599891,260.416666666667,262.299813780261,264.5,266.964285714286,266.981132075472,266.412213740458,268.75,274.117040119324,274.816176470588,274.085365853659,278.189605110337,282.108389012621,286.416581384954,288.607785117901,292.118924020764,296.052631578947,302.34478021978,306.763304902988,310.557280883368,318.181818181818,319.871794871795,319.989316239316,331.175259577515,333.844609665428,338.799359592513,341.305998481397,342.592592592593,345.794392523364,348.837209302326,350.609756097561,347.372488408037,346.875,344.376564862788,347.743148193063,355.288461538462,360.096153846154,364.009345794393,366.510889820638,363.405447739191,363.31490540608
"Los Angeles, CA",2,197.553666658525,192.34996702572,193.5034318114,195.8304134548,195.666074600355,192.189885647756,193.016248543728,193.696960436306,195.473251028807,193.079373860307,191.690340909091,184.031710079275,181.818181818182,179.434447300771,179.252049180328,180.204272782398,183.380547686497,181.780303030303,180.617608409987,181.116659101226,180.454131424854,183.071336004549,180.904761904762,177.661451943108,175,175.632911392405,176.550042710706,178.687196110211,182.748538011696,185.946462715105,187.126974839087,184.659090909091,183.628802801488,191.220485533755,191.819484367249,197.539302802461,200.851346850869,204.374896274168,211.27128108482,216.561989379085,220.994475138122,224.643064116748,231.395348837209,232.371262458472,232.267171433086,237.817551963048,244.923935091278,243.248175182482,238.544474393531,238.995873452545,244.261363636364,246.620046620047,253.664036076663,259.764838416581,259.810606060606,268.115942028986,266.773390252579,267.84755770263,268.518518518519,261.962975899406,263.432304892592,267.815921382403,267.857142857143,272.082018927445,280.100574712644,286.241005859182,285.326086956522,287.268957961447,292.55747429979,289.827973074046,289.235412474849,288.578387460159,288.555992141454,289.666666666667,289.659252095422,293.427230046948,297.619047619048,304.104846686449,304.083405734144,305.336085941336,309.82389215784,312.825860271116,312.954264978073,310.860234379227,312.825860271116,314.946101391376,320.689059279513,323.575730762663,326.71568627451,330.319886986336,331.596399810516,335.165959353303,337.272113436867
"Chicago, IL",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.1469265367316,81.4387917329094,80,80.3571428571429,86.9423286180631,84.8788878657663,85.2029619398404,91.379241812451,91.9073182957393,97.0954356846473,93.7995892018779,89.9510101010101,93.9503610697037,101.544622425629,99.96,97.85,100.418410041841,100.418410041841,101.456308610401,98.688212319119,99.9338815789474,95.8333333333333,89.7257194244604,85.2810421286031,84.9914965986395,96.0769230769231,91.1766477229176,99.4144927536232,100.573524068847,100.785433070866,101.560829591619,99.5,98.8268321513002,93.4711286089239,87.1565919841193,91.283863368669,88.8081875206339,97.4705882352941,100.567730153615,97.8618654408218,102.241935483871,101.406263658349,99.9557692307692,105.56501650165,97.9608156737305,96.4431351858366,99.9090909090909,97.7905941949617,96.1364419103016,106.333333333333,109.070447779884,113.626185687526,114.764267990074,111.696157724159,118.046816643965,119.166666666667
"Dallas, TX",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.9125363324802,68.1818181818182,68.1818181818182,67.8066037735849,65.9371492704826,66.3676588897828,67.8254942058623,67.443951815292,68.0161943319838,68.46185548751,68.5279248916707,70.1581027667984,71.1769115442279,73.1921686746988,70.9936332796969,71.4644714712844,70.0892857142857,70.8369659982563,75.3770402796462,74.8898678414097,70.8369659982563,72.9571984435798,80.590345971581,83.1202046035806,80.2955651399458,85.4864804964539,87.0406189555126,82.1002337973032,83.7988826815643,89.2451298701299,90.1966313256636,88.8157894736842,86.2002332488127,87.527352297593,87.7347508911947,83.9716935090288,84.8752632574009,88.0829015544041,88.5296381832179,98.6184210526316,100,102.13556174559,99.7704819496209,103.578154425612,102.707943640616,103.094555873926,103.094555873926,103.394982473302,106.718192627824,114.955752212389,117.294329478596,119.422170661922,118.483412322275,122.379999334544,117.508519388954,118.483412322275
"Philadelphia, PA",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.988095238095,109.273479031305,107.387352790579,107.797340998922,106.224557073814,98.6333333333333,102.69161723017,99.7739463601532,101.417824074074,103.778138528139,103.287410203796,103.662109028296,103.565828179649,104.503279106046,103.092783505155,106.565605982564,103.665003695492,101.31845841785,103.617886178862,106.992574257426,106.435643564356,106.734371602522,105.50711335475,103.670875420875,103.480861244019,103.706331877729,103.333333333333,103.405988551299,103.20652173913,99.2111397556326,101.729542112216,102.432924563359,102.490130580018,102.664227748072,102.649884067572,101.246753246753,101.973684210526,101.405591321986,98.2821889783915,98.3211274940598,92.1052631578947,92.5308641975309,91.8948490629559,92.5308641975309,97.7035111006055,96.4450204151909,94.5136007376671,96.8013468013468,95.2582557154953,94.6969696969697,97.8470005041169,98.3992539220195,95.4861111111111,91.9963201471941,91.9981600735971,97.5285171102662,98.4421038632059,104.097222222222,103.75,101.543460601137,100.707675557975,101.445791527313
"Houston, TX",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.5754429862238,94.761614743057,94.1891891891892,96.6744006187162,99.2085924250989,97.5,97.5,97.7890050876201,97.5,97.5,108.25130283729,107.355584384478,105.906783571758,106.382978723404,103.462210040923,101.428983467721,96.8144084047662,98.2142857142857,108.124180425468,105.7630045327,106.571771051843,107.72792022792,102.187244480785,100
"Washington, DC",7,,,,,,,,,,,,,,,,,,,,,,,,,,,165.274151436031,164.366948023101,167.345628415301,169.835808941875,168.199341010454,170.648907103825,170.757874549285,170.542657916325,169.050753435999,169.967841005705,171.001753527445,169.036855036855,170.024425279466,170.20381613183,168.89097335053,171.808059210526,178.079047970024,181.632734530938,183.55285418044,179.819434102755,195.131944444444,182.114270929029,178.340867992767,180.279950596953,178.281904761905,182.235682819383,186.203708139196,182.291200259984,185.74299634592,181.96783749471,184.90962962963,187.514654161782,181.583333333333,185.367523957155,181.165755919854,179.950388063696,179.429078014184,184.895574249054,189.19056011499,186.706191578851,173.128342245989,180.837863747708,184.483022665617,184.083333333333,187.435261878117,191.46529799176,202.686567164179,222.350502649114,214.45194598888,217.370063582803,222.186258935663,233.303098688204,239.376047551233,237.597461923634,237.59765625,245.192307692308,238.163143792795,252.873563218391,265.670785916934,277.629542584569,267.775974025974,279.353336782204,300.03553099092,301.244152084931,298.240174557062,301.130230739147,262.144468582888
"Miami, FL",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135.335097483314,133.371699390657,130.385487528345,128.696376577055,132.275132275132,132.275132275132,133.24112494237,135.922330097087,135.416666666667,132.047717842324,135.681758648305,134.498425551057,140.3125,146.362885548857,147.93357490252,139.76095597408,138.928150100322,142.412935323383,148.913805185704,153.807692307692,157.259588999329,161.383969988546,161.542660064231,159.183673469388,166.212486511484,166.611111111111,166.332665330661,167.226890756303,165.944062973617,168.665667166417,172.372680948673,178.465354090354,181.907770617488,181.842897068566,182.152086788281,184.897178653446,184.700995228868,181.912681912682,185.748722712494,184.804928131417,187.5,189.275385307199,186.263736263736,191.888235565109
"Boston, MA",9,131.356968215159,134.468584850264,138.427299703264,143.699203236238,145.223674688611,143.977347883598,141.908397882575,138.877835256665,137.796175453778,137.82991202346,135.010128291695,132.222222222222,128.383151938065,124.776386404293,125.792811699447,124.687760199833,132.222222222222,134.010736196319,130.278019113814,127.507755946225,126.449275362319,125.570251945983,118.379091203252,114.086859688196,114.195437252635,118.960244648318,125.071387778412,126.230759524464,129.411764705882,133.288829550512,127.912457912458,131.788127338241,129.250161603103,127.777777777778,129.567307692308,126.75347089011,127.542108546475,129.422767857143,132.115389377598,138.650953672159,143.719593100398,152.743055555556,153.037037037037,150.542168674699,151.484449329681,149.116166128851,157.071428571429,146.070785842831,143.098159509202,144.598197297204,146.493682140404,153.320015719151,159.252450980392,157.894736842105,156.933542647828,155.643994335053,154.891467470597,153.96612209431,152.33712763381,149.596017336051,151.201562365433,154.472531593691,160.000536912013,166.62037037037,167.574435225533,166.957026713124,169.066296951366,167.832756955596,170.282384580905,170.080673447913,169.062226117441,167.430586161305,157.642965862144,159.231520677304,163.560718499464,172.850194349555,178.350402234896,184.471094710947,185.044806240458,184.076907750548,180.005787037037,183.532553438002,180.323521612304,175.29224229543,180.34824806732,179.046474358974,188.616352201258,195.657662206513,202.593353496581,202.169083433767,201.651500581713,200.244778208441,205.521362513111
