"RegionName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09"
"United States",0,112.407910042652,112.198795180723,112.284644194757,112.131283755713,111.26447016919,110.388845688612,109.271523178808,108.345375722543,107.315598548972,105.146120894812,102.867974110818,99.9444444444444,97.5121951219512,95.8994708994709,97.0266990291262,97.2495088408644,98.9236111111111,99.2465753424657,99.0985576923077,98.4927234927235,97.2747497219132,95.8385876418663,93.4818481848185,91.5833333333333,91.6075650118203,92.290585618977,94.0909090909091,94.5849512614823,95.5414012738854,95.6781914893617,95.1927653498334,94.969256567915,94.9660633484163,95.5499843309307,104.022009930853,103.365384615385,103.287202380952,104.53488372093,106.333333333333,108.405639913232,110.145949360468,111.226508407517,111.292246520875,111.117788461538,111.473449730701,111.110622918019,110.030581039755,109.551461988304,108.61801242236,110.241820768137,112.144420131291,114.528795811518,116.208791208791,116.772735781628,117.087087087087,116.975609756098,116.766467065868,116.438356164384,115.002447381302,113.478462251042,114.337568058076,116.017964071856,117.727957799548,119.888475836431,122.469382654336,122.919293820933,122.469374597034,122.246022031824,122.243528283797,122.328458942632,121.790065604499,120.643431635389,120.160701241782,121.708413615928,124.423671822461,126.984126984127,128.614416877013,129.255446492698,129.220779220779,128.708133971292,128.947368421053,128.735826935736,127.806652806653,126.431424766977,125.862068965517,127.649088220798,130.357142857143,133.143952596724,135.244734927218,135.957240038873,135.759265738797,135.3125,135.706967213115
"New York, NY",1,223.632195723684,222.408026755853,225.447408955042,225.092233255618,225.849433710859,225.777004998913,224.21161059723,223.14313795946,223.360609295696,220.003946329913,218.150087260035,214.365351629503,210.407239819005,208.054085831864,211.267605633803,210.884353741497,212.426035502959,210.606734006734,208.565072302558,206.07948969578,204.234972677596,202.027027027027,198.705179282869,193.910256410256,195.251000634832,189.201973331108,199.289526392055,200.804366561333,204.545454545455,201.704545454545,199.508287292818,196.260018490527,195.39666993144,195.31914893617,211.452307692308,209.896524064171,210.227272727273,212.819228843265,214.302180736688,215.474209650582,216.823785351704,216.007416563659,215.277777777778,213.654223968566,214.516129032258,215.276779295471,215.425851703407,214.285714285714,215.135135135135,217.683950338635,221.123829344433,223.901098901099,225.949367088608,226.864093072448,225.097917839055,223.773237600255,223.347789421345,223.497648194873,221.971407072987,221.028645833333,218.481481481481,221.238938053097,223.33571598761,226.325757575758,223.480333730632,224.671669793621,226.727869831318,225,223.397430013417,223.132703887078,221.774604793473,219.44741211794,219.223125863234,219.377277306342,222.576530612245,226.281673541544,228.500207727462,228.507936507937,227.173913043478,224.024853296514,224.584026622296,223.290642021583,222.144846796657,219.072164948454,220.892536387246,223.412272862675,228.864734299517,231.481481481481,236.140681336804,237.24593495935,237.575513491744,235.4080185027,237.131000578369
"Los Angeles, CA",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,327.498176513494,327.254045723093,324.909747292419,327.953044754219,332.10834998335,339.68601582667,343.53746063976,345.925925925926,347.867001254705,346.581373304811,347.161105738233,346.03493146206,341.972642188625,332.935168174265,337.929094522229,347.423648995435,352.19707057257,356.990667753391,364.20007309746,365.98385989011,367.8963110668,369.669777458722,369.505720470006,370.889557776768,370.099774702285,370.29030265596,371.750547045952,377.467105263158,382.692893638963,386.150234741784,388.285620269826,391.928509709071,393.472348141432,392.879450343535,393.26375711575,394.000611508995,395.011041504388,393.518518518519,395.62698179203,397.27582292849,404.212094097241,408.668090150865,412.801484230056,410.525263157895,412.53884863705,414.415039994684,414.689439095708
"Chicago, IL",3,141.072148327287,140.59072781655,141.62852233677,141.476923076923,139.343445888577,138.28867761452,135.787567893784,134.411843903456,131.197478991597,129.773630690795,127.181818181818,122.590380031086,120.211133542379,118.948412698413,120.320855614973,121.782799748901,123.356535189482,122.793448589627,122.110115816142,120.631435006435,118.948412698413,116.583333333333,112.734962406015,108.900757575758,109.386710251378,111.247524752475,113.307719520718,114.087301587302,114.742698191933,113.756341150369,111.031746031746,109.018830525273,107.849702380952,107.225433526012,114.528150597656,112.322097378277,111.764705882353,114.358005526693,117.348484848485,120.346130762252,123.762140499764,125.773855125875,124.90779990401,124.67213247432,125.12315270936,123.93896713615,120.344478570431,119.985001874766,117.642991829038,121.870451237263,126.171593366979,129.820726520905,133.816908454227,136.36914684043,135.650826312588,134.902780910923,133.569182389937,132.825788564652,130.181126504656,126.166794185157,124.916666666667,129.086464354528,134.448303452811,137.236036640511,142.079397735587,143.34052705001,142.202318229716,141.363902439024,140,139.04347826087,137.655886831439,134.602592641555,133.732076288599,137.254487856389,141.460396039604,144.953106682298,147.51575708878,149.855318526217,148.86524822695,146.9479848237,146.577477896696,145.833333333333,144.345381319034,142.195767195767,141.798260195035,146.07425441266,150.438167868116,153.547915142648,154.894317867113,155.889334758944,155.366609268536,154.001730896065,153.456221198157
"Dallas, TX",4,83.1088879557161,83.4230355220667,84.1584158415842,84.5972376714868,84.7793307963001,84.4292237442922,83.9640491958373,83.5385785400015,83.2099907493062,82.5593395252838,81.76926388291,80.3431322532414,79.4926913155632,79.1021603808129,79.3449450965543,79.7340425531915,80.521327014218,80.5184219106619,80.1772763900081,79.6095966195875,78.6369593709043,78.2422293676313,77.1604938271605,75.8376261981292,76.218220338983,77.3734123936318,77.5053508603976,78.0554470909801,79.174405262245,80.3493449781659,79.5182810805107,78.7854889589905,78.2811176968671,79.2608746732458,84.8568507020433,85.1851851851852,85.1292651169827,86.4401688182721,88.9076923076923,90.200546946217,91.2650498173097,91.7446098929929,92.0245398773006,92.0397727272727,91.9703520691785,92.3344947735192,92.0634920634921,92.7192871600965,92.7426202566318,93.9627962655388,95.6102081551183,97.0860033594226,98.4286532647655,97.2163047677401,97.6907029665562,99.2778153547767,99.9230769230769,100.354969574037,100.065869165478,102.100510642203,103.698418187988,105.39531174642,108.453811206461,109.329245090893,108.601216333623,108.924940101853,109.085648148148,109.440178462054,110.02277904328,111.163089104184,111.602497398543,113.080684596577,113.572496263079,113.857643851802,116.354759967453,117.834147698272,119.132856006364,119.841928397476,120.108368452739,120.468354527465,120.990922844175,123.029366306028,122.525783747892,122.866972477064,124.309392265193,125.628140703518,127.68794862108,129.087614070758,129.684860846332,130.139187238089,129.829984544049,129.762286029818,130.458515283843
"Philadelphia, PA",5,139.681589202547,140.221088435374,141.613924050633,141.666666666667,140.777350185254,139.487114181068,138.333333333333,137.307692307692,136.536585365854,134.467855213398,132.994606561133,130.666435163386,129.215943933421,129.533246977547,129.791687177075,130.022658481258,131.315410421909,129.665683998057,127.723508931275,126.486235119048,124.456868787828,123.203285420945,121.265095300451,118.175429078714,119.704861111111,121.644736842105,123.934972473789,124.245852187029,124.544443026411,123.762376237624,122.937293729373,121.181818181818,120.030760836845,120.05354398847,122.49456109324,121.176463368475,120.514285714286,122.225309499552,124.585551330798,126.206509539843,128.535576392719,129.447322970639,127.840909090909,125.89928057554,126.086956521739,125.755287775037,124.513618677043,124.660018132366,122.525918944392,122.886297376093,126.307271240554,129.736059479554,131.117972713561,131.118881118881,129.340232858991,128.289279614967,128.289473684211,127.368421052632,125.238989815579,122.379402685803,121.741671195652,124.206166589968,127.246753246753,130.483722296503,132.294117647059,131.856540084388,129.951599063963,128.642858332362,128.034248737374,127.397260273973,126.481481481481,123.977344241661,122.540983606557,123.452904082746,126.598791018998,129.693463014424,130.869222261978,131.052411710918,129.83630952381,128.164170177355,128.15483234714,127.872975277067,126.178451178451,122.494088001551,122.632575757576,124.470142977292,128.88107791447,132.698850574713,134.879240041224,134.883720930233,134.360749185668,132.275743374021,132.796450860967
"Houston, TX",6,80.2364864864865,80.964159494843,81.2007874015748,81.1787483653282,81.0187637778009,80.8619091751622,79.8198935734752,79.520697167756,80.1515151515152,79.53181272509,79.5432498621215,78.7128712871287,78.2402155416903,78.1351073370381,78.3073015137284,78.0473372781065,78.4303727455319,78.4433080844485,77.8938207136641,77.4849430778144,76.1538461538462,76.4975572503112,75.5020630603613,75.7048311894768,76.0352895229052,76.2956491061196,77.2200772200772,78.125,78.4342258440047,78.6918886198547,78.2360666379488,78.4005979073244,78.7543068078898,79.0888511601585,80.9811844540407,81.9505094614265,82.4257032781607,84.8480085355282,86.022161720623,87.0323059505519,88.0719584245504,89.0794649881983,89.5060218404967,89.6168108776267,90.433893919793,92.1939552076538,91.3434903047091,92.1128382268279,92.5883944019191,94.4299504304722,95.8260004421844,98.0385525870815,98.6752136752137,99.139543583988,99.537037037037,100.780234070221,102.192207970905,102.873774747062,103.774178423261,106.151809425472,108.083832335329,109.547970479705,110.405083399523,112.104635911895,110.901174168297,109.667852906287,111.743762993763,112.500317662008,112.769485903814,113.704945930124,113.64282330649,115.17719568567,115.252951453448,112.81269066504,113.836017028995,113.788659793814,114.25638551717,114.19413004442,113.824200901041,113.636363636364,113.320057929037,113.81758345087,112.781954887218,112.629706492736,113.416894248818,114.435166994106,115.165479681609,115.757787075779,115.974303293522,115.995462280204,115.565842980228,115.583355996736,116.291137448924
"Washington, DC",7,179.341134593862,179.412724306688,183.391203703704,187.833762223366,186.714770797963,184.426229508197,184.009072866459,180.13821120964,176.639503528423,175.764938527442,173.527588344699,168.141167775314,163.586631075859,162.641423227899,166.103603603604,168.285625936442,172.330713362774,172.722415329768,170.454545454545,169.203891708968,168.303139423198,165.63122256135,160.188457008245,156.566847460082,155.47263681592,157.702508960573,162.587141750581,167.9296875,172.327586206897,173.653395784543,170.830618892508,167.646028245352,167.646028245352,168.569000300848,174.891975308642,170.983606557377,170.812979377114,174.006647325622,180.876676400606,188.453170885841,192.268181818182,195.01625135428,192.444088396152,191.612147193232,194.017823780112,192.860816457731,189.732142857143,185.909980430528,183.204349851581,186.901913875598,191.649159663866,195.901639344262,200.681492109039,200.351736420303,198.807692307692,196.837561035286,196.43880474826,196.214953271028,193.592734474163,188.061041292639,185.216346153846,187.96977443609,192.965296423202,197.560030617741,201.751046821469,201.231060606061,195.234375,197.270634659651,197.596881514693,197.368421052632,195.344104041761,192.598187311178,191.003210272873,195.539894992361,200.593256508749,207.837078651685,209.839585310719,209.812348049627,208.626219149485,205.356679636835,206.992044299157,207.797701547702,206.414461526861,203.577205143661,200.892857142857,205.321428571429,210.320247012663,214.853256309114,216.950714959715,217.592592592593,215.516625615764,213.336820083682,215.307692307692
"Miami, FL",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.364724660814,131.705426356589,133.901399878271,136.363636363636,138.319711136922,141.065830721003,142.300282906923,143.266475644699,141.986733248318,143.44262295082,145.718654434251,149.006622516556,150.120580726082,150.804289544236,152.153558052434,152.063599458728,153.576175158972,154.338235294118,155.709342560554,155.779220779221,155.310018061647,156.491228070175,157.390434782609,158.376953725485,159.2,159.126497449105,164.010407791214,165.492957746479,164.831375521031,161.239919354839,162.760416666667,167.186896777659,168.19536368009,168.861386138614,170.551651440618,173.410019267823,174.032699306696,177.070164054998,179.638776920866,180.625630676085,183.408577878104,184.205669211789,185.306137138521,186.019996053006,186.915887850467,188.627477935189,189.907904834996,190.339369051658,191.622103386809,192.620177000808,194.156007720239,195.070422535211,196.90927218345,198.3392352575,199.26534512341,199.621167749825,199.310428702845,200.732950924156
"Atlanta, GA",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.8651409889661,88.5142857142857,86.3126079447323,84.6805485716121,87.4125874125874,90.2645868567504,93.0333058078723,94.3026267110618,94.8305558102659,94.3785682916118,93.9527314047832,93.8948027551659,93.1343923385145,90.2863439418475,88.9974665218965,90.3237205525931,92.5085167534832,92.6487732004829,93.2271982942593,95.4593317668733,96.5537030556224,95.194291408972,95.5689461883408,95.216250413436,95.4121410754759,94.7831978319783,94.1730635031403,94.5032258064516,96.6850828729282,99.6099184404563,101.788494211807,103.779069767442,103.929159038169,104.119414636405,103.926096997691,103.270786807205,104.057777777778,103.740949316171,102.611940298507,102.254335260116,104.18019261085,108.111590131245,110.717896865521,111.764705882353,112.893642305407,113.063167003173,112.724018796731,113.095238095238
