"RegionName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09"
"United States",0,250000,257000,258700,257400,254900,250000,249900,249900,255000,249000,237777,227000,219900,219900,219900,219900,225000,225000,228000,229000,224990,224000,219900,214950,215000,219900,224900,225000,229900,229900,226900,225000,227000,229900,267900,265000,265000,269900,275000,279990,287900,289500,289000,287940,289000,286900,284900,284000,279900,289000,291990,299000,299900,299900,299950,299900,299900,299900,299000,297900,299900,3e+05,309000,315000,319900,320990,319950,319900,319900,320000,319900,319649,319000,320000,328500,334900,337990,339000,337990,334950,335000,334995,330000,329000,327500,334900,339900,348900,349900,349999,349900,349000,349000
"New York, NY",1,472000,469900,479000,475000,474450,464750,459000,459000,459900,450000,449000,439000,429000,429000,437000,429990,439000,429899,429900,429000,424900,425000,428000,419900,425000,425000,439000,439000,439900,435500,425000,420000,419000,419900,459990,459000,459000,468000,479000,475000,479000,479000,475000,475000,479000,475000,479999,479000,479000,470000,479000,489900,499900,499999,499900,499832.5,499900,509000,499000,499900,499999,499900,499000,509000,515000,499999,509000,5e+05,519000,524900,524900,519000,530000,535000,529000,549000,529999,539000,529999,526000,529000,529000,529000,529000,529000,540000,549999,559000,569000,569000,560000,549900,550000
"Los Angeles, CA",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,658944,654900,649000,650000,658950,680000,698000,699900,7e+05,699900,699000,698000,690000,659000,679000,699000,711000,724900,749888,749900,749894,749900,749000,749888,749000,749000,749888,759000,778000,779000,784995,788000,785000,782938.5,780000,785000,779000,778000,779900,789000,799999,825500,829888,819250,816000,810000,810000
"Chicago, IL",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,294155,294900,289000,299000,309000,318900,325000,329000,325000,324900,319000,314900,309187,299900,299000,309900,324999.5,325000,335990,339800,335990,335000,333900,329900,328854,321990,319900,329900,344900,350000,359900,360000,359900,350000,349900,349000,340000,335947.5,337000,349900,360000,369000,369990,374698,369000,359900,355000
"Dallas, TX",4,220000,224763.5,225000,229500,229999,229900,228645,229000,234000,229500,224500,219000,214900,213460,213000,214950,219900,220000,223950,219800,210000,211452.5,209900,204900,206100,210000,212000,215000,219000,224000,218900,214500,214500,216990,239900,245000,243995,248039.5,259000,261995,267468,269900,269000,266900,266990,269000,265000,269900,274900,279900,281990,289900,294500,289900,294945,299900,299950,309041.5,304970,325000,329000,335000,348990,349900,339900,337904,333990,331995,333489,345500,349900,354990,350000,349990,356827.5,359261.5,359900,359000,359000,359000,359900,369999.5,364283,363990,366800,369900,375000,378222,379900,378990,375000,374173,376990
"Philadelphia, PA",5,359900,359900,359900,364900,367400,359900,355210,349900,350000,349000,340000,334900,325000,333258,325000,329000,335000,324900,324900,322250,310000,314900,315000,309900,319900,324900,334900,339000,339900,339900,329900,320990,315990,319900,350000,350000,349990,354125,365000,359900,370096,374010,360000,360212.5,360425,359900,359000,364900,357261,350000,369500,369997,375000,379900,372500,369900,374900,364900,359900,357850,352990,359900,369900,379000,389900,389000,384900,379990,374900,379144,377414,369900,368250,369900,377161,390000,397500,389900,392000,385300,385000,379990,389000,389900,388990,391990,399000,407450,422250.5,424900,424900,416900,415000
"Houston, TX",6,189900,194500,197500,198900,198000,199000,194900,194900,209900,209500,209900,202900,199950,199999,199900,199900,2e+05,209900,209900,206000,189000,189900,188000,189900,189994.5,194900,197950,199900,2e+05,203894,2e+05,201990,206000,207990,218990,226990,229000,237490,239990,243990,245000,249999,249900,249497,250000,257555,254900,258291,259900,265990,267990,275490,278000,279900,281857.5,289357,294650,295000,299740,309950,319000,320000,324900,326970,320990,314995,320990,325000,320000,325990,325000,334900,330970,319900,319999.5,319900,319000,319900,319000,315000,315000,317990,310000,309000,312990,316000,319900,319990,319900,318990,315000,315000,315000
"Washington, DC",7,375000,384913.5,395200,409999,414995,419894,424900,419000,429000,429990,424900,410000,4e+05,409000,412000,419990,426697.5,429000,409998,414000,409990,404900,399900,398225,398000,399990,414900,429990,439000,440940,438945,431995,429990,439000,469250,459990,464650,462695,472995,485000,499900,499999,499900,494990,499900,499800,494894,493471.5,492490,499000,506990,519900,525000,524925,519900,514999,511990,510000,504990,499900,502945,514192,524900,534900,539990,539894,524900,525000,524990,529900,524990,521710,524999.5,535990,545990,554900,554900,550000,549990,545250,548000,547995,549000,547900,549900,550000,559900,569000,569900,569900,560000,549965,558990
"Miami, FL",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355000,359000,360000,375000,379900,379900,380000,379000,383243.5,389000,389990,389000,383000,384999.5,385000,389000,395000,399000,405000,415000,413700,396828,399000,409900,406900,399900,403240,420000,425000,443950,454550,459000,460000,459000,453200,453990,455000,469900,475000,475495,480000,489000,489900,495945,499000,499999,5e+05,499999,499000,509000
"Atlanta, GA",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250000,249900,241366,235000,247426,259000,264541,269000,269500,268846,265000,264307,259900,253945,249900,254170,259900,259900,259825,264999,269000,259900,265000,260900,264900,264900,262000,263685,274900,279900,289000,289900,289900,289200,289000,286900,287900,283155,279900,275000,282922,298510,305000,309900,310000,306617.5,301990,302558.5
