"RegionName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09"
"United States",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,399000,399500,409900,418340,425000,429000,429500,427437.5,425000,425000,425000,423990,419047.5,417462.5,429000,433868,439900,440990,439990,439000,435000,437900,432419.5,429083.5,425000,429900,439900,448050.5,449900,459499,465000,459850,450000,450000,450000,450000,449900,449900,465000,474990,479900,484900,483900,479000,475000,475000,475000,474900,469900,470000,479000,485000,492990,496990,498000,495000,489000,489828.5
"New York, NY",1,579900,580000,595000,579900,575000,560000,559000,559625,575000,559000,549700,530000,5e+05,5e+05,525000,525000,545000,535000,540000,539000,539000,549000,549000,539000,549000,549000,559000,575000,579000,569900,550000,549000,549000,549000,625000,615000,599999,619000,625000,635000,629000,640000,639000,625000,629000,619800,629000,649000,649000,629000,629000,669000,729900,775000,750000,749000,715000,749000,679949.5,699000,699999,675000,695000,769000,765000,679000,699000,719499.5,759000,775000,839000,829999.5,899000,898250,874999,899999,880000,889999.5,890000,850000,849000,849900,849000,825000,825000,849000,879000,9e+05,949000,975000,959000,949000,950000
"Los Angeles, CA",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1050475,1050000,976500,949950,979000,1049000,1098000,1098900,1099000,1090000,1099000,1088800,1070000,939400,999999,1049000,1099000,1115000,1195000,1237500,1219450,1200000,1199900,1199000,1198000,1199000,1200000,1240000,1249888,1249444,1285000,1299000,1299000,1277499,1275000,1275000,1275000,1250000,1299000,1325000,1347000,1350000,1389000,1350000,1388800,1389995,1379999.5
"Chicago, IL",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,309900,297000,279900,3e+05,328499.5,349000,389000,398250,375000,369900,369900,372200,359900,330000,309000,334500,375000,379999,390000,389900,389900,389000,390000,392000,379900,356790,350000,379000,399900,419900,425000,429156.5,409250,399000,384500,375000,369000,350000,349900,375000,399000,414470,419900,427950,425000,415995,415000
"Dallas, TX",4,375000,375000,376882.5,379000,378990,375000,379900,375000,369344.5,359500,350000,339900,329900,329990,335000,350000,358839,340000,339900,329900,350000,349900,346544.5,335990,348445,350000,364900,364900,374900,375000,369000,355000,359900,360000,399000,4e+05,4e+05,419385,437500,440605,449000,439900,440000,435000,444995,435990,439900,450000,449900,450000,460000,475000,475000,468995,475000,485058.5,480000,487945,482036,491465,496094,5e+05,525000,527995,509990,505550,499900,499000,493900,499900,498990,489000,492605,499900,510829,522000,524900,516705.5,520074.5,523594,524795,504945,525000,507990,5e+05,514900,534900,545000,545349.5,545000,525000,519997.5,525000
"Philadelphia, PA",5,479995,465000,479900,479900,497500,492500,480000,479900,495000,485000,469900,450000,442900,449500,415000,412000,425000,410999.5,425000,424900,4e+05,424999,425000,418000,429000,435000,449900,450000,475000,450000,467750,449000,449900,463900,519900,512450,499950,527450,534000,539000,589900,599999,549700,514900,499900,498000,498900,495900,474950,490000,529000,550000,581900,583450,524900,5e+05,530000,499250,499900,525000,495000,499900,525000,545000,579900,575000,545000,539900,539000,539950,549900,529900,510000,525000,549000,580000,575000,589900,569900,550000,559000,575000,564975,567000,560000,559900,599000,616197,635000,642450,639900,615598.5,625000
"Houston, TX",6,359000,357450,352989,357900,352250,351900,349900,349900,344445,339000,336900,333450,325000,329950,330000,339900,344000,339000,335000,325000,320000,329447,324052,329000,320990,321950,334900,340000,344000,348000,342990,340000,345990,344990,357950,369540,368500,379000,385500,389000,399900,411840,416445,415917,418000,420000,425000,429900,428990,439990,444995,461929,454031.5,465490,468900,469385,476472,477850,475312,477990,482791,485000,485998,493979,489999.5,484990,484990,480667.5,475000,479990,478990,469900,481990,474989,477147.5,484250,484945,475000,468050.5,466990,460000,450990,454949.5,445644,449992.5,459000,465000,470000,475000,475000,475000,464995,464500
"Washington, DC",7,629000,629900,632450,650000,650000,674900,649900,630000,684135,699000,662450,637000,601900,629900,630000,649900,650000,639900,599000,599000,625000,619900,6e+05,575000,674900,724900,691000,7e+05,715000,719000,695000,675000,680000,699894,797500,795000,775000,759900,799000,831445,840000,850000,859000,849000,850000,849900,824950,819000,799500,849327.5,854900,849750,839999,839000,829900,824900,817000,824500,799900,799000,799999,825000,825000,829949.5,839900,845000,819900,824950,839900,849900,849900,850000,859000,899900,899900,899000,899000,899000,889949.5,875000,889000,899000,949000,974300,998000,995000,949900,924450,925000,899900,899995,899900,9e+05
"Miami, FL",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,689950,750000,765000,779000,795000,750000,778500,775000,675000,692950,699000,709000,750000,759000,749999,749000,749945,729000,719750,699900,7e+05,724000,727000,725000,750000,775000,799250,839990,830000,784950,788000,799900,815000,8e+05,849450,875000,896750,890000,899000,899000,899000,899000,899000,889000,860000,875000,888000,897000,910000,929999,935000,9e+05,929000,929250,950000,909000,899000,899935
"Atlanta, GA",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359900,360000,365950,375000,389900,398785,399900,399999,399000,394600,385000,384900,383899.5,380000,389000,389900,410000,413273.5,399900,398785,396000,399900,398000,381378,389900,390000,399900,399921,399900,414033,418450,390000,385900,380371,388990,389900,375457.5,375000,403045,405000,419900,420000,407900,409799.5,410157,4e+05,4e+05,404990,399699.5,399900,401615,413990,424900,426987,429903.5,433990,425000,425000
