"RegionName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09"
"United States",0,189000,189900,189900,189000,189000,184900,180000,179000,179000,170000,169000,160000,159900,160000,165000,166800,169900,169900,169500,169000,169000,165000,160000,159000,159000,159900,159900,159000,159900,159900,159000,155000,158300,158000,179000,179000,179900,184500,189000,189900,192000,193500,190000,190000,195000,194900,198900,195000,196000,199000,199900,205000,209900,210900,209900,211900,214900,214900,214000,209999,214900,215000,219000,219900,224000,225000,225000,225000,229000,229000,230000,230000,235000,239000,239000,241900,244000,247900,249000,249000,250000,252900,253966,250000,250000,255000,259000,260000,264900,265000,265000,263000,269000
"New York, NY",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,495000,429000,469990,430000,439000,439900,438000,455000,469900,495000,499000,505000,525000,520000,535000,550000,562750,550000,534990,549000
"Los Angeles, CA",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,399000,395000,388950,389000,395000,399900,409900,415000,412472.5,414900,419500,419000,415000,399900,399992.5,425000,434900,444644,449000,450000,449900,449900,450000,450000,449000,449000,450000,460000,464990,468900,470000,479000,479000,478000,479000,479000,479000,475000,479800,489000,498000,499900,505000,5e+05,510000,512000,518950
"Chicago, IL",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165000,159900,159000,169900,184900,189900,199000,199000,199000,194900,194900,189900,189000,179900,177900,189800,195900,196000,199000,199000,198990,194500,189900,189500,184999,184900,189000,198000,202360,210000,209900,213452.5,210000,208000,210000,215000,214900,212000,215000,225900,229900,232500,234000,235000,230000,229000,229400
"Dallas, TX",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,265000,269900,272421,271660.5,265000,275000,279400,274000,253000,255000,249827.5,249999.5
"Philadelphia, PA",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184900,185900,189900,199700,199900,2e+05,199900,189900,185000,185000,187900,187250,184500,179900,180000,189900,189900,186745,185000,180000,180000,184900,179900,179900,179900,179000,184900,189900,189900,189900,189900,188250,189000,189000,189900,189900,180000,179500,180000,184900,189900,192500,189900,186950,184900,179900,179900,179900,179000,176900,178950,184900,190000,189900,189900,199000,199900,199500
"Houston, TX",6,114900,114500,114900,114900,110000,109900,106000,104412.5,107069,109000,112000,110000,110000,109900,109000,105000,104900,99900,99000,99500,98250,99900,99500,99900,99000,99000,99500,105000,109500,108000,105000,109000,1e+05,99000,1e+05,105950,104900,110000,110000,105000,109900,109900,107900,113700,118775,119900,124900,123000,129250,134900,139900,147900,149000,149687.5,145900,147000,152000,154900,164950,170000,175000,176000,179900,185000,172250,159900,177500,180000,185000,185000,189000,199000,199000,205000,204900,209000,210000,215000,220000,225000,222945,212000,215000,209900,199900,199900,204400,199900,195000,194900,185000,184900,186000
"Washington, DC",7,229900,229900,235000,245000,239000,229149.5,225000,224900,218850,209000,199000,193000,185000,190000,199000,202000,209990,214990,210000,213000,214900,210000,199000,189000,179900,182900,189900,194999.5,205000,215000,209950,2e+05,2e+05,214929.5,245900,239990,244900,249000,254000,260000,265000,267000,265000,270000,270000,270000,269000,265000,263000,269000,275000,279900,282900,284900,279990,279900,279995,284900,275000,265000,265000,269000,275000,275000,278000,275000,259000,269999.5,275000,277900,274900,274950,274950,279894,285500,292000,290000,289900,289000,279999,285000,288000,285000,280000,284450,289900,295000,299000,299000,299900,299994.5,295000,3e+05
"Miami, FL",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159000,170000,176900,179900,184000,180000,179900,179900,175000,175500,180000,190000,189900,190000,190000,189900,190000,190000,192000,188550,190000,195000,198000,209000,213000,209000,210000,209000,201499.5,210000,208000,214999,220000,225000,228000,249000,249900,245000,249000,241500,249900,250000,255000,259900,259900,265000,269000,270000,269900,266000,269000,269000,269000,269900,269900,270000,269900,275000
"Atlanta, GA",9,148650,148000,149900,149900,149900,145000,147000,141000,139900,134900,129900,125000,125000,124900,125000,125000,125000,125000,124900,124000,120000,119000,110000,109900,112900,110000,112000,110000,115000,115000,111750,110250,119900,119900,129000,127000,132000,135000,139900,142900,145000,145000,146000,145000,144900,140000,143700,137500,137900,139900,144900,145000,144900,150000,154900,154900,156000,159000,155000,150000,157900,164900,172000,172500,171974,174638.5,165000,189900,191298,198080,199000,198459,194900,198478,192758.5,195000,2e+05,2e+05,202560,199500,195000,192907,192500,194700,190000,185000,191829.5,199000,199000,2e+05,2e+05,202042,204909
"Boston, MA",10,269000,284900,289900,289000,289000,285000,279000,274900,274900,275000,275000,264900,264900,263950,265000,269900,279000,279000,275000,274250,274900,275000,260000,259000,269900,279000,289000,295000,294900,289900,284900,276888,279900,279900,279900,275000,279900,290000,3e+05,309900,318800,315000,310000,3e+05,317250,313800,314900,304900,314999.5,335450,324900,329000,329000,325000,317995,311000,319000,322497,322200,319237.5,325000,329900,343945,340000,339900,339900,332650,325000,329900,339000,340000,339900,345000,367500,379000,379900,379900,379900,379000,369900,399000,399000,399900,399900,399900,419000,429000,429990,440277.5,444000,435000,420000,439900
"San Francisco, CA",11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,459000,429000,446500,459000,465000,485000,489000,475375,469000,469000,479000,479500,479000,450000,449000,485000,5e+05,528200,575000,574958,549000,536500,550000,590000,599000,589000,578000,590000,599999,625000,626500,625000,599000,595000,610000,624500,618000,599000,599000,625000,639444,639888,650000,649000,638000,620000,628008
"Detroit, MI",12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127700,125000,125000,129900,131272.5,134900,137500,136900,135000,139700,139900,134900,129899,124900,129999,137950,137500,139900,144755,149900,148500,149000,149000,147950,149250,144999.5,145000,148000,149000,154000,159900,164700,164900,169650,170000,172000,169800,170000,169900,179000,179900,184900,186250,189000,184900,184400,189000
"Riverside, CA",13,199000,199000,199900,199000,199000,199900,198000,2e+05,199500,198500,196000,189000,180000,176000,179900,189000,186000,179994.5,179000,175000,171000,170000,170000,170000,172000,175000,169900,169900,172900,171950,169900,169900,174900,184900,209990,219000,220000,229250,235000,239000,240000,240000,235000,235000,239000,240000,249900,259000,260000,265000,262000,265000,269000,265000,260000,259000,259000,259000,265000,268000,269900,275000,279000,279500,279900,280000,279000,274999.5,279000,279900,285775,285000,288000,285250,289000,289000,289000,289900,294945,290000,294900,290000,298250,299000,299000,299000,299000,299000,299000,299000,299000,299000,299900
"Phoenix, AZ",14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145000,144900,149000,146800,145000,145000,145900,148700,144900,142250,149500,152000,154900,150000,155000,155000,155000,159000,160000,159200,149900,159900,169900,169900,174900,175900,179900,179000,175000,177000,179900,180000,179900,179900,184893.5,185000,189000,190000,193900,195000,194900,191038,190000,189962.5,189000,189900,189900
"Seattle, WA",15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219950,215000,204975,210000,219000,225000,229950,230000,234000,235000,230000,229000,215000,199950,214900,234994.5,242975,249900,249500,249950,250000,258900,260995,259950,255000,250000,250000,264950,275000,275000,280000,284000,285000,279950,279950,280000,274995,272725,275000,285000,299000,3e+05,305475,310000,310000,310000,315000
"Minneapolis, MN",16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144900,147000,149000,149900,149900,150500,154700,154900,149900,145000,147900,143500,143500,144900,142450,144900,149900,153750,158950,159900,157900,159900,159900,154999,153889,154900,154700,150000,159900,165000,167000,167500,167500,164900,165000,165000,164900,163000,160000,165000,169900,174900,178700,175000,178500,175000,179900
"San Diego, CA",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317500,319000,320000,325000,339900,349000,329900,339900,359900,359900,355000,349000,354900,349000,349000,349900,365000,375000,382500,363000,389000,389000,392500,389000,389000,388444,388000,395000,399900,414000,417000,423949.5,425000,424900,419000,415000,409900,399990,419900,420000,420000,429000,445500,449000,446250,445000,445000
"Saint Louis, MO",18,149900,150276,149900,149900,148500,145000,145000,142900,139900,139900,139350,135000,134500,131950,132000,129700,129900,128900,125000,124900,124900,124900,120900,119900,119900,119900,119900,124900,125000,125000,124900,124900,124900,124900,128500,128500,129900,129900,135000,134818.5,129900,129900,129500,130000,134900,134900,136400,136900,137250,137950,137250,139000,144900,140999.5,139085,135000,135000,134900,130000,129900,130000,135000,130000,134900,136500,136000,139900,135000,134900,139150,134850,135000,136450,136500,140000,148000,148000,144000,144900,145000,145950,149900,148500,148750,148500,149000,149900,149900,153000,154900,154900,159900,164900
"Tampa, FL",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114900,112900,112500,114900,114900,114000,114900,115000,115000,114900,115000,115000,115000,114900,116900,117500,119700,115000,114000,119900,119900,119900,119900,119900,119900,124900,129900,129900,129250,128750,129900,129900,137900,139500,139900,144900,148950,149000,149900,155000,158895,157500,159900,162000,159900,169000,169900,170000,173650,169800,172000,170000,179900,184750,179900,179900,179500,179900
"Baltimore, MD",20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199900,196600,199000,187500,189900,185000,189900,199900,198000,200320,195900,2e+05,204900,199900,199900,199900,199900,197550,195450,190000,194900,198900,199900,2e+05,209000,199700,214900,210000,216200,215600,214900,212950,208500,210000,209999,213750,210000,209900,208950,208000,199999.5,199992.5,2e+05,2e+05,2e+05,205250,210000,209900,209925,210000,213000,209871
"Denver, CO",21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157500,159900,161250,159900,164900,160000,159900,162000,159950,168250,169900,169750,174900,179900,180000,180000,186500,187700,191000,193000,195000,199900,199900,209000,210000,210000,215000,220000,220000,225000,225000,228800,229900,235000,241500,249900,254900,255000,250000,246950,249950,250000,255000,265000,259950,269500,275000,285000,281000,285000,290000,299500,307500
"Pittsburgh, PA",22,169900,174999,179899.5,174900,177500,175000,174950,169900,169900,170000,170000,170000,173950,170200,170200,174500,175758,174900,179000,179900,176450,179900,179000,175250,174500,179700,168000,165000,170000,171200,171500,177700,175000,188950,185950,184900,180000,184950,179900,185000,180000,179900,179900,179900,175400,179900,179900,178000,179000,179900,178000,179900,176900,179900,177500,175800,178500,175800,179900,180000,185000,184900,185000,189900,187950,189450,188200,189900,189900,189900,189900,189900,189700,187950,185000,194950,194900,195000,192350,194949.5,195888,199000,2e+05,208500,210000,209800,204950,214900,209400,209900,211450,215000,219500
"Portland, OR",23,199950,199500,199900,197500,194000,189900,189000,179900,174450,159675,149900,154700,149900,149900,154800,149900,149900,150000,154949.5,155000,159900,154995,149900,144000,145000,139900,145000,150000,144000,144250,149500,149950,147500,159000,161000,159900,160000,169900,174900,174900,178950,180000,189300,188200,185000,180000,179000,174900,176750,179900,185000,185000,189000,195000,195000,199900,198000,192900,189900,185000,189000,199000,199999,204950,199900,209900,202925,199900,206950,209925,214990,214990,209999,220000,225000,235000,249000,253450,259000,255000,264995,254900,254900,264990,269900,264900,269900,275000,274999.5,279900,279994.5,280000,285000
"Charlotte, NC",24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189900,159900,159000,159000,158857.5,159900,162400,160000,165000,175000,178000,176900,179000,180000,179000,175500,179500,183000,182250,178450,189000,190000,195000,194900,199000,214900,224900,219950,220900,229000,229600,235000,232900,223900,234900,239000,234900,235000,235000,229000,227000
"Sacramento, CA",25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214900,212000,219000,214950,220000,224700,230000,229975,235000,235000,249000,250000,248000,249000,247500,248250,269950,258450,260000,265700,270950,279000,285000,274425,270000,290000,289900,275000,269650,269950,270000,274900
"Orlando, FL",26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84900,84900,89500,89000,86450,85900,88850,87990,94500,94900,94900,97850,95000,97500,97600,101200,99925,99500,99999,102900,105000,110000,114900,113000,115000,118000,118000,119900,121500,122900,122488,123975,125000,125000,130000,130000,129900,129000,130000,129900,129900,132000,134900,134900,135800,135000,138000
"Cincinnati, OH",27,124000,119900,119900,119900,119000,119900,115900,119900,119900,118450,117950,115000,114849.5,113895,112926.5,112000,112000,110000,109900,109900,109900,110000,109900,109900,109900,107950,107500,105000,105900,104900,105000,105000,105000,104900,110000,114900,114900,114950,114900,115900,117392,115000,115000,114900,114900,119900,116990,116990,115000,119000,119900,119500,125000,125000,119900,119500,118000,124900,114500,112500,119000,115950,115000,114900,109900,109900,120000,124900,124900,121800,124900,125000,126000,124950,120000,125000,126900,124707.5,124500,123250,129900,129900,127500,129000,129900,130000,137900,137700,139900,139900,140000,145900,146700
"Cleveland, OH",28,104900,104900,109700,109900,109900,109900,107800,107000,104900,99900,99000,96700,95000,96900,97500,97500,99900,99900,99900,99900,99900,99900,99900,97900,99500,99900,1e+05,99900,99000,99900,98250,96250,89900,89900,99900,96000,94900,94900,94000,99000,96750,99900,98000,99500,99500,99500,98000,98500,95000,99500,99900,98838.5,99900,99000,95700,95900,94900,94900,91900,90250,92000,96900,97500,95000,95000,94900,96903,96900,99900,97900,99900,97900,99000,105000,109500,113200,113750,114900,110000,109900,109900,109900,109900,107900,110000,111000,118000,117850,119900,119900,119900,119900,124900
"Kansas City, MO",29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227500,225000,229000,224900,189000,198925,195000,206225,224750,229000,230500,230000,219000
