"RegionName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09"
"United States",0,,,1350,1350,1350,1400,1300,1250,1200,1250,1250,1261.5,1200,1250,1300,1395,1399,1395,1395,1400,1350,1250,1200,1250,1250,1250,1300,1315,1375,1329,1300,1310,1300,1295,1300,1299,1250,1300,1350,1350,1370,1350,1405,1425,1500,1600,1502,1600,1600,1595,1600,1639,1720,1750,1550,1550,1521,1500,1495,1450,1475,1500,1535,1544,1600,1585,1595,1599,1550,1525,1505,1525,1550,1590,1600,1600,1600,1600,1650,1600,1590,1600,1645,1500,1550,1500,1536,1575,1577.5,1577,1579,1568,1545
"New York, NY",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2525,2595,2585,2550,2500,2500,2500,2500,2500,2595,2541.5,2500,2500,2500,2500,2465,2450,2400,2450,2495,2500,2500,2525,2549,2500,2599,2600,2595,2400,2400,2395,2400,2450,2500,2500,2500,2500,2490
"Los Angeles, CA",2,,1950,1900,1995,1995,2000,2100,2150,1950,1899,1900,1900,1840,1850,1830,1858.5,1900,1900,1900,1875,1820,1750,1700,1707,1725,1750,1789,1775,1794,1785,1770,1785,1800,1795,1760,1735,1750,1797,1815,1820,1850,1850,1847,1804,1900,1900,1800,1995,1950,1920,1900,1950,1995,2025,2095,2095,2100,2150,2145,2165,2167,2165,2165,2195,2200,2220,2225,2250,2250,2286.5,2300,2300,2300,2327,2365,2353,2350,2350,2335,2340,2370,2300,2340,2300,2350,2450,2499,2500,2500,2500,2495,2498.5,2495
"Chicago, IL",3,,,1347.5,1350,1350,1400,1400,1375,1350,1400,1400,1462.5,1445,1500,1500,1572.5,1595,1650,1600,1595,1600,1550,1475,1495,1495,1475,1450,1400,1425,1500,1475,1475,1495,1500,1450,1495,1450,1550,1500,1500,1600,1643.5,1650,1656,1650,1595,1600,1695,1550,1500,1500,1550,1600,1600,1695,1600,1695,1650,1600,1495,1500,1625,1550,1600,1600,1600,1600,1600,1650,1648,1695,1600,1595,1695,1600,1600,1650,1650,1625,1600,1595,1550,1500,1525,1550,1554,1595,1600,1645,1645,1625,1600,1600
"Dallas, TX",4,,,,,,,,,,,,,,995,1000,975,989.5,995,995,950,940,900,897,950,951.5,963,1005,967,995,1005,999,995,1010,1022,1019.5,1090,1185,1095,1125,1110,1151,1180,1188,1065,1209,1342,1350,1350,1300,1250,1280,1329,1250,1254,1240.5,1225,1200,1197,1255,1275,1260,1250,1241,1262,1270,1280,1291,1300,1295,1309,1315,1330,1363,1389,1408,1399,1395,1390,1383,1369,1414.5,1369.5,1345,1295,1404.5,1415,1470,1500,1500,1543,1515,1521,1495
"Philadelphia, PA",5,,1260,1200,1200,1250,1300,1350,1350,1250,1250,1200,1200,1200,1200,1200,1250,1250,1250,1250,1250,1249,1200,1200,1250,1255,1255,1273.5,1300,1300,1295,1275,1250,1230,1220,1210,1200,1200,1200,1250,1250,1300,1295,1250,1250,1295,1250,1250,1263.5,1250,1225,1217.5,1250,1300,1310,1300,1300,1295,1300,1300,1290,1275,1295,1300,1325,1350,1350,1325,1350,1320,1300,1325,1300,1350,1355,1380,1399,1410,1400,1390,1395,1400,1360,1350,1362.5,1375,1400,1435,1450,1495,1480,1490,1496,1495
"Houston, TX",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1275,1215,1337,1206.5,1159,1205,1278,1276,1277,1273,1290,1325,1250,1265,1270,1263,1300,1350,1375.5,1395,1395,1380,1375,1375,1489,1475,1492,1450,1481,1459,1429.5,1414.5,1400,1369,1390,1319,1309,1299,1350,1395,1395,1400,1438,1409,1419,1437,1459
"Washington, DC",7,,1600,1550,1595,1550,1600,1585,1595,1550,1525,1555,1582,1555,1550,1550,1650,1650,1650,1650,1755,1800,1750,1675,1705,1710,1717,1774,1800,1895,1851,1791,1740,1725,1783,1800,1855,1887,1914,1930,1895,1801,1849,1857.5,1911,1935,1900,1900,1850,1879.5,1865.5,1850,1879,1950,1960,2016,2022,1970,1925,1923,1900,1909,1975,1950,1985,1972,1950,1950,1950,1950,1900,1881,1850,1900,1925,1950,1950,1925,1910,1890,1850,1834,1811,1811.5,1875,1910,1975,1989,1998,1985,1987,1971.5,1967,1912
"Miami, FL",8,,,,,,,,,,1750,1750,1750,1600,1600,1550,1550,1550,1500,1500,1500,1500,1500,1500,1500,1450,1450,1495,1450,1450,1500,1475,1495,1450,1400,1400,1400,1425,1420,1450,1450,1500,1500,1625,1600,1600,1650,1650,1700,1675,1650,1600,1600,1650,1600,1600,1600,1650,1650,1600,1600,1625,1650,1700,1700,1750,1800,1800,1850,1800,1800,1850,1850,1850,1865,1900,1800,1800,1800,1750,1750,1800,1785,1875,1700,1800,1800,1825,1800,1850,1850,1825,1851,1890
"Atlanta, GA",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1309,1316.5,1305,1320,1329,1175,1275,1250,1249,1279,1196,1200,1200,1255,1284,1319,1350,1385,1365.5,1375,1394,1397
