"RegionName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09"
"United States",0,,2100,2100,2000,2200,2000,1950,1950,1967.5,1950,2000,1800,1800,1850,1975,1990,1950,1900,1900,1850,1800,1800,1800,1800,1850,1950,1995,2025,1950,1900,1850,1800,1800,1800,1800,1800,1850,1895,1900,1900,1825,1900,1850,1850,1885,1850,1895,1862.5,1850,1850,1900,2000,2180,1995,1950,1900,1850,1850,1850,1900,1900,1995,1995,2000,2000,2000,2000,1995,1950,1950,1995,2000,2100,2195,2200,2200,2200,2200,2195,2100,2025,2037.5,1950,2000,2095,2100,2200,2200,2200,2200,2195,2125
"Los Angeles, CA",1,,3295,3500,3500,3500,3500,3500,3400,3372.5,3300,3400,3200,3175,3100,3300,3200,3195,3100,3100,3000,3000,3000,3000,3000,3000,2995,2850,2900,2995,2950,2850,2800,2700,2625,2600,2695,2750,2700,2700,2695,2750,2800,2750,2800,2750,2700,2850,2812.5,2750,2795,2800,2900,3000,3150,3100,3100,3100,3100,3150,3112.5,3150,3100,3200,3300,3300,3300,3350,3300,3295,3300,3300,3300,3400,3492.5,3400,3400,3500,3450,3300,3395,3300,3495,3250,3399,3500,3600,3650,3700,3650,3600,3600,3600
"Chicago, IL",2,2500,2300,2300,2300,2200,2300,2300,2100,2300,2200,2350,2100,2100,2150,2200,2400,2425,2350,2300,2200,2100,2000,2000,2000,2050,2132.5,2097.5,2150,2200,2190,2100,1995,1948,1834,1900,1850,1850,2000,1975,2100,2100,2195,2000,1975,1900,1850,1950,1897,1850,1895,1975,2160,2200,2200,2200,2173,2100,2100,2100,2093,2050,2100,2125,2250,2399.5,2350,2249,2100,2065,2050,1995,2000,1995,2100,2185,2250,2300,2300,2230,2000,1995,1950,1895,1895,1995,2000,2250,2395,2400,2450,2300,2196
"Dallas, TX",3,,,,,,,,,,,,,1650,1650,1650,1695,1675,1650,1650,1600,1599,1595,1575,1595,1595,1600,1595,1599.5,1625,1600,1600,1595,1595,1595,1550,1576,1595,1595,1600,1625,1625,1650,1650,1650,1600,1595,1600,1600,1600,1600,1600,1695,1749,1775,1750,1700,1700,1725,1750,1750,1750,1795,1795,1800,1845,1850,1850,1850,1800,1800,1800,1800,1800,1850,1885,1895,1895,1895,1895,1875,1875,1900,1850,1895,1892.5,1900,1950,1995,1995,1995,1995,1995
"Philadelphia, PA",4,,,,,,,,,,,,,1895,1900,1950,2000,2000,1995,1950,1895,1820,1850,1912.5,1900,1985,2000,1990,2000,1999,1950,1925,1900,1950,1900,1900,1850,1995,2000,2000,2100,2100,2000,2000,1900,1900,1900,2000,1950,1900,1950,2000,2000,2000,2000,1950,1900,1900,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,1995,1995,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,1995,1950,2000,2000,1900,2000,2000,2000,2000,2000,2000,2000,1995
"Houston, TX",5,,,1700,1762.5,2000,1800,1750,1650,1625,1600,1600,1695,1650,1650,1670,1700,1650,1600,1600,1585,1562.5,1600,1600,1590,1575,1650,1550,1525,1600,1600,1600,1595,1495,1510,1550,1550,1500,1600,1650,1695,1700,1700,1750,1750,1750,1700,1750,1719,1600,1600,1650,1795,1800,1875,1900,1850,1800,1800,1800,1800,1800,1850,1850,1900,1900,1900,1900,1900,1850,1875,1850,1825,1850,1899,1950,1895,1900,1850,1895,1850,1800,1790,1750,1800,1800,1800,1850,1850,1850,1850,1850,1850
"Washington, DC",6,,2300,2200,2300,2400,2450,2400,2300,2400,2400,2485,2395,2300,2295,2400,2450,2499,2497,2495,2450,2425,2400,2395,2400,2395,2395,2372.5,2490,2500,2500,2450,2444.5,2400,2400,2400,2300,2400,2397.5,2450,2400,2400,2500,2500,2500,2500,2495,2400,2400,2395,2362.5,2400,2500,2595,2600,2550,2500,2500,2500,2500,2482.5,2495,2500,2550,2600,2650,2600,2600,2550,2500,2500,2500,2500,2600,2600,2600,2600,2600,2650,2650,2500,2599.5,2500,2500,2550,2650,2600,2700,2750,2750,2800,2700,2700
"Miami, FL",7,,,,,,,2500,2500,2600,2500,2500,2400,2495,2475,2499,2500,2500,2500,2475,2400,2400,2400,2350,2395,2400,2400,2400,2400,2495,2400,2400,2400,2400,2400,2350,2350,2350,2400,2400,2450,2450,2500,2450,2461,2500,2500,2495,2450,2400,2400,2400,2475,2500,2500,2495,2500,2495,2500,2500,2500,2500,2500,2500,2550,2500,2595,2600,2599,2550,2600,2600,2600,2600,2650,2600,2602.5,2650,2600,2595,2500,2550,2600,2500,2550,2600,2625,2678.5,2695,2700,2700,2700,2700
"Atlanta, GA",8,,1497.5,1500,1500,1500,1550,1595,1550,1500,1500,1500,1400,1400,1400,1400,1450,1475,1400,1400,1395,1395,1350,1350,1300,1300,1350,1300,1300,1350,1350,1300,1300,1295,1295,1295,1275,1299,1300,1300,1300,1300,1350,1300,1315,1325,1300,1300,1295,1295,1295,1295,1350,1375,1375,1375,1375,1350,1375,1375,1395,1395,1400,1436.5,1475,1495,1495,1495,1450,1450,1450,1487,1475,1470,1495,1499,1500,1540,1550,1550,1525,1532,1550,1500,1549,1549,1589,1600,1650,1675,1675,1645,1605
"Boston, MA",9,,,,,,,,,,,,,,,,,2600,2600,2600,2500,2400,2500,2675,2900,2900,3000,3000,3000,2925,2850,2800,2800,2800,2800,3000,3200,3200,3200,3200,3200,3200,3200,3050,3000,3000,3000,3100,3200,3300,3300,3400,3300,3300,3275,3200,3200,3196,3200,3300,3600,3500,3500,3425,3400,3300,3300,3233,3200,3200,3250,3400,3605,3650,3600,3600,3500,3450,3400,3400,3400,3200,3200,3425,3785,3750,3695,3600,3600,3600,3600,3500,3495
