"RegionName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09"
"United States",0,,,,,,,,,,,,,2495,2495,2500,2500,2500,2500,2500,2400,2350,2400,2495,2500,2500,2600,2800,3000,2750,2595,2500,2400,2395,2400,2395,2450,2500,2500,2500,2500,2400,2500,2400,2450,2400,2375,2495,2500,2500,2500,2595,2750,2800,2675,2550,2500,2400,2400,2450,2595,2550,2650,2650,2600,2600,2600,2650,2595,2500,2500,2595,2750,2850,2950,2950,2995,2850,2900,2800,2800,2700,2650,2550,2750,2850,2950,2975,3000,2995,2950,2850,2900
"Dallas, TX",1,,,,,,,,,,,,,,2000,2195,2100,2172.5,2100,1995,1995,1950,1900,1900,1850,1800,1895,1895,1895,1900,2000,2000,1850,1962.5,2100,1850,1800,1895,1900,1950,1912.5,1945,1950,2000,1995,1950,1995,2000,1995,1995,1995,2000,2200,2200,2250,2200,2200,2150,2150,2195,2150,2197.5,2212.5,2300,2395,2395,2300,2300,2300,2400,2325,2350,2325,2395,2400,2395,2400,2400,2400,2495,2500,2400,2350,2372.5,2300,2300,2400,2485,2495,2499,2500,2500,2500
"Houston, TX",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2995,2975,2850,2750,2500,2500,2525,2575,2595,2600,2700,2780,2995,3100,3095,2900,2950,2950,2895,2885,2950,2962.5,2950,2950,2850,3000,2800,2950,2900,2662.5,2675,2700,2600,2600,2722.5,2750,2735,2700,2700,2775
"Washington, DC",3,,,,,,3775,3850,3350,3700,3497.5,3100,2997.5,2995,2900,3000,3000,3000,3200,3300,3100,2995,3050,3050,2997.5,3188,3000,3100,3193.5,3250,3250,3250,3100,2997.5,2895,2925,2900,2972.5,2995,2975,2999,3000,3100,3300,3225,3000,2950,2925,2895,2800,2800,2950,3200,3200,3200,3000,3000,2950,2850,2850,2850,2800,2950,3100,3100,3200,3200,3150,3097.5,3000,2997,3000,3000,3000,3195,3250,3250,3300,3400,3300,3300,3100,2995,3300,3200,3350,3425,3495,3400,3325,3350,3300,3300
"Atlanta, GA",4,,2000,2300,2297.5,2400,2495,2500,2300,2197.5,2200,2200,2097.5,2100,2000,2000,2197.5,2197.5,2195,2100,2000,2000,1995,2000,1895,1900,2000,1995,1990,1950,1950,1895,1700,1750,1712.5,1650,1650,1650,1650,1700,1650,1677.5,1700,1650,1700,1650,1575,1600,1585,1500,1550,1600,1750,1700,1707.5,1700,1775,1800,1799.5,1797,1750,1767,1800,1795,1800,1950,2000,1950,1900,1895,1850,1830,1884.5,1937,1935,1995,2000,1950,2000,1995,2000,2000,2000,1900,1800,1884.5,1900,2100,2109,2100,2200,2100,2095
"Boston, MA",5,,,,,,,,,,,,,,,,,,,,,,,,,3575,3700,3800,3900,3799,3700,3600,3700,3500,3600,3750,3995,3900,3850,3800,3800,3800,3800,3700,3625,3700,3750,3950,4000,4001,4100,4195,4000,4000,3900,3850,3900,4000,3900,4000,4200,4200,4100,4000,4000,3900,3800,3800,3795,3600,3800,4200,4400,4400,4350,4200,4200,4000,4000,4000,4000,3900,3774.5,4100,4500,4500,4500,4400,4350,4300,4250,4200,4200
"Riverside, CA",6,,,,2800,2600,2500,2500,2500,2650,2497.5,2495,2225,2200,2200,2250,2300,2287.5,2200,2150,2150,2100,2150,2100,2100,2195,2150,2000,1995,2009.5,2099.5,2050,2000,2012.5,2100,2050,2100,2100,2100,2050,2095,2000,2100,2100,2100,2100,2000,2050,2100,2100,2100,2100,2195,2195,2200,2195,2195,2195,2173,2185.5,2200,2200,2295,2300,2300,2300,2300,2300,2312.5,2350,2350,2385,2400,2300,2350,2390,2300,2350,2350,2300,2350,2395,2400,2400,2400,2495,2592.5,2600,2600,2597.5,2600,2600,2650
"Seattle, WA",7,,,,,,,,,,,,1750,1797.5,1995,1995,2195,2097.5,2095,1995,2200,2175,1995,2025,2000,1900,1885,1895,1850,1995,1995,1995,1925,1895,1800,1895,1900,1950,1895,2172.5,1975,2100,1985,1995,1995,1950,1950,1985,1950,1899,1900,1995,2100,2100,2100,2200,2200,2145,2100,2100,2147.5,2147.5,2145,2250,2250,2295,2295,2495,2485,2489,2372.5,2295,2300,2300,2400,2360,2487,2461,2595,2497,2500,2419.5,2395,2500,2497,2695,2900,2900,2900,3000,3100,2950,2850
"Minneapolis, MN",8,,,,,,,,,,,,,,,,,,,,,1725,1750,1695,1695,1645,1695,1795,1662.5,1725,1995,1825,1890,1697.5,1762.5,1850,1750,1895,1800,1860,2025,1995,1912.5,1862.5,1875,1985,2047.5,1990,2000,1995,1895,1875,1950,1995,1825,1800,1800,1800,2000,2172.5,2047.5,1995,2100,2095,2000,1995,1910,1937.5,1975,2025,2250,2250,2195,2200,2150,2195,2150,2150,1900,2100,2095,1995,2095,2195,2200,2300,2200,2295,2150,2200,2195,2125,2192.5
"San Diego, CA",9,,,,,,,,,,,,,,,4000,3797.5,3800,3850,3995,3800,3800,3600,3500,3800,3725,3795,3500,3595,3800,3500,3400,3400,3300,3150,3300,3200,3500,3197.5,3500,3500,3400,3500,3495,3500,3450,3445,3550,3525,3500,3500,3500,3950,4000,4000,3825,3950,3975,3981.5,3950,3900,3975,3950,4000,3825,3950,3695,3697.5,3780,3800,3800,3800,3995,4000,4150,4200,4000,3972.5,3800,3725,3797.5,3800,3950,3800,4050,4500,4500,4400,4500,4500,4350,4500,4400
