"RegionName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09"
"United States",0,,1550,1550,1540,1600,1510.5,1525,1600,1595,1550,1595,1500,1475,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1550,1550,1599,1525,1500,1595,1600,1600,1600,1600,1600,1700,1750,1800,1795,1800,1850,1800,1750,1650,1600,1600,1624,1650,1650,1600,1595,1575,1650,1675,1650,1650,1650,1650,1600,1650,1650,1675,1700,1700,1750,1750,1785,1800,1750,1750,1750,1750,1795,1800,1800,1800,1799,1795,1750,1750,1750,1750,1800,1695,1700,1700,1725,1750,1795,1800,1800,1800,1800
"New York, NY",1,,,,,,,,,,,,,,,2450,2500,2500,2600,2675,2650,2695,2500,2400,2300,2500,2450,2500,2500,2600,2600,2675,2700,2750,2750,2850,2800,2850,2800,2850,2875,2795,2650,2700,2700,2700,2800,2800,2800,2800,2800,2750,2800,2850,2750,2750,2745,2700,2700,2700,2799,2795,2800,2800,2800,2850,2800,2800,2800,2795,2750,2795,2795,2750,2752.5,2800,2800,2770,2800,2750,2750,2774,2800,2700,2775,2800,2799,2800,2850,2850,2800,2750,2750
"Los Angeles, CA",2,1950,1947.5,1995,2000,2000,2100,2200,2150,2100,2100,2100,2100,2070,2000,2000,2100,2100,2150,2100,2100,2000,2000,1995,1975,2000,1900,1895,1950,1995,1995,1950,1995,1900,1850,1800,1895,1950,1900,1895,1900,1895,1800,1704,1950,2200,2200,2200,2200,2200,2200,2200,2295,2300,2300,2350,2400,2375,2350,2395,2400,2390,2400,2499.5,2500,2500,2500,2500,2500,2500,2500,2545,2550,2550,2592.5,2550,2500,2550,2500,2500,2600,2475,2600,2499,2595,2600,2700,2748,2750,2795,2750,2750,2750
"Chicago, IL",3,,1350,1350,1397.5,1400,1375,1350,1450,1495,1500,1550,1500,1500,1500,1550,1550,1550,1560,1569,1595,1566.5,1510,1500,1550,1552,1599,1500,1500,1550,1550,1575,1575,1600,1550,1560,1550,1575,1575,1560,1550,1560,1585,1586,1600,1600,1600,1600,1600,1600,1600,1600,1650,1667,1667.5,1650,1650,1650,1600,1650,1620,1638.5,1650,1650,1650,1650,1675,1675,1650,1600,1650,1600,1650,1675,1695,1700,1675,1680,1655,1650,1650,1650,1600,1600,1642,1650,1652.5,1695,1700,1750,1750,1750,1706
"Dallas, TX",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,900,1050,1000,895,900,950,939,977,1097.5,1145,1040,1008,1174,1192.5,1171.5,1068,1075,1050,1057.5,1075,1074,1080,1100,1095,1099,1120,1095,1150,1150,1150,1193.5,1190,1150,1200,1200,1200,1200,1200,1200,1200,1200,1220,1200,1162,1150,1150,1163.5,1100,1150,1195,1150,1220,1250,1295,1300,1300,1318,1300,1295,1300
"Philadelphia, PA",5,,1400,1350,1397.5,1500,1500,1500,1500,1495,1445,1400,1385,1397.5,1350,1450,1450,1425,1450,1450,1400,1400,1400,1400,1350,1400,1380,1400,1450,1400,1400,1400,1375,1350,1375,1325,1295,1300,1300,1300,1300,1300,1250,1250,1350,1450,1435,1400,1395,1397.5,1400,1400,1450,1450,1480,1475,1450,1469,1450,1400,1450,1450,1495,1500,1500,1495,1475,1495,1450,1450,1467.5,1425,1450,1450,1492.5,1500,1510,1495,1495,1450,1465,1450,1450,1450,1492.5,1495,1540,1550,1590,1550,1550,1550,1550
"Houston, TX",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,775,800,800,880.5,900,900,900,929.5,949.5,950,975,950,953.5,1050,1150,1200,1239,1229,1200,1249.5,1230,1217,1219.5,1249,1250,1225,1250,1260,1250,1250,1250,1250,1260,1242.5,1230,1400,1390.5,1350,1346,1344,1333,1319.5,1325,1350,1370,1390,1387.5,1350,1350,1311,1300,1300,1295,1250,1295,1299,1266.5,1295,1282,1295,1300,1295,1250,1250,1269
"Washington, DC",7,1495,1500,1500,1500,1500,1575,1600,1600,1600,1600,1650,1650,1650,1600,1625,1650,1650,1650,1650,1675,1675,1657,1650,1650,1650,1700,1700,1700,1700,1750,1700,1750,1711,1750,1700,1700,1700,1735,1704,1700,1750,1750,1749,1745,1750,1725,1722.5,1700,1700,1700,1700,1750,1750,1795,1790,1750,1720,1745,1745,1750,1750,1790,1795,1799,1800,1795,1800,1795,1750,1750,1750,1750,1795,1800,1800,1800,1800,1800,1800,1800,1777.5,1750,1795,1795,1800,1800,1850,1850,1875,1895,1890,1850
"Miami, FL",8,,1649.5,1650,1600,1600,1600,1600,1750,1650,1650,1662.5,1550,1500,1500,1500,1500,1500,1500,1500,1550,1500,1550,1500,1500,1500,1500,1500,1500,1550,1525,1550,1500,1500,1500,1500,1500,1550,1590,1590,1600,1650,1700,1675,1650,1700,1700,1700,1700,1650,1625,1600,1650,1650,1700,1695,1690,1650,1650,1650,1695,1700,1750,1797,1850,1900,1900,1950,1895,1900,1900,1900,1900,1900,1900,1875,1850,1850,1800,1800,1800,1775,1900,1700,1760,1800,1800,1800,1800,1800,1800,1850,1850
"Atlanta, GA",9,1100,1100,1100,1150,1150,1100,1000,1050,1065,1100,1175,1150,1150,1100,1100,1125,1100,1100,1150,1100,1050,1050,1050,1000,1050,975,927,995,1000,1000,1000,995,1000,1048,1050,1050,1055,1100,1150,1095,1050,1025,995,1026,1095,1050,1050,1050,1050,1050,1095,1095,1075,1100,1149.5,1150,1150,1150,1000,1075,1095,1100,1195,1200,1210,1200,1200,1225,1250,1285,1250,1250,1250,1275,1269,1275,1250,1275,1250,1300,1310,1320,1300,1340,1350,1400,1440,1417.5,1400,1400,1395,1395
