"RegionName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09"
"United States",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1800,1800,1800,1790,1750,1800,1800,1800,1850,1925,1899,1850,1895,1841,1800,1898,1900,1950,1950,1990,1995,2000,2000,1950,1900,1925,1950,2075,1750,1825,1795,1800,1850,1850,1850,1850,1800,1775
"New York, NY",1,,,,,,,,,,,,,,,,,,,,,,,2500,2550,2595,2600,2614,2650,2700,2700,2700,2700,2700,2700,2700,2650,2700,2750,2750,2795,2800,2800,2800,2800,2850,2750,2750,2700,2700,2750,2799,2850,2850,2500,2500,2500,2500,2500,2450,2450,2500,2500,2600,2600,2600,2541,2600,2595,2550,2500,2500,2500,2500,2500,2500,2550,2575,2595,2595,2600,2650,2600,2450,2500,2490,2450,2495,2500,2500,2550,2570.5,2500
"Los Angeles, CA",2,,,1790,1672.5,1742.5,1897.5,1797.5,1695,1650,1650,1695,1595,1595,1595,1527,1525,1495,1500,1550,1495,1400,1395,1395,1425,1425,1450,1425,1400,1395,1449,1425,1410,1400,1395,1363,1400,1400,1417,1450,1495,1450,1450,1465,1450,1450,1435,1495,1450,1400,1420,1450,1550,1550,1600,1595,1550,1575,1595,1600,1600,1600,1650,1695,1625,1695,1695,1750,1695,1750,1850,1895,2000,2097.5,2150,2125,2150,1995,1995,1795,1800,1850,1750,1800,1895,1995,2000,2050,2000,1995,1995,1990,1950
"Chicago, IL",3,,1300,1300,1300,1213.5,1200,1207.5,1299,1384.5,1384.5,1352,1345,1350,1350,1412,1430,1495,1450,1425,1420,1400,1400,1400,1300,1289,1300,1395,1495,1500,1500,1500,1448.5,1470,1460,1485,1495,1552.5,1506,1549,1600,1600,1595,1600,1560,1517,1550,1600,1562,1500,1500,1500,1499,1545,1650,1600,1625,1650,1680,1545,1600,1768,1595,1600,1656,1653.5,1700,1625,1827,1950,2108,1877,1725,1850,1558,1495,1510,1535,1490,1495,1451.5,1445,1494,1495,1450,1471,1475,1480,1495,1500,1500,1545,1550
"Dallas, TX",4,,,,,,,,,,,,840,870,872.5,870,870,870,869,850,850,849.5,830,795,898,950,974.5,985,989,950,825,799,798,790,800,825,825,818,836,845,850,855,895,900,905,920,900,975,1100,1100,1106,1100,975,987,950,1023,995,1001,1132,1231,1200,1120,1100,1100,1075,975,925,950,911.5,950,965,975,980,1015,1050,1060,1095,1050,1075,1090,1095,1025,1050,995,1100,1100,1095,1100,1105,1100,1100,1150,1150
"Philadelphia, PA",5,,950,900,950,974.5,900,897.5,937,1000,1095,925,900,950,950,977.5,950,950,950,950,1000,950,915,900,950,1000,1050,1000,995,995,975,950,950,925,932.5,923,917.5,950,1000,1000,1100,1195,1150,1150,1100,1099,1125,1120,1050,1065,1095,1100,1200,1200,1195,1200,1150,1195,1200,1225,1200,1200,1250,1295,1275,1300,1295,1230,1250,1250,1295,1250,1250,1250,1250,1300,1300,1250,1250,1195,1172,1195,1194.5,1200,1199.5,1200,1250,1284,1295,1300,1300,1275,1250
"Houston, TX",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1129.5,1243,1085,1050,1055,1200,1229,1223,1270,1250,1300,1160,1180,1200,1150,1229,1200,1150,1110,1150,1107.5,1119,1140,1150,1122.5,1200,1160,1185,1114.5,1145,1100,1145,1100,1147.5,1100,1050,1053,1050,1000,1050,1095,1095,1099,1068,1067,1068
"Washington, DC",7,,,,,,,,,,,,,,,,,,,,,,,,,,1885,1895,1935,1906,1600,1600,1571.5,1500,1550,1495,1500,1580,1588,1595,1595,1637,1675,1660,1625,1605,1675,1650,1600,1599,1600,1600,1600,1612.5,1650,1650,1650,1650,1600,1650,1650,1650,1650,1695,1700,1700,1700,1711,1695,1695,1745,1750,1750,1795,1785,1800,1964.5,1816.5,1900,1700,1675,1650,1682.5,1700,1750,1700,1750,1775,1796,1800,1800,1800,1700
"Miami, FL",8,,,,,,,,,,,,,,,,1350,1300,1300,1300,1300,1300,1300,1300,1350,1400,1407,1350,1350,1350,1300,1350,1300,1250,1275,1280,1300,1300,1350,1400,1350,1400,1527,1600,1600,1600,1650,1700,1700,1700,1700,1700,1800,1625,1600,1579,1600,1700,1650,1695,1650,1700,1750,1650,1600,1650,1690,1650,1650,1650,1700,1750,1800,1775,1805,1750,1750,1800,1787.5,1700,1750,1900,1900,1800,1800,1800,1850,1850,1900,1895,1855,1900,1900
"Atlanta, GA",9,,,,,,,,,,,,,,,,,,,,,,,,,963,899.5,904,909,850,750,750,725,725,725,725,700,700,725,750,775,800,845,850,930,965,950,1000,1000,995,1000,1050,1100,1000,1025,1000,1000,1050,1028.5,1000,1050,1095,1100,1100,1050,1100,1000,1050,1000,995,950,977,1000,1100,1100,1100,1250,1200,1200,1249,1295,1100,1050,995,995,1000,1095,1195,1195,1205,1200,1195,1100
