"RegionName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09"
"United States",0,,,1450,1500,1475,1500,1450,1400,1265,1300,1300,1300,1250,1295,1400,1500,1500,1500,1500,1500,1450,1295,1250,1300,1300,1300,1352,1411,1500,1426,1413,1395,1395,1370,1350,1350,1303,1425,1475,1490,1500,1475,1565,1595,1700,1800,1700,1800,1795,1795,1795,1800,1900,1950,1695,1650,1650,1625,1600,1595,1600,1650,1650,1650,1700,1695,1700,1700,1650,1650,1596,1600,1650,1675,1695,1695,1699,1690,1708,1695,1650,1700,1743,1599,1625,1595,1600,1624,1600,1602,1600,1600,1575
"New York, NY",1,,,,,,,,,,,,,,,,2395,2400,2400,2500,2595,2500,2450,2400,2350,2395,2450,2495,2500,2550,2595,2600,2625,2650,2675,2650,2650,2600,2700,2700,2700,2795,2800,2750,2750,2795,2800,2700,2700,2695,2700,2700,2700,2775,2850,2400,2400,2400,2400,2400,2350,2368,2400,2400,2450,2500,2495,2450,2499,2475,2400,2400,2400,2395,2400,2400,2450,2499,2500,2500,2500,2500,2595,2535,2300,2395,2350,2350,2400,2400,2440,2450,2435,2400
"Los Angeles, CA",2,,1850,1850,1900,1900,1995,2082.5,2100,1800,1800,1800,1850,1700,1700,1750,1800,1850,1850,1850,1850,1800,1670,1550,1550,1575,1595,1600,1600,1600,1600,1600,1625,1650,1615,1600,1575,1585,1650,1675,1650,1695,1680,1677,1675,1750,1758.5,1650,1795,1780,1750,1740,1750,1850,1850,1895,1900,1910,1946.5,1950,1960,1975,1995,1995,2000,2000,2035,2043.5,2075,2077,2095,2094,2092.5,2100,2140,2175,2150,2159,2150,2130,2105,2159,2100,2130,2090,2150,2247,2285,2291,2275,2280,2280,2259,2256
"Chicago, IL",3,1584,1300,1295,1295,1280,1275,1250,1250,1295,1391.5,1382,1400,1350,1350,1350,1410,1440,1440,1400,1400,1405,1384,1350,1350,1360,1350,1345,1325,1350,1373,1385,1399,1420,1450,1400,1410,1400,1504,1480,1495,1523.5,1550,1560,1560,1550,1515,1525,1579,1540,1500,1500,1500,1550,1595,1650,1550,1650,1650,1600,1490,1510,1625,1550,1550,1575,1575,1574,1550,1600,1637,1690,1600,1591,1650,1575,1562,1590,1585,1550,1525,1523,1500,1500,1500,1500,1510,1545,1564.5,1595,1600,1595,1595,1600
"Dallas, TX",4,,,,,,,,,,1152.5,1082.5,1152.5,1009,940,943,905,905,925,925,812,824,800,795,834,849,879,915,885,900,913.5,900,888,903,910,920,995,1099,995,1019,1015,1012,1038,1050,985,1090,1158,1180,1175,1175,1139,1149,1170,1115,1130,1099,1095,1075,1085,1131,1140,1149,1144,1122,1150,1146,1150,1153.5,1168.5,1179,1180,1195,1195,1200,1224,1250,1235,1238,1229,1219,1209,1275,1228,1210,1166,1255,1270,1291,1295,1300,1325,1316,1325,1304
"Philadelphia, PA",5,,,1250,1250,1300,1350,1300,1300,1095,1100,1079.5,1050,1126,1150,1175,1260,1272.5,1259,1250,1200,1200,1100,1100,1150,1150,1190,1190,1215,1234,1225,1200,1200,1199,1150,1145,1125,1140,1200,1200,1200,1244,1210,1200,1200,1225,1200,1200,1200,1195,1200,1200,1210,1300,1300,1300,1300,1250,1259,1275,1250,1250,1250,1300,1330,1335,1325,1300,1300,1295,1295,1320,1295,1325,1335,1350,1350,1375,1350,1329,1315,1300,1325,1300,1325,1300,1350,1385,1400,1425,1400,1400,1410,1400
"Houston, TX",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1019,1030,1025,955,995,998,1010,1069,1050,1155,1135,1262,1270,1260,1159,1279,1148,1097,1126,1254,1259,1257,1230,1245,1265,1200,1220,1213,1213,1250,1300,1300,1305.5,1300,1300,1319,1305,1399,1388,1400,1353,1375,1359,1360.5,1349,1325,1295,1295,1250,1221,1240,1252,1288,1292,1300,1304,1295,1285,1300,1310
"Washington, DC",7,,1485,1500,1500,1500,1500,1500,1525,1500,1500,1500,1502.5,1544,1537,1537,1600,1600,1600,1672.5,1771,1830,1750,1650,1699,1700,1705,1755,1780,1810,1815,1789,1731,1735,1750,1750,1785,1795,1798.5,1801,1790,1701.5,1722,1725,1800,1800,1795,1775,1729,1750,1749,1720,1750,1800,1813,1850,1865,1815,1790,1795,1788,1790,1800,1800,1815,1810,1809,1800,1805,1812,1800,1777,1771,1795,1800,1810,1815,1800,1805,1795,1785,1751,1738,1740,1750,1800,1825,1850,1850,1855,1859,1852,1870,1835
"Miami, FL",8,,,1650,1650,1600,1650,1600,1592.5,1650,1600,1600,1600,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1495,1475,1450,1475,1490,1450,1450,1500,1450,1475,1450,1425,1400,1450,1450,1450,1500,1500,1500,1550,1650,1645,1600,1650,1675,1700,1695,1650,1640,1600,1650,1650,1650,1624.5,1650,1650,1650,1650,1650,1700,1700,1700,1775,1800,1800,1830,1800,1800,1850,1849,1850,1850,1875,1800,1800,1800,1750,1725,1789,1770,1850,1700,1755,1775,1800,1800,1800,1800,1800,1800,1825
"Atlanta, GA",9,,,1050,1050,1100,1100,1050,950,950,950,966.5,1020,950,982,995,988,988.5,975,972,951.5,962,875,855,875,860,900,889,875,895,895,895,905,895,897,890,887,870,897,902,920,925,945,950,950,999,1015,1000,1050,1070,1060,1079,1095,1100,1100,1100,1100,1100,1100,1123,1099,1119,1150,1150,1188,1200,1236,1221,1244.5,1245,1225,1300,1289,1295,1290,1300,1309,1200,1265,1258.5,1258,1300,1240,1240,1210,1285,1295,1320.5,1340,1352,1347,1339,1350,1348
"Boston, MA",10,,,,,,,,,,,,,,,,,,1795,1800,1850,1875,1800,1766,1750,1850,1878,1900,2000,2100,1995,1950,1850,1850,1850,1883,1900,2000,2005,2000,2000,2049,2100,2175,2150,2150,2150,2160,2150,2165,2200,2200,2200,2235,2250,2290,2250,2200,2200,2200,2200,2350,2350,2300,2350,2340,2350,2350,2325,2300,2300,2300,2306,2440,2497,2450,2400,2400,2450,2400,2400,2400,2340,2295,2340,2495,2500,2500,2500,2500,2500,2500,2500,2425
"San Francisco, CA",11,,,,,,,,,,1325,1395,1400,1425,1450,1475,1500,1495,1500,1595,1675,1795,1722,1700,1695,1700,1745,1800,1727,1740,1810,1800,1791.5,1795,1780,1800,1825,1795,1820,1895,1855,1895,1900,1950,1955,2200,2200,2100,2326,2305,2200,2195,2300,2500,2500,2450,2574,2623.5,2595,2577,2605.5,2608,2690,2693,2760,2813.5,2800,2850,2900,2900,2850,2820,2827,2995,3000,3070,3000,2995,3000,2877,2880,2795,2753,2750,2702,2800,2850,2850,2950,2955,2980,2950,2942,2950
"Detroit, MI",12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,950,900,950,925,925,925,925,1050,1000,1000,1025,1050,1000,995,1000,1000,975,999,1000,999,1000,950,995,995,1000,999,1000,1000,995,1000,1000,1000,981,1050,1075,1100,1095,1000,1000,995,1000,1022.5,1050,1080,1090,1099,1100,1100
