"RegionName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09"
"United States",0,,,1500,1500,1500,1599,1500,1500,1450,1450,1450,1500,1400,1395,1400,1450,1450,1425,1400,1400,1395,1300,1300,1300,1300,1350,1395,1375,1390,1400,1395,1375,1350,1300,1350,1325,1295,1300,1348,1350,1350,1350,1375,1350,1375,1350,1350,1375,1350,1300,1300,1340,1400,1400,1400,1400,1400,1395,1395,1395,1395,1395,1400,1450,1450,1480,1475,1475,1450,1425,1450,1425,1450,1450,1499,1500,1500,1500,1500,1500,1484,1495,1495,1445,1450,1460,1500,1550,1550,1585,1595,1550,1550
"Los Angeles, CA",1,,,2950,3000,3000,3150,3200,3100,2995,2900,2900,3000,2800,2850,2800,2900,2900,2950,2900,2850,2800,2700,2510,2595,2500,2600,2500,2500,2600,2600,2500,2495,2500,2370,2300,2300,2300,2350,2300,2350,2450,2500,2500,2490,2500,2500,2400,2600,2500,2500,2500,2500,2695,2750,2800,2800,2800,2800,2800,2850,2850,2829,2850,2975,3000,3100,3050,3100,3050,3000,3000,3000,3000,3150,3200,3100,3100,3177.5,3100,2995,3095,2970,3195,2950,3100,3200,3300,3400,3400,3405,3400,3400,3350
"Chicago, IL",2,,1630,1600,1600,1600,1637.5,1650,1600,1595,1600,1600,1600,1595,1550,1500,1575,1600,1600,1650,1600,1600,1550,1500,1500,1500,1500,1511,1500,1500,1550,1550,1550,1499,1480,1450,1484,1490,1455,1499,1499,1530,1525,1575,1600,1575,1575,1550,1595,1575,1550,1550,1550,1600,1600,1625,1624.5,1627,1629,1600,1600,1600,1601,1600,1650,1650,1650,1650,1675,1650,1625,1625,1600,1600,1600,1600,1600,1616,1605,1620.5,1612,1595,1600,1595,1575,1568,1560,1595,1600,1650,1659.5,1699,1650,1650
"Dallas, TX",3,,1272.5,1337.5,1400,1395,1375,1350,1350,1395,1475,1395,1400,1395,1350,1350,1350,1350,1395,1350,1350,1300,1295,1295,1295,1295,1300,1350,1250,1300,1350,1325,1300,1295,1295,1295,1295,1295,1295,1300,1300,1350,1395,1395,1395,1395,1350,1350,1375,1350,1350,1350,1375,1450,1450,1495,1495,1475,1450,1475,1475,1475,1495,1500,1543,1550,1550,1575,1575,1550,1545,1525,1525,1550,1550,1595,1595,1599,1600,1600,1600,1595,1595,1600,1595,1600,1600,1650,1695,1700,1725,1750,1700,1695
"Philadelphia, PA",4,,1495,1500,1500,1500,1550,1500,1500,1500,1495,1500,1500,1400,1400,1450,1500,1500,1500,1500,1500,1500,1450,1400,1400,1400,1425,1450,1450,1450,1450,1435,1400,1350,1395,1375,1350,1350,1350,1400,1450,1500,1500,1500,1450,1450,1425,1400,1400,1400,1350,1362.5,1400,1500,1503,1532.5,1500,1500,1475,1450,1450,1450,1500,1500,1550,1575,1585,1575,1550,1500,1500,1500,1495,1495,1500,1500,1585,1575,1550,1525,1500,1500,1450,1500,1450,1450,1450,1500,1550,1550,1550,1550,1500,1500
"Houston, TX",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1400,1400,1400,1395,1400,1450,1550,1595,1600,1600,1595,1550,1575,1575,1575,1575,1600,1650,1650,1675,1675,1650,1650,1609,1625,1650,1625,1650,1675,1695,1650,1650,1600,1600,1600,1575,1550,1500,1569,1595,1600,1645,1650,1650,1650,1645,1650
"Washington, DC",6,,1800,1800,1850,1850,1950,2000,1950,1900,1950,1900,1950,1900,1900,1900,1900,2000,2100,2050,2000,2000,1999,1995,1975,1950,1900,1970,1995,2000,2100,2100,2000,2000,2000,1995,1975,1995,1995,2000,2000,2100,2100,2147,2100,2100,2075,2000,2000,2000,1995,1995,2000,2100,2200,2200,2195,2100,2100,2100,2090,2050,2050,2100,2100,2175,2200,2200,2200,2195,2150,2149,2125,2100,2150,2200,2200,2200,2200,2250,2200,2200,2150,2100,2100,2150,2195,2200,2250,2300,2300,2350,2295,2200
"Miami, FL",7,,,2100,2200,2200,2200,2100,2000,2000,2100,2000,2100,1950,1925,1950,1950,2000,2000,1975,1950,1950,1950,1900,1895,1890,1895,1900,1800,1800,1895,1850,1800,1800,1800,1800,1750,1790,1750,1750,1800,1850,1890,1950,1995,2000,2000,2000,2017.5,2000,1999,1975,1995,2075,2095,2100,2095,2100,2099.5,2000,2000,2000,2000,2000,2100,2100,2100,2125,2150,2100,2100,2175,2200,2200,2200,2200,2200,2200,2200,2170,2125,2100,2150,2200,2100,2150,2195,2200,2200,2249,2250,2250,2260,2299
"Atlanta, GA",8,1025,1175,1200,1200,1200,1250,1250,1250,1250,1200,1200,1250,1182.5,1175,1150,1200,1200,1200,1150,1150,1100,1100,1100,1100,1050,1050,1100,1050,1075,1095,1095,1075,1095,1050,1000,1000,1000,978,1000,1000,1095,1095,1098,1100,1100,1100,1095,1100,1100,1095,1095,1095,1100,1110,1125,1150,1145,1150,1150,1150,1135,1150,1195,1200,1200,1250,1249,1200,1200,1200,1200,1200,1220,1225,1250,1260,1300,1300,1300,1300,1295,1300,1295,1295,1300,1339,1350,1399,1400,1420,1450,1400,1400
"Boston, MA",9,,,1500,1650,1650,1650,1650,1672.5,1600,1600,1695,1700,1750,1712.5,1750,1900,2100,2000,2000,1995,1900,1800,1850,1900,2000,2000,2000,2000,2112.5,2200,2200,2087,2160,2107,2086.5,2078,2150,2150,2150,2200,2280,2400,2400,2400,2350,2300,2350,2380,2400,2400,2400,2435,2700,2700,2600,2550,2475,2400,2400,2500,2600,2621,2650,2700,2750,2722,2700,2600,2500,2500,2500,2595,2794,2800,2800,2800,2799.5,2800,2750,2700,2600,2523,2500,2500,2750,2830,2900,2950,3000,2925,2900,2800,2700
"San Francisco, CA",10,,,,,,2750,2825,2500,2300,2225,2250,2385,2195,2100,2100,2100,2150,2100,2200,2195,2200,2200,2200,2100,2050,2100,2200,2050,2000,2100,2100,2050,2050,2050,2044.5,2000,2024,2000,2000,1995,2000,2050,2100,2095,2200,2200,2195,2299,2250,2200,2200,2275,2400,2495,2600,2700,2700,2700,2700,2800,2700,2795,2800,2899,2995,3200,3200,3150,3100,3100,3150,3200,3195,3200,3295,3295,3285,3300,3350,3200,3200,3050,3100,3000,3122.5,3200,3250,3400,3500,3500,3500,3500,3400
"Detroit, MI",11,,,,,,,,,,,,,,,,,,,,,,,800,825,825,850,850,850,850,850,850,850,850,850,849,800,800,800,850,850,850,850,850,850,850,850,850,850,850,850,850,850,882.5,895,899,900,895,900,900,900,895,895,900,900,900,900,900,900,900,900,925,915,925,900,950,975,975,950,1000,1000,950,1000,1000,990,950,950,975,995,1000,1000,1050,1000,1000
"Riverside, CA",12,,,,,,,,,,,,,,1800,1800,1850,1850,1800,1700,1700,1675,1650,1600,1600,1600,1600,1600,1549,1550,1550,1575,1550,1500,1550,1550,1550,1575,1590,1599,1600,1625,1600,1600,1649,1650,1649,1599,1600,1600,1595,1595,1595,1695,1695,1650,1675,1685,1650,1650,1695,1695,1695,1700,1750,1749,1750,1784,1750,1750,1750,1750,1750,1795,1795,1800,1800,1797.5,1795,1795,1762,1750,1795,1800,1772.5,1800,1850,1895,1925,1950,1975,1990,1975,1995
"Phoenix, AZ",13,,,1500,1500,1400,1475,1395,1395,1300,1335,1300,1300,1195,1195,1195,1200,1200,1195,1150,1150,1125,1100,1098.5,1095,1100,1100,1146,1150,1195,1195,1175,1150,1125,1100,1100,1100,1100,1100,1100,1150,1150,1150,1150,1100,1150,1150,1145,1150,1150,1125,1150,1150,1200,1225,1200,1250,1212,1200,1225,1250,1250,1275,1295,1300,1325,1325,1300,1295,1295,1295,1300,1300,1349,1350,1375,1395,1350,1350,1350,1300,1300,1300,1300,1295,1350,1375,1400,1450,1475,1475,1450,1450,1425
"Seattle, WA",14,,1400,1595,1595,1600,1650,1700,1750,1695,1650,1650,1595,1595,1595,1550,1595,1650,1650,1650,1625,1625,1595,1500,1500,1500,1500,1575,1595,1550,1595,1599,1595,1525,1500,1480,1445,1450,1425,1450,1500,1595,1650,1650,1650,1690,1660,1650,1650,1600,1600,1600,1600,1695,1700,1725,1750,1750,1735,1750,1700,1700,1700,1735,1736,1800,1850,1900,1950,1896.5,1900,1900,1895,1895,1950,1950,1950,1995,2000,2100,2100,2095,2000,1995,1995,2100,2200,2219,2300,2395,2471.5,2495,2450,2395
"Minneapolis, MN",15,,,,,,,,,1430,1405,1399.5,1495,1350,1390,1382.5,1400,1399,1395,1395,1400,1400,1395,1350,1340,1350,1350,1350,1350,1375,1395,1365,1350,1395,1400,1350,1375,1350,1350,1395,1395,1395,1395,1395,1395,1400,1400,1450,1475,1450,1450,1425,1400,1450,1450,1450,1475,1475,1450,1450,1450,1450,1450,1460,1495,1495,1495,1495,1495,1495,1495,1495,1499,1500,1500,1500,1500,1500,1500,1502.5,1500,1495,1500,1545,1497,1550,1550,1595,1595,1600,1600,1650,1650,1625
"San Diego, CA",16,,,,,,,,,,,,,,2500,2500,2592.5,2650,2500,2500,2495,2400,2300,2250,2200,2200,2200,2200,2100,2180,2250,2295,2250,2200,2200,2190,2150,2150,2150,2185,2200,2300,2350,2395,2395,2400,2400,2300,2400,2362.5,2300,2295,2295,2495,2500,2500,2500,2500,2500,2512.5,2500,2550,2550,2500,2500,2500,2550,2545,2500,2500,2500,2500,2600,2650,2675,2650,2600,2575,2600,2575,2595,2550,2550,2550,2500,2600,2700,2750,2800,2850,2800,2800,2800,2800
"Saint Louis, MO",17,,,,,,,,,,,,,,995,1050,1100,1195,1100,1050,1095,1050,1083,1000,1000,1150,1000,1000,1050,1005.5,1000,1000,1000,990,922.5,900,900,900,900,900,900,900,950,950,950,950,950,950,950,925,900,900,900,950,975,997.5,1000,995.5,995,975,950,950,950,950,950,950,980,995,950,950,950,950,950,975,975,1000,1000,1000,1050,1075,1045,1000,1000,995,1000,995,995,995,1000,1020,1050,1050,1000,1000
"Tampa, FL",18,897.5,995,1000,1100,1150,1050,1100,1150,1195,1200,1200,1200,1187.5,1200,1200,1200,1200,1200,1200,1200,1199,1175,1150,1175,1150,1150,1195,1175,1175,1200,1200,1200,1195,1195,1195,1184,1195,1200,1200,1250,1300,1295,1295,1300,1275,1275,1245,1275,1250,1250,1250,1250,1300,1300,1300,1295,1295,1295,1300,1300,1295,1300,1324,1350,1350,1350,1375,1350,1350,1350,1350,1349,1350,1350,1399,1400,1395,1399,1397,1357,1385,1350,1375,1350,1400,1400,1450,1475,1480,1495,1495,1475,1450
"Baltimore, MD",19,,1550,1500,1500,1600,1600,1600,1650,1600,1600,1595,1600,1500,1500,1500,1500,1500,1500,1575,1600,1550,1500,1500,1500,1500,1500,1500,1350,1385,1450,1450,1450,1475,1400,1495,1400,1400,1400,1450,1500,1500,1500,1500,1500,1500,1500,1495,1600,1550,1500,1500,1500,1625,1650,1695,1650,1650,1600,1600,1600,1650,1600,1650,1650,1650,1700,1700,1650,1600,1600,1600,1600,1600,1600,1600,1600,1600,1650,1650,1650,1600,1600,1600,1595,1550,1592,1600,1600,1600,1650,1695,1650,1600
"Denver, CO",20,,,,,,,,,1497.5,1450,1525,1500,1395,1400,1425,1495,1495,1475,1450,1450,1412.5,1400,1395,1350,1392.5,1395,1400,1500,1500,1500,1500,1500,1495,1450,1400,1395,1450,1425,1450,1550,1495,1495,1675,1700,1695,1650,1675,1695,1650,1650,1650,1650,1723,1795,1800,1800,1895,1890,1869,1850,1850,1909,1900,1929,2000,2000,2000,2000,2000,1995,1995,1995,1999,2000,2000,2000,2000,2070,2000,2000,1995,1995,1950,1950,1995,2000,2035,2100,2125,2150,2150,2095,2000
"Pittsburgh, PA",21,,,,,,,,,,,,,,,,1097.5,1095,997.5,1100,1070,1000,871.5,885,900,950,950,1000,950,995,1000,1000,1055,1000,995,950,900,950,1000,1095,1140,1100,1142.5,1200,1200,1150,1100,1072.5,1050,1100,1100,1100,1150,1200,1250,1250,1200,1199,1095,1050,1010,1095,1095,1145,1199.5,1200,1200,1200,1200,1150,1100,1100,1100,1100,1150,1200,1200,1200,1195,1200,1200,1100,1000,1070,1000,1100,1100,1150,1200,1200,1199,1200,1175,1100
"Portland, OR",22,,,,,,,,,1300,1295,1295,1300,1325,1300,1295,1395,1395,1395,1400,1397,1395,1325,1299,1300,1300,1295,1350,1395,1395,1395,1395,1395,1350,1395,1350,1350,1350,1325,1350,1395,1400,1450,1495,1495,1475,1445,1450,1450,1425,1425,1425,1450,1495,1495,1500,1575,1575,1550,1550,1550,1550,1550,1575,1595,1600,1650,1695,1695,1695,1695,1695,1695,1695,1695,1750,1750,1745,1795,1795,1795,1795,1775,1795,1695,1795,1795,1800,1875,1895,1975,1995,1950,1895
"Charlotte, NC",23,,,1000,1000,1095,1050,1050,1100,1095,1055,1050,1095,1049,1000,1025,1075,1100,1095,1100,1095,1100,1075,1050,1045,1050,1095,1095,1095,1100,1150,1150,1100,1099,1095,1095,1095,1095,1030,1050,1147,1175,1175,1195,1195,1175,1150,1100,1100,1100,1100,1100,1100,1195,1195,1195,1200,1200,1222.5,1225,1225,1225,1225,1250,1275,1275,1275,1280,1275,1250,1250,1250,1250,1295,1295,1295,1295,1295,1300,1300,1325,1300,1295,1312,1275,1350,1380,1407,1450,1440,1431.5,1450,1450,1445
"Sacramento, CA",24,,,,,,,,,,,1325,1395,1297.5,1300,1300,1350,1395,1395,1350,1395,1350,1325,1295,1295,1295,1295,1325,1350,1350,1350,1350,1350,1350,1350,1350,1300,1325,1325,1349,1350,1395,1395,1399,1375,1375,1395,1375,1395,1395,1395,1395,1399.5,1450,1425,1425,1450,1495,1495,1495,1495,1495,1495,1495,1495,1550,1550,1550,1550,1595,1595,1595,1595,1595,1595,1595,1575,1600,1650,1650,1650,1595,1625,1600,1650,1695,1700,1733,1775,1800,1850,1850,1875,1895
"San Antonio, TX",25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,928,901,950,946,1100,999,1136.5,1125,1150,1100,1125,1119,1125,1150,1175,1182.5,1200,1225,1200,1195,1195,1175,1175,1195,1195,1200,1200,1200,1202.5,1200,1199,1175,1195,1199,1195,1200,1200,1199,1175,1150,1175,1185,1180,1146,1150,1175,1100,1209,1250,1250,1295,1300,1350,1350,1345,1300
"Orlando, FL",26,,1250,1200,1225,1250,1200,1200,1200,1200,1200,1200,1200,1195,1150,1195,1200,1200,1200,1200,1200,1195,1175,1150,1150,1150,1150,1200,1200,1200,1250,1265,1250,1200,1200,1200,1200,1200,1222.5,1250,1300,1300,1325,1325,1300,1325,1300,1300,1307,1300,1300,1300,1300,1399,1400,1400,1350,1350,1325,1350,1350,1350,1350,1395,1400,1400,1425,1450,1400,1400,1400,1400,1400,1425,1425,1475,1475,1495,1495,1475,1475,1450,1450,1458,1450,1495,1500,1500,1594,1595,1595,1595,1575,1550
"Cincinnati, OH",27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200,1200,1200,1200,1235,1175,1195,1195,1200,1250,1250,1200,1200,1200,1250,1200,1195,1200,1175,1150,1195,1200,1200,1195,1195,1200,1295,1170,1237.5,1250,1175,1195,1199,1275,1299,1350,1300,1350,1350,1300
"Cleveland, OH",28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,1000,990,1000,995,1000,1050,1050,1050,1050,1050,1000
"Kansas City, MO",29,,,,,,,,,,,,,,,,925,955,975,995,995,950,950,900,900,900,890,900,995,925,925,950,900,895,875,875,850,850,850,875,875,875,875,870,850,850,850,850,875,875,865,875,875,910.5,900,900,900,899,900,900,900,895,900,900,900,925,950,952.5,965,950,945,925,945,950,950,975,995,1024.5,1025,1095,1025,1000,1000,995,1050,1000,1000,1025,1100,1100,1100,1150,1100,1100
"Las Vegas, NV",30,,1350,1300,1200,1250,1150,1200,1200,1250,1200,1200,1150,1200,1200,1200,1200,1245,1200,1200,1200,1200,1200,1195,1195,1195,1195,1195,1195,1195,1195,1190,1180,1150,1150,1150,1150,1150,1150,1150,1195,1195,1195,1195,1200,1195,1195,1195,1195,1197,1195,1199,1195,1200,1200,1250,1250,1250,1225,1225,1225,1245,1250,1250,1275,1250,1260,1295,1295,1295,1295,1295,1275,1295,1295,1300,1300,1300,1307,1295,1295,1295,1295,1300,1289,1300,1350,1350,1375,1395,1400,1400,1400,1395
"Columbus, OH",31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1195,1100,1175,1100,1075,1050,1050,1195,1150,1100,1140,1197,1200,1150,1175,1182.5,1195,1200,1225,1200,1240,1225,1198,1225,1225,1250,1200,1200,1200,1265,1300,1250,1225,1225,1200,1200,1225,1150,1198,1295,1275,1272.5,1325,1300,1300,1300,1300,1375
"Indianapolis, IN",32,,,,,,,,,,,,,,850,850,950,900,850,800,825,799,800,800,825,900,890,850,825,800,800,800,850,850,850,824,795,800,810,850,900,950,950,995,995,995,950,950,1000,1000,1000,1000,1000,1050,1050,1025,1050,1025,1025,1000,1025,1000,1045,1075,1095,1095,1095,1075,1050,1030,1000,995,975,995,999,1050,1100,1100,1100,1140,1082,1075,1050,1095,1050,1090,1100,1100,1121,1150,1150,1185,1150,1150
"San Jose, CA",33,,,,,,,,,,,,,,,,,,,,2695,2737.5,2595,2595,2495,2400,2495,2550,2495,2500,2500,2600,2500,2500,2500,2390,2400,2495,2400,2396,2465,2750,2850,2995,2995,3000,2995,2940,2995,2900,2895,2895,2900,3295,3350,3375,3500,3465,3300,3295,3400,3400,3400,3500,3500,3680,3795,3825,3800,3800,3750,3695,3595,3677.5,3700,3700,3695,3750,3700,3780,3750,3500,3595,3495,3500,3500,3500,3600,3600,3800,3950,3950,3800,3700
"Austin, TX",34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200,1350,1350,1345,1350,1325,1322.5,1350,1395,1425,1395,1400,1450,1450,1425,1400,1395,1395,1395,1400,1400,1450,1495,1530,1550,1550,1550,1550,1549,1500,1500,1500,1500,1450,1450,1500,1500,1500,1450,1400,1400,1400,1500,1575,1600,1650,1650,1675,1662.5,1650,1645
"Virginia Beach, VA",35,,1300,1300,1350,1372.5,1395,1400,1400,1375,1395,1350,1375,1300,1325,1350,1395,1400,1400,1375,1395,1350,1300,1295,1295,1300,1300,1325,1325,1350,1350,1350,1350,1300,1300,1300,1295,1295,1295,1300,1300,1350,1350,1350,1350,1350,1300,1295,1300,1300,1299,1300,1300,1375,1380,1395,1380,1350,1350,1350,1350,1350,1339,1350,1375,1395,1395,1395,1350,1350,1350,1310,1300,1300,1350,1350,1375,1400,1395,1395,1395,1350,1395,1350,1387.5,1350,1350,1350,1375,1395,1400,1400,1395,1375
"Nashville, TN",36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1405,1425,1450,1475,1450,1450,1450,1450,1450,1463.5,1475,1497.5,1500,1500,1500,1500,1500,1500,1495,1500,1500,1500,1550,1550,1512.5,1562.5,1575,1550,1500,1500,1500,1475,1595,1600,1600,1600,1650,1650,1650,1650,1650
"Providence, RI",37,,,,,,,,,,,,,,,,,,,,,1700,1600,1500,1600,1650,1697.5,1750,1700,1750,1700,1700,1700,1700,1650,1700,1800,1800,1800,1800,1800,1800,1800,1800,1700,1600,1650,1650,1650,1650,1625,1650,1650,1800,1795,1700,1700,1700,1700,1700,1750,1800,1850,1900,2000,1950,1850,1800,1800,1800,1800,1800,1900,1950,1975,1999.5,2000,1800,1800,1800,1800,1800,1750,1700,1750,1800,2000,2085,2100,2000,2000,2000,2000,2000
"Milwaukee, WI",38,,,,,,,,,,,,,,,,,,,,,,,,,1200,1200,1275,1337.5,1225,1192.5,1250,1350,1300,1295,1297.5,1250,1100,1125,1252.5,1315,1200,1150,1295,1425,1350,1250,1250,1275,1200,1195,1195,1200,1310,1200,1200,1200,1200,1200,1175,1090,1100,995,1050,1171.5,1137.5,1237.5,1200,1200,1195,1150,1100,1100,1175,1150,1195,1195,1200,1100,1200,1195,1150,1150,1125,1095,1125,1200,1195,1235,1195,1200,1200,1150,1100
"Jacksonville, FL",39,,1075,1075,1095,1100,1125,1150,1100,1100,1100,1100,1100,1095,1095,1100,1100,1150,1150,1150,1100,1095,1095,1095,1050,1069.5,1095,1100,1100,1100,1100,1125,1100,1100,1100,1095,1095,1100,1100,1100,1150,1200,1200,1195,1200,1195,1195,1200,1195,1195,1150,1175,1195,1200,1200,1195,1175,1150,1150,1150,1150,1150,1150,1195,1200,1200,1200,1225,1225,1200,1200,1200,1200,1200,1240,1275,1275,1295,1295,1295,1295,1250,1249,1247,1250,1250,1250,1295,1350,1350,1350,1350,1365,1350
"Memphis, TN",40,,,,,,,,1197.5,1350,1295,1200,1200,995,995,995,1000,995,1025,995,1000,1000,995,945,950,950,925,925,915,927,950,900,895,900,900,945,895,895,895,895,895,895,900,895,895,895,895,900,925,950,900,900,925,950,950,925,925,925,950,950,950,950,925,950,950,945,950,950,950,950,950,950,950,950,950,950,950,975,975,995,995,995,985,995,995,995,995,995,975,975,950,950,950,985
"Oklahoma City, OK",41,,,,,,,,,,,,,,,,,,,968,995,1120,1039.5,995,1050,995,999,1000,880,900,950,950,992.5,900,1014,1050,972.5,950,1050,1100,1085,1200,1200,1100,1095,1175,1100,1100,1195,1125,1145,1150,1195,1250,1250,1250,1250,1200,1200,1195,1195,1200,1225,1250,1250,1250,1250,1250,1245,1197,1195,1195,1195,1195,1200,1200,1200,1200,1200,1150,1150,1150,1095,1100,1100,1050,1100,1145,1150,1195,1175,1150,1125,1100
