"RegionName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09"
"United States",0,1300,1500,1495,1500,1500,1500,1500,1500,1450,1450,1450,1450,1350,1329,1375,1400,1400,1395,1375,1350,1325,1275,1295,1295,1300,1300,1350,1375,1395,1395,1395,1395,1365,1350,1350,1350,1350,1400,1450,1463.5,1450,1400,1450,1450,1488,1500,1500,1550,1500,1500,1500,1550,1600,1600,1500,1475,1495,1450,1400,1400,1450,1450,1494,1500,1500,1500,1500,1500,1495,1472,1450,1450,1475,1495,1500,1500,1500,1500,1500,1500,1500,1500,1550,1450,1469,1451,1495,1500,1500,1510,1509,1500,1500
"New York, NY",1,,2000,2000,2100,2000,2100,2000,1950,1962.5,2000,1950,2100,1995,1850,1950,1995,2000,2000,2097,2150,2100,2000,2000,2000,2000,2000,2045,2100,2120.5,2150,2150,2150,2125,2150,2150,2150,2100,2150,2150,2175,2200,2200,2200,2200,2245,2250,2250,2260,2250,2250,2250,2250,2300,2300,2250,2200,2200,2225,2200,2200,2275,2290,2300,2350,2380,2395,2350,2400,2395,2340,2300,2300,2300,2300,2300,2350,2300,2300,2300,2295,2300,2300,2300,2123,2200,2300,2303,2350,2395,2400,2400,2389,2400
"Los Angeles, CA",2,,,,,,,,,,,,,,1500,1450,1350,1387.5,1300,1395,1375,1250,1085,925,925,950,1000,1055,1050,1100,1065,1065,1095,1140,1105,1100,1100,1075,1145,1175,1180,1200,1199,1140,1175,1125,1175,995,1149.5,1125,1117.5,1098,1108,1200,1250,1295,1299,1298,1350,1372.5,1385,1369,1385,1395,1413.5,1385,1485,1495,1495,1500,1543.5,1500,1500,1625,1650,1670,1650,1675,1646,1755,1550,1642,1575,1595,1540,1535,1750,1840,1780,1750,1815,1868,1882,1890
"Chicago, IL",3,,1500,1500,1500,1499.5,1500,1500,1500,1500,1500,1550,1600,1500,1450,1395,1395,1400,1395,1355,1365,1376,1331,1300,1300,1295,1250,1260,1305,1335,1308,1350,1400,1400,1390,1395,1375.5,1390,1416,1400,1400,1450,1450,1452,1499,1500,1495,1450,1475,1490,1465,1450,1450,1500,1525,1575,1500,1585,1576,1500,1499,1525,1600,1550,1510,1544,1550,1546.5,1530,1550,1550,1550,1535,1515,1550,1500,1500,1500,1495,1478.5,1462,1468,1500,1500,1495,1499,1500,1495,1500,1500,1500,1500,1530.5,1550
"Dallas, TX",4,,,,,,,,,,,,,,,,,,,,,895,867.5,844.5,825,815,861,900,850,1000,1048,916,889,889,890,925,938,900,897,930,950,895,922,965,1060,1150,1165,1150,1102,1100,1100,1095,1098,1100,1200,1200,1200,1195,1200,1200,1219,1225,1200,1250,1295,1280,1339.5,1300,1300,1250,1212,1200,1200,1200,1250,1300,1295,1350,1250,1275,1347.5,1200,1334,1309,1275,1300,1350,1350,1315,1295,1300,1295,1340,1342.5
"Philadelphia, PA",5,,1500,1500,1500,1500,1512.5,1550,1550,1500,1500,1500,1500,1400,1400,1400,1450,1450,1450,1500,1500,1500,1450,1400,1400,1350,1350,1350,1350,1350,1300,1350,1395,1350,1350,1350,1300,1295,1300,1350,1350,1300,1275,1300,1350,1395,1375,1295,1300,1300,1300,1300,1300,1395,1395,1400,1400,1400,1400,1400,1350,1395,1350,1395,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1420,1400,1425,1375,1400,1400,1400,1400,1400,1395,1400,1400,1400,1400,1400,1400,1400,1400
"Houston, TX",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1095,1168,1150,1229,1207,1229,1250,1350,1400,1350,1450,1499,1497,1480,1500,1600,1638,1645,1600,1600,1595,1580,1595,1589,1575,1595,1600,1625,1675,1675,1650,1649,1600,1600,1600,1600,1600,1600,1620,1600,1600,1600,1595,1600,1550,1595,1500,1500,1500,1525,1575,1565,1585,1595,1600,1600
"Washington, DC",7,,1650,1700,1750,1750,1800,1900,1875,1850,1850,1800,1800,1800,1800,1800,1800,1899,1900,1925,1900,1900,1895,1850,1850,1800,1792,1795,1800,1800,1820,1850,1800,1800,1800,1799,1795,1795,1800,1800,1800,1800,1809,1850,1880,1895,1875,1850,1800,1800,1800,1800,1775,1849,1875,1855,1870,1895,1850,1850,1850,1850,1850,1850,1850,1850,1895,1900,1900,1890,1866,1850,1850,1850,1850,1850,1850,1875,1895,1895,1900,1850,1849.5,1850,1850,1850,1850,1850,1850,1900,1900,1925,1925,1898
"Miami, FL",8,,,,,,,,,,,,,,1850,1850,1875,1900,1900,1900,1900,1890,1800,1800,1800,1700,1700,1750,1650,1625,1650,1600,1650,1600,1600,1650,1650,1700,1700,1750,1700,1700,1750,1795,1800,1822.5,1850,1799,1850,1850,1850,1800,1800,1950,1950,1950,1900,1850,1850,1850,1850,1800,1850,1850,1895,1875,1850,1850,1875,1900,1900,1900,1895,1900,1900,1900,1950,1900,1950,1850,1850,1850,1900,1900,1800,1800,1850,1865,1900,1900,1900,1900,1950,1935
"Atlanta, GA",9,,,1150,1262.5,1275,1250,1262.5,1250,1200,1200,1200,1200,1200,1200,1200,1250,1250,1225,1200,1200,1150,1100,1050,1050,1050,1050,1075,1095,1100,1100,1100,1100,1100,1069,1060,1000,995,984,1005,1020,1095,1062.5,1050,1095,1100,1100,1100,1100,1100,1095,1100,1100,1125,1134,1173,1200,1195,1197.5,1195,1100,1100,1099,1115,1175,1150,1195,1200,1175,1186,1175,1200,1250,1250,1295,1300,1344,1350,1350,1345,1325,1327,1345,1300,1300,1315,1349.5,1365,1400,1400,1420,1418,1400,1395
"Boston, MA",10,,,,,,,,,,,,,1300,1300,1300,1275,1275,1275,1300,1350,1400,1350,1350,1275,1325,1325,1337,1375,1400,1395,1375,1350,1400,1425,1445,1445,1450,1425,1425,1445,1450,1450,1475,1475,1485,1475,1500,1495,1500,1500,1500,1525,1500,1535,1550,1560,1560,1595,1600,1600,1600,1600,1600,1600,1600,1620,1625,1645,1650,1650,1690,1675,1650,1650,1650,1625,1645,1630,1625,1650,1650,1650,1650,1625,1650,1625,1645,1656.5,1675,1675,1695,1695,1700
"San Francisco, CA",11,,,,,,,,,,,,,,,,,,1495,1500,1554.5,1695,1618.5,1600,1580,1550,1600,1695,1695,1625,1695,1725,1695,1688,1685,1631.5,1650,1750,1750,1795,1780,1870,1825,1940,1950,2025,2195,2050,2200,2200,2195,2144,2150,2289.5,2310,2250,2395,2494,2495,2400,2470,2341,2450,2408,2462.5,2472.5,2500,2515,2650,2600,2600,2600,2612.5,2676,2656,2645.5,2627,2637,2620,2546.5,2480.5,2495,2495,2400,2395,2465.5,2495,2495,2495,2595,2565,2600,2600,2650
"Detroit, MI",12,,900,962.5,1000,1000,1025,970,1000,1000,950,950,950,850,850,850,900,950,900,900,947.5,900,750,750,750,773,775,775,795,800,770,775,800,795,795,775,750,750,775,800,799,800,799,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,825,800,825,800,800,825,825,845,825,850,850,850,850,895,900,850,875,875,850,850,850,850,890,900,900,900,900,900
"Riverside, CA",13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,800,825,850,835,800,775,795,795,818,847.5,850,827,845,850,800,865,825,812.5,945,950,850,900,899,923,950,943.5,997.5,953,995,1000.5
"Phoenix, AZ",14,,1500,1500,1450,1399.5,1350,1300,1300,1250,1250,1250,1250,1195,1175,1150,1195,1195,1175,1125,1100,1100,1099,1095,1095,1095,1095,1100,1100,1150,1150,1150,1100,1100,1100,1100,1099,1095,1100,1100,1100,1100,1100,1100,1095,1125,1124.5,1100,1100,1100,1100,1100,1145,1200,1200,1200,1200,1200,1200,1200,1200,1225,1270,1295,1300,1300,1300,1295,1295,1295,1295,1295,1300,1300,1340,1350,1395,1300,1315,1300,1299,1295,1299,1300,1275,1300,1350,1375,1400,1400,1400,1400,1400,1395
"Seattle, WA",15,,,,,,,,,,,,,,840,845,869,895,895,900,925,935,895,850,895,887,897,965,995,1000,1000,1000,1020,1045,1075,1086.5,1050,1050,1075,1100,1100,1050,1035,1092.5,1100,1190,1127.5,1175,1195,1180,1127.5,1110,1161.5,1200,1272.5,1315,1350,1350,1304.5,1319,1300,1300,1322.5,1325,1350,1345,1365,1378,1400,1380,1350,1315,1380,1375,1400,1450,1427,1449,1408,1385,1375,1427,1387.5,1395,1425,1445,1440,1465,1475,1500,1565.5,1542.5,1524,1495
"Minneapolis, MN",16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,945,987,965,995,950,890,995,1095,1095,1000,1000,1095,1150,1100,1095,1175,1175,1150,1150,1187,1150,1032,954.5,950,995,995,1050,1050,1150,1147.5,1150,1061,1142,1115,1095,1105,1100,1050,1080,1050,955,1024.5,1125,1150,1095,1000,1030,1112.5,1140,1130,1095,1180,1225,1128,1250,1295
