"RegionID","RegionName","SizeRank","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09"
102001,"United States",0,10000,10000,10000,10000,10000,10000,10000,9900,9999,10000,10000,9900,10000,9982.5,9700,9500,9500,9100,9100,9100,9001,9000,9000,8500,8000,7900,7400,7500,7500,7400,7198.5,7400,7500,7600,7900,7500,7600,7400,7000,7000,7000,7000,7000,7000,7600,7900,7900,7500,7600,7500,7000,7000,7000,7000,7100,8000,8400,8600,8600,8000,8000,8000,7100,7100,7500,7900,8000,9000,9100,9100,9000,8000,8000,7900,7000,7000,7000,7300,8000,8999,9100,9100,9000,8000,8000
394913,"New York, NY",1,19900,19000,16500,16000,16000,16000,16000,15100,15100,16000,15100,15000,16000,15500,15000,15000,15000,15000,15000,15000,15000,15000,14900,14000,14900,14900,14000,14500,14100,14000,14003,15000,14900,14900,14000,14000,14000,14000,14000,13000,14000,13100,14000,14900,15000,15000,14500,14000,15000,14900,14000,11900,12400,14000,14000,14999,15000,15000,14600,14000,14900,14900,14000,11900,13100,13600,14900,15000,15000,15000,14901,14000,15000,15000,14100,11500,14000,14100,15000,15100,16000,16000,15000,14600,15100
753899,"Los Angeles-Long Beach-Anaheim, CA",2,20000,20000,19000,17300,18000,19000,16600,19000,17600,19000,19000,18500,16000,16000,15000,15000,15100,15000,16000,19100,19300,20000,20000,20000,20000,20000,20000,20000,19900,20000,20050,21000,24000,20100,20000,19900,19000,17000,15100,15000,15000,15000,15001,15100,15000,16000,15900,15000,15100,15000,15000,15000,15050,15000,18000,20000,20000,20000,20000,20000,20000,20000,20000,19000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,16800,20000,20000,20000,20150,22000,20000,20000,20000,20000
394463,"Chicago, IL",3,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,9900,9000,9900,10000,9900,10000,9900,9800,9500,9200,9000,8800,8000,7000,7900,8000,8000,9000,9000,9000,9900,8400,8900,8900,7600,7600,8000,7900,8100,8100,9000,9100,9000,8990,9000,8536,8001,8000,8000,8000,8500,9100,9100,9250,9001,8000,8850,8000,7000,7500,7000,7400,9804,9500,9900,9600,9000,8000,8000,7000,6000,6000,6500,6900,9000,9400,9900.5,9500,9001,8000,8000
394514,"Dallas-Fort Worth, TX",4,7000,6448,6000,5610,5500,5900,5989,5735,5400,5500,5500,5400,5500,5900,5600,6000,6000,5200,5600,5900,5400,5500,5100,5100,5100,5100,5100,5000,5200,5100,5360,5500,6000,5900,5999,5100,5100,5500,5500,6000,5900,5500,6000,6100,6000,6500,6000,6000,6100,6500,6000,6400,7000,8131,8200,9100,9515,9600,9000,8000,8950,9000,8000,7000,9280,9555,10000,10000,10000,10000,10000,9500,9900,9100,7540,6160,7500,9100,9999,10000,10000,10000,9100,8636.5,7500
394974,"Philadelphia, PA",5,10000,10000,9999.5,9600,9900,9876.5,9600,9500,9900,9900,9900,9400,9600,9500,9000,8000,9100,9000,8501,8250,9000,9000,8100,8000,7600,7500,6400,6100,7000,7000,6000,7000,7500,7000,7100,6681.5,7900,7000,6000,6900,7000,7000,7000,7000,7900,7600,7100,7000,7500,7000,7000,7000,6001,6900,6999,7000,8000,7500,7000,6778,7100,7400,6450,6900,6900,7000,7000,8000,8000,9000,7500,7000,7400,7000,7000,6000,6650,6300,7295,7500,8000,8000,7050,7000,8000
394692,"Houston, TX",6,6900,6031,6222.5,6000,6100,6900,6000,6000,6100,6000,6000,6100,6000,6000,6000,6000,6000,6000,5600,6000,6000,5900,5900,5910,5900.5,5500,5900,6000,6100,5500,6000,6000,7000,6000,6000,6100,6900,6000,6385,6074,7000,6723,6500,8100,8000,8000,9100,8000,8000,9869,9000,9495,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,9950,9600,9100,9200,9500,10000,10000,10000,10000,9050,9000,9600
395209,"Washington, DC",7,15000,12500,11400,11000,12000,10999.5,11475,10900,12400,12600,12100,11000,11800,12000,12100,10100,10900,10930,12000,12000,14000,13000,11000,11000,11000,10900,10100,10100,11050,10990,10900,14000,14000,13500,12000,10000,10050,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10001,10001,10010,10000,10000,10000,10000
394856,"Miami-Fort Lauderdale, FL",8,11000,10000,10000,10000,10000,10000,10500,10100,10400,11000,11000,10400,10500,10100,10000,10000,10000,10100,10900,10500,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
394347,"Atlanta, GA",9,10000,10000,10000,9900,10000,10000,10000,10000,10000,10000,10000,10000,10000,9900,9100,9000,9000,9100,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,9900,9900,9100,8000,8000,8000,7000,7597.5,8000,9000,8000,8425,7000,7000,7000,6900,6600,6000,6300,7100,8000,8000,7600,7000,7000,6997,6618,6437,6000,6000,6000,7000,9000,9100,9100,7100,7000,7400,7500,6500,6000,6600,7000,8000,9250,9100,9100,8200,7500,7500
394404,"Boston, MA",10,12050,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10100,11000,10100,10100,10000,10100,10000,10000,10000,10000,10000,13000,14900,15000,15000,14600,13000,15000,12000,10100,10000,10900,10100,15000,16000,16000,15000,15000,11000,15000
395057,"San Francisco, CA",11,25500,24000,20000,20000,20000,20000,20000,20000,20950,24000,20900,20474.5,24000,24250,20000,20000,20000,20000,20000,25000,30000,30000,30000,34000,36600,34000,30000,29100,36000,33500,40850,42000,50000,40000,30000,26350,26000,27950,24950,20000,25000,21000,24000,25000,26000,25000,24000,20225,21235,20997,20000,19500,24000,25100,29528,41000,40000,34000,30000,25000,26000,30000,30250,25000,26000,30000,36306,40000,40000,30100,30660,25000,29925,30000,26000,24900,25500,30000,40000,39322,45050,38912,30000,25000,30000
394532,"Detroit, MI",12,8500,7000,6900,5500,6000,5600,5500,5500,5900,6500,6400,6000,5500,5200,5000,5000,5000,5000,5900,5900,5150,5890,6000,6000,6000,5500,5001,5000,5000,5000,5000,5100,5100,6001,6900,6012,6000,5500,5100,5000,5100,5000,5000,5100,6000,6800,6900,6000,6000,5900,5100,5000,5000,5000,5010,5100,5900,5900,7000,6000,5500,5100,5000,5000,5000,5000,5000,5400,6000,7000,6100,6000,5900,5100,5001,5000,5000,5100,5900,7000,8000,8000,8100,7000,6000
395025,"Riverside, CA",13,10900,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10070,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
394976,"Phoenix, AZ",14,7700,6900,7000,7000,7400,7000,8000,7000,7400,7400,7000,7400,7000,7400,8000,7900,8600,9100,9500,10000,9900,7000,6200,6000,6000,6000,5400,6000,6400,6100,7100,7000,5900,6000,5100,5099,5000,5000,5000,5000,5000,5100,5099.5,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000.5,5100,5100,5100,5100,5000,5000,5000,5000,5000,5000,5000,5001,5100,5100,5100,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5100,5001,5000,5000,5000,5000,5000
