"RegionID","RegionName","SizeRank","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09"
102001,"United States",0,10000,10000,10000,10000,10000,10000,9960,9900,9920,10000,10000,9900,10000,9900,9600,9200,9360,9100,9001,9100,9050,9000,9000,8500,8000,7900,7100,7500,7500,7295.5,7100,7400,7600,7600,7999,7500,7600,7400,7000,7000,7000,7000,7000,7100,7890,8000,7990,7500,7650,7500,7000,7000,7000,7000,7150,8000,8600,9000,9000,8000,8000,8000,7100,7100,7400,7600,8000,9000,9100,9100,9000,8050,8000,7900,7000,7000,7000,7000,8000,8900,9100,9100,9000,8000,8000
394913,"New York, NY",1,20000,19910,19000,18000,17000,18050,19000,16000,16000,19000,16000,16000,18838.5,18000,16000,15100,16000,15400,15500,16000,16000,16000,15000,15000,15000,15100,15000,15000,15000,15000,15000,16000,15000,15001,15000,15000,15000,15000,14900,14100,15000,14000,15000,15000,15010,15000,15000,15000,15000,15000,14100,14000,14000,14000,14700,15000,15000,15000,15000,14000,15000,15000,14000,12200,14000,14000,15000,15000,15000,15000,15000,14900,15000,15000,14000,11000,13000,14000,14989,15000,16000,15900,15000,14905,15000
753899,"Los Angeles-Long Beach-Anaheim, CA",2,21300,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,19100,17100,19900,18000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,24000,24100,25000,25000,21000,20000,20000,20000,19925.5,16000,16000,20000,20000,20000,20000,20000,20000,19900,20000,19003,18670,17000,19100,19999,20000,21000,24000,24100,21000,20083,20100,21000,20000,20000,22500,20000,24900,24900,25000,25000,24500,20197,23260,20004,20000,20000,21900,22000,24000,25000,25000,25000,24000,20000,20000
394463,"Chicago, IL",3,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,9000,9900,10000,10000,10000,10000,10000,9900,9900,9400,9000,8000,7100,8000,8600,8100,9400,9700,9100,9900,8900,8600,8500,7600,7600,8000,7800,8000,8250.5,9100,9100,9100,9000,9000,8400,8100,8000,8000,8000,8900,9500,9900,9910,9600,9000,9000,8000,7000,7597,7500,8000,10000,9900,10000,10000,9500,8100,9000,7100,6000,6000,6500,6500,9000,9900,10000,9900,9100,8000,8600
394514,"Dallas-Fort Worth, TX",4,7000,6500,6000,5700,5600,6000,6000,5900,5500,5500,5500,5500,5500,6000,5900,6000,6000,5306.5,5900,5999.5,5500,5500,5100,5100,5100,5100,5100,5100,5400,5100,5400,5500,6000,5990,6000,5100,5100,5500,5500,6000,6000,5500,6000,6600,6052.5,6900,6000,6100,6500,6900,6000,6600,7000,8900,8900,9400,9600,9732,9000,8000,9000,9000,8000,7000,9280,9600,10000,10000,10000,10000,10000,9500,9900,9100,7500,6039.5,7500,9100,9999,10000,10000,10000,9500,8500,7500
394974,"Philadelphia, PA",5,10000,10000,10000,9900,9908.5,9900,9900,9900,9910,9999,9910,9892.5,9900,9900,9100,8450,9215,9000,9000,9000,9100,9000,9000,8000,7900,7901,6900,6400,7000,7000,6600,7100,7600,7500,7401,7000,8000,7400,6500,7000,7500,7000,7100,7100,8000,8000,7400,7100,7900,7400,7000,7000,6473.5,7000,7000,7400,8400.5,8000,7400,7000,7500,7850,6600,7000,7000,7333,7100,8000,8000,9100,8000,7500,7900,7400,7000,6000,6900,6500,7596.5,7900,8600,8000.5,7400,7000,8000
394692,"Houston, TX",6,7000,6500,6500,6000,6475,7000,6000,6112,6500,6000,6000,6500,6000,6100,6100,6000,6000,6000,5900,6000,6000,6000,5950,6000,6000,5900,6000,6000,6500,5500,6000,6000,7000,6000,6500,6500,7000,6500,6933,6495,7000,7000,7000,8966.5,8216,8500,9200,8000,8100,9900,9000,9500,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,9900,9300,9510,9600,10000,10000,10000,10000,9100,9100,9900
395209,"Washington, DC",7,15000,14000,13850,12500,13000,12400,14000,13100,14353,14100,14000,13100,14000,14000,14000,11000,12000,13000,14000,14000,14900,14900,13000,13000,12500,12000,11000,11000,12750,12500,13000,14900,15000,14900,14000,10500,10900,10100,10100,10000,10001,10000,10100,10100,10100,10000,10000,10000,10000,10000,10000,10000,10000,10000,10112,10900,10994.5,10100,10100,10000,10099,10100,10000,10000,10000,10000,10090,10272.5,10100,10000,10000,10000,10000,10000,10000,10000,10000,10100,10900,10900,10900,10100,10000,10000,10000
394856,"Miami-Fort Lauderdale, FL",8,14000,11000,11000,10090,10500,12000,14000,12500,13100,13260,13900,12000,12900,12000,11000,12000,14000,13000,14200,14100,14100,12800,11500,11000,12000,11000,11000,11000,13000,14000,13550,14000,13600,12000,14000,12000,11000,10900,10900,11000,11000,10100,10100,10000.5,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10088,11000,10100,10099,10000,10000,10000,10000,10000,10700,12900,11000,12000,11361,12000,14000,10100,10041,10000,10000,10000,10000,10100,10900,10900,10999,10900,10500,10000,10000,10000
394347,"Atlanta, GA",9,10000,10000,10000,9905,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,9400,9200,9000,9600,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,9901,10000,9100,8000,8500,8100,7000,8000,8000,9000,8500,9000,7000,7000,7000,7000,7000,6074.5,6900,7400,8000,8000,8000,7400,7000,7000,7000,7000,6000,6000,6675,7900,9500,9900,9900,7900,7090,7600,7908,7000,6000,7000,7500,8000,9502.5,9885,9100,9000,8000,8000
394404,"Boston, MA",10,14100,10900,10100,10295,11000,10000.5,10812.5,12100,11000,10100,10000,10000,10100,10900,10000,10000,10000,10000,10000,10000,10400,10100,10000,10000,10000,10000,10000,10000,10000,10000,10000,10900,10100,10900,10000,10000,10100,10000,10000,10000,10000,10000,10000,10000,10100,10894,10000,10000,10100,10000,10000,10000,10000,10000,10000,14000,14900,12900,13000,10900,13000,10100,10000,10000,10000,10900,15000,15000,15900,15000,15000,14100,15000,14000,10900,10050,14000,11000,15000,19100,19100,15010.5,15000,14000,15000
395057,"San Francisco, CA",11,27600,25000,22000,20000,20050,20000,20112,21000,24050,25000,24000,23112,25000,25000,22850,20000,20000,22000,21300,26025,30000,30925,31000,35000,40000,39000,34000,30000,35000,36000,48500,45025,50000,49000,35000,30000,29900,30000,26000,21000,25000,25000,25005,25900,30000,27000,25050,24000,24000,25000,20000,20000,25000,25556,30000,48056,40999,39056.5,30000,26000,28000,30000,30000,25000,26000,34000,40000,40000,40000,31500,33000,25500,30000,30000,29000,24999.5,26000,30000,44550,40000,48800,40000,31000,26000,30000
394532,"Detroit, MI",12,9000,7000,7000,5500,6000,5800,5760,5535,6000,6718,6900,6000,5530,5400,5000,5000,5000,5100,5900,5900,5250,5900,6000,6000,6000,5600,5100,5000,5000,5000,5000,5100,5100,6100,7000,6100,6000,5600,5100,5000,5100,5000,5000,5100,6000,7000,7000,6500,6001,6000,5100,5000,5000,5099,5100,5400,6000,6000,7000,7000,5900,5100,5000,5001,5000,5000,5000,5900,6501,7500,7000,6550.5,6000,5500,5099,5000,5000,5100,6000,7000,8000,8120,8900,7500,6900
