"RegionID","RegionName","SizeRank","1997-02","1997-03","1997-04","1997-05","1997-06","1997-07","1997-08","1997-09","1997-10","1997-11","1997-12","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09"
102001,"United States",0,35.27,34.01,34.14,34.86,33.49,32.76,32.77,32.13,30.64,30.21,29.62,30.46,29.86,30.06,28.92,27.1,27.49,26.11,25.52,24.96,25.14,25.06,24.87,22.91,23.64,23.57,23.63,23.54,22.73,22.01,22,21.38,21.07,21.6,20.99,20.9,20.94,20.62,20.29,20.15,20.21,20.17,19.86,19.65,20.22,19.4,19.87,21.1,20.71,20.64,20.94,21.04,21.43,20.99,20.95,21.47,21.76,22.57,22.81,21.42,22.58,22.95,22.78,22.1,21.14,20.19,18.46,18.67,17.64,18.1,17.93,17.6,17.29,17.16,17.18,17.51,17.91,17.74,16.91,16.79,17.14,17.71,17.63,17.58,17.43,17.07,16.23,15.64,16.09,15.16,15.55,15.27,15.13,14.73,14.49,14.51,14.59,14.85,14.66,14.56,14.64,14.68,14.79,14.71,10.99,11.27,11.86,12.72,13.59,14.61,15.74,16.8,18.14,19.89,22.04,24.45,27.48,30.53,33.62,36.35,38.38,40.62,42.58,44.35,46.19,47.97,49.66,51.41,53.32,55.26,57.34,59.65,62.14,64.88,67.2,69.3,70.9,72.41,73.74,74.82,75.75,76.65,77.55,73.84,72.54,71.55,70.95,70.43,69.91,69.24,68.29,67.11,65.6,63.47,61.1,63.17,63.37,62.73,61.58,60.15,59.29,59.65,60.56,61.91,63.56,65.23,66.81,67.95,69.12,70.2,71.23,72.06,72.59,72.18,71.42,70.09,68.52,66.88,64.82,62.49,60.05,56.91,54.03,50.59,46.92,43.56,40.57,38.16,36.33,34.71,33.43,32.36,31.1,29.7,28.26,26.79,25.22,23.71,22.57,21.89,20.8,20.01,19.7,19.15,18.82,18.63,20.41,23.53,26.4,28.65,30.62,32.32,34.13,35.39,36.53,37.95,37.42,36.58,33.6,31.66,30.3,29.36,28.33,27.82,28.28,28.61,23.1,23.24,23.8,23.43,23.11,18.3,18.47,19.07,18.78,18.32,17.61,17.25,16.52,16.35,16.12,16.18,16.75,17.02,16.95,17.96,17.51,17.87
394913,"New York, NY",1,39.91,35.81,33.53,38.25,33.98,31.52,33.13,31.35,32.02,30.2,30.94,33.63,31.35,34.08,33.27,29.8,34.23,27.56,26.87,25.43,25.73,27.54,26.99,23.68,23.28,22.32,22.85,21.66,22.95,20.82,19.55,19.25,19.36,18.61,17.84,18.29,18.46,17.35,17.8,17.29,16.98,16.36,15.98,17.72,16.07,15.52,14.73,15.33,13.83,14.68,15.1,15.76,17.25,17.16,17.29,16.93,16.05,17.23,16.73,19.61,20.74,19.24,19.21,18.31,16.99,16.55,4.06,10.92,8.07,6.51,4.97,4.53,4.47,5.44,6.08,10.94,11.52,12.16,9.06,6.96,7.92,10.96,11.87,12.82,12.75,11.31,8.14,6.28,5.86,5.03,8.03,5.09,5.31,4.56,5.04,3.78,3.73,4.04,3.42,3.71,3.44,3.44,2.98,3.35,6.28,6.17,6.35,6.6,6.91,7.75,8.83,9.83,11.5,13.23,15.48,18.12,23.22,28.98,34.93,39.92,43.41,46.31,49.53,52.52,54.9,58.12,60.83,62.68,64.43,64.99,65.76,66.58,67.8,70.56,72.65,75.52,77.44,78.68,79.46,80.94,82,83.24,84.45,83.39,83.38,83.33,83.58,83.24,82.93,82.45,81.69,80.42,78.61,76.05,72.85,75.17,74.11,71.71,68.1,64.81,60.93,58.12,56.97,57.11,58.66,60.53,62.25,63.15,64.81,66.12,68.57,70.91,72.71,73.8,74.25,74.48,74.98,75.46,75.55,75.87,75.96,75.46,73.9,72.02,69.08,66.5,63.06,59.31,56.14,52.6,49.32,46.77,43.71,40.86,38.13,35.07,31.68,29.29,27.07,25.79,23.93,22.47,22.29,21.49,21.09,20.39,20.26,22.42,24.76,26.55,28.15,29.72,31.51,33.3,34.87,36.91,37.22,36.69,35.51,36.42,38.16,39.23,38.61,38.21,39.88,40.13,28.33,29.28,30.33,29.63,27.11,21.48,21.85,22.05,20.64,20.73,19.97,19.52,18.95,18.11,17.94,16.33,17.65,18,16.72,17.22,17.47,18.53
753899,"Los Angeles-Long Beach-Anaheim, CA",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.85,1.72,1.56,1.5,1.54,1.78,2.08,2.46,2.98,4.22,7.12,10.62,16.86,24.59,33.76,40.41,44.65,50.46,55.6,60.87,68.64,74.56,78.69,81.58,83.5,85,86.31,87.59,89.43,91.05,92.91,94.06,94.69,95.17,95.69,95.74,95.79,95.92,95.89,95.19,94.39,93.21,91.71,90.45,88.77,86.07,83.2,80.29,77.08,73.28,68.27,65.74,62.38,57.71,53.89,49.71,48.09,48.78,50.15,52.17,55.46,57.42,61,63.99,67.12,70.14,71.74,74.24,75.39,75.46,75.2,74.78,73.24,72.36,71.39,70.14,65.63,62.82,58.51,51.38,43.95,36.52,30.12,25.3,21.25,17.54,14.22,10.47,8.28,5.91,4.24,3.31,2.68,2.25,2.09,1.98,2.08,2.42,2.81,3.23,3.52,4.02,4.58,6.84,9.64,12.89,15.65,18.23,21.45,23.56,26.22,27.4,26.56,25.18,21.62,18.82,15.81,14.68,13.46,13.69,16.34,19.24,19.9,14.81,16.29,17.14,17.43,7.45,7.53,12.68,10.95,8.9,7.98,7.62,7.34,7.7,8.23,9.2,9.32,9.28,8.61,13.8,10.51,9.22
394463,"Chicago, IL",3,39.66,35.78,37.77,36.78,37.88,36.52,37.18,36.31,35.23,34.69,34.39,33.88,36.56,34.69,35.24,34.93,33.43,31.77,28.43,27.25,28.41,28.82,27,26.74,27.14,29.33,28.02,26.14,25.45,23.91,22.98,21.38,21.48,19.12,18.12,16.63,17.18,16.84,18.33,18.32,18.41,17.75,16.96,16.71,16.06,16.35,16.52,15.57,14.7,15.87,14.45,13.96,12.86,12.78,12.78,12.82,12.66,12.94,13.95,15.02,17.26,17.16,19.45,19.24,19.28,18.23,11.16,10.5,10.6,10.35,9.71,8.96,8.66,6.63,8.61,8.71,4.64,12.39,11.14,11.46,11.66,11.91,12.53,14.27,14.7,19.18,13.57,12.66,35.35,11.1,11.51,11.58,11.64,11.7,11.18,9.53,8.53,9.13,8.06,8.3,8.1,7.47,7.15,7.11,4.37,4.74,5.01,7.11,7.48,8.3,8.68,9.14,9.92,10.79,12.16,13.18,15.27,17.22,20.13,23.45,25.1,28.3,31.28,35.3,38.99,42.37,45.68,48.98,52.78,55.58,58.48,61.94,66.17,69,72.46,73.29,75.31,77.57,79.56,80.53,81.85,84.34,86.61,85.63,85.25,84.78,84.12,84.5,84.26,83.54,82.96,82.66,81.72,80.08,78.17,81.66,81.87,81.85,80.69,79.53,78.35,78.38,78.9,80.17,82.28,83.71,83.18,83.55,84.27,83.56,85.98,87.49,88.43,88.7,88.42,88.25,87.72,87.04,86.99,86.44,85.53,84.87,82.52,79.23,75.57,70.82,67.46,63.75,59.15,55.28,51.88,48.52,43.61,40.19,37.51,34.2,29.85,25.79,22.47,19.84,17.49,15.78,15.53,14.8,14.65,14.85,16.53,19.56,23.07,26.67,29.08,31.26,33.55,35.85,37.65,40.39,41.89,42.31,41.2,39.55,39.2,37.29,37.66,38.27,40.77,41.49,34.18,33.6,32.09,31.59,32.31,24.15,23.98,24.37,23.55,22.18,20.22,19.69,18.59,16.32,15.45,15.98,17.89,18.7,18.01,21.81,20.18,19.92
394514,"Dallas-Fort Worth, TX",4,15.46,17.32,17.38,18.05,13.15,14.39,18.33,15.48,25.73,28.16,32.77,41.38,41.96,42.87,35.31,28.19,28.69,30.73,30.27,37.39,25.31,28.79,32.99,13.51,13.69,10.58,11.59,16.04,15.58,14.36,16.44,12.58,16.76,14.39,13.61,23.67,39.67,32.82,30.41,27.88,27.7,25.47,22.09,19.47,17.54,25.26,23.76,15.22,11.11,10.51,13.09,13.64,15.7,14.85,15.83,16.8,18.38,17.04,17.4,21.7,29.55,29.54,29.13,27.17,26.47,25.27,22.57,23.51,22.73,25.94,27.74,28.67,28.3,31.43,30.32,30.33,34.04,34.3,34.57,36.42,36.66,42.15,40.12,18.32,17.09,15.73,18.14,17.1,15.6,15.31,14.5,15.87,18.09,15.54,13.76,27.39,29.97,31.9,32.68,29.48,32.25,32.63,33.4,32.5,20.64,21.53,22.01,23.64,23.51,23.8,24.02,23.78,23.19,22.99,22.46,22.14,22.18,22.1,21.31,21.98,22.49,23.31,23.38,23.8,24.34,25.3,26.23,27.04,27.1,27.01,28.55,34.45,41.45,48.4,54.91,61.06,65.7,68.98,72.19,74.37,77.5,80.22,82.56,82.46,80.82,79.1,78.18,77.03,76.82,76.98,77.77,78.33,77.4,75.98,74.86,73.18,67.74,63.47,58.39,54.96,52.99,53.6,53.36,54.29,56.55,57.73,59.23,61.44,64.32,63.14,64.6,65.71,66.19,66.81,66.95,66.83,65.05,64.29,62.01,58.37,56.09,54.65,51,46.5,42.07,37.61,34.33,30.63,28.52,25.35,22.82,21.22,19.33,16.94,13.79,11.96,10.36,8.99,7.76,7.38,7.02,7.65,8.04,7.52,7.54,7.46,7.1,8.9,10.92,12.54,14.12,15.23,16.04,13.96,13.68,14.21,12.4,10.95,8,6.11,4.91,4.31,4.12,4.23,5.11,5.78,5.93,2.22,2.16,2.07,2.15,1.84,1.92,2.43,2.31,2.46,2.77,3.19,3.36,3.76,3.9,4.16,4.66,5.59,6.11,10.98,9.4,9.32
394974,"Philadelphia, PA",5,39,44.16,43.98,45.48,44.44,41.49,42.82,41.71,36.77,32.03,32.92,38.22,35.16,32.72,32.98,29.72,31.5,29.5,29.12,28.45,29.39,31.12,29.66,32.91,35.55,36.33,35.16,34.85,33.36,32.67,31.88,31.09,30.76,29.32,31.29,28.43,28.77,27.29,25.39,25.53,23.32,23.35,22.57,23,24.33,23.31,22,23.11,25.61,27.79,26.22,26.52,27.93,27.96,27.1,27.47,25.28,27.87,26.79,26.04,25,22.76,23.36,21.23,19.43,17.61,11.65,10.76,11.1,11.4,10.07,11.25,9.62,9.45,9.15,8.53,8.16,7.85,7.1,7.89,6.72,6.72,8.12,6.81,7.35,5.98,5.81,5.21,5.43,4.51,4.86,4.2,4.27,4.3,3.79,3.96,4.07,4.47,4.11,3.82,4.17,4.71,4.75,4.77,3.46,3.98,3.98,4.19,4.21,4.64,5.11,5.41,5.89,6.8,8.04,9.89,13.05,16.97,20.74,23.05,25,27.45,29.53,31.86,34.36,36.87,39.46,41.92,44.1,45.29,47.34,51.14,54.46,57.96,61.33,63.8,65.85,67.57,68.86,69.58,69.73,70.69,70.9,69.3,67.99,66.96,66.64,67.13,67.33,67.47,67.25,66.54,65.4,61.77,59.56,61.74,62.48,62.97,61.72,59.73,58.44,59.48,61.83,64.99,68.48,72.35,74.32,74.52,74.9,75.27,77.68,79.84,81.83,81.85,81.04,79.98,78.81,77.51,76.45,74.83,73.73,71.97,70.04,68.1,65.74,63.15,60.4,58.02,56.96,55.12,52.77,52.24,51.01,49.05,46.65,43.95,40.53,37.39,35.46,34.24,31.82,30.53,29.61,28.02,26.82,26.2,24.01,24.56,26.4,27.58,29.39,31.04,33.61,35.89,38.14,40.49,41.2,41.63,43.38,45.11,46.07,47.45,46.86,45.77,44.82,43.81,36.95,36.27,34.74,32.82,32.73,28.2,29.18,29.01,27.05,24.2,21.82,20.79,19.68,19.01,19.16,19.38,18.91,18.63,19.28,22.63,23.36,25.44
395209,"Washington, DC",6,51.9,47.94,50.99,49.22,47.9,46.6,46.75,47.14,40.94,39.41,40.41,35.26,35.3,39.76,33.24,33.75,33.68,32.75,32.96,32.06,31.57,35.69,35.04,32.5,30.33,25.75,28.13,26.93,23.79,23.39,21.68,19.61,22.33,18.99,18.22,20.31,21.17,20.24,18.6,17.44,18.21,16.93,16.81,16.76,13.1,12.99,12.24,12.19,11.75,11.39,11.6,11.39,11.85,10.19,9.77,10.54,10.89,11.49,12,11.47,11.42,12.23,12.81,12.21,11.14,9.62,3.8,3.77,3.77,3.71,2.5,2.45,2.73,2.88,3.29,3.62,3.96,3.45,2.66,2.3,2.1,2.37,2.29,1.88,1.65,1.56,1.45,1.06,0.8,0.87,1.28,1.68,1.59,1.61,1.65,1.79,1.88,1.69,2.42,2.41,2.93,3,2.74,2.84,0.97,0.94,1.07,1.3,1.64,2.33,3.78,6.96,13.2,23.16,33.21,41.54,47.98,53.24,57.56,60.2,62.04,63.96,65.76,67.15,68.72,70.92,73.49,75.04,76.54,78.68,81.37,84.12,87.07,90.11,91.96,93.25,94.14,94.67,95.16,95.4,95.38,95.23,94.98,93.75,92.75,91.5,90.21,88.52,86.76,84.63,81.97,78.85,74.93,70.48,65.66,66.1,64.57,62.09,59.1,54.57,51.04,48.4,47.47,48.44,50.96,53.55,55.08,55.73,56.85,54.51,55.44,57.21,58.2,57.88,56.98,55.2,53.29,51.43,49.8,47.58,45.5,45.36,42.01,38.69,35.04,32.45,30.02,28.24,26.08,23.72,22.03,20.41,18.01,16.04,14.28,12.14,10.7,9.26,8.33,7.58,6.96,7.15,6.94,6.82,7.08,7.4,7.2,9.16,12.2,15.06,19.6,24.65,29.4,32.72,36.35,40.1,41.1,40.54,39.92,40.73,41.99,43.05,42.58,41.35,39.21,37.47,28.9,29.24,30.36,28.98,28.08,21.52,22.14,22.44,22.77,20.74,18.37,16.52,14.54,12.75,12.2,13.04,15.54,16.87,17.51,18.33,17.8,18.08
394856,"Miami-Fort Lauderdale, FL",7,45.82,43.44,41.24,45.45,43.06,40.65,41.84,41.9,38.52,39.79,37.08,35.42,33.23,32.54,32.67,29.88,31.23,31.16,27.86,27.27,28.14,26.99,29.44,27.66,30.97,28.23,28.32,28.52,26.55,26.38,25.84,26.34,24.16,25.6,21.81,21.88,20.6,19.87,17.95,17.45,16.88,16.31,15.78,14.19,13.87,12.46,12.95,11.43,11.02,11.42,10.56,9.91,9.54,8.77,7.82,8.01,7.18,7.37,7.76,6.83,7.11,7.2,7.69,7.43,6.89,6.78,4.31,4.22,4.44,4.26,4.05,4.2,4.22,4.15,4.09,3.99,4.3,4.33,4.67,4.72,4.56,4.51,4.37,4.17,3.87,3.7,3.55,3.16,2.59,2.26,1.95,1.78,1.64,1.58,1.4,1.2,1.07,0.97,0.87,0.67,0.62,0.56,0.55,0.55,0.22,0.22,0.25,0.35,0.44,0.49,0.65,0.99,1.91,3.61,7.07,12.29,18.79,26.54,33.52,38.71,43.91,49.34,54.83,60.45,65,68.94,72.92,76.31,79.93,83.94,86.92,89.39,92.23,94.92,96.54,97.4,98.04,98.36,98.64,98.89,98.99,99.07,99.18,98.34,97.44,96.61,95.82,95.22,94.79,94.65,94.45,93.43,92.06,89.93,87.16,87.97,87.53,85.05,82.13,78.25,75.94,73.7,71.37,72.96,74.27,75.67,77.11,77.57,77.79,77.28,76.71,77.7,77.67,77.24,76.19,73.44,68.3,65.08,60.89,56.77,52.35,47.94,42.78,37.21,32.37,26.85,23.21,20.01,18.86,17.21,15.14,13.6,12.4,11.28,10.61,9.59,8.83,8.23,7.99,8.08,6.66,6.59,6.76,6.4,6.47,6.66,6.42,8.01,9.39,10.58,11.94,13.06,16.28,17.73,19.18,21.02,21.54,21.81,18.28,16.36,15.96,16.69,15.99,16.26,16.57,16.95,11.62,12.56,13.41,13.73,14.37,9.02,9.93,13.34,11.93,11.33,11.02,10.95,10.66,11.21,11.29,12.5,13.03,13.35,13.14,19.21,17.62,17.45
394347,"Atlanta, GA",8,27.25,28.01,24.93,26.77,24.05,23.59,20.3,20.91,20.29,22.68,21.49,20.76,22.04,22.39,20.69,18.69,20.22,18.77,17.91,17.72,17.59,17.39,17.55,14.26,14.41,14.91,14.69,14.59,13.11,12.68,13.42,12.55,12.51,12.52,13.33,11.87,11.73,13.24,12.98,14.51,14.52,15.84,14.82,16.05,16.26,16.57,15.99,18.83,19.44,19.43,20.73,20.31,19.52,19.59,19.46,19.61,21,21.52,23.24,23.11,23.02,24.3,24.22,25.25,25.21,25.56,21.75,21.36,20.81,23.27,23.49,23.42,24.95,26.58,25.69,26.31,29.2,27.56,27.07,26.84,29.41,26.85,25.61,28.1,28.05,25.09,25.47,24.16,24.81,23.62,22.31,24.1,22.69,23.75,22.47,21.77,19.31,22.09,19.77,19.51,20.16,20.27,20.5,19.96,13.83,13.98,15.31,15.91,16.04,16.65,17.1,17.43,17.5,17.66,17.99,18.2,19.37,20.95,23.4,27.28,31.25,32.86,33.51,34.33,36.97,39.39,41.95,44.65,47.51,51.21,54.34,53.52,54.63,58.4,63.08,68.36,71.86,75.27,78.93,82.6,84.64,86.96,88.69,86.72,84.92,83.83,83.49,82.7,82.33,81.78,80.38,78.62,77.31,73.81,71.45,75.68,77.03,76.86,76.1,75.04,74.39,75,76.49,77.57,78.31,79.41,79.99,80.77,82.68,83.13,83.91,85.25,85.73,85.76,85.21,84.71,83.55,82.47,79.43,76.47,73.68,71.4,67.89,63.66,60.66,56.4,52.49,48.98,46.65,44.6,43.41,41.97,38.59,35.27,32.3,29.06,25.39,22.39,19.47,17.71,15.87,13.71,12.81,12.22,12.15,11.99,10.5,11.27,13.17,14.61,16.87,18.73,20.99,23.87,25.85,27.46,27.51,26.8,23.88,22.65,23.03,23.79,23.78,24.21,24.88,24.91,15.62,14.91,14.94,14.82,14.65,8.32,8.71,9.68,10.12,9.86,9.77,9.57,9.07,8.93,8.9,9.2,10.26,10.84,10.73,9.8,9.8,10.17
394404,"Boston, MA",9,22.8,21.35,19.52,17.69,18.51,15.6,16.49,16.55,12.4,11.45,9.5,9.99,9.69,9.32,7.92,7.03,6.39,5.37,5.71,5.37,6.14,5.77,6.44,5.32,4.92,5.21,4.69,4.84,4.4,3.79,3.24,3.03,3.18,3.48,3.46,4.76,2.75,2.32,2.54,2.39,2.15,1.93,2.18,2.1,1.92,1.43,1.58,1.09,1.32,1.5,1.53,1.58,1.99,2.02,1.7,1.77,2.62,3.03,4.26,5.22,5.51,6.11,5.66,5.58,4.37,4.1,3.78,4.18,3.06,2.89,2.42,2.98,4.67,4.71,6.31,5.93,10.36,12.01,13.17,12.61,14.3,15.5,14.16,14.25,10.01,8.88,6.45,6.64,5.47,5.03,5.08,5.15,6.36,6.69,7.63,8.11,10.26,9.04,7.81,8.1,9.28,10.12,13.14,12.58,8.52,11.26,16.48,22.95,30.38,37.21,44.15,52.57,59.5,66.02,71.34,76.47,80.31,82.46,82.56,82.62,81.72,81.57,81.9,80.37,79.71,78.33,77.49,76.12,74.62,73.74,73.66,74.74,77.45,81.03,83.44,85.08,85.37,85.58,84.77,84.77,85.18,85.3,86.77,86.52,85.6,83.66,81.26,78.35,74.86,70.82,67.78,63.21,58.69,53.1,46.81,43.64,40.63,37.64,35.54,33.53,33.65,35.45,38.75,42.61,45.87,51.73,55.15,56.36,58.48,58.96,60.3,62.7,64.16,65.74,64.87,64.56,63.85,61.38,59.98,58.47,55.03,51.99,47.92,42.47,37.8,33.13,30.02,27.41,25.57,23.49,21.36,19.08,17.22,14.95,13.03,11.61,9.67,8.23,7.1,6.33,5.79,5.36,4.98,4.76,4.59,5.02,4.58,5.46,7.32,9.96,13.86,17.66,20.49,23.44,28.17,32.43,29.4,24.59,20.44,20.66,20.7,21.95,17.14,13.95,14.67,15.51,10.92,10.67,11.9,13.76,13.77,8.06,7.52,9.03,8.95,8.23,7.39,7.68,7.53,7.79,6.53,5.96,6.18,5.66,5.37,6.31,6.24,6.86
