"RegionID","RegionName","SizeRank","1996-04","1996-05","1996-06","1996-07","1996-08","1996-09","1996-10","1996-11","1996-12","1997-01","1997-02","1997-03","1997-04","1997-05","1997-06","1997-07","1997-08","1997-09","1997-10","1997-11","1997-12","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09"
102001,"United States",0,67700,67400,67000,66800,66700,66600,66500,66400,66400,66500,66900,67300,67400,67700,68200,68500,68700,68900,69100,69600,70100,70400,70900,71300,71300,71400,71900,72500,72900,73100,73600,74000,74300,74500,74900,75400,75900,76200,76400,76800,77300,77900,78500,78900,79300,79800,80400,81000,81800,82700,83200,83500,84100,84700,85400,86100,86800,87700,88400,89200,90000,90800,91600,92500,93300,94100,94600,95300,96100,97000,97500,98000,98700,99500,100200,101000,101900,103100,104100,104900,105900,106900,107800,108700,109500,110600,111900,113100,114000,114800,115800,117000,118100,119100,120500,122000,123600,125300,127000,128600,130300,132000,133700,135500,137000,138600,140300,142300,144100,145600,147400,149400,151100,152700,154500,156200,157900,159400,160700,161800,162900,163700,164200,164400,164800,165100,165100,165100,165100,165000,165000,164900,164800,164500,163900,163300,162800,162100,161100,160100,158900,157900,156500,154700,152600,150800,149200,147800,146400,144800,143300,141900,140500,139100,137800,136600,135100,133600,132100,130900,129900,128900,128000,127100,126200,125300,124200,123400,122700,122000,121300,120400,119400,118500,117900,117300,116700,115900,115300,114800,114300,113500,112600,111700,111100,110600,110100,109500,109200,109100,108900,108700,108700,109000,109400,109700,110000,110300,110600,111200,112000,112600,113300,114300,115200,116100,116800,117800,118700,119600,120300,121000,121400,122000,122600,123000,123700,124600,125500,126200,126700,127200,127800,128400,129000,129700,130400,131100,132000,132700,133300,134100,134900,135500,136200,137000,137700,138300,138900,139600,140400,141400,142500,143700,144800,145900,147000,148300,149600,150400,151300,152300,153200,154200,155400,156100,157100,158100
394913,"New York, NY",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,251400,253500,256400,258900,258900,258800,261800,266400,269900,273600,277000,279400,281800,284800,288000,291400,292800,293200,295600,299500,301300,301800,301500,300700,300100,300100,299900,300000,298200,295400,294100,294900,295600,296600,296300,295400,295000,295200,294700,293400,291400,289800,289200,288600,287200,285600,284000,282300,280500,278100,275600,274200,273400,272900,272300,271300,269700,267800,265400,262900,261200,259700,258500,257300,255700,254300,253600,252600,250900,248900,247400,246200,244500,242000,239800,238800,238500,236900,233700,230800,229300,228700,227400,226000,224900,224100,222800,221300,219800,218500,217200,216000,215100,214500,214500,215100,216000,216400,216300,216000,215700,215400,215200,215400,215600,216100,217000,218000,219000,219600,219900,220000,220400,221100,221800,222100,222000,221800,222100,222800,223400,223900,224900,225600,225900,225900,226600,227400,228300,229500,230300,230800,231800,233300,234700,235200,235700,237000,238000,238600,239000,239500,239800,240200,240800,242200,243800,246000,248000,250100,253100,257500,262000,265200,267200,268400,269400,270400
753899,"Los Angeles-Long Beach-Anaheim, CA",2,94300,92900,92000,91300,91100,91100,91100,91000,91000,91100,91300,91500,91700,92100,92400,92600,93100,94000,94700,95700,96800,97900,99000,100800,102900,104600,105300,105800,106400,107300,108300,109100,109100,109100,109700,110500,111500,112400,112900,113400,113900,114500,115500,116800,118200,119600,120600,121500,122700,124000,125600,127500,129200,130300,131300,132700,134600,136700,138900,140700,141700,142600,144000,145500,147000,148600,150000,151600,153700,156100,158300,160600,162800,164800,167300,170000,172500,174800,177600,181300,185200,188500,191600,195400,199200,202700,205600,209300,214000,219900,225600,230700,235800,241000,246800,253700,262400,272200,281500,289400,296200,301200,304800,307500,310200,313500,317300,320800,324800,329700,335200,341200,347100,352700,358600,363900,367500,370000,372700,374800,375400,376300,378600,380500,381200,381800,381800,381100,379800,378800,378000,377000,375700,374200,371700,368700,365600,362600,360000,357500,354000,349600,344300,338300,331400,324100,316100,308600,302300,297200,292100,287900,282800,277100,272100,268400,264600,261500,258600,256500,254500,252600,250400,248100,249100,252400,253200,251100,250400,249100,247200,246300,245700,243400,242200,241900,241000,239300,237800,235800,233700,231200,228500,225300,222400,220700,219000,216800,214900,214200,214400,214800,214400,215600,218400,220300,220800,222400,225400,229300,233100,236800,242000,248600,255500,262000,268700,275700,282900,289300,293900,296600,297500,297300,297400,299300,301800,303700,305100,306900,308000,309400,310500,311800,313600,315700,317600,320400,323100,325200,327500,330400,333200,335600,338200,341100,343400,345400,347500,350100,353000,355400,356200,356600,358800,362300,365400,368700,371500,374200,376800,379300,381700,385100,388200,391500,395100,398300
394463,"Chicago, IL",3,87300,86900,86400,86100,85900,86000,86000,86300,86700,87000,87200,87500,87600,87300,87200,87500,87800,88200,88600,88900,89300,89900,90400,90600,91100,91700,92000,92400,93000,94000,95000,95500,95700,96000,96800,97800,98900,99900,100700,101500,102600,103500,104400,105800,107200,108400,109500,110700,112300,114200,116400,118200,119400,120000,120700,121900,123500,125300,126700,128000,129300,130500,131500,132800,134300,136100,137800,139300,140900,142400,143400,144000,144800,145400,146100,146700,147500,148200,148900,149300,150200,151600,153200,154900,156300,157500,158800,160000,160900,161300,161500,161500,161500,161600,162100,162100,162100,162700,163300,164000,164700,165500,166300,167600,167800,167100,167300,168600,169200,170000,170900,171500,171800,172500,173400,173900,174400,175600,176600,176900,177200,177500,177500,177800,178100,177900,177500,177500,178000,178700,178900,179000,179100,179000,178600,178200,177700,177600,177700,177700,177500,177300,176900,175900,174800,173700,172700,171400,170100,169000,167800,166300,163500,159400,155600,153100,151000,148800,147200,146200,145300,144700,144100,143200,142700,142400,141700,140700,139800,138600,136700,134300,132500,131300,130200,128700,127600,127100,126000,124200,122300,120300,118200,116800,115700,113700,110900,108500,107100,106500,106000,105300,104800,104500,104300,103800,102800,101700,101300,101800,101800,101500,101900,102600,103400,104900,106800,108300,109400,110300,111000,111600,112300,113000,114000,114900,115100,115000,115900,117200,118300,119200,120000,120600,120700,120500,120000,120100,120900,121700,121700,121400,121400,121900,122300,122600,123100,123700,124000,124500,125800,127300,128500,129400,129900,130200,131100,132100,133100,133700,134500,135900,136500,136000,135600,135800,136600,137500
394514,"Dallas-Fort Worth, TX",4,51300,51000,50800,50700,50600,50700,50800,50900,51000,50900,50900,50900,50600,50400,49800,49300,48600,48200,47900,47700,47600,47600,47700,47900,48100,48200,48600,49000,49500,49500,49400,49700,50100,50800,51100,51700,53100,54700,56100,56500,56600,56600,56700,56900,57100,57400,57600,57400,57000,56600,56500,56700,57100,57500,57500,57300,57300,57300,57400,57400,57500,57500,57400,57200,57100,57300,57800,58300,58600,58400,58400,58500,58700,58700,58600,59000,59500,59900,60300,60600,61000,61400,62000,62500,63000,63200,63500,64100,64400,64700,64600,64700,64700,65100,65400,65900,66600,67600,68500,69000,69400,69700,70100,70400,70500,70500,70700,71000,71400,71600,71700,71700,71900,72100,72300,72700,73300,73800,74000,74200,74300,74200,74300,74600,75000,75500,75800,75900,75700,75900,76400,76900,77200,77200,77200,77200,77300,77500,77700,77900,78200,78300,77900,77000,75900,75100,74300,73700,73200,73100,73200,73400,73600,74200,74800,75300,75500,75700,75800,75700,75400,75100,75200,75200,74900,73500,72200,70900,70300,70200,70100,70400,70400,69900,69000,68100,67500,66900,66600,66600,67100,67400,67600,67300,67100,66700,66500,66100,66300,66500,66700,66900,67300,67600,67700,67500,67100,66700,66500,66600,66900,67500,68000,68400,68500,68600,68700,69000,69200,69400,70100,70500,71000,71700,72100,72000,71600,71600,71800,72500,73000,73300,74500,75100,76100,78100,81100,84400,87000,88300,88800,89800,91200,93400,96000,98100,100100,102400,104300,105800,106900,109000,111200,114000,116800,120100,124800,126900,127000,125600,125000,125300,127200,129700,133000,135300,138300,141600
394974,"Philadelphia, PA",5,72500,71800,71500,71000,70300,69900,69600,69300,69100,69100,69400,69800,69800,69600,69300,69200,69200,69200,69000,69000,69300,69800,70200,70400,70500,70900,71400,71500,71400,71600,71900,72000,72300,72600,72600,73000,73600,74000,74300,75000,75700,76100,76500,76900,77300,77800,78500,78900,79400,80000,80800,81200,81700,82400,83200,83700,84500,85400,86000,86300,87000,87600,87900,88200,88900,90000,90900,91400,91600,91800,92100,93100,94500,95500,96300,97500,99000,100500,101700,103300,105000,106600,108400,110100,111600,112900,114100,115400,116800,118100,119900,122100,123900,125300,126600,128200,130000,131800,134400,137200,139200,140200,141600,143300,145100,146500,148100,149500,151100,152900,154600,156000,157500,159200,160500,161700,162800,163800,164800,165700,166200,166800,167500,167700,167900,168100,168400,168500,168600,169200,170100,170400,170400,170600,170400,170300,170600,170900,170400,169500,168300,167200,166100,165400,164700,164200,163800,163600,163300,162900,162700,162500,162400,162500,162700,162800,162700,162100,161900,161900,161700,161600,161600,161500,161900,162300,161500,160400,160400,160500,160000,158800,157200,155700,154700,153700,153000,152400,152100,151400,150300,148900,147700,146900,146500,145600,144900,144600,144400,144100,143600,143200,143100,143500,143700,143400,143200,143300,143000,143100,143500,143900,144000,144700,145200,145600,146000,146600,146900,147000,147200,147400,147000,147000,147400,147900,147600,147000,146800,147200,147500,147800,148200,148000,147700,147700,148300,149100,149600,150100,150900,151600,151900,152300,153000,153500,153400,152800,152500,152300,152500,153000,153500,153700,154200,154600,154900,155600,156400,156300,156000,156000,156000,155600,154700,154200,154900,155800
394692,"Houston, TX",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63800,63700,63700,63400,63100,62700,62100,61900,61900,62600,63300,63900,63900,63300,62400,61400,61000,60800,60700,60200,60100,60000,60500,60700,60600,60000,59500,59300,59200,59200,59500,59700,60000,59600,59900,60200,61400,61800,62100,61800,61800,62200,63100,63000,63400,63500,64500,65900,67400,68600,68800,68300,68500,69600,71200,70400,69900,69600,71100,73200,75300,76300,76000,75100,75300,77000,78900,78700,78600,78700,79700,81400,83700,85300,85500,84300,83300,84400,86600,88200,89300,90300,90300,89800,88500,87300,93500,105200,111400,108900,100900
395209,"Washington, DC",7,84300,83700,82800,82100,81700,81600,81700,81900,82200,82400,82200,82000,81600,82200,83900,85500,85800,85600,85400,85500,85700,86100,86500,87100,87700,87600,87200,87100,87200,87400,87800,88300,88500,88500,88900,89800,90900,91900,92800,93200,93700,94400,95200,95800,96300,97200,98800,100100,100900,101700,102700,103900,105000,106000,106800,107800,109000,110600,112400,114100,115800,117400,119200,121600,124500,127000,129300,131800,134100,136300,138200,140200,142500,145500,148600,151800,155200,159000,162300,165600,169100,172400,175400,178100,180000,181600,183000,184700,186900,189800,192700,196400,200600,205000,209100,213200,218200,224000,229900,235500,241000,246700,252200,256800,261400,266200,271200,276500,282800,289000,294700,299300,302500,304600,306500,308300,309000,308700,307700,306400,304600,302300,299500,296400,293200,290500,288700,287000,285200,284000,284000,284200,284000,283600,283100,282200,280900,279600,278100,276200,274000,272300,270600,268600,266500,264300,262000,260600,260100,259400,258600,257600,256300,254600,252900,251100,249300,247600,246400,245900,246100,246500,246700,246400,247500,249100,249600,249100,249700,250300,250500,249900,249100,248600,247900,247600,247200,246400,246000,246700,246800,246500,246400,246300,245600,244700,244300,244800,244900,244700,244800,245100,244800,244400,244400,244900,245200,244700,244700,246100,247700,249100,250700,252900,255400,258300,261300,263800,266000,268400,269800,269700,269700,270200,270400,270500,271400,272500,273000,273200,273400,273400,273900,274900,275200,275200,275900,277200,278700,279400,279400,279000,278500,278600,279100,279000,277800,276300,275200,275000,275000,275200,275000,274600,275200,276600,277700,278900,280600,283300,285100,284300,281500,279800,279600,280200,281000,281900
394856,"Miami-Fort Lauderdale, FL",8,46000,45500,45400,45300,45100,45000,44800,44600,44500,44600,44700,44800,44800,45000,45200,45300,45500,45800,45900,46100,46500,46700,46700,46800,46900,47200,47500,47600,47600,47500,47800,48100,48100,48200,48300,48500,48800,49100,49300,49500,49700,50000,50100,50200,50400,50800,51200,51600,52000,52300,52700,53100,53400,53800,54400,54900,55200,55600,56400,57400,58100,58600,59100,59900,60600,61200,61900,62800,63600,64500,65300,66100,67000,68200,69100,69900,70600,71400,72400,73500,74800,76100,77500,78800,80300,81500,82300,83000,84200,85700,87000,88400,90000,91500,92800,94100,95600,97800,100500,103600,106800,110100,113100,116000,119000,122000,124900,128400,132400,135900,139900,144200,148300,151800,155100,157900,160200,162300,164400,166100,167300,168500,168900,169200,169500,169900,170300,170500,169500,168100,167500,167100,166200,165000,163800,162400,161100,159700,158000,156400,153800,150500,147300,144200,140500,136300,132200,128400,124200,119200,114300,109300,104400,100600,97200,93400,89400,86400,83800,81200,78900,76900,75000,73300,73200,74100,74000,72500,71600,70900,69800,68000,66200,65200,64500,63900,63300,62300,61400,61200,61000,60300,59800,59900,60200,60400,60300,60100,60100,60100,60200,60400,61000,61800,62900,64000,65000,65600,66600,68400,70100,70700,71400,73100,74900,76200,77200,78200,79200,80700,82400,83500,84100,84900,85700,86300,86900,87900,89000,90200,90900,91500,92500,93900,94600,95400,96700,98300,99600,101100,102500,103800,105200,106700,108000,108800,109000,109200,109900,111100,112300,113500,115100,116700,117600,118200,119000,119900,120800,121500,122400,122900,123100,123500,123800,124400,125900,127400
394347,"Atlanta, GA",9,81700,82100,81900,81500,81300,80900,80500,79900,79700,80200,81200,82400,84100,85900,87100,87900,88600,89000,89600,90100,90400,90500,91200,92000,92600,93400,94500,96000,97900,99600,101000,102400,103600,105000,106800,108200,108800,109700,111900,114700,117300,119800,121400,122700,124600,126400,127300,128100,128900,129900,130600,131300,132200,133100,134000,135000,136300,137500,138500,139600,140400,140600,140400,140000,139700,139800,140700,141700,141700,141500,141900,142400,142800,143100,142600,141800,141600,142000,142600,142800,142700,142700,142900,142700,142700,143000,143500,143900,143900,143000,142100,142200,142800,142800,142700,143100,143600,143900,144300,144800,145300,146000,146300,146200,146200,146800,147600,148300,148600,148800,149300,150300,150700,150400,150100,150100,150400,150800,150800,150100,149600,149900,150100,150300,150700,151500,152200,153000,153500,153800,154000,154200,154200,153900,153500,152600,152000,151800,152000,152000,151400,150500,149400,148300,147300,146500,145300,144100,142300,140700,139200,137500,135900,135300,134600,133200,131200,129200,127700,126400,125300,124300,123300,122400,121400,119700,117900,116900,116600,115700,114300,112900,111600,110300,108800,107000,105400,103900,102500,100800,98400,96300,94700,93100,91300,89600,88000,86500,85300,84800,84200,83000,82100,81800,81600,81400,81400,81300,81600,82300,83100,83800,85000,86900,89400,92400,95000,97300,99800,102400,104100,105800,107000,107300,107500,108700,110400,110900,111200,112700,114100,115100,116600,117800,118600,119600,121000,122400,123400,124300,125900,127400,128000,129000,130700,132600,133900,135000,136000,137400,139200,140800,141800,142500,143700,144900,146000,147200,148600,150300,151300,151600,152200,153900,155700,156700,158700,161300
