"RegionID","RegionName","SizeRank","1996-04","1996-05","1996-06","1996-07","1996-08","1996-09","1996-10","1996-11","1996-12","1997-01","1997-02","1997-03","1997-04","1997-05","1997-06","1997-07","1997-08","1997-09","1997-10","1997-11","1997-12","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09"
102001,"United States",0,201100,201000,200600,200200,200100,199900,200100,200600,201500,202400,203300,204300,205100,206100,207300,208400,209200,210300,211400,212400,213500,215000,216400,217200,217400,217500,218900,220900,222600,223600,224600,225700,227100,228300,229600,231200,232900,234600,236100,237400,238500,240000,241400,243000,244500,246200,248300,250100,251900,253900,255700,257200,258800,260500,262200,263900,265700,267700,269600,271400,273300,275100,276700,278200,279700,281300,282700,284000,285300,287000,288900,290800,292600,294300,296000,298000,300600,303100,305300,307300,309500,311600,313700,315700,317700,319800,322000,324300,326600,328900,331500,334800,338000,340800,344000,347600,351500,355700,360000,364300,368300,372300,376600,380900,384900,388600,392300,396800,401500,406100,410400,414800,419200,423600,427700,431300,434300,437100,439800,442500,445300,447700,449500,451000,452400,453300,453600,453600,454200,455100,455900,456400,456400,456000,455300,454200,452500,450300,448000,445400,441600,438100,434000,428800,423100,418400,413800,409500,405800,402500,399400,396500,393600,390700,387800,384900,381500,377700,374200,371600,369800,367900,366200,364700,364000,363300,362100,360700,359800,358800,357500,355700,353700,351800,350000,348600,347300,345900,344700,343400,342300,341500,340800,339700,338700,338000,337400,337000,336900,336800,337000,337900,338800,339600,340800,342300,344000,345500,346900,348400,350000,351900,354000,356500,359400,362500,365700,368900,371600,374000,376200,378100,379600,381100,382500,383900,385500,387400,389100,390400,391200,392500,393900,395200,396200,397300,399000,401000,403000,404900,406500,408100,409900,411600,413000,414300,415900,417500,419500,421400,422700,423800,425600,427400,428800,430600,432900,435600,437800,439000,439700,441100,442700,444400,445700,447000,448700,450300
394913,"New York, NY",1,258200,258400,258200,257700,257000,256500,254300,251600,251100,253500,256800,259500,261000,262200,263600,264700,265800,267000,268300,270000,271600,273000,274800,276900,278700,280200,281500,283200,285200,287100,289600,292200,294300,296500,299300,301900,304100,306400,309700,313700,317300,320800,324700,328600,332600,337100,340800,344100,347900,352100,356400,360300,363200,366300,370400,374700,379200,383500,386900,389200,391500,394600,398100,402000,406500,411500,416200,420200,423600,426600,430600,435500,441000,446300,451100,455700,461500,466900,471300,475900,480800,486200,492200,497900,503000,508300,513600,518800,524200,529200,534000,539400,544800,549400,553700,558100,563200,568500,573300,578400,584400,590900,597800,604800,611400,617900,624900,632800,640200,646900,654200,661000,665900,670200,675400,680700,685500,689600,692300,694500,696200,697200,697600,697900,697700,696700,695200,693500,690600,687700,686400,686500,687000,687800,687600,686900,685600,683500,680900,679400,678300,676400,674200,671900,668700,664200,658700,653400,649000,646300,644800,642000,638800,637400,635600,631400,627100,623400,619700,616300,613600,611800,610600,609100,608200,607500,606200,604200,602600,601500,601000,599600,597500,594900,592500,590700,589600,587900,585200,583100,582600,582900,583200,582900,582000,580300,578100,576100,573800,571600,570700,571000,569800,568200,567800,569400,571900,574500,575300,575500,576300,577200,577700,578700,579900,581400,583800,586800,589200,589900,589700,590000,591100,592300,593800,594800,596500,599100,602300,604600,606300,607200,607800,608500,609900,611600,613300,614800,616300,617300,618100,619200,620900,623300,626300,628700,629500,630000,631500,633600,635400,637000,637800,638900,641000,644000,647300,650900,653600,656100,659100,662400,665000,666800,667600,667700,668000,668600
753899,"Los Angeles-Long Beach-Anaheim, CA",2,324000,322900,321900,320400,318600,316900,316600,317500,319700,322500,324800,326400,328000,329800,332000,334500,336700,338500,340300,342700,346100,349900,353400,358700,365200,370700,372700,373400,375300,378400,381800,385800,389400,391200,393400,396100,398000,400200,404200,408500,411700,414600,417400,420800,424600,427500,430200,433200,435200,436000,436900,439300,442700,446900,451000,454300,457600,462200,466900,471100,474300,475800,476600,478800,481600,484800,488700,493300,497800,502900,507500,511100,515400,521500,529100,537100,545600,553800,561400,568600,576100,584000,592900,601300,609800,618900,627600,635900,644400,653300,663300,673700,684000,694600,705900,719000,735800,754100,771300,786700,800700,811700,820400,827900,834300,840200,847700,856600,865700,876000,887400,899000,910500,921900,932300,941800,950100,956900,963300,969700,972900,974000,975900,977700,977200,976700,977000,976500,973500,971800,971600,970700,969200,967400,963800,958700,953100,946300,938400,928700,920500,913100,903200,889000,873300,858700,846400,834500,824000,816000,809400,802100,796800,793000,786800,778000,770200,763700,759300,757600,757500,758400,759300,760000,759500,757500,755300,754600,756100,757500,755900,752000,748100,742700,738100,737300,738000,737200,735800,733800,730200,727100,724200,720600,716700,713700,711300,709600,707000,703200,702200,706000,711000,715900,721300,728500,734200,736600,738700,743800,750700,757900,766800,778600,792000,802800,810800,817500,826000,835800,844000,848600,851300,853900,856800,861100,864800,867200,870100,874100,877000,880000,883600,885400,887700,894200,901500,906600,910300,913100,914900,916800,918700,922300,927100,932400,937300,942500,947300,949800,949300,947500,947900,949100,950800,955300,961900,966700,969700,972700,974100,974300,976300,981800,988100,994200,1000400,1005700
394463,"Chicago, IL",3,257200,256500,256500,256900,257100,257300,257600,257900,258000,258500,259200,259600,260300,261600,262400,263000,264000,265100,265900,266800,268000,269900,272000,273800,275100,275800,275700,275500,276100,277000,278100,278700,280100,282400,284200,285400,287200,289100,290700,292300,293900,295800,298100,300800,303700,306600,309200,311800,314200,316000,317800,320200,322300,324400,326500,328300,331200,335100,338100,340000,342300,344400,346400,348100,349800,351600,353600,355000,357000,359700,362100,363400,364700,366000,367300,368600,370200,372200,374400,376800,380500,384500,387500,389500,391800,394500,398200,402200,405000,406200,406500,406900,409100,412400,414900,416600,418600,420600,423000,425900,429100,431600,434300,439400,435700,425300,421200,425000,426600,428700,431100,432900,434200,436400,439200,441100,443800,447700,450500,451600,453200,455000,456200,457100,458100,459200,460100,460400,462100,465300,467600,468400,469400,469900,469500,468500,466700,464200,461300,458600,457300,456800,454900,451400,448500,446000,442800,438700,436200,435100,433200,429300,427600,428400,427700,424500,421400,418000,414300,411400,409500,408300,407300,407200,402700,394800,389200,387700,385500,383000,380000,376900,373900,370700,367700,365400,364800,365200,364600,362100,359300,356600,354900,353800,352400,350500,348900,348000,347500,346000,343900,342100,341700,341900,343600,346800,349000,348500,348100,348700,349500,350200,351700,353900,356100,358400,361600,364800,367000,369000,370300,370700,371400,373200,375000,376400,377700,379000,380400,382000,383100,383900,384200,384100,384100,384900,386100,387500,389200,390400,389400,385600,383000,384500,387200,388200,388800,389400,390100,391500,393100,394600,395700,396500,396800,397100,397700,398500,400100,402200,403800,404200,404400,404600,404200,403400,403900,404800
394514,"Dallas-Fort Worth, TX",4,215500,219700,222900,225000,227000,226400,227800,229200,227500,225400,225900,226500,227600,228800,229900,231400,232800,234400,235100,235700,237200,239000,240200,240900,240700,240500,240400,240700,241600,242200,242200,242600,243700,244900,246100,247600,248600,249300,250400,251700,252600,253700,254600,256000,257900,259600,260400,260700,260300,260100,259900,259000,257800,257800,258000,258100,258600,259400,261600,265500,268800,270400,271600,272300,272900,274100,275700,277100,278300,279600,280200,279700,279500,280100,281100,282100,282900,283200,283700,284500,284400,283600,283300,283100,282800,282400,282300,282500,282900,283400,283700,283600,284200,285700,288000,290700,293300,295200,296800,298700,300800,302700,303900,305100,306800,308400,309200,310000,311300,312700,313800,315100,316700,318000,319400,320800,321700,322300,323300,324700,326100,327700,329400,330700,331800,332800,333700,334800,335600,336400,337200,338100,338900,339600,340500,341600,342800,344000,345500,347100,347000,345200,342500,340100,337800,335900,334000,332300,330800,329700,328600,327700,326100,324300,322900,321600,320000,318300,317100,316300,316300,316600,317100,316800,319700,324800,328000,328100,329100,329900,330100,329700,328900,327700,326200,325300,324900,324600,324500,324600,324200,323900,323700,323700,323800,323600,323200,323500,324200,324900,325600,326700,328200,329600,330400,331000,331900,333300,335100,336200,336700,337100,338700,341200,344000,347200,351000,354500,357500,360300,363100,365800,367600,368300,369700,372300,374500,376300,378700,381200,383400,385500,387400,389400,391000,393000,395500,398700,402600,406600,409500,412600,416100,419400,422500,425600,428200,430900,433700,435300,436400,438400,441800,444700,446600,448500,451000,453200,454900,456900,459900,462900,464800,466000,467000,467500,468200,469500
394974,"Philadelphia, PA",5,213900,212800,212000,211400,210800,210000,209600,209700,210100,210400,211200,212000,212600,212900,213400,214000,214400,215100,216100,217000,217700,219000,220900,222500,223400,224100,224700,224900,224800,224700,224900,225500,226200,227100,228300,229400,230300,230500,231000,232400,234100,235600,237000,238200,239300,240400,241800,243600,245600,247700,249700,251600,253400,255400,257400,259500,261800,264000,266000,267700,269700,272100,274600,277000,279700,282200,284200,285900,288200,290700,292700,294600,296800,299400,302100,305300,308900,312700,316100,319400,322900,326700,330300,333300,336400,339400,342400,345500,348700,352200,356000,359600,362700,365500,368800,372800,376900,381000,385300,389100,392500,396000,399700,403200,407100,410900,414000,416900,420400,424200,428100,432100,435900,439400,443100,446700,449600,451400,453000,454600,456200,457300,458300,458700,458400,458000,457600,456600,455700,455700,456400,456700,456600,456600,456700,457000,456700,455600,454300,453900,453400,452700,452000,451500,450700,449500,447600,446200,445200,444400,442900,441000,439600,439000,438500,437300,435500,433200,431200,429600,428300,427700,427500,427600,424800,419400,415100,414300,414600,415000,414100,411500,409000,407000,405500,404200,404700,405800,406400,405200,403400,401500,400100,399200,398200,397100,396400,395700,396300,398300,399600,399000,398000,397100,397000,397400,398200,398400,398500,399000,399600,400200,401000,402200,404300,406700,408400,409500,410600,412200,413700,414500,415700,417500,418600,418700,418900,419900,421400,422500,423000,423300,423800,424100,424200,423800,424800,426700,427900,428700,430700,433000,434200,434400,434600,435200,435300,434800,434800,435300,435300,435000,435100,437100,440000,442500,443700,444300,444500,444800,444600,445300,447500,450000,450900,451400,452200,452700
394692,"Houston, TX",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,298400,298200,297700,297100,295700,294100,291500,288900,286300,284800,286900,289500,291600,291000,290700,291200,290500,289600,288600,287500,286300,284900,286600,288500,290700,290000,290500,291000,292000,292000,291800,291900,292200,292500,295000,297700,301100,303300,305500,307800,310400,312700,314100,315900,317400,320000,323600,327200,330500,332500,334500,336000,338000,339300,341000,343900,346000,347700,350300,353200,356700,359000,360900,361600,361500,361200,361700,363500,364600,364900,366500,367800,369600,369800,368800,366600,362500,359500,357200,359100,359400,360100,359800,359300,357700,356000,354900,354700,355700,358700,362200
395209,"Washington, DC",7,269500,268700,267700,266800,266300,266200,266800,267800,268800,270100,271500,272700,272900,274200,276800,278500,278800,279400,280200,281600,282900,284000,285200,286300,286900,286900,286600,286500,287100,288300,289800,291100,292600,294700,296800,298800,300800,303300,306100,309400,312900,315600,317400,319400,322800,326800,330200,333500,337500,341700,345700,349600,353700,357500,361300,365600,370100,374400,378600,383100,387800,392400,396800,401400,405900,410100,414200,417900,420800,424000,427800,431900,435800,440100,444700,449200,453700,458300,462700,467000,471600,476500,481400,486000,490500,494600,498500,502600,507400,513300,520200,527200,533700,540600,548400,557100,566400,575800,585900,597200,608600,618700,629000,640100,651200,661600,671800,682500,693200,704000,714300,723400,731000,737400,742100,745600,747600,748100,747800,746700,744000,740000,734800,729300,724600,721200,718500,715600,712100,709000,706800,705500,704300,703000,700700,697700,694400,691300,688200,684600,678500,671400,664400,657800,650900,644700,639000,633900,629400,624600,619500,614600,609300,604000,600100,596900,593200,589800,587700,587200,588000,589500,591300,591300,596900,606400,612200,612100,613100,613400,613600,612900,610800,607900,605600,605200,605500,605200,604300,604700,606200,608500,610000,610400,610600,610700,610700,610800,610000,608800,608400,609400,611600,614300,616800,619800,622000,623200,624700,627600,629400,629500,631300,636100,640800,645900,652100,657800,662600,667400,670500,671900,672200,672600,673000,673800,674900,675900,676200,675900,675200,674600,674900,676700,678500,679800,682000,685100,686200,685800,684900,684600,685400,686300,686900,687700,688200,688700,689900,691600,692600,693200,693800,694600,696300,698800,702400,706600,710000,713000,715200,714900,712600,710500,708800,708200,709500,711300
394856,"Miami-Fort Lauderdale, FL",8,277400,276800,275700,273400,270500,268400,267800,267600,268200,271200,274100,274400,273700,273200,273600,274700,274300,274300,276700,279300,280200,282000,283500,283500,283000,284800,287000,288000,287600,286800,286300,287900,289600,290100,291400,294500,297400,298900,298800,297200,295900,297500,300300,302700,304700,307100,309300,312400,316700,321100,324000,325100,325100,326600,330200,335100,340500,345400,348700,351700,354300,355900,358300,362800,366800,368900,372200,376100,379200,384100,394100,401800,405100,407900,413500,425500,448200,464700,464200,458600,456700,453000,447100,443200,442900,445100,449100,453000,455100,457900,463100,468800,473600,479200,485800,493400,502000,510500,517700,523300,527700,534800,546600,559900,573300,586600,598400,610800,626000,642500,657800,670100,678900,687600,698200,709600,716900,721600,727700,734500,739300,742400,744500,745000,743600,742000,743500,746300,746400,744300,743000,741800,736900,729900,722500,715600,708800,702000,693100,683900,671200,654900,638400,625400,613200,600300,587100,575300,564100,552700,539800,525600,514200,508200,503200,496300,490000,485900,482300,477400,473000,470500,470000,468100,475900,489400,494700,488700,484300,480900,478300,476400,474000,471300,468900,466200,459700,453500,451400,452400,452000,452000,451800,452300,453000,453300,452800,453800,454800,454700,456100,458700,461400,463900,466500,467200,468300,470000,472300,476000,480800,483000,485300,490700,496900,500700,503100,506000,509400,512100,515700,519900,520800,519400,521500,526400,529700,532900,537700,541300,542700,545200,549600,554500,557800,558800,559600,562500,566800,570500,572300,574200,578400,583600,587900,591900,594000,595000,596100,597800,599400,601200,606900,615600,621100,623400,626300,628300,627800,627000,625300,623700,622600,623400,623100,623000,625200,628200
394347,"Atlanta, GA",9,221500,221500,221900,222100,222100,221900,222000,222600,223500,224200,224900,226400,228100,229100,229600,230400,231400,232500,233700,234900,236200,237800,239300,240300,240600,240900,241900,243100,244600,246300,248300,249900,251500,253000,255000,257100,259400,261400,263300,264800,265800,266700,268100,269100,270000,271600,273400,275000,277000,279300,281200,282900,284800,286700,288300,289400,290200,291300,292500,293400,294300,295200,296300,297700,299300,301200,302700,304100,305400,306500,307500,308600,309600,310700,311700,312600,313800,314500,314800,315700,317100,318200,319300,320800,322300,323500,324400,325100,325800,326600,327600,328800,330000,331200,332500,333400,334100,334900,336100,337900,339700,341500,343200,344900,347000,349200,351200,353000,354900,356900,359000,361200,363000,364700,366900,369900,372600,374900,377400,379500,381500,383600,385500,387100,388500,389900,391300,392600,393100,392800,392400,392800,393500,393500,392800,392200,391500,390800,389700,388300,386500,384300,382000,380000,377600,374600,371800,369200,366000,362700,358800,354100,349900,347600,345700,342700,339100,335900,332900,330500,329400,328800,328000,327200,327400,327800,326600,324500,323800,323600,321900,318700,315000,311400,308600,306300,304000,301000,298500,296900,295600,294100,293300,293100,293500,293700,293500,293000,292300,291800,291800,291800,291300,291900,294000,296400,297800,299200,301300,303500,305400,307200,309200,311600,314300,317000,319600,322300,324700,327000,329600,332100,333900,334800,335700,337400,339500,341400,343100,344500,345400,346100,347000,348400,349800,351700,355200,359100,361700,363800,366000,368300,370200,371900,373500,375200,376700,378200,379500,381000,382700,384300,384800,385300,386400,388300,390400,392800,394500,396100,396900,397200,397700,398600,399000,399600,401500,403400
