"RegionID","RegionName","SizeRank","1996-04","1996-05","1996-06","1996-07","1996-08","1996-09","1996-10","1996-11","1996-12","1997-01","1997-02","1997-03","1997-04","1997-05","1997-06","1997-07","1997-08","1997-09","1997-10","1997-11","1997-12","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09"
102001,"United States",0,95800,96500,96600,96300,96200,96300,96600,96800,96700,97000,97700,98400,98600,98900,99200,99500,99600,99800,100100,100800,101100,101700,102500,103100,103000,102900,103400,104200,104900,105300,105700,106300,106600,106900,107600,108500,109300,110000,110500,111100,111800,112500,113200,114000,114900,115800,116900,117900,118700,119600,120800,121400,122100,123000,123900,124800,125900,126900,128000,129100,130300,131100,132000,133000,134100,135100,136000,136900,138100,138600,138200,138100,138900,140000,140900,142000,143300,144700,145900,147200,148100,149200,150800,152400,153600,154900,156600,158500,160000,161200,162500,163800,165900,168500,170800,172500,174300,176200,178200,180000,182000,184300,186400,188400,190400,192500,194800,197400,200200,203000,205500,208200,210900,213300,215800,218500,220600,222500,224300,225900,227300,228200,228600,228800,228900,229000,228700,228100,227600,227100,226700,226400,225900,225100,224100,223000,222000,221000,219600,218100,216300,214300,212100,209800,207300,205100,203100,201000,199000,197000,195100,193400,191700,190000,188400,186700,184700,182500,180500,179000,177700,176600,175700,174700,173500,171900,170600,169700,169100,168400,167500,166100,164600,163500,162500,161400,160400,159700,158900,157900,157000,156100,155200,154300,153400,152600,151900,151200,150800,150900,151100,151100,151100,151400,151900,152600,153300,153600,154000,155000,156100,156800,157600,158600,160000,161500,162900,164300,165700,166700,167800,168900,169800,170700,171300,171900,172600,173500,174300,174900,175800,176800,177700,178400,179100,179900,180800,181900,183100,184200,185300,186300,187300,188300,189500,190600,191600,192500,193400,194500,195800,196800,198000,199600,200900,202100,203700,205400,206800,208200,209600,211000,212300,213500,214600,215500,216900,218100
394913,"New York, NY",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,392800,393000,393700,388800,370000,350600,349000,360000,366600,365400,359800,355700,357100,360500,364000,369200,371700,371600,373400,378400,383600,386200,383800,382300,384700,386800,387900,391100,390600,387000,385300,387700,390200,391400,388700,385700,385300,385600,385400,386600,385800,383000,382100,384000,385300,386300,386600,387600,388300,387900,386900,386100,385700,385900,385500,384400,383100,381600,379300,376800,375200,374500,374500,373600,379300,389700,394500,392200,392200,392900,393300,393200,392500,391500,391500,392700,392200,390000,389000,389200,388400,387700,387700,387200,386800,387000,386900,386000,383800,381300,380600,381900,382800,383000,383400,385100,387400,389000,389600,391400,393400,394000,394700,397300,400500,403600,406600,410100,414300,418400,421100,423200,424700,426300,428000,429600,430700,432000,432900,434000,435700,438700,442800,447200,449600,451500,453600,456900,460900,465200,469400,473800,478100,483600,490500,495100,495900,495600,496600,498700,500000,501400,505900,512900,518800,523700,529200,535100,540100,544200,550900,559400,569000,581900,595100,604200,611500,617200
753899,"Los Angeles-Long Beach-Anaheim, CA",2,139100,138500,137500,136600,136200,136100,136100,136100,136600,137700,138900,139700,140200,140300,140500,140800,141300,142200,143000,144000,145300,146500,147700,148600,149100,149700,151800,154200,155800,156900,158600,159800,160800,161900,163400,164900,165900,166700,167700,168700,169400,170300,171700,173600,175400,177100,178900,180800,182700,184500,185400,186400,188200,190100,191800,193600,195800,198500,201200,203600,206000,208600,210700,212500,214400,216400,218300,220800,223600,226200,228400,230700,233400,236900,241100,245400,249300,253200,257500,262000,266200,270000,274000,278300,282300,285800,289500,294200,299800,305800,312100,318500,325000,331800,339200,347700,357700,368400,378900,388100,395600,401100,404800,406900,409700,413700,418100,422800,427800,433100,438500,444800,451600,458400,464700,470800,474900,477000,478900,481000,482300,483400,484700,485400,484900,484000,483000,482200,480200,477600,476100,475000,473500,471400,468300,464800,461200,457200,453600,449800,444400,437900,431400,424200,415900,407500,399600,392100,385500,380600,376500,372300,367600,363500,360000,356700,353200,349900,347400,346000,345200,344600,344200,343500,347000,352900,355400,353700,353100,352000,350100,347700,346000,344000,342000,340500,338700,336200,333600,331100,328300,326200,323100,319700,316700,314500,312200,310200,308300,306800,306200,306200,307000,308500,310900,313800,316200,318000,319600,322400,326600,330700,335400,342800,351100,360000,369000,376800,383000,389300,394900,399100,400800,401200,402700,405600,407700,408700,409700,411400,413000,414600,416800,418200,418800,420200,422900,425900,428400,430100,431100,432500,434600,436800,439500,442700,445400,447800,450400,452800,454900,456800,459500,462600,464900,466800,470000,473400,475800,477400,479100,481400,483800,486300,488600,490900,493600,496100
394463,"Chicago, IL",3,108300,108200,108100,108300,108500,108700,109000,109400,109900,110400,110800,111000,111000,111100,111300,111500,112000,112400,112700,112800,113000,113500,114200,114500,114600,115100,115700,116400,117100,117700,118200,118700,119000,119400,120100,120800,121600,122200,122900,123900,124900,125900,126900,127800,128900,130100,131400,132700,134200,135700,137400,138300,138800,139300,140300,141700,143500,144900,145700,146400,147700,149700,151500,153000,154500,155900,156700,158000,160000,161600,162800,164100,164900,164900,164700,164900,165600,166600,168100,169400,170100,170700,171800,173400,174900,176800,179100,180800,181700,182300,182400,182100,181900,182100,182600,183700,184700,185000,184900,185700,187200,188800,190000,190900,191700,192500,193800,194900,196000,197500,199000,200400,201100,201400,202200,203400,204200,205000,205800,206200,206300,206600,206900,207000,207200,207500,207900,208300,208800,209400,209900,209800,209500,209100,208800,208600,208500,208500,208700,208600,208700,208900,208600,207600,206500,205000,203100,201600,201000,200400,199400,197800,196900,196300,195400,194300,192900,190600,188800,187500,186200,185900,185500,185400,183600,180700,178300,177000,175900,175500,174600,172600,170000,168100,166500,164700,163200,162700,161800,160100,158000,156200,154100,152400,151000,149000,146300,144000,142600,141700,140900,139600,138900,138700,138800,138900,138700,137800,137300,137700,137900,137300,137000,138100,139300,140100,141500,143100,144200,145100,145700,145900,146200,146500,146800,147000,147400,147500,147900,148500,149800,151000,152100,153000,153200,153200,153500,154400,155900,157300,157900,158200,158600,159000,159100,159500,159700,159600,159800,160800,162000,162700,164000,165700,166700,166900,168200,169800,171700,173600,174800,174900,175100,176100,177100,177200,177600,178400
394514,"Dallas-Fort Worth, TX",4,,,,,,,,,,,69900,69300,68500,68200,67800,67400,67200,67200,67300,68800,70600,71800,71800,71300,70500,70300,70300,70400,70300,70200,70500,72200,74000,74900,75200,75800,76300,76700,77000,77400,77800,77900,78400,80200,82000,82600,82200,81700,81300,81200,81100,81000,81000,81000,81300,82800,84400,84800,84700,85000,85300,85600,85800,85800,85900,86300,86900,87500,88200,88800,89000,89200,89400,89300,89300,89700,90200,90700,91100,91500,92100,92900,93200,93400,93400,93500,93600,93800,94200,94500,94800,95100,95400,96300,97800,99100,100100,100900,101400,101700,102200,102500,102700,102700,102900,103200,103400,103700,104200,105000,105900,106500,106700,107100,107700,108200,108300,108400,108800,109300,109600,109600,110000,110700,111300,111500,111700,111900,112100,112400,112800,113200,113300,113600,114100,114500,115000,115700,116400,116900,116700,115400,113700,112500,111600,111000,110500,110400,110400,110400,110400,110400,110300,110200,110000,109800,109500,109000,108500,108300,107900,107400,107000,106600,106800,107300,107500,107000,107000,107300,107500,107100,106500,105900,105600,105200,104800,104600,104400,104400,104400,104000,103000,101900,100800,100100,99600,99700,100600,101900,102900,103400,103700,104200,104900,105500,105900,106000,106000,106200,106500,106500,106800,107800,108900,109600,109900,110100,110600,111500,112200,112800,113400,113500,113600,113700,113600,113700,114400,115500,117000,118200,119200,119900,120700,122200,124400,126700,128900,130900,133000,135000,136700,138400,140600,143200,145300,146600,147600,148900,150800,153200,156100,158800,160900,162900,164700,166300,167200,167900,168700,170300,171400,172200,173300,175100,177800,180800
394974,"Philadelphia, PA",5,51700,51800,51700,51500,51300,51300,51300,51300,51300,51400,51500,51800,52000,51800,51500,51300,51500,51500,51400,51400,51500,51600,51900,52100,52200,52300,52200,51900,52000,52200,52400,52300,52300,52300,52600,52900,52900,53000,53300,53400,53400,53300,53400,53700,53900,54000,54300,54600,54700,54600,54800,55000,55200,55400,55600,55700,56000,56300,56400,56500,56700,56900,57100,57400,57700,57900,58300,58900,59500,60300,60800,61100,61500,62000,62600,63200,63800,64600,65300,65700,66300,66800,67200,67800,68500,69200,69900,70700,71400,72000,72500,73200,74100,74900,75800,76600,77500,78500,79500,80600,81900,83400,85100,86800,88400,89700,91200,93100,95000,96900,98900,101100,103100,104900,106700,108500,110000,111200,112500,113800,115100,116600,118000,119100,120000,120500,120900,121200,121200,121200,121700,122400,123000,123300,123800,124400,124800,125200,124900,124200,123400,123000,123000,122900,122200,121700,121100,120700,120400,120300,120000,119600,119600,120100,120200,120000,119600,119300,119100,119500,119900,120400,120900,121200,122300,123300,123000,122800,123900,124700,124900,123900,122000,120500,120300,120600,120500,120000,119400,118800,118200,117400,116000,115400,115700,116000,115600,115000,114000,113600,113500,113000,112100,111900,112000,112000,111800,111400,111200,111900,112900,113000,113000,113400,113900,114100,114000,113300,113000,112900,112700,112700,112900,113200,113500,113900,114200,114700,115100,115500,115700,115900,116300,116400,116100,115700,115800,116100,116400,116800,117600,118400,119300,120200,120600,120400,120000,120200,121100,122000,122400,122200,123300,125300,126600,126800,127400,128100,128900,129700,130400,130800,130900,131500,132200,132700,133500,134600
394692,"Houston, TX",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81800,81700,81500,81100,80400,79200,78200,77400,77300,76800,77100,77500,78000,77600,77100,76600,76700,76400,76300,75600,74900,73900,74400,74900,75500,75100,74500,74100,74000,74100,74100,73800,73700,73900,74800,75700,76700,76800,76600,76200,76500,77800,79200,79600,80100,80800,82100,83100,84600,85900,86900,86800,87000,88200,89900,90300,90200,90800,92400,94400,96500,98600,99700,99700,100300,101600,103500,104200,105400,106000,107000,108500,110400,111300,110800,109600,107900,107000,107700,109200,109900,109700,109200,108900,108100,107200,112300,121300,127100,126300,121500
395209,"Washington, DC",7,123000,123100,123000,122800,122600,122200,121800,121800,121800,122200,122800,122900,122400,122200,122000,121500,120900,120600,120500,120700,121000,121600,122200,122500,122300,122200,122100,122000,121900,121900,122200,122500,122800,123400,123800,124100,124400,124800,125300,125900,126700,127600,128300,128900,129600,130400,131400,132300,133000,133700,134700,135800,136700,137600,138500,139400,140600,142100,143500,145100,147000,148700,150400,152400,154600,156700,158700,160700,162500,164300,166500,168800,170900,173500,176500,179300,182300,185500,188200,191300,194900,198200,201100,204000,206700,209300,211900,214400,217100,220300,223700,226900,230400,234400,238500,242700,247500,252800,258500,264500,270500,276500,282500,288300,294000,299600,305300,311800,318600,324900,330900,336700,341400,345200,349000,352300,353900,354700,355100,355000,354500,353500,351800,349700,347900,346100,344500,343400,342100,341000,340600,340500,339800,339000,337600,335700,333400,331100,328700,326100,322300,317900,313300,308700,304100,299700,295500,291700,288400,285400,282400,279300,276000,272700,269900,267400,265000,262900,260900,259100,257600,257000,256800,256300,258000,261400,263200,262700,262600,262200,261900,261900,261700,260800,259600,258500,257400,256500,255900,256000,255900,255700,255500,255400,255300,255000,254700,254900,255200,255000,255300,256100,257000,257800,259100,260900,262600,263800,264900,266600,268000,268800,269600,271400,273700,276500,279700,282500,284800,287000,288700,289600,290300,290900,291700,292400,293500,294700,295500,295600,295300,295100,295300,295800,296100,296200,297000,297900,298800,299700,300400,300500,300600,301100,301700,302200,302200,302200,302800,303700,304400,304900,304800,304500,304800,305900,307300,309100,310900,312600,313700,313600,312500,311600,311300,311500,312500,313600
394856,"Miami-Fort Lauderdale, FL",8,69200,69400,69200,69000,68700,68500,68400,68400,68500,68800,69200,69500,69600,69700,69700,69800,70100,70400,70600,70700,71000,71200,71600,71900,72100,72100,72100,72100,72200,72400,72500,72900,73300,73500,73700,74100,74300,74300,74400,74500,74900,75200,75300,75700,76200,76800,77300,77600,77900,78400,79100,79800,80200,80700,81500,82000,82300,83000,84000,84900,85800,86800,87800,88700,89700,90800,91800,92700,94000,95500,96700,97900,99300,100500,101800,103300,104900,106800,108600,110200,111600,112900,114400,116000,117500,119000,120600,122200,123700,125000,126500,128400,130100,131900,134000,136300,138600,141400,144200,147100,150500,154000,157400,160900,164400,167900,171800,176200,181100,186200,191400,196700,201800,206600,211000,215000,218600,221400,223800,226000,227600,228500,228700,228600,228300,227900,227200,226100,224500,223100,222200,221200,219400,217300,215200,213000,210800,208300,205600,202900,199400,195000,190300,185500,180700,176000,171400,167100,162400,157000,151800,146800,142000,137800,133800,129600,125300,121900,119200,116700,114500,112600,111100,109500,109900,111100,110700,108800,108100,107400,106100,104300,102500,101100,99800,99200,97800,96100,95200,95200,95000,94200,93100,92200,91500,91300,91100,90800,90600,90800,91100,91600,92200,93200,94600,95800,97200,98600,99800,101100,102800,104300,105700,107400,109200,111100,113200,115400,117400,119100,121000,122600,123600,124500,125700,127000,128300,129500,130300,131000,132000,133300,134800,136100,136900,137400,138600,140300,142200,143800,145300,146900,148500,149600,150700,151700,152600,153400,154200,155300,156500,157200,158300,160300,162000,163000,164300,165700,166400,167000,167700,168200,168600,169500,170400,171100,171900,172900
394347,"Atlanta, GA",9,92900,93000,92600,92500,92300,92100,91900,91800,91900,92700,93700,94400,94900,95500,96300,97100,97500,98100,98900,99600,99800,100100,100900,101500,101900,102700,103700,104600,105900,107400,108500,109300,110400,111900,113300,114200,115000,116400,118100,119600,120900,122500,124000,125500,127000,128200,128800,129500,130700,132200,133300,134100,134800,135300,135900,136600,137500,138300,139100,140000,140700,141000,141100,141400,142000,142900,143700,144300,144400,144600,145100,145600,145800,146000,146200,146600,147200,147700,147800,148300,149000,149300,149400,149700,150100,150200,150300,150500,150500,150000,149900,150100,150300,150500,150900,151500,151900,152100,152300,153100,153600,153700,154000,154200,154700,155300,155900,156300,156500,156700,157200,157500,157900,158600,159300,159800,160500,161400,162000,162200,162400,162600,162800,163000,163000,163200,163500,164100,164200,163900,163700,163900,164000,164300,164200,163700,163300,163000,162600,162000,161300,160500,159500,158600,157800,156600,155400,154300,153100,151700,150000,147900,145900,144400,143100,141600,139900,138400,136800,135400,134600,134200,133700,133100,132600,132200,131800,131300,131200,130700,129500,127800,126000,124400,123100,121500,119700,117800,116000,114200,112300,110600,109300,108100,106700,105100,103700,102700,102300,101900,101300,100400,99700,99700,100700,102200,103200,104000,105000,106100,106900,107700,108800,110100,111500,113200,114800,116300,117800,119100,120100,121100,122000,122700,123300,124200,125200,126100,126400,126700,126900,127600,128600,129700,130500,131600,132900,134500,136000,137500,139100,140500,142100,143700,145200,146800,148100,148900,149900,151400,152800,153600,154200,154900,155600,156800,158200,159700,161200,162800,164200,165300,166600,168200,169800,170700,172700,175200
