"RegionID","RegionName","SizeRank","1996-04","1996-05","1996-06","1996-07","1996-08","1996-09","1996-10","1996-11","1996-12","1997-01","1997-02","1997-03","1997-04","1997-05","1997-06","1997-07","1997-08","1997-09","1997-10","1997-11","1997-12","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09"
102001,"United States",0,99900,100100,100300,100300,100200,100300,100600,100900,101500,102200,102700,103100,103500,103800,104000,104400,104800,105300,105800,106400,107000,107400,108000,108400,108400,108300,108800,109800,110500,110900,111300,111500,111800,112300,112900,113600,114400,115100,115700,116300,116800,117200,117700,118300,118900,119600,120300,121100,121800,122500,123200,123600,124100,124800,125500,126000,126700,127500,128100,128700,129300,130000,130700,131200,131500,132000,132500,133100,133700,134300,134700,135100,135600,136000,136500,137200,138100,139000,139800,140700,141300,141700,142500,143500,144400,145300,146200,147000,147800,148800,149700,150600,151700,153000,154200,155400,156700,157900,158900,160200,161700,163000,164000,165400,167000,168500,169800,171200,172600,174000,175800,177700,179100,180100,181400,182700,183800,184800,185700,186600,187600,188600,189200,189500,189900,190500,191100,191100,190900,191100,191400,191500,191800,191900,191700,191300,191100,190700,189900,189000,188000,187100,186100,184700,183200,181900,180800,179800,178900,178100,177300,176600,176100,175600,175000,174200,173300,172200,171000,169900,169000,168200,167500,167100,166300,165100,164000,163300,162800,162200,161700,161000,160100,159200,158300,157700,157000,156400,155800,155200,154500,154000,153500,153000,152400,152100,151800,151300,151100,151100,151400,151600,151700,151800,152100,152500,153100,153500,154000,154400,155100,155800,156500,157100,157900,158800,159800,160600,161400,162200,162900,163500,164400,165100,165400,165900,166600,167200,167600,168200,168800,169200,169800,170600,171000,171500,172200,173000,173700,174600,175400,176200,177100,178000,178700,179400,180200,181100,181900,182500,183200,184100,185200,186100,187100,188300,189500,190900,192200,193100,194100,195200,196100,197000,198000,199000,199800,200300
394913,"New York, NY",1,165300,165300,165100,165000,164900,165000,164300,163100,162500,163100,164200,165200,166000,166600,167100,167500,167900,168300,168900,169500,170200,171000,172200,173200,173800,174300,174600,175000,175500,176100,177100,178200,179000,180000,181300,182700,184100,185800,187600,189400,191100,192700,194500,196700,199700,202700,205100,206900,208600,210700,213100,215400,217600,219900,222300,224700,226900,229300,231700,233900,235800,238000,240100,242400,245100,248300,251400,254300,257200,259800,262300,265200,268700,272100,275200,279000,283200,287000,290600,294400,298000,301500,305400,309500,312900,316500,321000,325300,328600,331500,334300,337400,340800,343800,346900,350500,354500,358200,361900,366000,370500,375000,379900,384400,388700,393400,398200,402900,407700,412500,417000,420800,424200,427700,431300,434600,437500,440000,442000,444000,446100,447700,448500,449100,449700,449800,449200,448500,447900,447200,446700,446500,446200,445500,444200,442300,440200,437900,435900,434300,432600,430800,428300,424900,421300,417800,414100,410500,407100,404100,400900,397300,393900,391300,389000,386000,382900,380000,377100,374600,372600,371100,370400,369900,368600,367000,365700,364800,363600,362400,361500,360400,358600,356600,355200,354000,352900,351800,350900,349700,348400,347200,346200,345000,343900,342500,340800,339100,337600,336200,335000,334200,333900,333500,333300,333900,334700,335400,335600,336100,336900,337700,337900,338400,339400,341000,342800,344800,346900,348800,349900,350900,352100,353400,354400,354900,355700,356900,358100,358900,359500,359700,359600,359700,360300,361200,362000,363000,364200,365200,366200,367000,368000,369600,371500,372900,373700,374200,374900,376200,377500,378600,379600,381200,383900,386600,388800,390900,392700,394600,397300,400500,402900,404800,406700,408500,409700,410400
753899,"Los Angeles-Long Beach-Anaheim, CA",2,178800,178800,178700,178600,178700,178900,179100,179300,179900,181100,182100,182900,183400,183700,183900,184200,184700,185400,186400,187700,189200,191200,193100,194800,196500,198500,200400,202200,204000,205900,207900,209700,211200,212700,214600,216500,217900,219300,221000,222500,223600,224700,226300,228200,230400,232700,235300,238000,240300,242400,244300,246600,249200,251500,253200,255200,257500,260100,262900,265800,268400,270400,272100,274000,276100,278700,281600,284600,287500,290900,294300,297800,301500,306300,311600,317000,322200,327700,333400,339400,345000,350200,355200,360200,364900,369200,373300,378100,383900,390300,397500,405500,414000,422600,431500,441300,452700,465200,478000,490100,500400,508700,515500,520900,526200,531600,537300,543900,551800,560200,568600,577300,586800,596100,603900,610900,616700,620800,624200,627200,628900,630100,631400,632600,632800,631500,630100,628800,626800,625600,625400,624600,622500,619700,615300,610300,605100,599700,594600,588400,579800,570300,561100,550700,539000,527500,517200,507200,497800,489800,483200,477000,470300,463800,458300,453700,449400,445900,443300,442100,441800,442000,442100,441500,445200,451700,454800,454300,454800,454600,453200,450700,448100,445600,443700,442900,442600,441200,438900,436300,433400,430400,427200,423800,421100,418800,416600,414900,413400,412300,411900,412800,414100,416300,419300,423000,426800,430500,433800,437800,442200,446100,451600,460500,470200,479700,489200,497600,504500,510900,516100,520100,522100,523400,526200,530500,533800,536200,538700,541900,545000,547500,550300,552900,554700,556800,559500,562200,565400,568700,571500,574400,577500,580300,583400,587100,590200,592800,595300,598100,601400,604700,607800,610700,613800,617400,621700,625800,628800,631500,634200,636300,638000,640100,642200,644200,646200,647700
394463,"Chicago, IL",3,148000,147700,147500,147200,146900,146600,146600,146900,147600,148400,149000,149200,149300,149500,149700,149900,150000,150300,150700,151000,151400,152100,152700,153000,153100,153200,153300,153400,153700,154000,154500,154900,155500,156300,157100,157600,158400,159200,159800,160100,160700,161600,162500,163500,164500,165700,166900,167800,168900,169900,170700,171800,173100,174400,175400,176400,177800,179200,180100,181000,182200,183500,184600,185500,186400,187300,188500,189400,190600,192400,194000,195100,196100,197000,197900,199200,200800,202300,203800,205100,207000,209300,211400,213000,214700,216700,219200,221500,223100,224100,224500,224900,226100,227800,229200,230100,231200,232300,233600,235200,236800,238100,239500,242000,240700,236300,234900,237400,239200,240800,242500,243900,245200,246700,248400,249600,251200,253200,254800,255600,256400,257100,257500,257800,258100,258500,259000,259300,260000,261200,261700,261400,261100,260300,259200,258100,257000,255700,254500,253500,252600,251300,249700,247500,245300,243200,241000,238500,236400,234800,233000,230500,228400,227500,226400,224400,222100,219700,217500,215800,214600,213700,212900,212200,211500,210400,208900,207200,205800,204700,203400,201600,199900,198000,196100,194400,193100,192100,191000,190000,188600,186700,184700,183000,181400,179800,178400,177000,175900,174900,173900,173000,172700,173200,174200,175300,175800,175600,175400,175700,176000,176000,176100,176800,178000,179600,181600,183300,184500,185800,187100,188200,188900,189600,190500,191900,193100,193900,194800,195900,197000,198100,198800,199100,199100,199000,199200,200100,201400,202700,203200,203500,203900,204300,204900,205700,206100,206600,207500,208500,209300,209900,210500,211200,212000,213000,213900,215000,216600,218300,219800,220600,221000,221300,221600,221600,222200,223000
394514,"Dallas-Fort Worth, TX",4,102100,102100,102200,102300,102300,102300,101900,99600,96900,96300,97100,97200,97300,97300,97400,97600,98100,98500,99000,99800,100700,101400,101900,102200,102300,102300,102400,102600,103100,103400,103700,104200,105000,105600,106100,106800,107500,108200,109000,109800,110400,111200,112000,113300,114300,115000,115300,115400,115600,116000,116300,116600,116700,117100,117600,118300,118900,119300,119900,120600,121100,121400,121800,122100,122300,122700,123100,123600,124100,124400,124700,125100,125500,125900,126200,126700,127100,127400,127700,128100,128500,128900,129100,129300,129400,129600,129600,129800,130100,130300,130400,130600,130900,131500,132400,133700,135000,136000,136900,137600,138200,138700,139300,139700,140200,140500,140800,141200,141600,142100,142500,142600,142800,143100,143300,143400,143600,143900,144300,144500,144700,145100,145500,145800,146200,146600,146900,147400,147500,147400,147500,147800,147900,148200,148400,148800,149200,149800,150300,150800,150400,149000,147500,146400,145100,143900,143100,142600,142100,141400,140800,140300,139500,138500,137800,137300,136500,135600,134900,134600,134700,134800,134900,134300,135800,138800,140300,140000,140500,140900,141100,141000,140700,140200,139600,139300,139000,138500,138200,138200,138100,137900,137500,136900,136400,136100,136000,136100,136300,136500,137100,137700,138300,138800,139000,139100,139300,139500,139800,140300,140600,141000,141600,142400,143300,144400,145300,146100,147100,148300,149300,150300,151000,151300,151700,152600,153300,154000,154800,155700,156600,157600,158600,159700,160600,161400,162400,163700,165600,167800,169900,172100,174400,176500,178600,180600,182200,183500,185100,186900,188400,190000,192700,195700,197600,198800,200500,202100,203200,204200,205900,207900,209700,211500,213100,214200,215300,216500
394974,"Philadelphia, PA",5,122100,122200,122200,122200,122100,121900,122000,122200,122400,122700,123200,123400,123500,123800,123900,123900,124000,124100,124300,124800,125200,125800,126600,127200,127400,127500,127700,127800,127700,127600,127700,127900,128200,128700,129300,129900,130000,130300,130800,131400,132000,132600,133200,133700,134100,134700,135700,136700,137400,137900,138500,139100,139700,140600,141400,142000,142600,143400,144000,144700,145700,146700,147600,148500,149600,150700,151800,152800,154100,155400,156600,157800,159000,160500,162000,163400,165000,166800,168400,170200,172100,174000,175600,177400,179300,181200,182900,184700,186800,188900,190800,192800,194800,196800,198800,201100,203400,205900,208600,211700,214800,217700,220500,223100,225800,228400,230700,233000,235500,237900,240400,243100,245600,247800,250300,252700,254300,255300,256500,257600,258600,259800,260700,261100,261300,261300,261000,260600,260000,259900,260100,260400,260300,260300,260200,259900,259400,258800,258100,257400,256600,255400,254300,253400,252400,251300,250500,249500,248400,247400,246500,245300,243800,242700,241900,241200,240200,239100,238000,237100,236300,235900,235900,235600,236200,237100,236800,235700,235600,235300,234400,232700,230700,228800,227700,226900,226100,225500,225100,224200,222700,221400,220300,219500,218900,218200,217200,216400,216200,216200,216000,215800,215500,215100,214600,214600,214900,215300,215800,216500,217100,217100,217100,217700,218700,219600,220200,220800,221200,221600,221800,221900,222000,222300,222500,222500,222700,223500,224300,225000,225500,225600,225500,225200,224700,224200,224300,224700,224900,225400,226500,227400,227900,228200,228600,228900,229100,228900,229100,229700,230200,230600,231200,232300,233700,235100,236200,236900,237200,237300,237500,238100,238700,239200,239300,239700,240300,240600
394692,"Houston, TX",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135400,135400,135100,134600,134100,133600,132900,132000,131200,130500,130700,131400,132300,132200,131900,131400,130600,129900,129200,128800,128300,127800,128500,129400,130300,130300,130200,129900,129800,129900,129900,129900,129800,130100,131200,132300,133700,134700,135900,136700,137500,138200,139100,140300,141200,142200,143800,145400,146800,147500,148100,148900,149500,150300,151300,152600,153600,154400,156000,157400,159000,160000,161000,161800,162800,163900,165200,166600,167400,168100,169500,171000,172500,173400,174300,175000,176200,177200,178100,179100,179300,179500,178900,178500,177700,177600,179100,181600,183900,185000,185300
395209,"Washington, DC",7,176200,176600,176800,176800,176600,176600,176900,177100,177400,177900,178600,178800,178600,178100,177500,177000,177000,176900,176900,177300,177600,178300,179400,180100,180400,180700,180800,180900,181100,181500,182000,182800,183600,184600,185500,186400,187200,188000,188800,190100,191600,193000,194100,195200,196700,198500,200300,202000,203600,205500,207400,209200,210700,212300,214100,216100,218400,220700,223100,225400,227800,230200,232600,235100,237800,240200,242500,244700,247100,249600,252400,255500,258600,261800,265300,268800,272100,275500,279200,282900,286300,289700,292900,296000,299200,302300,305600,309100,313000,317000,321300,325700,330200,334900,340200,345600,351000,357000,363700,370800,378200,385500,392600,399800,406900,413600,420400,427700,435400,443100,450500,457600,464000,469700,474600,478900,481800,483600,485100,486500,487500,487700,487000,485600,483800,481600,479600,478100,476000,473800,472100,471200,470200,468800,466200,462500,458000,453800,449600,445000,438900,431800,424200,417000,410100,403400,396700,391200,387000,382900,378900,374600,370600,367500,365600,363800,361600,359300,356800,354700,353200,352500,352100,351400,354200,359600,362300,361100,360700,360400,360000,359000,357700,356100,354700,353600,352600,351400,350400,349400,348100,347200,347000,347200,347600,348000,347900,348200,347900,346900,346700,347700,348500,349300,351000,353300,355300,356800,358500,360500,362000,362700,363800,366300,369300,372500,376000,379000,381300,383200,384800,385700,386400,387100,388100,389200,390600,392000,393200,393700,393500,393300,393600,394600,395100,395300,396200,397800,399400,400600,401800,402900,403600,404100,404800,405800,406100,405700,405600,406600,408000,409400,410100,410300,411200,413100,415400,417700,419100,420100,421100,421500,421000,420300,420000,420400,422100,424000
394856,"Miami-Fort Lauderdale, FL",8,120400,120200,119900,119500,119400,119500,119600,119800,120100,120800,121400,121700,121800,122100,122300,122400,122700,123300,123600,123500,123700,124200,124900,125500,125900,126300,126600,126800,126900,127100,127400,128100,128700,128700,128800,129400,130100,130500,131000,131600,132000,132400,132900,133600,134400,135300,136400,137300,137900,138800,140100,141100,141800,142400,143200,144200,145100,146200,147600,149200,150700,152200,153600,155200,156800,158600,160400,162000,163800,166000,167900,169600,171300,172900,174600,176800,179200,181500,183900,186600,189300,191800,194000,196300,199100,201900,204400,207100,210100,213300,216300,219300,222400,225800,229400,233300,237600,242300,247500,252700,257800,263000,268400,273800,279100,284600,291000,298200,305700,313500,321700,329800,337300,344000,349800,354900,359200,362500,365800,368700,370800,371600,371300,370900,370800,370500,370200,369700,368000,365800,364100,362100,359300,356000,352400,348700,345000,341000,336600,332100,326900,320700,313500,306100,298200,290400,282700,275300,267900,260700,253900,247000,240400,235200,230500,225300,220200,216100,212900,209900,207700,206400,205600,204600,205200,206000,204900,202500,201000,200000,199100,198100,196200,193800,191700,190300,188500,186300,184900,184900,185000,184300,183100,181800,180600,179600,178300,177500,177900,179200,180900,182600,183800,184900,186400,187400,188600,189600,190600,192100,194100,195900,197600,200200,203200,206400,209500,212700,216000,219900,224100,227400,229200,230400,232200,234300,236200,238100,240400,242600,244800,247000,249500,252000,253900,255700,258300,261300,264200,266800,269600,272500,274800,277400,280500,283000,284500,285800,287100,288800,291100,293100,295500,298400,301100,303600,306300,308600,310000,311400,312200,312300,312700,314100,315700,317400,319900,322200
394347,"Atlanta, GA",9,108000,108300,108500,108500,108500,108400,108700,109000,109400,109800,110200,110600,110900,111400,112100,112800,113500,114000,114400,114900,115500,116100,116800,117300,117700,118100,118600,119000,119600,120400,121100,121800,122400,123100,123900,124800,125500,126200,126800,127600,128600,129600,130200,130900,131900,133100,134100,134900,135600,136400,137300,138100,138700,139300,140200,140900,141500,142200,142900,143500,144200,144900,145400,146000,146600,147200,147600,147900,148400,148900,149200,149500,150000,150600,151100,151700,152200,152500,152700,153200,153600,153800,154000,154500,155000,155400,155600,155900,156200,156500,156900,157300,157800,158400,159000,159400,159500,159600,159900,160300,160800,161300,162000,162600,163000,163500,164300,165100,165500,166000,166700,167200,167600,168300,169000,169800,170500,170800,171100,171700,172200,172500,173200,173900,174400,174800,175000,175400,175200,174400,173700,173700,174000,174300,174100,173600,173400,173400,173400,173200,172400,171500,170600,169700,168500,167000,165300,163800,162300,160400,158400,156400,154900,154200,153800,152800,151400,150100,149000,148000,147300,146700,146200,145500,145800,146700,146700,145700,145200,144500,143400,142000,140300,138600,136900,135400,133700,131600,129600,128200,127000,125800,124900,123800,122600,121600,120800,120000,119200,118700,118500,118100,117900,118200,118700,119400,120100,120700,121300,122100,123200,124000,124600,125500,126400,127600,129200,131000,132900,134600,136300,137700,138600,139100,139700,140800,141900,142800,143900,144700,145300,146000,146800,147800,148500,149200,150300,151900,153300,154500,155600,156700,157900,159200,160400,161600,162300,163100,164100,165400,166300,167100,167700,168300,169000,170300,171800,173200,174400,175400,176200,176900,177900,178900,179600,180400,181800,183300
